country;variable;percentile;year;value;age;pop
US-IL;afiinct992;p0p100;1917;180971.9;992;t
US-IL;afiinct992;p0p100;1918;185347;992;t
US-IL;afiinct992;p0p100;1919;198633.2;992;t
US-IL;afiinct992;p0p100;1920;177887.7;992;t
US-IL;afiinct992;p0p100;1921;177432.1;992;t
US-IL;afiinct992;p0p100;1922;205052.9;992;t
US-IL;afiinct992;p0p100;1923;215177.8;992;t
US-IL;afiinct992;p0p100;1924;235146.3;992;t
US-IL;afiinct992;p0p100;1925;260761.3;992;t
US-IL;afiinct992;p0p100;1926;255517.5;992;t
US-IL;afiinct992;p0p100;1927;258395.5;992;t
US-IL;afiinct992;p0p100;1928;282142.1;992;t
US-IL;afiinct992;p0p100;1929;265759.1;992;t
US-IL;afiinct992;p0p100;1930;210318.6;992;t
US-IL;afiinct992;p0p100;1931;177695.3;992;t
US-IL;afiinct992;p0p100;1932;139822.7;992;t
US-IL;afiinct992;p0p100;1933;138484.8;992;t
US-IL;afiinct992;p0p100;1934;153079.7;992;t
US-IL;afiinct992;p0p100;1935;170220.4;992;t
US-IL;afiinct992;p0p100;1936;219876.2;992;t
US-IL;afiinct992;p0p100;1937;208501.5;992;t
US-IL;afiinct992;p0p100;1938;184011.4;992;t
US-IL;afiinct992;p0p100;1939;202464.7;992;t
US-IL;afiinct992;p0p100;1940;215288.3;992;t
US-IL;afiinct992;p0p100;1941;229996.8;992;t
US-IL;afiinct992;p0p100;1942;219931.2;992;t
US-IL;afiinct992;p0p100;1943;237270.9;992;t
US-IL;afiinct992;p0p100;1944;218966.7;992;t
US-IL;afiinct992;p0p100;1945;240364.8;992;t
US-IL;afiinct992;p0p100;1946;260195.2;992;t
US-IL;afiinct992;p0p100;1947;240542.9;992;t
US-IL;afiinct992;p0p100;1948;240906.9;992;t
US-IL;afiinct992;p0p100;1949;228557.6;992;t
US-IL;afiinct992;p0p100;1950;256872.9;992;t
US-IL;afiinct992;p0p100;1951;262969.7;992;t
US-IL;afiinct992;p0p100;1952;234771.1;992;t
US-IL;afiinct992;p0p100;1953;233555.8;992;t
US-IL;afiinct992;p0p100;1954;252576;992;t
US-IL;afiinct992;p0p100;1955;255047;992;t
US-IL;afiinct992;p0p100;1956;267319.8;992;t
US-IL;afiinct992;p0p100;1957;251928.9;992;t
US-IL;afiinct992;p0p100;1958;253754.6;992;t
US-IL;afiinct992;p0p100;1959;260279.9;992;t
US-IL;afiinct992;p0p100;1960;258028.6;992;t
US-IL;afiinct992;p0p100;1961;265684.8;992;t
US-IL;afiinct992;p0p100;1962;265324.7;992;t
US-IL;afiinct992;p0p100;1963;275625.9;992;t
US-IL;afiinct992;p0p100;1964;312384.5;992;t
US-IL;afiinct992;p0p100;1965;334303.7;992;t
US-IL;afiinct992;p0p100;1966;324935.6;992;t
US-IL;afiinct992;p0p100;1967;345043.7;992;t
US-IL;afiinct992;p0p100;1968;360250;992;t
US-IL;afiinct992;p0p100;1969;338292.5;992;t
US-IL;afiinct992;p0p100;1970;310827.3;992;t
US-IL;afiinct992;p0p100;1971;313724.8;992;t
US-IL;afiinct992;p0p100;1972;341487.6;992;t
US-IL;afiinct992;p0p100;1973;332799;992;t
US-IL;afiinct992;p0p100;1974;333114;992;t
US-IL;afiinct992;p0p100;1975;310949.9;992;t
US-IL;afiinct992;p0p100;1976;325200.9;992;t
US-IL;afiinct992;p0p100;1977;333613.8;992;t
US-IL;afiinct992;p0p100;1978;329530.6;992;t
US-IL;afiinct992;p0p100;1979;339952.4;992;t
US-IL;afiinct992;p0p100;1980;333969.7;992;t
US-IL;afiinct992;p0p100;1981;317261.3;992;t
US-IL;afiinct992;p0p100;1982;324527.7;992;t
US-IL;afiinct992;p0p100;1983;313029;992;t
US-IL;afiinct992;p0p100;1984;334326.7;992;t
US-IL;afiinct992;p0p100;1985;354365.4;992;t
US-IL;afiinct992;p0p100;1986;411310.4;992;t
US-IL;afiinct992;p0p100;1987;403286.2;992;t
US-IL;afiinct992;p0p100;1988;454734.9;992;t
US-IL;afiinct992;p0p100;1989;453416.8;992;t
US-IL;afiinct992;p0p100;1990;462051.2;992;t
US-IL;afiinct992;p0p100;1991;444984.9;992;t
US-IL;afiinct992;p0p100;1992;465591;992;t
US-IL;afiinct992;p0p100;1993;464123;992;t
US-IL;afiinct992;p0p100;1994;483151.4;992;t
US-IL;afiinct992;p0p100;1995;522416.2;992;t
US-IL;afiinct992;p0p100;1996;563182.9;992;t
US-IL;afiinct992;p0p100;1997;626648.9;992;t
US-IL;afiinct992;p0p100;1998;679745.5;992;t
US-IL;afiinct992;p0p100;1999;725284.4;992;t
US-IL;afiinct992;p0p100;2000;749297.9;992;t
US-IL;afiinct992;p0p100;2001;658046.3;992;t
US-IL;afiinct992;p0p100;2002;597232.2000000001;992;t
US-IL;afiinct992;p0p100;2003;597791.1;992;t
US-IL;afiinct992;p0p100;2004;657365;992;t
US-IL;afiinct992;p0p100;2005;694116.6000000001;992;t
US-IL;afiinct992;p0p100;2006;730174.4;992;t
US-IL;afiinct992;p0p100;2007;759555.5;992;t
US-IL;afiinct992;p0p100;2008;682954;992;t
US-IL;afiinct992;p0p100;2009;592226.1;992;t
US-IL;afiinct992;p0p100;2010;638142.8;992;t
US-IL;afiinct992;p0p100;2011;640319.4;992;t
US-IL;afiinct992;p0p100;2012;708070.2000000001;992;t
US-IL;afiinct992;p0p100;2013;661739.2000000001;992;t
US-IL;afiinct992;p0p100;2014;712763.2000000001;992;t
US-IL;afiinct992;p0p100;2015;728003.9;992;t
US-IL;afiinct992;p0p100;2016;706320.5;992;t
US-IL;afiinct992;p0p100;2017;723503.6000000001;992;t
US-IL;afiinct992;p0p100;2018;764564.6000000001;992;t
US-IL;npopult992;p0p100;1917;2530884;992;t
US-IL;npopult992;p0p100;1918;2536718;992;t
US-IL;npopult992;p0p100;1919;2576086;992;t
US-IL;npopult992;p0p100;1920;2631344;992;t
US-IL;npopult992;p0p100;1921;2697462;992;t
US-IL;npopult992;p0p100;1922;2749824;992;t
US-IL;npopult992;p0p100;1923;2812125;992;t
US-IL;npopult992;p0p100;1924;2881394;992;t
US-IL;npopult992;p0p100;1925;2939796;992;t
US-IL;npopult992;p0p100;1926;2994536;992;t
US-IL;npopult992;p0p100;1927;3051229;992;t
US-IL;npopult992;p0p100;1928;3103853;992;t
US-IL;npopult992;p0p100;1929;3150983;992;t
US-IL;npopult992;p0p100;1930;3199479;992;t
US-IL;npopult992;p0p100;1931;3237558;992;t
US-IL;npopult992;p0p100;1932;3271754;992;t
US-IL;npopult992;p0p100;1933;3304641;992;t
US-IL;npopult992;p0p100;1934;3339359;992;t
US-IL;npopult992;p0p100;1935;3376591;992;t
US-IL;npopult992;p0p100;1936;3412244;992;t
US-IL;npopult992;p0p100;1937;3447431;992;t
US-IL;npopult992;p0p100;1938;3489133;992;t
