country;variable;percentile;year;value;age;pop
US-IN;afiinct992;p0p90;1917;10644.6;992;t
US-IN;afiinct992;p0p90;1918;9803.2;992;t
US-IN;afiinct992;p0p90;1919;9592.9;992;t
US-IN;afiinct992;p0p90;1920;8673.8;992;t
US-IN;afiinct992;p0p90;1921;6485.4;992;t
US-IN;afiinct992;p0p90;1922;7707.5;992;t
US-IN;afiinct992;p0p90;1923;8725.2;992;t
US-IN;afiinct992;p0p90;1924;8960.6;992;t
US-IN;afiinct992;p0p90;1925;10116.4;992;t
US-IN;afiinct992;p0p90;1926;10098;992;t
US-IN;afiinct992;p0p90;1927;10425;992;t
US-IN;afiinct992;p0p90;1928;11022.8;992;t
US-IN;afiinct992;p0p90;1929;11578.2;992;t
US-IN;afiinct992;p0p90;1930;9397.9;992;t
US-IN;afiinct992;p0p90;1931;8264.1;992;t
US-IN;afiinct992;p0p90;1932;5975.7;992;t
US-IN;afiinct992;p0p90;1933;6033.7;992;t
US-IN;afiinct992;p0p90;1934;7237.5;992;t
US-IN;afiinct992;p0p90;1935;8625.5;992;t
US-IN;afiinct992;p0p90;1936;9426.2;992;t
US-IN;afiinct992;p0p90;1937;10561.8;992;t
US-IN;afiinct992;p0p90;1938;8794.5;992;t
US-IN;afiinct992;p0p90;1939;9483.7;992;t
US-IN;afiinct992;p0p90;1940;9319.4;992;t
US-IN;afiinct992;p0p90;1941;12802.2;992;t
US-IN;afiinct992;p0p90;1942;16106.9;992;t
US-IN;afiinct992;p0p90;1943;19953.3;992;t
US-IN;afiinct992;p0p90;1944;19593.5;992;t
US-IN;afiinct992;p0p90;1945;19293.4;992;t
US-IN;afiinct992;p0p90;1946;17768.7;992;t
US-IN;afiinct992;p0p90;1947;18756.7;992;t
US-IN;afiinct992;p0p90;1948;20158.2;992;t
US-IN;afiinct992;p0p90;1949;18560.8;992;t
US-IN;afiinct992;p0p90;1950;21126.1;992;t
US-IN;afiinct992;p0p90;1952;23193.9;992;t
US-IN;afiinct992;p0p90;1953;25579.2;992;t
US-IN;afiinct992;p0p90;1954;23473.3;992;t
US-IN;afiinct992;p0p90;1955;24827.9;992;t
US-IN;afiinct992;p0p90;1956;25794.2;992;t
US-IN;afiinct992;p0p90;1957;24844.6;992;t
US-IN;afiinct992;p0p90;1958;23650.9;992;t
US-IN;afiinct992;p0p90;1959;25319.1;992;t
US-IN;afiinct992;p0p90;1960;25943.5;992;t
US-IN;afiinct992;p0p90;1961;26156.5;992;t
US-IN;afiinct992;p0p90;1962;27005.3;992;t
US-IN;afiinct992;p0p90;1963;27912.6;992;t
US-IN;afiinct992;p0p90;1964;28921.6;992;t
US-IN;afiinct992;p0p90;1965;31169.6;992;t
US-IN;afiinct992;p0p90;1966;32932.9;992;t
US-IN;afiinct992;p0p90;1967;33191.8;992;t
US-IN;afiinct992;p0p90;1968;34209.4;992;t
US-IN;afiinct992;p0p90;1969;35038.1;992;t
US-IN;afiinct992;p0p90;1970;33658;992;t
US-IN;afiinct992;p0p90;1971;33684.2;992;t
US-IN;afiinct992;p0p90;1972;34762.5;992;t
US-IN;afiinct992;p0p90;1973;37524.4;992;t
US-IN;afiinct992;p0p90;1974;35273.4;992;t
US-IN;afiinct992;p0p90;1975;32965;992;t
US-IN;afiinct992;p0p90;1976;35194.1;992;t
US-IN;afiinct992;p0p90;1977;35810.7;992;t
US-IN;afiinct992;p0p90;1978;36376.4;992;t
US-IN;afiinct992;p0p90;1979;36942.5;992;t
US-IN;afiinct992;p0p90;1980;34303;992;t
US-IN;afiinct992;p0p90;1981;33541.7;992;t
US-IN;afiinct992;p0p90;1982;33257;992;t
US-IN;afiinct992;p0p90;1983;33150.8;992;t
