country;variable;percentile;year;value;age;pop
US-KS;afiinct992;p0p100;1917;133477.2;992;t
US-KS;afiinct992;p0p100;1918;132843.5;992;t
US-KS;afiinct992;p0p100;1919;125081.7;992;t
US-KS;afiinct992;p0p100;1920;111397.5;992;t
US-KS;afiinct992;p0p100;1921;95910.3;992;t
US-KS;afiinct992;p0p100;1922;99998.6;992;t
US-KS;afiinct992;p0p100;1923;90894;992;t
US-KS;afiinct992;p0p100;1924;92555.1;992;t
US-KS;afiinct992;p0p100;1925;94553.6;992;t
US-KS;afiinct992;p0p100;1926;115313.9;992;t
US-KS;afiinct992;p0p100;1927;112488.5;992;t
US-KS;afiinct992;p0p100;1928;122463.3;992;t
US-KS;afiinct992;p0p100;1929;133492.4;992;t
US-KS;afiinct992;p0p100;1930;103949.3;992;t
US-KS;afiinct992;p0p100;1931;91617.3;992;t
US-KS;afiinct992;p0p100;1932;80657.5;992;t
US-KS;afiinct992;p0p100;1933;79751.5;992;t
US-KS;afiinct992;p0p100;1934;86515.8;992;t
US-KS;afiinct992;p0p100;1935;98431.5;992;t
US-KS;afiinct992;p0p100;1936;111725.6;992;t
US-KS;afiinct992;p0p100;1937;104141.3;992;t
US-KS;afiinct992;p0p100;1938;93234.40000000001;992;t
US-KS;afiinct992;p0p100;1939;103315.5;992;t
US-KS;afiinct992;p0p100;1940;102487.4;992;t
US-KS;afiinct992;p0p100;1941;126784.1;992;t
US-KS;afiinct992;p0p100;1942;150453;992;t
US-KS;afiinct992;p0p100;1943;163467.5;992;t
US-KS;afiinct992;p0p100;1944;155613;992;t
US-KS;afiinct992;p0p100;1945;163818.5;992;t
US-KS;afiinct992;p0p100;1946;182129.8;992;t
US-KS;afiinct992;p0p100;1947;187166.9;992;t
US-KS;afiinct992;p0p100;1948;197767.5;992;t
US-KS;afiinct992;p0p100;1949;176171.4;992;t
US-KS;afiinct992;p0p100;1950;190557.1;992;t
US-KS;afiinct992;p0p100;1951;200654.5;992;t
US-KS;afiinct992;p0p100;1952;181941.1;992;t
US-KS;afiinct992;p0p100;1953;167001.9;992;t
US-KS;afiinct992;p0p100;1954;173594.7;992;t
US-KS;afiinct992;p0p100;1955;174614;992;t
US-KS;afiinct992;p0p100;1956;180963;992;t
US-KS;afiinct992;p0p100;1957;185706;992;t
US-KS;afiinct992;p0p100;1958;184814.3;992;t
US-KS;afiinct992;p0p100;1959;183260.2;992;t
US-KS;afiinct992;p0p100;1960;195494.3;992;t
US-KS;afiinct992;p0p100;1961;197662;992;t
US-KS;afiinct992;p0p100;1962;201932.7;992;t
US-KS;afiinct992;p0p100;1963;213503.2;992;t
US-KS;afiinct992;p0p100;1964;234319.3;992;t
US-KS;afiinct992;p0p100;1965;251705.5;992;t
US-KS;afiinct992;p0p100;1966;238249.9;992;t
US-KS;afiinct992;p0p100;1967;266280.3;992;t
US-KS;afiinct992;p0p100;1968;264082.6;992;t
US-KS;afiinct992;p0p100;1969;255704.7;992;t
US-KS;afiinct992;p0p100;1970;252190.7;992;t
US-KS;afiinct992;p0p100;1971;267819.4;992;t
US-KS;afiinct992;p0p100;1972;280753.9;992;t
US-KS;afiinct992;p0p100;1973;297432.7;992;t
US-KS;afiinct992;p0p100;1974;301237.8;992;t
US-KS;afiinct992;p0p100;1975;292983.9;992;t
US-KS;afiinct992;p0p100;1976;274115.7;992;t
US-KS;afiinct992;p0p100;1977;292891.3;992;t
US-KS;afiinct992;p0p100;1978;301942.5;992;t
US-KS;afiinct992;p0p100;1979;310081.7;992;t
US-KS;afiinct992;p0p100;1980;306549.3;992;t
US-KS;afiinct992;p0p100;1981;302431;992;t
US-KS;afiinct992;p0p100;1982;297499.7;992;t
US-KS;afiinct992;p0p100;1983;294376.5;992;t
US-KS;afiinct992;p0p100;1984;304815.2;992;t
US-KS;afiinct992;p0p100;1985;324522.2;992;t
US-KS;afiinct992;p0p100;1986;347663.2;992;t
US-KS;afiinct992;p0p100;1987;328129;992;t
US-KS;afiinct992;p0p100;1988;363181.1;992;t
US-KS;afiinct992;p0p100;1989;367675.8;992;t
US-KS;afiinct992;p0p100;1990;362839.3;992;t
US-KS;afiinct992;p0p100;1991;359493.8;992;t
US-KS;afiinct992;p0p100;1992;378894.5;992;t
US-KS;afiinct992;p0p100;1993;368401.1;992;t
US-KS;afiinct992;p0p100;1994;382448.7;992;t
US-KS;afiinct992;p0p100;1995;411733.3;992;t
US-KS;afiinct992;p0p100;1996;441994.4;992;t
US-KS;afiinct992;p0p100;1997;486461;992;t
US-KS;afiinct992;p0p100;1998;510001.3;992;t
US-KS;afiinct992;p0p100;1999;535421.3;992;t
US-KS;afiinct992;p0p100;2000;548559.3;992;t
US-KS;afiinct992;p0p100;2001;496701;992;t
US-KS;afiinct992;p0p100;2002;449807.2;992;t
US-KS;afiinct992;p0p100;2003;456558.1;992;t
US-KS;afiinct992;p0p100;2004;485336.6;992;t
US-KS;afiinct992;p0p100;2005;528956.2000000001;992;t
US-KS;afiinct992;p0p100;2006;567303.9;992;t
US-KS;afiinct992;p0p100;2007;588059;992;t
US-KS;afiinct992;p0p100;2008;549616.5;992;t
US-KS;afiinct992;p0p100;2009;487399.2;992;t
US-KS;afiinct992;p0p100;2010;510582.3;992;t
US-KS;afiinct992;p0p100;2011;526444;992;t
US-KS;afiinct992;p0p100;2012;594929.8;992;t
US-KS;afiinct992;p0p100;2013;556213.2000000001;992;t
US-KS;afiinct992;p0p100;2014;595179;992;t
US-KS;afiinct992;p0p100;2015;593527.9;992;t
US-KS;afiinct992;p0p100;2016;568490.7000000001;992;t
US-KS;afiinct992;p0p100;2017;573199.8;992;t
US-KS;afiinct992;p0p100;2018;604987.5;992;t
US-KS;npopult992;p0p100;1917;739905;992;t
US-KS;npopult992;p0p100;1918;734438;992;t
US-KS;npopult992;p0p100;1919;738622;992;t
US-KS;npopult992;p0p100;1920;747168;992;t
US-KS;npopult992;p0p100;1921;757006;992;t
