country;variable;percentile;year;value;age;pop
US-KY;afiinct992;p0p90;1917;8309.8;992;t
US-KY;afiinct992;p0p90;1918;7415.1;992;t
US-KY;afiinct992;p0p90;1919;7207;992;t
US-KY;afiinct992;p0p90;1920;6217.3;992;t
US-KY;afiinct992;p0p90;1921;5546.8;992;t
US-KY;afiinct992;p0p90;1922;6443.7;992;t
US-KY;afiinct992;p0p90;1923;7420.2;992;t
US-KY;afiinct992;p0p90;1924;6756.5;992;t
US-KY;afiinct992;p0p90;1925;7681.4;992;t
US-KY;afiinct992;p0p90;1926;7836.9;992;t
US-KY;afiinct992;p0p90;1927;7745.9;992;t
US-KY;afiinct992;p0p90;1928;7757;992;t
US-KY;afiinct992;p0p90;1929;8019.6;992;t
US-KY;afiinct992;p0p90;1930;6496.2;992;t
US-KY;afiinct992;p0p90;1931;6002.2;992;t
US-KY;afiinct992;p0p90;1932;4323.5;992;t
US-KY;afiinct992;p0p90;1933;4500.6;992;t
US-KY;afiinct992;p0p90;1934;4914.9;992;t
US-KY;afiinct992;p0p90;1935;5826.4;992;t
US-KY;afiinct992;p0p90;1936;6203.7;992;t
US-KY;afiinct992;p0p90;1937;7565.1;992;t
US-KY;afiinct992;p0p90;1938;6173;992;t
US-KY;afiinct992;p0p90;1939;6320.1;992;t
US-KY;afiinct992;p0p90;1940;5453.6;992;t
US-KY;afiinct992;p0p90;1941;6900.5;992;t
US-KY;afiinct992;p0p90;1942;10146.1;992;t
US-KY;afiinct992;p0p90;1943;12504.2;992;t
US-KY;afiinct992;p0p90;1944;13837.2;992;t
US-KY;afiinct992;p0p90;1945;12693.1;992;t
US-KY;afiinct992;p0p90;1946;12009.1;992;t
US-KY;afiinct992;p0p90;1947;11716.7;992;t
US-KY;afiinct992;p0p90;1948;13574.2;992;t
US-KY;afiinct992;p0p90;1949;12604.5;992;t
US-KY;afiinct992;p0p90;1950;13419.3;992;t
US-KY;afiinct992;p0p90;1952;15763.9;992;t
US-KY;afiinct992;p0p90;1953;16514.3;992;t
US-KY;afiinct992;p0p90;1954;15347.1;992;t
US-KY;afiinct992;p0p90;1955;16311.9;992;t
US-KY;afiinct992;p0p90;1956;17482.8;992;t
US-KY;afiinct992;p0p90;1957;16803.9;992;t
US-KY;afiinct992;p0p90;1958;17418.7;992;t
US-KY;afiinct992;p0p90;1959;18589.2;992;t
US-KY;afiinct992;p0p90;1960;18891.1;992;t
US-KY;afiinct992;p0p90;1961;19268.4;992;t
US-KY;afiinct992;p0p90;1962;20342.2;992;t
US-KY;afiinct992;p0p90;1963;20950.5;992;t
US-KY;afiinct992;p0p90;1964;20912;992;t
US-KY;afiinct992;p0p90;1965;22182.2;992;t
US-KY;afiinct992;p0p90;1966;23752.5;992;t
US-KY;afiinct992;p0p90;1967;24969.9;992;t
US-KY;afiinct992;p0p90;1968;26124.7;992;t
US-KY;afiinct992;p0p90;1969;27073.7;992;t
US-KY;afiinct992;p0p90;1970;26976.7;992;t
US-KY;afiinct992;p0p90;1971;26929;992;t
US-KY;afiinct992;p0p90;1972;28093.9;992;t
US-KY;afiinct992;p0p90;1973;29053.4;992;t
US-KY;afiinct992;p0p90;1974;28878.7;992;t
US-KY;afiinct992;p0p90;1975;26747.9;992;t
US-KY;afiinct992;p0p90;1976;29212.5;992;t
US-KY;afiinct992;p0p90;1977;30291.8;992;t
US-KY;afiinct992;p0p90;1978;30813.7;992;t
US-KY;afiinct992;p0p90;1979;31743.6;992;t
US-KY;afiinct992;p0p90;1980;29972.8;992;t
US-KY;afiinct992;p0p90;1981;29030.8;992;t
US-KY;afiinct992;p0p90;1982;29726.5;992;t
US-KY;afiinct992;p0p90;1983;28558.7;992;t
US-KY;afiinct992;p0p90;1984;30329.5;992;t
US-KY;afiinct992;p0p90;1985;29681.9;992;t
US-KY;afiinct992;p0p90;1986;28714.3;992;t
US-KY;afiinct992;p0p90;1987;28205.8;992;t
US-KY;afiinct992;p0p90;1988;30384.6;992;t
US-KY;afiinct992;p0p90;1989;30201.6;992;t
US-KY;afiinct992;p0p90;1990;30297.5;992;t
US-KY;afiinct992;p0p90;1991;30357.3;992;t
US-KY;afiinct992;p0p90;1992;30764.3;992;t
US-KY;afiinct992;p0p90;1993;29402.2;992;t
US-KY;afiinct992;p0p90;1994;30360.5;992;t
US-KY;afiinct992;p0p90;1995;30891.8;992;t
US-KY;afiinct992;p0p90;1996;32737.7;992;t
US-KY;afiinct992;p0p90;1997;33512.5;992;t
US-KY;afiinct992;p0p90;1998;34430.9;992;t
US-KY;afiinct992;p0p90;1999;36594.9;992;t
US-KY;afiinct992;p0p90;2000;39508.1;992;t
US-KY;afiinct992;p0p90;2001;36720;992;t
US-KY;afiinct992;p0p90;2002;34811.1;992;t
US-KY;afiinct992;p0p90;2003;33456;992;t
US-KY;afiinct992;p0p90;2004;35850.1;992;t
US-KY;afiinct992;p0p90;2005;36127.5;992;t
US-KY;afiinct992;p0p90;2006;35655.6;992;t
US-KY;afiinct992;p0p90;2007;37356.3;992;t
US-KY;afiinct992;p0p90;2008;33959.6;992;t
US-KY;afiinct992;p0p90;2009;31266.4;992;t
US-KY;afiinct992;p0p90;2010;31228.8;992;t
US-KY;afiinct992;p0p90;2011;31550.3;992;t
US-KY;afiinct992;p0p90;2012;33358.2;992;t
US-KY;afiinct992;p0p90;2013;32550.3;992;t
US-KY;afiinct992;p0p90;2014;32170.2;992;t
US-KY;afiinct992;p0p90;2015;33133.1;992;t
US-KY;afiinct992;p0p90;2016;31407.5;992;t
US-KY;afiinct992;p0p90;2017;33378.6;992;t
US-KY;afiinct992;p0p90;2018;33067.9;992;t
US-KY;afiinct992;p0p99;1917;9690.7;992;t
US-KY;afiinct992;p0p99;1918;8995.6;992;t
US-KY;afiinct992;p0p99;1919;9059.1;992;t
US-KY;afiinct992;p0p99;1920;7969.5;992;t
US-KY;afiinct992;p0p99;1921;7267.8;992;t
US-KY;afiinct992;p0p99;1922;8223.3;992;t
US-KY;afiinct992;p0p99;1923;9050.9;992;t
US-KY;afiinct992;p0p99;1924;8780.9;992;t
US-KY;afiinct992;p0p99;1925;9015.9;992;t
US-KY;afiinct992;p0p99;1926;8949.6;992;t
US-KY;afiinct992;p0p99;1927;8873.8;992;t
US-KY;afiinct992;p0p99;1928;9010.6;992;t
US-KY;afiinct992;p0p99;1929;9197.1;992;t
US-KY;afiinct992;p0p99;1930;7802.7;992;t
US-KY;afiinct992;p0p99;1931;7450.6;992;t
US-KY;afiinct992;p0p99;1932;5982.9;992;t
US-KY;afiinct992;p0p99;1933;6059.3;992;t
US-KY;afiinct992;p0p99;1934;6509.7;992;t
US-KY;afiinct992;p0p99;1935;7418.4;992;t
US-KY;afiinct992;p0p99;1936;7863.5;992;t
US-KY;afiinct992;p0p99;1937;9116.8;992;t
US-KY;afiinct992;p0p99;1938;7930.9;992;t
US-KY;afiinct992;p0p99;1939;8229.4;992;t
US-KY;afiinct992;p0p99;1940;8483.1;992;t
US-KY;afiinct992;p0p99;1941;10036.9;992;t
US-KY;afiinct992;p0p99;1942;13043;992;t
US-KY;afiinct992;p0p99;1943;16020.2;992;t
US-KY;afiinct992;p0p99;1944;15918.3;992;t
US-KY;afiinct992;p0p99;1945;15783.8;992;t
US-KY;afiinct992;p0p99;1946;15421.5;992;t
US-KY;afiinct992;p0p99;1947;15239.8;992;t
US-KY;afiinct992;p0p99;1948;17057.1;992;t
US-KY;afiinct992;p0p99;1949;16084.4;992;t
US-KY;afiinct992;p0p99;1950;17316.9;992;t
US-KY;afiinct992;p0p99;1951;14185.5;992;t
US-KY;afiinct992;p0p99;1952;20236.1;992;t
US-KY;afiinct992;p0p99;1953;21081.6;992;t
US-KY;afiinct992;p0p99;1954;20238.4;992;t
US-KY;afiinct992;p0p99;1955;21261.5;992;t
US-KY;afiinct992;p0p99;1956;21822;992;t
US-KY;afiinct992;p0p99;1957;21524.2;992;t
US-KY;afiinct992;p0p99;1958;22099;992;t
US-KY;afiinct992;p0p99;1959;23556.5;992;t
US-KY;afiinct992;p0p99;1960;23753.6;992;t
US-KY;afiinct992;p0p99;1961;24443.8;992;t
US-KY;afiinct992;p0p99;1962;25522.3;992;t
US-KY;afiinct992;p0p99;1963;26428.4;992;t
US-KY;afiinct992;p0p99;1964;26795.4;992;t
US-KY;afiinct992;p0p99;1965;28258.6;992;t
US-KY;afiinct992;p0p99;1966;29979.1;992;t
US-KY;afiinct992;p0p99;1967;31466.3;992;t
