country;variable;percentile;year;value;age;pop
US-LA;afiinct992;p0p90;1917;8397.3;992;t
US-LA;afiinct992;p0p90;1918;8381;992;t
US-LA;afiinct992;p0p90;1919;7765.3;992;t
US-LA;afiinct992;p0p90;1920;6144.5;992;t
US-LA;afiinct992;p0p90;1921;5219;992;t
US-LA;afiinct992;p0p90;1922;6162;992;t
US-LA;afiinct992;p0p90;1923;7199.9;992;t
US-LA;afiinct992;p0p90;1924;6883.4;992;t
US-LA;afiinct992;p0p90;1925;7228.2;992;t
US-LA;afiinct992;p0p90;1926;7437.9;992;t
US-LA;afiinct992;p0p90;1927;7649.1;992;t
US-LA;afiinct992;p0p90;1928;7912.7;992;t
US-LA;afiinct992;p0p90;1929;8486.9;992;t
US-LA;afiinct992;p0p90;1930;6814.2;992;t
US-LA;afiinct992;p0p90;1931;6232.8;992;t
US-LA;afiinct992;p0p90;1932;4904.6;992;t
US-LA;afiinct992;p0p90;1933;4959;992;t
US-LA;afiinct992;p0p90;1934;5529.9;992;t
US-LA;afiinct992;p0p90;1935;6183.1;992;t
US-LA;afiinct992;p0p90;1936;6571.1;992;t
US-LA;afiinct992;p0p90;1937;6648.5;992;t
US-LA;afiinct992;p0p90;1938;6504.9;992;t
US-LA;afiinct992;p0p90;1939;6592.3;992;t
US-LA;afiinct992;p0p90;1940;5823.3;992;t
US-LA;afiinct992;p0p90;1941;8683;992;t
US-LA;afiinct992;p0p90;1942;12341.1;992;t
US-LA;afiinct992;p0p90;1943;16815;992;t
US-LA;afiinct992;p0p90;1944;17193.8;992;t
US-LA;afiinct992;p0p90;1945;15144.4;992;t
US-LA;afiinct992;p0p90;1946;12417.3;992;t
US-LA;afiinct992;p0p90;1947;12521.5;992;t
US-LA;afiinct992;p0p90;1948;13022;992;t
US-LA;afiinct992;p0p90;1949;13547.2;992;t
US-LA;afiinct992;p0p90;1950;14384;992;t
US-LA;afiinct992;p0p90;1952;15930.9;992;t
US-LA;afiinct992;p0p90;1953;17024.7;992;t
US-LA;afiinct992;p0p90;1954;16221.9;992;t
US-LA;afiinct992;p0p90;1955;17461.1;992;t
US-LA;afiinct992;p0p90;1956;18953.7;992;t
US-LA;afiinct992;p0p90;1957;20014.9;992;t
US-LA;afiinct992;p0p90;1958;19784.2;992;t
US-LA;afiinct992;p0p90;1959;19496.7;992;t
US-LA;afiinct992;p0p90;1960;19704.1;992;t
US-LA;afiinct992;p0p90;1961;20116.2;992;t
US-LA;afiinct992;p0p90;1962;20475.1;992;t
US-LA;afiinct992;p0p90;1963;21476.2;992;t
US-LA;afiinct992;p0p90;1964;22259.6;992;t
US-LA;afiinct992;p0p90;1965;23194.9;992;t
US-LA;afiinct992;p0p90;1966;24962.8;992;t
US-LA;afiinct992;p0p90;1967;27117.9;992;t
US-LA;afiinct992;p0p90;1968;28792.3;992;t
US-LA;afiinct992;p0p90;1969;27750.3;992;t
US-LA;afiinct992;p0p90;1970;28074.3;992;t
US-LA;afiinct992;p0p90;1971;27686.9;992;t
US-LA;afiinct992;p0p90;1972;28508.8;992;t
US-LA;afiinct992;p0p90;1973;29281;992;t
US-LA;afiinct992;p0p90;1974;29509.4;992;t
US-LA;afiinct992;p0p90;1975;28808.6;992;t
US-LA;afiinct992;p0p90;1976;30547.7;992;t
US-LA;afiinct992;p0p90;1977;31158.5;992;t
US-LA;afiinct992;p0p90;1978;32771.3;992;t
US-LA;afiinct992;p0p90;1979;33023.6;992;t
US-LA;afiinct992;p0p90;1980;34132;992;t
US-LA;afiinct992;p0p90;1981;34581.2;992;t
US-LA;afiinct992;p0p90;1982;31425.4;992;t
US-LA;afiinct992;p0p90;1983;31354.5;992;t
US-LA;afiinct992;p0p90;1984;30517.7;992;t
US-LA;afiinct992;p0p90;1985;30898.6;992;t
US-LA;afiinct992;p0p90;1986;30449.1;992;t
US-LA;afiinct992;p0p90;1987;28761.4;992;t
US-LA;afiinct992;p0p90;1988;29783.1;992;t
US-LA;afiinct992;p0p90;1989;29534;992;t
US-LA;afiinct992;p0p90;1990;31341.4;992;t
US-LA;afiinct992;p0p90;1991;30077;992;t
US-LA;afiinct992;p0p90;1992;30266.9;992;t
US-LA;afiinct992;p0p90;1993;29592;992;t
US-LA;afiinct992;p0p90;1994;30358.1;992;t
US-LA;afiinct992;p0p90;1995;30813.1;992;t
US-LA;afiinct992;p0p90;1996;30223.5;992;t
US-LA;afiinct992;p0p90;1997;32320.1;992;t
US-LA;afiinct992;p0p90;1998;33761.8;992;t
US-LA;afiinct992;p0p90;1999;35899.9;992;t
US-LA;afiinct992;p0p90;2000;38345.7;992;t
US-LA;afiinct992;p0p90;2001;37004.6;992;t
US-LA;afiinct992;p0p90;2002;36561;992;t
US-LA;afiinct992;p0p90;2003;35745.3;992;t
US-LA;afiinct992;p0p90;2004;36502.5;992;t
US-LA;afiinct992;p0p90;2005;36525.8;992;t
US-LA;afiinct992;p0p90;2006;37413.7;992;t
US-LA;afiinct992;p0p90;2007;47872.6;992;t
US-LA;afiinct992;p0p90;2008;36788.9;992;t
US-LA;afiinct992;p0p90;2009;38069.1;992;t
US-LA;afiinct992;p0p90;2010;40527.3;992;t
US-LA;afiinct992;p0p90;2011;38910.3;992;t
US-LA;afiinct992;p0p90;2012;36617.3;992;t
US-LA;afiinct992;p0p90;2013;35948.3;992;t
US-LA;afiinct992;p0p90;2014;37883.4;992;t
US-LA;afiinct992;p0p90;2015;38324.7;992;t
US-LA;afiinct992;p0p90;2016;33884.2;992;t
US-LA;afiinct992;p0p90;2017;35650.3;992;t
US-LA;afiinct992;p0p90;2018;37131.5;992;t
US-LA;afiinct992;p0p99;1917;10384.7;992;t
US-LA;afiinct992;p0p99;1918;9929.7;992;t
US-LA;afiinct992;p0p99;1919;9741.8;992;t
US-LA;afiinct992;p0p99;1920;8532.8;992;t
US-LA;afiinct992;p0p99;1921;7747.1;992;t
US-LA;afiinct992;p0p99;1922;8801.4;992;t
US-LA;afiinct992;p0p99;1923;9717.9;992;t
US-LA;afiinct992;p0p99;1924;9441.8;992;t
US-LA;afiinct992;p0p99;1925;9523.3;992;t
US-LA;afiinct992;p0p99;1926;9550.3;992;t
US-LA;afiinct992;p0p99;1927;9624.4;992;t
US-LA;afiinct992;p0p99;1928;9868.4;992;t
US-LA;afiinct992;p0p99;1929;10247.3;992;t
US-LA;afiinct992;p0p99;1930;8767;992;t
US-LA;afiinct992;p0p99;1931;8301.1;992;t
US-LA;afiinct992;p0p99;1932;7008.8;992;t
US-LA;afiinct992;p0p99;1933;6900;992;t
US-LA;afiinct992;p0p99;1934;7555.5;992;t
US-LA;afiinct992;p0p99;1935;8176.7;992;t
US-LA;afiinct992;p0p99;1936;8577.4;992;t
US-LA;afiinct992;p0p99;1937;8943.7;992;t
US-LA;afiinct992;p0p99;1938;9017;992;t
US-LA;afiinct992;p0p99;1939;9357.1;992;t
US-LA;afiinct992;p0p99;1940;9258.5;992;t
US-LA;afiinct992;p0p99;1941;11877.3;992;t
US-LA;afiinct992;p0p99;1942;15276.8;992;t
US-LA;afiinct992;p0p99;1943;19806.3;992;t
US-LA;afiinct992;p0p99;1944;19753.7;992;t
US-LA;afiinct992;p0p99;1945;18475.5;992;t
US-LA;afiinct992;p0p99;1946;16063.7;992;t
US-LA;afiinct992;p0p99;1947;15846.7;992;t
US-LA;afiinct992;p0p99;1948;16850.9;992;t
US-LA;afiinct992;p0p99;1949;17465.7;992;t
US-LA;afiinct992;p0p99;1950;18528.6;992;t
US-LA;afiinct992;p0p99;1951;14378.9;992;t
US-LA;afiinct992;p0p99;1952;20788.3;992;t
US-LA;afiinct992;p0p99;1953;21966.5;992;t
US-LA;afiinct992;p0p99;1954;21342.4;992;t
US-LA;afiinct992;p0p99;1955;22250.6;992;t
US-LA;afiinct992;p0p99;1956;23835.9;992;t
US-LA;afiinct992;p0p99;1957;25248;992;t
US-LA;afiinct992;p0p99;1958;24834.9;992;t
US-LA;afiinct992;p0p99;1959;25076.4;992;t
US-LA;afiinct992;p0p99;1960;25106.1;992;t
US-LA;afiinct992;p0p99;1961;25696.3;992;t
US-LA;afiinct992;p0p99;1962;26144.8;992;t
US-LA;afiinct992;p0p99;1963;27439.5;992;t
US-LA;afiinct992;p0p99;1964;28594.8;992;t
US-LA;afiinct992;p0p99;1965;29881.4;992;t
US-LA;afiinct992;p0p99;1966;31999.5;992;t
US-LA;afiinct992;p0p99;1967;34272.4;992;t
US-LA;afiinct992;p0p99;1968;35947.9;992;t
US-LA;afiinct992;p0p99;1969;34899.1;992;t
US-LA;afiinct992;p0p99;1970;35046.6;992;t
US-LA;afiinct992;p0p99;1971;35126.2;992;t
US-LA;afiinct992;p0p99;1972;36053.7;992;t
US-LA;afiinct992;p0p99;1973;36887.2;992;t
US-LA;afiinct992;p0p99;1974;37561.5;992;t
US-LA;afiinct992;p0p99;1975;36689.8;992;t
US-LA;afiinct992;p0p99;1976;38931.1;992;t
US-LA;afiinct992;p0p99;1977;39575.5;992;t
US-LA;afiinct992;p0p99;1978;41357.2;992;t
US-LA;afiinct992;p0p99;1979;41739.1;992;t
US-LA;afiinct992;p0p99;1980;43228.2;992;t
US-LA;afiinct992;p0p99;1981;43613.2;992;t
US-LA;afiinct992;p0p99;1982;40681.7;992;t
US-LA;afiinct992;p0p99;1983;40482.4;992;t
US-LA;afiinct992;p0p99;1984;39553.9;992;t
US-LA;afiinct992;p0p99;1985;40028.8;992;t
US-LA;afiinct992;p0p99;1986;39331.9;992;t
US-LA;afiinct992;p0p99;1987;37236.3;992;t
US-LA;afiinct992;p0p99;1988;38120.1;992;t
US-LA;afiinct992;p0p99;1989;38214.5;992;t
US-LA;afiinct992;p0p99;1990;40651.5;992;t
US-LA;afiinct992;p0p99;1991;39646.8;992;t
