country;variable;percentile;year;value;age;pop
US-MA;afiinct992;p0p90;1917;15002;992;t
US-MA;afiinct992;p0p90;1918;13871.1;992;t
US-MA;afiinct992;p0p90;1919;13801.2;992;t
US-MA;afiinct992;p0p90;1920;15209.9;992;t
US-MA;afiinct992;p0p90;1921;12896.4;992;t
US-MA;afiinct992;p0p90;1922;14143.2;992;t
US-MA;afiinct992;p0p90;1923;16015.6;992;t
US-MA;afiinct992;p0p90;1924;15642.7;992;t
US-MA;afiinct992;p0p90;1925;14826.9;992;t
US-MA;afiinct992;p0p90;1926;14565.2;992;t
US-MA;afiinct992;p0p90;1927;13790.9;992;t
US-MA;afiinct992;p0p90;1928;12802.5;992;t
US-MA;afiinct992;p0p90;1929;13142.1;992;t
US-MA;afiinct992;p0p90;1930;13016.6;992;t
US-MA;afiinct992;p0p90;1931;12593.4;992;t
US-MA;afiinct992;p0p90;1932;11933.3;992;t
US-MA;afiinct992;p0p90;1933;11332.8;992;t
US-MA;afiinct992;p0p90;1934;11987.1;992;t
US-MA;afiinct992;p0p90;1935;12549.5;992;t
US-MA;afiinct992;p0p90;1936;13654.9;992;t
US-MA;afiinct992;p0p90;1937;13798.9;992;t
US-MA;afiinct992;p0p90;1938;13438.2;992;t
US-MA;afiinct992;p0p90;1939;14219.2;992;t
US-MA;afiinct992;p0p90;1940;15221.7;992;t
US-MA;afiinct992;p0p90;1941;17863.3;992;t
US-MA;afiinct992;p0p90;1942;20664;992;t
US-MA;afiinct992;p0p90;1943;23827.2;992;t
US-MA;afiinct992;p0p90;1944;22987.1;992;t
US-MA;afiinct992;p0p90;1945;22305.5;992;t
US-MA;afiinct992;p0p90;1946;21764.3;992;t
US-MA;afiinct992;p0p90;1947;21524.1;992;t
US-MA;afiinct992;p0p90;1948;21844.7;992;t
US-MA;afiinct992;p0p90;1949;21361.6;992;t
US-MA;afiinct992;p0p90;1950;23626.1;992;t
US-MA;afiinct992;p0p90;1952;24243.1;992;t
US-MA;afiinct992;p0p90;1953;25807.5;992;t
US-MA;afiinct992;p0p90;1954;25861.5;992;t
US-MA;afiinct992;p0p90;1955;26214.6;992;t
US-MA;afiinct992;p0p90;1956;27560.1;992;t
US-MA;afiinct992;p0p90;1957;27515.9;992;t
US-MA;afiinct992;p0p90;1958;26604.5;992;t
US-MA;afiinct992;p0p90;1959;28227.5;992;t
US-MA;afiinct992;p0p90;1960;28396.4;992;t
US-MA;afiinct992;p0p90;1961;29856.5;992;t
US-MA;afiinct992;p0p90;1962;30637;992;t
US-MA;afiinct992;p0p90;1963;31147.2;992;t
US-MA;afiinct992;p0p90;1964;32569.2;992;t
US-MA;afiinct992;p0p90;1965;33540;992;t
US-MA;afiinct992;p0p90;1966;34845;992;t
US-MA;afiinct992;p0p90;1967;36545.3;992;t
US-MA;afiinct992;p0p90;1968;37449.8;992;t
US-MA;afiinct992;p0p90;1969;37921.7;992;t
US-MA;afiinct992;p0p90;1970;38419.9;992;t
US-MA;afiinct992;p0p90;1971;37586.5;992;t
US-MA;afiinct992;p0p90;1972;38257;992;t
US-MA;afiinct992;p0p90;1973;38055.9;992;t
US-MA;afiinct992;p0p90;1974;36610.3;992;t
US-MA;afiinct992;p0p90;1975;33075.4;992;t
US-MA;afiinct992;p0p90;1976;33800.4;992;t
US-MA;afiinct992;p0p90;1977;33873;992;t
US-MA;afiinct992;p0p90;1978;34190.3;992;t
US-MA;afiinct992;p0p90;1979;34142.5;992;t
US-MA;afiinct992;p0p90;1980;34454;992;t
US-MA;afiinct992;p0p90;1981;33222.4;992;t
US-MA;afiinct992;p0p90;1982;33507.7;992;t
US-MA;afiinct992;p0p90;1983;35981.8;992;t
US-MA;afiinct992;p0p90;1984;38229.2;992;t
US-MA;afiinct992;p0p90;1985;39405.5;992;t
US-MA;afiinct992;p0p90;1986;40740.4;992;t
US-MA;afiinct992;p0p90;1987;42665.8;992;t
US-MA;afiinct992;p0p90;1988;45413.9;992;t
US-MA;afiinct992;p0p90;1989;44710.4;992;t
US-MA;afiinct992;p0p90;1990;41672.7;992;t
US-MA;afiinct992;p0p90;1991;39589.4;992;t
US-MA;afiinct992;p0p90;1992;39405.7;992;t
US-MA;afiinct992;p0p90;1993;39509.2;992;t
US-MA;afiinct992;p0p90;1994;40278.6;992;t
US-MA;afiinct992;p0p90;1995;40269.3;992;t
US-MA;afiinct992;p0p90;1996;41419.5;992;t
US-MA;afiinct992;p0p90;1997;42089.8;992;t
US-MA;afiinct992;p0p90;1998;42578.4;992;t
US-MA;afiinct992;p0p90;1999;44601.5;992;t
US-MA;afiinct992;p0p90;2000;40469.5;992;t
US-MA;afiinct992;p0p90;2001;46665.3;992;t
US-MA;afiinct992;p0p90;2002;45589.8;992;t
US-MA;afiinct992;p0p90;2003;43861.7;992;t
US-MA;afiinct992;p0p90;2004;45959.1;992;t
US-MA;afiinct992;p0p90;2005;47060;992;t
US-MA;afiinct992;p0p90;2006;49164.1;992;t
US-MA;afiinct992;p0p90;2007;49312.1;992;t
US-MA;afiinct992;p0p90;2008;49371.8;992;t
US-MA;afiinct992;p0p90;2009;48543.2;992;t
US-MA;afiinct992;p0p90;2010;47062.6;992;t
US-MA;afiinct992;p0p90;2011;45973.9;992;t
US-MA;afiinct992;p0p90;2012;46620;992;t
US-MA;afiinct992;p0p90;2013;47983.4;992;t
US-MA;afiinct992;p0p90;2014;45519.5;992;t
US-MA;afiinct992;p0p90;2015;47413;992;t
US-MA;afiinct992;p0p90;2016;46310.1;992;t
US-MA;afiinct992;p0p90;2017;47301.1;992;t
US-MA;afiinct992;p0p90;2018;48489.7;992;t
US-MA;afiinct992;p0p99;1917;18602.9;992;t
US-MA;afiinct992;p0p99;1918;17686.2;992;t
US-MA;afiinct992;p0p99;1919;17501.6;992;t
US-MA;afiinct992;p0p99;1920;18438;992;t
