country;variable;percentile;year;value;age;pop
US-ME;afiinct992;p0p90;1917;10833.2;992;t
US-ME;afiinct992;p0p90;1918;9931.9;992;t
US-ME;afiinct992;p0p90;1919;9615.4;992;t
US-ME;afiinct992;p0p90;1920;9256.9;992;t
US-ME;afiinct992;p0p90;1921;8198.7;992;t
US-ME;afiinct992;p0p90;1922;9264.4;992;t
US-ME;afiinct992;p0p90;1923;10582.6;992;t
US-ME;afiinct992;p0p90;1924;10141.9;992;t
US-ME;afiinct992;p0p90;1925;11279.4;992;t
US-ME;afiinct992;p0p90;1926;10531;992;t
US-ME;afiinct992;p0p90;1927;10653.2;992;t
US-ME;afiinct992;p0p90;1928;10664.5;992;t
US-ME;afiinct992;p0p90;1929;10616.4;992;t
US-ME;afiinct992;p0p90;1930;10588.4;992;t
US-ME;afiinct992;p0p90;1931;9132;992;t
US-ME;afiinct992;p0p90;1932;7693.3;992;t
US-ME;afiinct992;p0p90;1933;8503;992;t
US-ME;afiinct992;p0p90;1934;9224.8;992;t
US-ME;afiinct992;p0p90;1935;9543.6;992;t
US-ME;afiinct992;p0p90;1936;10948.7;992;t
US-ME;afiinct992;p0p90;1937;10573.2;992;t
US-ME;afiinct992;p0p90;1938;8643.3;992;t
US-ME;afiinct992;p0p90;1939;10374.5;992;t
US-ME;afiinct992;p0p90;1940;10174.7;992;t
US-ME;afiinct992;p0p90;1941;12099.2;992;t
US-ME;afiinct992;p0p90;1942;16369.4;992;t
US-ME;afiinct992;p0p90;1943;20519.1;992;t
US-ME;afiinct992;p0p90;1944;19409.7;992;t
US-ME;afiinct992;p0p90;1945;17489.7;992;t
US-ME;afiinct992;p0p90;1946;17324;992;t
US-ME;afiinct992;p0p90;1947;17235.6;992;t
US-ME;afiinct992;p0p90;1948;18139.8;992;t
US-ME;afiinct992;p0p90;1949;17776.6;992;t
US-ME;afiinct992;p0p90;1950;17406.5;992;t
US-ME;afiinct992;p0p90;1952;19549.4;992;t
US-ME;afiinct992;p0p90;1953;19165.7;992;t
US-ME;afiinct992;p0p90;1954;18909.8;992;t
US-ME;afiinct992;p0p90;1955;21643.5;992;t
US-ME;afiinct992;p0p90;1956;22607.7;992;t
US-ME;afiinct992;p0p90;1957;21756.9;992;t
US-ME;afiinct992;p0p90;1958;21855.9;992;t
US-ME;afiinct992;p0p90;1959;23436.9;992;t
US-ME;afiinct992;p0p90;1960;24547.2;992;t
US-ME;afiinct992;p0p90;1961;23938.7;992;t
US-ME;afiinct992;p0p90;1962;24306.9;992;t
US-ME;afiinct992;p0p90;1963;24738.2;992;t
