country;variable;percentile;year;value;age;pop
US-MI;afiinct992;p0p90;1917;13953.3;992;t
US-MI;afiinct992;p0p90;1918;13867.6;992;t
US-MI;afiinct992;p0p90;1919;12462.7;992;t
US-MI;afiinct992;p0p90;1920;12714.6;992;t
US-MI;afiinct992;p0p90;1921;8673.5;992;t
US-MI;afiinct992;p0p90;1922;9749.3;992;t
US-MI;afiinct992;p0p90;1923;11241.3;992;t
US-MI;afiinct992;p0p90;1924;11082.3;992;t
US-MI;afiinct992;p0p90;1925;10921.7;992;t
US-MI;afiinct992;p0p90;1926;11619.2;992;t
US-MI;afiinct992;p0p90;1927;11750.2;992;t
US-MI;afiinct992;p0p90;1928;12324.8;992;t
US-MI;afiinct992;p0p90;1929;13999.6;992;t
US-MI;afiinct992;p0p90;1930;12112.6;992;t
US-MI;afiinct992;p0p90;1931;10230.1;992;t
US-MI;afiinct992;p0p90;1932;8222.6;992;t
US-MI;afiinct992;p0p90;1933;7498.7;992;t
US-MI;afiinct992;p0p90;1934;9316.7;992;t
US-MI;afiinct992;p0p90;1935;10462.6;992;t
US-MI;afiinct992;p0p90;1936;10915;992;t
US-MI;afiinct992;p0p90;1937;12659.1;992;t
US-MI;afiinct992;p0p90;1938;10223.8;992;t
US-MI;afiinct992;p0p90;1939;11616.2;992;t
US-MI;afiinct992;p0p90;1940;12546.2;992;t
US-MI;afiinct992;p0p90;1941;15364.2;992;t
US-MI;afiinct992;p0p90;1942;18996.4;992;t
US-MI;afiinct992;p0p90;1943;24862;992;t
US-MI;afiinct992;p0p90;1944;23435.5;992;t
US-MI;afiinct992;p0p90;1945;21101.3;992;t
US-MI;afiinct992;p0p90;1946;20547.8;992;t
US-MI;afiinct992;p0p90;1947;23416.5;992;t
US-MI;afiinct992;p0p90;1948;22631.7;992;t
US-MI;afiinct992;p0p90;1949;22077.4;992;t
US-MI;afiinct992;p0p90;1950;24638.7;992;t
US-MI;afiinct992;p0p90;1952;26450.3;992;t
US-MI;afiinct992;p0p90;1953;29373.9;992;t
US-MI;afiinct992;p0p90;1954;27599.3;992;t
US-MI;afiinct992;p0p90;1955;30671.1;992;t
US-MI;afiinct992;p0p90;1956;29672.8;992;t
US-MI;afiinct992;p0p90;1957;29366.6;992;t
US-MI;afiinct992;p0p90;1958;27013.7;992;t
US-MI;afiinct992;p0p90;1959;28987.3;992;t
US-MI;afiinct992;p0p90;1960;29008.1;992;t
US-MI;afiinct992;p0p90;1961;27909.7;992;t
US-MI;afiinct992;p0p90;1962;29108.7;992;t
US-MI;afiinct992;p0p90;1963;30429.1;992;t
US-MI;afiinct992;p0p90;1964;32862.6;992;t
US-MI;afiinct992;p0p90;1965;35294.6;992;t
US-MI;afiinct992;p0p90;1966;37402.5;992;t
US-MI;afiinct992;p0p90;1967;37143.6;992;t
US-MI;afiinct992;p0p90;1968;39347.6;992;t
US-MI;afiinct992;p0p90;1969;39407.2;992;t
US-MI;afiinct992;p0p90;1970;37412.7;992;t
US-MI;afiinct992;p0p90;1971;37282.2;992;t
US-MI;afiinct992;p0p90;1972;39027;992;t
US-MI;afiinct992;p0p90;1973;40304.1;992;t
US-MI;afiinct992;p0p90;1974;37505.9;992;t
US-MI;afiinct992;p0p90;1975;34601.6;992;t
US-MI;afiinct992;p0p90;1976;36731.7;992;t
US-MI;afiinct992;p0p90;1977;38154.1;992;t
US-MI;afiinct992;p0p90;1978;38625.6;992;t
US-MI;afiinct992;p0p90;1979;38046.6;992;t
US-MI;afiinct992;p0p90;1980;34833.5;992;t
US-MI;afiinct992;p0p90;1981;33082.3;992;t
US-MI;afiinct992;p0p90;1982;32160;992;t
US-MI;afiinct992;p0p90;1983;33888.1;992;t
US-MI;afiinct992;p0p90;1984;35754;992;t
US-MI;afiinct992;p0p90;1985;37064.5;992;t
US-MI;afiinct992;p0p90;1986;38891.9;992;t
US-MI;afiinct992;p0p90;1987;36765.6;992;t
US-MI;afiinct992;p0p90;1988;37566.4;992;t
US-MI;afiinct992;p0p90;1989;37524.5;992;t
US-MI;afiinct992;p0p90;1990;37580.5;992;t
US-MI;afiinct992;p0p90;1991;35195;992;t
US-MI;afiinct992;p0p90;1992;35189.8;992;t
US-MI;afiinct992;p0p90;1993;35487.4;992;t
US-MI;afiinct992;p0p90;1994;36964.4;992;t
US-MI;afiinct992;p0p90;1995;38215.9;992;t
US-MI;afiinct992;p0p90;1996;39484.9;992;t
US-MI;afiinct992;p0p90;1997;41791.5;992;t
US-MI;afiinct992;p0p90;1998;42046.8;992;t
US-MI;afiinct992;p0p90;1999;45756.9;992;t
US-MI;afiinct992;p0p90;2000;48861;992;t
US-MI;afiinct992;p0p90;2001;44375.7;992;t
US-MI;afiinct992;p0p90;2002;40086.9;992;t
US-MI;afiinct992;p0p90;2003;39596.7;992;t
US-MI;afiinct992;p0p90;2004;40897.1;992;t
US-MI;afiinct992;p0p90;2005;41821.8;992;t
US-MI;afiinct992;p0p90;2006;40180.9;992;t
US-MI;afiinct992;p0p90;2007;39349.8;992;t
US-MI;afiinct992;p0p90;2008;35817.6;992;t
US-MI;afiinct992;p0p90;2009;31608.9;992;t
US-MI;afiinct992;p0p90;2010;31195.1;992;t
US-MI;afiinct992;p0p90;2011;31837.3;992;t
US-MI;afiinct992;p0p90;2012;32767.8;992;t
US-MI;afiinct992;p0p90;2013;32280.5;992;t
US-MI;afiinct992;p0p90;2014;33563.1;992;t
US-MI;afiinct992;p0p90;2015;35334.1;992;t
US-MI;afiinct992;p0p90;2016;32662.2;992;t
US-MI;afiinct992;p0p90;2017;34605.8;992;t
US-MI;afiinct992;p0p90;2018;35242;992;t
US-MI;afiinct992;p0p99;1917;16361.6;992;t
US-MI;afiinct992;p0p99;1918;15869.4;992;t
US-MI;afiinct992;p0p99;1919;15236.3;992;t
US-MI;afiinct992;p0p99;1920;15064.3;992;t
US-MI;afiinct992;p0p99;1921;11357.7;992;t
US-MI;afiinct992;p0p99;1922;12968;992;t
US-MI;afiinct992;p0p99;1923;14776.8;992;t
US-MI;afiinct992;p0p99;1924;14764.4;992;t
US-MI;afiinct992;p0p99;1925;15065.3;992;t
US-MI;afiinct992;p0p99;1926;15555.8;992;t
US-MI;afiinct992;p0p99;1927;16038.7;992;t
US-MI;afiinct992;p0p99;1928;16478.2;992;t
US-MI;afiinct992;p0p99;1929;17910;992;t
US-MI;afiinct992;p0p99;1930;15363.4;992;t
US-MI;afiinct992;p0p99;1931;13285;992;t
US-MI;afiinct992;p0p99;1932;10869.8;992;t
US-MI;afiinct992;p0p99;1933;9743.2;992;t
US-MI;afiinct992;p0p99;1934;12017.2;992;t
US-MI;afiinct992;p0p99;1935;13555.3;992;t
US-MI;afiinct992;p0p99;1936;15030.4;992;t
US-MI;afiinct992;p0p99;1937;16608.3;992;t
US-MI;afiinct992;p0p99;1938;14110.5;992;t
US-MI;afiinct992;p0p99;1939;15632.8;992;t
US-MI;afiinct992;p0p99;1940;16899.2;992;t
US-MI;afiinct992;p0p99;1941;19872.1;992;t
US-MI;afiinct992;p0p99;1942;23815.4;992;t
US-MI;afiinct992;p0p99;1943;29705.5;992;t
US-MI;afiinct992;p0p99;1944;28348.9;992;t
US-MI;afiinct992;p0p99;1945;25635.4;992;t
