country;variable;percentile;year;value;age;pop
US-MN;afiinct992;p0p100;1917;136214.9;992;t
US-MN;afiinct992;p0p100;1918;129683.5;992;t
US-MN;afiinct992;p0p100;1919;139681.6;992;t
US-MN;afiinct992;p0p100;1920;126218.1;992;t
US-MN;afiinct992;p0p100;1921;113622.8;992;t
US-MN;afiinct992;p0p100;1922;125163.5;992;t
US-MN;afiinct992;p0p100;1923;117300.3;992;t
US-MN;afiinct992;p0p100;1924;114860.9;992;t
US-MN;afiinct992;p0p100;1925;126487.5;992;t
US-MN;afiinct992;p0p100;1926;145453.4;992;t
US-MN;afiinct992;p0p100;1927;147946.5;992;t
US-MN;afiinct992;p0p100;1928;160546.6;992;t
US-MN;afiinct992;p0p100;1929;165124.5;992;t
US-MN;afiinct992;p0p100;1930;144133.5;992;t
US-MN;afiinct992;p0p100;1931;132710.4;992;t
US-MN;afiinct992;p0p100;1932;108523.5;992;t
US-MN;afiinct992;p0p100;1933;104442.3;992;t
US-MN;afiinct992;p0p100;1934;113233.5;992;t
US-MN;afiinct992;p0p100;1935;122390.6;992;t
US-MN;afiinct992;p0p100;1936;150832.5;992;t
US-MN;afiinct992;p0p100;1937;132742.7;992;t
US-MN;afiinct992;p0p100;1938;122292.8;992;t
US-MN;afiinct992;p0p100;1939;131754.1;992;t
US-MN;afiinct992;p0p100;1940;133922.7;992;t
US-MN;afiinct992;p0p100;1941;138000.3;992;t
US-MN;afiinct992;p0p100;1942;141750.8;992;t
US-MN;afiinct992;p0p100;1943;154920;992;t
US-MN;afiinct992;p0p100;1944;139154.9;992;t
US-MN;afiinct992;p0p100;1945;168912.5;992;t
US-MN;afiinct992;p0p100;1946;188941;992;t
US-MN;afiinct992;p0p100;1947;179584.1;992;t
US-MN;afiinct992;p0p100;1948;186501.1;992;t
US-MN;afiinct992;p0p100;1949;166069.8;992;t
US-MN;afiinct992;p0p100;1950;185959.5;992;t
US-MN;afiinct992;p0p100;1951;188635.5;992;t
US-MN;afiinct992;p0p100;1952;171562.7;992;t
US-MN;afiinct992;p0p100;1953;178663.2;992;t
US-MN;afiinct992;p0p100;1954;184877.4;992;t
US-MN;afiinct992;p0p100;1955;208083.2;992;t
US-MN;afiinct992;p0p100;1956;199698;992;t
US-MN;afiinct992;p0p100;1957;189802.1;992;t
US-MN;afiinct992;p0p100;1958;200808.8;992;t
US-MN;afiinct992;p0p100;1959;213519.1;992;t
US-MN;afiinct992;p0p100;1960;208229;992;t
US-MN;afiinct992;p0p100;1961;221716.2;992;t
US-MN;afiinct992;p0p100;1962;214153.3;992;t
US-MN;afiinct992;p0p100;1963;216929;992;t
US-MN;afiinct992;p0p100;1964;246232.2;992;t
US-MN;afiinct992;p0p100;1965;252585.7;992;t
US-MN;afiinct992;p0p100;1966;246276.2;992;t
US-MN;afiinct992;p0p100;1967;280241.7;992;t
US-MN;afiinct992;p0p100;1968;282804.3;992;t
US-MN;afiinct992;p0p100;1969;272284;992;t
US-MN;afiinct992;p0p100;1970;265425.9;992;t
US-MN;afiinct992;p0p100;1971;270142;992;t
US-MN;afiinct992;p0p100;1972;279314.9;992;t
US-MN;afiinct992;p0p100;1973;281434;992;t
US-MN;afiinct992;p0p100;1974;285744.8;992;t
US-MN;afiinct992;p0p100;1975;274245.6;992;t
US-MN;afiinct992;p0p100;1976;305440;992;t
US-MN;afiinct992;p0p100;1977;278536.6;992;t
US-MN;afiinct992;p0p100;1978;291519.1;992;t
