country;variable;percentile;year;value;age;pop
US-MO;afiinct992;p0p100;1917;140094.7;992;t
US-MO;afiinct992;p0p100;1918;141481;992;t
US-MO;afiinct992;p0p100;1919;139732.4;992;t
US-MO;afiinct992;p0p100;1920;125228.1;992;t
US-MO;afiinct992;p0p100;1921;118077.2;992;t
US-MO;afiinct992;p0p100;1922;135013.5;992;t
US-MO;afiinct992;p0p100;1923;137920;992;t
US-MO;afiinct992;p0p100;1924;146440.4;992;t
US-MO;afiinct992;p0p100;1925;159232.8;992;t
US-MO;afiinct992;p0p100;1926;160987.5;992;t
US-MO;afiinct992;p0p100;1927;162788;992;t
US-MO;afiinct992;p0p100;1928;173153.6;992;t
US-MO;afiinct992;p0p100;1929;171107.8;992;t
US-MO;afiinct992;p0p100;1930;148266.8;992;t
US-MO;afiinct992;p0p100;1931;131961.7;992;t
US-MO;afiinct992;p0p100;1932;114356.6;992;t
US-MO;afiinct992;p0p100;1933;108701.4;992;t
US-MO;afiinct992;p0p100;1934;118999.4;992;t
US-MO;afiinct992;p0p100;1935;126634.8;992;t
US-MO;afiinct992;p0p100;1936;153265.7;992;t
US-MO;afiinct992;p0p100;1937;143285.2;992;t
US-MO;afiinct992;p0p100;1938;131205;992;t
US-MO;afiinct992;p0p100;1939;144227.1;992;t
US-MO;afiinct992;p0p100;1940;147357.6;992;t
US-MO;afiinct992;p0p100;1941;160150.9;992;t
US-MO;afiinct992;p0p100;1942;161260.9;992;t
US-MO;afiinct992;p0p100;1943;167482.5;992;t
US-MO;afiinct992;p0p100;1944;162574;992;t
US-MO;afiinct992;p0p100;1945;182288.7;992;t
US-MO;afiinct992;p0p100;1946;203146.4;992;t
US-MO;afiinct992;p0p100;1947;182385.4;992;t
US-MO;afiinct992;p0p100;1948;183206.7;992;t
US-MO;afiinct992;p0p100;1949;176573.2;992;t
US-MO;afiinct992;p0p100;1950;199848.3;992;t
US-MO;afiinct992;p0p100;1951;211639.2;992;t
US-MO;afiinct992;p0p100;1952;193774.5;992;t
US-MO;afiinct992;p0p100;1953;205241.5;992;t
US-MO;afiinct992;p0p100;1954;202125.6;992;t
US-MO;afiinct992;p0p100;1955;213230.7;992;t
US-MO;afiinct992;p0p100;1956;206384.2;992;t
US-MO;afiinct992;p0p100;1957;202979.9;992;t
US-MO;afiinct992;p0p100;1958;204642.8;992;t
US-MO;afiinct992;p0p100;1959;215720.3;992;t
US-MO;afiinct992;p0p100;1960;216447.6;992;t
US-MO;afiinct992;p0p100;1961;210589.1;992;t
US-MO;afiinct992;p0p100;1962;215219.2;992;t
US-MO;afiinct992;p0p100;1963;228363.6;992;t
US-MO;afiinct992;p0p100;1964;259442.4;992;t
US-MO;afiinct992;p0p100;1965;283569.7;992;t
US-MO;afiinct992;p0p100;1966;253319.2;992;t
US-MO;afiinct992;p0p100;1967;284455.4;992;t
US-MO;afiinct992;p0p100;1968;299364.6;992;t
US-MO;afiinct992;p0p100;1969;279998.3;992;t
US-MO;afiinct992;p0p100;1970;257995.2;992;t
US-MO;afiinct992;p0p100;1971;268925.3;992;t
US-MO;afiinct992;p0p100;1972;279271.9;992;t
US-MO;afiinct992;p0p100;1973;278094.1;992;t
US-MO;afiinct992;p0p100;1974;268119.5;992;t
US-MO;afiinct992;p0p100;1975;261062.6;992;t
US-MO;afiinct992;p0p100;1976;263093.1;992;t
US-MO;afiinct992;p0p100;1977;268478.8;992;t
