country;variable;percentile;year;value;age;pop
US-MS;afiinct992;p0p100;1917;78638.40000000001;992;t
US-MS;afiinct992;p0p100;1918;90932.70000000001;992;t
US-MS;afiinct992;p0p100;1919;95551.5;992;t
US-MS;afiinct992;p0p100;1920;62045.9;992;t
US-MS;afiinct992;p0p100;1921;59863.5;992;t
US-MS;afiinct992;p0p100;1922;72689.6;992;t
US-MS;afiinct992;p0p100;1923;73693.8;992;t
US-MS;afiinct992;p0p100;1924;73876.1;992;t
US-MS;afiinct992;p0p100;1925;83173.8;992;t
US-MS;afiinct992;p0p100;1926;74091.1;992;t
US-MS;afiinct992;p0p100;1927;72010.2;992;t
US-MS;afiinct992;p0p100;1928;74358.6;992;t
US-MS;afiinct992;p0p100;1929;73918.90000000001;992;t
US-MS;afiinct992;p0p100;1930;56105.4;992;t
US-MS;afiinct992;p0p100;1931;43383.3;992;t
US-MS;afiinct992;p0p100;1932;39425.10000000001;992;t
US-MS;afiinct992;p0p100;1933;42388.10000000001;992;t
US-MS;afiinct992;p0p100;1934;50821.3;992;t
US-MS;afiinct992;p0p100;1935;54180.60000000001;992;t
US-MS;afiinct992;p0p100;1936;67752.40000000001;992;t
US-MS;afiinct992;p0p100;1937;64538.7;992;t
US-MS;afiinct992;p0p100;1938;69139.3;992;t
US-MS;afiinct992;p0p100;1939;76274.5;992;t
US-MS;afiinct992;p0p100;1940;79653.70000000001;992;t
US-MS;afiinct992;p0p100;1941;94651.20000000001;992;t
US-MS;afiinct992;p0p100;1942;101383.9;992;t
US-MS;afiinct992;p0p100;1943;109481.3;992;t
US-MS;afiinct992;p0p100;1944;99844.70000000001;992;t
US-MS;afiinct992;p0p100;1945;103863.7;992;t
US-MS;afiinct992;p0p100;1946;118468.9;992;t
US-MS;afiinct992;p0p100;1947;110091.9;992;t
US-MS;afiinct992;p0p100;1948;109948.4;992;t
US-MS;afiinct992;p0p100;1949;104657.5;992;t
US-MS;afiinct992;p0p100;1950;116318.3;992;t
US-MS;afiinct992;p0p100;1951;121764.7;992;t
US-MS;afiinct992;p0p100;1952;108809.5;992;t
US-MS;afiinct992;p0p100;1953;110624.2;992;t
US-MS;afiinct992;p0p100;1954;111668.5;992;t
US-MS;afiinct992;p0p100;1955;128191;992;t
US-MS;afiinct992;p0p100;1956;136536.2;992;t
US-MS;afiinct992;p0p100;1957;121875.5;992;t
US-MS;afiinct992;p0p100;1958;129477.7;992;t
US-MS;afiinct992;p0p100;1959;144548.9;992;t
US-MS;afiinct992;p0p100;1960;141388.7;992;t
US-MS;afiinct992;p0p100;1961;149811.9;992;t
US-MS;afiinct992;p0p100;1962;161140.6;992;t
US-MS;afiinct992;p0p100;1963;171686.8;992;t
US-MS;afiinct992;p0p100;1964;181588.8;992;t
US-MS;afiinct992;p0p100;1965;200462.2;992;t
US-MS;afiinct992;p0p100;1966;220813.3;992;t
US-MS;afiinct992;p0p100;1967;205918.3;992;t
US-MS;afiinct992;p0p100;1968;219108.5;992;t
US-MS;afiinct992;p0p100;1969;213106.9;992;t
US-MS;afiinct992;p0p100;1970;203396.8;992;t
US-MS;afiinct992;p0p100;1971;222325;992;t
US-MS;afiinct992;p0p100;1972;231853.4;992;t
US-MS;afiinct992;p0p100;1973;253418.3;992;t
US-MS;afiinct992;p0p100;1974;229687.9;992;t
US-MS;afiinct992;p0p100;1975;224502.8;992;t
US-MS;afiinct992;p0p100;1976;227638;992;t
US-MS;afiinct992;p0p100;1977;228412.9;992;t
US-MS;afiinct992;p0p100;1978;233329;992;t
US-MS;afiinct992;p0p100;1979;269968.1;992;t
US-MS;afiinct992;p0p100;1980;259194.5;992;t
US-MS;afiinct992;p0p100;1981;240811.6;992;t
US-MS;afiinct992;p0p100;1982;226945.8;992;t
US-MS;afiinct992;p0p100;1983;221555.5;992;t
US-MS;afiinct992;p0p100;1984;229261.4;992;t
US-MS;afiinct992;p0p100;1985;238537.5;992;t
US-MS;afiinct992;p0p100;1986;265159.2;992;t
US-MS;afiinct992;p0p100;1987;239932.2;992;t
US-MS;afiinct992;p0p100;1988;254694.9;992;t
US-MS;afiinct992;p0p100;1989;255010.6;992;t
US-MS;afiinct992;p0p100;1990;252288.4;992;t
US-MS;afiinct992;p0p100;1991;253896.5;992;t
US-MS;afiinct992;p0p100;1992;265985.5;992;t
US-MS;afiinct992;p0p100;1993;269555.4;992;t
US-MS;afiinct992;p0p100;1994;285380.5;992;t
US-MS;afiinct992;p0p100;1995;305423.9;992;t
US-MS;afiinct992;p0p100;1996;320900.3;992;t
US-MS;afiinct992;p0p100;1997;351949.9;992;t
US-MS;afiinct992;p0p100;1998;367095.6;992;t
US-MS;afiinct992;p0p100;1999;385523.7;992;t
US-MS;afiinct992;p0p100;2000;382610.9;992;t
US-MS;afiinct992;p0p100;2001;364446.4;992;t
US-MS;afiinct992;p0p100;2002;337004.7;992;t
US-MS;afiinct992;p0p100;2003;337667.5;992;t
US-MS;afiinct992;p0p100;2004;336820.2;992;t
US-MS;afiinct992;p0p100;2005;369117.2;992;t
US-MS;afiinct992;p0p100;2006;409455.2;992;t
US-MS;afiinct992;p0p100;2007;402061.5;992;t
US-MS;afiinct992;p0p100;2008;385082.3;992;t
US-MS;afiinct992;p0p100;2009;347159;992;t
US-MS;afiinct992;p0p100;2010;391208;992;t
US-MS;afiinct992;p0p100;2011;368157.1;992;t
US-MS;afiinct992;p0p100;2012;402058.3;992;t
US-MS;afiinct992;p0p100;2013;391335.1;992;t
US-MS;afiinct992;p0p100;2014;390175.8;992;t
US-MS;afiinct992;p0p100;2015;392313.3;992;t
US-MS;afiinct992;p0p100;2016;377811;992;t
US-MS;afiinct992;p0p100;2017;386291;992;t
US-MS;afiinct992;p0p100;2018;400912.8;992;t
US-MS;npopult992;p0p100;1917;695007;992;t
US-MS;npopult992;p0p100;1918;686500;992;t
US-MS;npopult992;p0p100;1919;687037;992;t
US-MS;npopult992;p0p100;1920;691590;992;t
US-MS;npopult992;p0p100;1921;703857;992;t
US-MS;npopult992;p0p100;1922;712347;992;t
US-MS;npopult992;p0p100;1923;723234;992;t
US-MS;npopult992;p0p100;1924;735707;992;t
US-MS;npopult992;p0p100;1925;745207;992;t
US-MS;npopult992;p0p100;1926;753611;992;t
US-MS;npopult992;p0p100;1927;762342;992;t
US-MS;npopult992;p0p100;1928;769899;992;t
US-MS;npopult992;p0p100;1929;775955;992;t
US-MS;npopult992;p0p100;1930;782217;992;t
US-MS;npopult992;p0p100;1931;791360;992;t
US-MS;npopult992;p0p100;1932;799551;992;t
US-MS;npopult992;p0p100;1933;807418;992;t
US-MS;npopult992;p0p100;1934;815729;992;t
US-MS;npopult992;p0p100;1935;824650;992;t
US-MS;npopult992;p0p100;1936;833182;992;t
US-MS;npopult992;p0p100;1937;841597;992;t
US-MS;npopult992;p0p100;1938;851598;992;t
US-MS;npopult992;p0p100;1939;862061;992;t
US-MS;npopult992;p0p100;1940;873876;992;t
US-MS;npopult992;p0p100;1941;863694;992;t
US-MS;npopult992;p0p100;1942;854515;992;t
US-MS;npopult992;p0p100;1943;847796;992;t
US-MS;npopult992;p0p100;1944;839462;992;t
US-MS;npopult992;p0p100;1945;830170;992;t
US-MS;npopult992;p0p100;1946;820308;992;t
US-MS;npopult992;p0p100;1947;817553;992;t
US-MS;npopult992;p0p100;1948;813051;992;t
US-MS;npopult992;p0p100;1949;808442;992;t
US-MS;npopult992;p0p100;1950;806231;992;t
US-MS;npopult992;p0p100;1951;799563;992;t
US-MS;npopult992;p0p100;1952;792908;992;t
US-MS;npopult992;p0p100;1953;785706;992;t
US-MS;npopult992;p0p100;1954;779200;992;t
US-MS;npopult992;p0p100;1955;772644;992;t
US-MS;npopult992;p0p100;1956;766041;992;t
US-MS;npopult992;p0p100;1957;759572;992;t
US-MS;npopult992;p0p100;1958;751957;992;t
US-MS;npopult992;p0p100;1959;744250;992;t
