country;variable;percentile;year;value;age;pop
US-MT;npopult992;p0p100;1917;211806;992;t
US-MT;npopult992;p0p100;1918;218467;992;t
US-MT;npopult992;p0p100;1919;228308;992;t
US-MT;npopult992;p0p100;1920;239986;992;t
US-MT;npopult992;p0p100;1921;239796;992;t
US-MT;npopult992;p0p100;1922;238270;992;t
US-MT;npopult992;p0p100;1923;237507;992;t
US-MT;npopult992;p0p100;1924;237204;992;t
US-MT;npopult992;p0p100;1925;235893;992;t
US-MT;npopult992;p0p100;1926;234210;992;t
US-MT;npopult992;p0p100;1927;232610;992;t
US-MT;npopult992;p0p100;1928;230639;992;t
US-MT;npopult992;p0p100;1929;228221;992;t
US-MT;npopult992;p0p100;1930;225874;992;t
US-MT;npopult992;p0p100;1931;229314;992;t
US-MT;npopult992;p0p100;1932;232497;992;t
US-MT;npopult992;p0p100;1933;235606;992;t
US-MT;npopult992;p0p100;1934;238864;992;t
US-MT;npopult992;p0p100;1935;242320;992;t
US-MT;npopult992;p0p100;1936;245684;992;t
US-MT;npopult992;p0p100;1937;249033;992;t
US-MT;npopult992;p0p100;1938;252874;992;t
US-MT;npopult992;p0p100;1939;256876;992;t
US-MT;npopult992;p0p100;1940;261307;992;t
US-MT;npopult992;p0p100;1941;259717;992;t
US-MT;npopult992;p0p100;1942;258404;992;t
US-MT;npopult992;p0p100;1943;257816;992;t
US-MT;npopult992;p0p100;1944;256720;992;t
US-MT;npopult992;p0p100;1945;255308;992;t
US-MT;npopult992;p0p100;1946;253696;992;t
US-MT;npopult992;p0p100;1947;254268;992;t
US-MT;npopult992;p0p100;1948;254292;992;t
US-MT;npopult992;p0p100;1949;254275;992;t
US-MT;npopult992;p0p100;1950;255008;992;t
US-MT;npopult992;p0p100;1951;255908;992;t
US-MT;npopult992;p0p100;1952;256798;992;t
US-MT;npopult992;p0p100;1953;257493;992;t
US-MT;npopult992;p0p100;1954;258399;992;t
US-MT;npopult992;p0p100;1955;259274;992;t
US-MT;npopult992;p0p100;1956;260117;992;t
US-MT;npopult992;p0p100;1957;260989;992;t
US-MT;npopult992;p0p100;1958;261447;992;t
US-MT;npopult992;p0p100;1959;261847;992;t
US-MT;npopult992;p0p100;1960;261958;992;t
US-MT;npopult992;p0p100;1961;264191;992;t
US-MT;npopult992;p0p100;1962;266112;992;t
US-MT;npopult992;p0p100;1963;267773;992;t
US-MT;npopult992;p0p100;1964;269300;992;t
US-MT;npopult992;p0p100;1965;270449;992;t
US-MT;npopult992;p0p100;1966;271334;992;t
US-MT;npopult992;p0p100;1967;272031;992;t
US-MT;npopult992;p0p100;1968;272473;992;t
US-MT;npopult992;p0p100;1969;272847;992;t
US-MT;npopult992;p0p100;1970;273725;992;t
US-MT;npopult992;p0p100;1971;281009;992;t
US-MT;npopult992;p0p100;1972;287947;992;t
US-MT;npopult992;p0p100;1973;294734;992;t
US-MT;npopult992;p0p100;1974;301580;992;t
