country;variable;percentile;year;value;age;pop
US-ND;afiinct992;p0p100;1917;128174.3;992;t
US-ND;afiinct992;p0p100;1918;143795.8;992;t
US-ND;afiinct992;p0p100;1919;113013.6;992;t
US-ND;afiinct992;p0p100;1920;82078.3;992;t
US-ND;afiinct992;p0p100;1921;76657.90000000001;992;t
US-ND;afiinct992;p0p100;1922;82464.6;992;t
US-ND;afiinct992;p0p100;1923;79705.5;992;t
US-ND;afiinct992;p0p100;1924;85458.1;992;t
US-ND;afiinct992;p0p100;1925;86598;992;t
US-ND;afiinct992;p0p100;1926;89017;992;t
US-ND;afiinct992;p0p100;1927;90743.8;992;t
US-ND;afiinct992;p0p100;1928;97233.8;992;t
US-ND;afiinct992;p0p100;1929;88236.90000000001;992;t
US-ND;afiinct992;p0p100;1930;78403.3;992;t
US-ND;afiinct992;p0p100;1931;74400.90000000001;992;t
US-ND;afiinct992;p0p100;1932;69334.6;992;t
US-ND;afiinct992;p0p100;1933;71007.3;992;t
US-ND;afiinct992;p0p100;1934;77348.3;992;t
US-ND;afiinct992;p0p100;1935;76171.40000000001;992;t
US-ND;afiinct992;p0p100;1936;80176.70000000001;992;t
US-ND;afiinct992;p0p100;1937;78586.5;992;t
US-ND;afiinct992;p0p100;1938;79046.90000000001;992;t
US-ND;afiinct992;p0p100;1939;82460;992;t
US-ND;afiinct992;p0p100;1940;89879.20000000001;992;t
US-ND;afiinct992;p0p100;1941;105782.9;992;t
US-ND;afiinct992;p0p100;1942;119622.3;992;t
US-ND;afiinct992;p0p100;1943;142806.6;992;t
US-ND;afiinct992;p0p100;1944;125154.1;992;t
US-ND;afiinct992;p0p100;1945;147089.1;992;t
US-ND;afiinct992;p0p100;1946;170154.4;992;t
US-ND;afiinct992;p0p100;1947;177821;992;t
US-ND;afiinct992;p0p100;1948;184627.6;992;t
US-ND;afiinct992;p0p100;1949;150362;992;t
US-ND;afiinct992;p0p100;1950;177402.4;992;t
US-ND;afiinct992;p0p100;1951;163444.7;992;t
US-ND;afiinct992;p0p100;1952;148382.9;992;t
US-ND;afiinct992;p0p100;1953;138899.5;992;t
US-ND;afiinct992;p0p100;1954;135994.5;992;t
US-ND;afiinct992;p0p100;1955;143600.6;992;t
US-ND;afiinct992;p0p100;1956;156100.9;992;t
US-ND;afiinct992;p0p100;1957;150693.9;992;t
US-ND;afiinct992;p0p100;1958;156983.7;992;t
US-ND;afiinct992;p0p100;1959;154884.9;992;t
US-ND;afiinct992;p0p100;1960;160768.1;992;t
