country;variable;percentile;year;value;age;pop
US-NE;afiinct992;p0p100;1917;169664.3;992;t
US-NE;afiinct992;p0p100;1918;166460;992;t
US-NE;afiinct992;p0p100;1919;162964.6;992;t
US-NE;afiinct992;p0p100;1920;144433.9;992;t
US-NE;afiinct992;p0p100;1921;105219.5;992;t
US-NE;afiinct992;p0p100;1922;112115.9;992;t
US-NE;afiinct992;p0p100;1923;104755.9;992;t
US-NE;afiinct992;p0p100;1924;113950.6;992;t
US-NE;afiinct992;p0p100;1925;123160.8;992;t
US-NE;afiinct992;p0p100;1926;119950.4;992;t
US-NE;afiinct992;p0p100;1927;123033.7;992;t
US-NE;afiinct992;p0p100;1928;131776.5;992;t
US-NE;afiinct992;p0p100;1929;132615.4;992;t
US-NE;afiinct992;p0p100;1930;118437.9;992;t
US-NE;afiinct992;p0p100;1931;107539;992;t
US-NE;afiinct992;p0p100;1932;89419;992;t
US-NE;afiinct992;p0p100;1933;89369.8;992;t
US-NE;afiinct992;p0p100;1934;99824.5;992;t
US-NE;afiinct992;p0p100;1935;107071.3;992;t
US-NE;afiinct992;p0p100;1936;118538.4;992;t
US-NE;afiinct992;p0p100;1937;109074.5;992;t
US-NE;afiinct992;p0p100;1938;104685;992;t
US-NE;afiinct992;p0p100;1939;115159.1;992;t
US-NE;afiinct992;p0p100;1940;118055.2;992;t
US-NE;afiinct992;p0p100;1941;129761.1;992;t
US-NE;afiinct992;p0p100;1942;149541.3;992;t
US-NE;afiinct992;p0p100;1943;170373.1;992;t
US-NE;afiinct992;p0p100;1944;110579.4;992;t
US-NE;afiinct992;p0p100;1945;174149.4;992;t
US-NE;afiinct992;p0p100;1946;190984.6;992;t
US-NE;afiinct992;p0p100;1947;178548.7;992;t
US-NE;afiinct992;p0p100;1948;191724;992;t
US-NE;afiinct992;p0p100;1949;175730.8;992;t
US-NE;afiinct992;p0p100;1950;198144.3;992;t
US-NE;afiinct992;p0p100;1951;197092.7;992;t
US-NE;afiinct992;p0p100;1952;171102.7;992;t
US-NE;afiinct992;p0p100;1953;160369.3;992;t
US-NE;afiinct992;p0p100;1954;173471.4;992;t
US-NE;afiinct992;p0p100;1955;188635.5;992;t
US-NE;afiinct992;p0p100;1956;177667.9;992;t
US-NE;afiinct992;p0p100;1957;164147.8;992;t
US-NE;afiinct992;p0p100;1958;186898;992;t
US-NE;afiinct992;p0p100;1959;185294.8;992;t
US-NE;afiinct992;p0p100;1960;193860.1;992;t
US-NE;afiinct992;p0p100;1961;212352.9;992;t
US-NE;afiinct992;p0p100;1962;203681.8;992;t
US-NE;afiinct992;p0p100;1963;203914.5;992;t
US-NE;afiinct992;p0p100;1964;220740.4;992;t
US-NE;afiinct992;p0p100;1965;241199.2;992;t
US-NE;afiinct992;p0p100;1966;242343.9;992;t
US-NE;afiinct992;p0p100;1967;250114.3;992;t
US-NE;afiinct992;p0p100;1968;272958.7;992;t
US-NE;afiinct992;p0p100;1969;248888.1;992;t
US-NE;afiinct992;p0p100;1970;244329;992;t
US-NE;afiinct992;p0p100;1971;251590.4;992;t
US-NE;afiinct992;p0p100;1972;270206.7;992;t
US-NE;afiinct992;p0p100;1973;311822.7;992;t
US-NE;afiinct992;p0p100;1974;297065.2;992;t
US-NE;afiinct992;p0p100;1975;282740.3;992;t
US-NE;afiinct992;p0p100;1976;281484.4;992;t
US-NE;afiinct992;p0p100;1977;274472.1;992;t
US-NE;afiinct992;p0p100;1978;271513.4;992;t
US-NE;afiinct992;p0p100;1979;297147.5;992;t
US-NE;afiinct992;p0p100;1980;289085;992;t
US-NE;afiinct992;p0p100;1981;265949.8;992;t
US-NE;afiinct992;p0p100;1982;257133.2;992;t
US-NE;afiinct992;p0p100;1983;266111.3;992;t
US-NE;afiinct992;p0p100;1984;269503.4;992;t
US-NE;afiinct992;p0p100;1985;282824;992;t
US-NE;afiinct992;p0p100;1986;318770.7;992;t
US-NE;afiinct992;p0p100;1987;290074.6;992;t
US-NE;afiinct992;p0p100;1988;328330.2;992;t
US-NE;afiinct992;p0p100;1989;330141.8;992;t
US-NE;afiinct992;p0p100;1990;326765.1;992;t
US-NE;afiinct992;p0p100;1991;322800.1;992;t
US-NE;afiinct992;p0p100;1992;346925.3;992;t
US-NE;afiinct992;p0p100;1993;342294.7;992;t
US-NE;afiinct992;p0p100;1994;349306.2;992;t
US-NE;afiinct992;p0p100;1995;381165.2;992;t
US-NE;afiinct992;p0p100;1996;407529.9;992;t
US-NE;afiinct992;p0p100;1997;451674.8;992;t
US-NE;afiinct992;p0p100;1998;499667.4;992;t
US-NE;afiinct992;p0p100;1999;511164.9;992;t
US-NE;afiinct992;p0p100;2000;512568.7;992;t
US-NE;afiinct992;p0p100;2001;475447.6;992;t
US-NE;afiinct992;p0p100;2002;432074.8;992;t
US-NE;afiinct992;p0p100;2003;430424;992;t
US-NE;afiinct992;p0p100;2004;472153.2;992;t
US-NE;afiinct992;p0p100;2005;490898.3;992;t
US-NE;afiinct992;p0p100;2006;514918.8;992;t
US-NE;afiinct992;p0p100;2007;552807.1;992;t
US-NE;afiinct992;p0p100;2008;508976.8;992;t
US-NE;afiinct992;p0p100;2009;459504.6;992;t
US-NE;afiinct992;p0p100;2010;487474.1;992;t
US-NE;afiinct992;p0p100;2011;505467.4;992;t
US-NE;afiinct992;p0p100;2012;590938.1;992;t
US-NE;afiinct992;p0p100;2013;540970.6;992;t
US-NE;afiinct992;p0p100;2014;550917.9;992;t
US-NE;afiinct992;p0p100;2015;570447.3;992;t
US-NE;afiinct992;p0p100;2016;555100.3;992;t
US-NE;afiinct992;p0p100;2017;554756.1;992;t
US-NE;afiinct992;p0p100;2018;581372.9;992;t
US-NE;ntaxret992;p0p100;1917;82472;992;t
US-NE;ntaxret992;p0p100;1918;96049;992;t
US-NE;ntaxret992;p0p100;1919;87344;992;t
US-NE;ntaxret992;p0p100;1920;97729;992;t
US-NE;ntaxret992;p0p100;1921;71853;992;t
US-NE;ntaxret992;p0p100;1922;67503;992;t
US-NE;ntaxret992;p0p100;1923;70545;992;t
US-NE;ntaxret992;p0p100;1924;66512;992;t
US-NE;ntaxret992;p0p100;1925;35661;992;t
US-NE;ntaxret992;p0p100;1926;33532;992;t
US-NE;ntaxret992;p0p100;1927;32170;992;t
US-NE;ntaxret992;p0p100;1928;31426;992;t
US-NE;ntaxret992;p0p100;1929;31739;992;t
US-NE;ntaxret992;p0p100;1930;28508;992;t
US-NE;ntaxret992;p0p100;1931;25762;992;t
US-NE;ntaxret992;p0p100;1932;27839;992;t
US-NE;ntaxret992;p0p100;1933;26398;992;t
US-NE;ntaxret992;p0p100;1934;27719;992;t
US-NE;ntaxret992;p0p100;1935;32096;992;t
US-NE;ntaxret992;p0p100;1936;37763;992;t
US-NE;ntaxret992;p0p100;1937;41623;992;t
US-NE;ntaxret992;p0p100;1938;40188;992;t
US-NE;ntaxret992;p0p100;1939;48078;992;t
US-NE;ntaxret992;p0p100;1940;107580;992;t
US-NE;ntaxret992;p0p100;1941;183021;992;t
US-NE;ntaxret992;p0p100;1942;324386;992;t
US-NE;ntaxret992;p0p100;1943;391503;992;t
US-NE;ntaxret992;p0p100;1944;415774;992;t
US-NE;ntaxret992;p0p100;1945;460076;992;t
US-NE;ntaxret992;p0p100;1946;468480;992;t
US-NE;ntaxret992;p0p100;1947;503212;992;t
US-NE;ntaxret992;p0p100;1948;466438;992;t
US-NE;ntaxret992;p0p100;1949;475954;992;t
US-NE;ntaxret992;p0p100;1950;478657;992;t
US-NE;ntaxret992;p0p100;1951;502962;992;t
US-NE;ntaxret992;p0p100;1952;502089;992;t
US-NE;ntaxret992;p0p100;1953;501474;992;t
US-NE;ntaxret992;p0p100;1954;497166;992;t
US-NE;ntaxret992;p0p100;1955;506436;992;t
US-NE;ntaxret992;p0p100;1956;504203;992;t
US-NE;ntaxret992;p0p100;1957;497461;992;t
US-NE;ntaxret992;p0p100;1958;496852;992;t
US-NE;ntaxret992;p0p100;1959;503252;992;t
US-NE;ntaxret992;p0p100;1960;509256;992;t
US-NE;ntaxret992;p0p100;1961;511691;992;t
US-NE;ntaxret992;p0p100;1962;516998;992;t
US-NE;ntaxret992;p0p100;1963;523455;992;t
US-NE;ntaxret992;p0p100;1964;526183;992;t
US-NE;ntaxret992;p0p100;1965;532555;992;t
US-NE;ntaxret992;p0p100;1966;545867;992;t
US-NE;ntaxret992;p0p100;1967;547340;992;t
US-NE;ntaxret992;p0p100;1968;556670;992;t
US-NE;ntaxret992;p0p100;1969;569705;992;t
US-NE;ntaxret992;p0p100;1970;552351;992;t
US-NE;ntaxret992;p0p100;1971;552083;992;t
US-NE;ntaxret992;p0p100;1972;577225;992;t
US-NE;ntaxret992;p0p100;1973;585739;992;t
US-NE;ntaxret992;p0p100;1974;610631;992;t
US-NE;ntaxret992;p0p100;1975;614764;992;t
US-NE;ntaxret992;p0p100;1976;626105;992;t
US-NE;ntaxret992;p0p100;1977;630161;992;t
US-NE;ntaxret992;p0p100;1978;637080;992;t
US-NE;ntaxret992;p0p100;1979;662771;992;t
US-NE;ntaxret992;p0p100;1980;661985;992;t
US-NE;ntaxret992;p0p100;1981;665447;992;t
US-NE;ntaxret992;p0p100;1982;650929;992;t
US-NE;ntaxret992;p0p100;1983;666168;992;t
US-NE;ntaxret992;p0p100;1984;674745;992;t
US-NE;ntaxret992;p0p100;1985;671906;992;t
US-NE;ntaxret992;p0p100;1986;668844;992;t
US-NE;ntaxret992;p0p100;1987;694262;992;t
US-NE;ntaxret992;p0p100;1988;707083;992;t
US-NE;ntaxret992;p0p100;1989;721760;992;t
US-NE;ntaxret992;p0p100;1990;732497;992;t
US-NE;ntaxret992;p0p100;1991;744710;992;t
US-NE;ntaxret992;p0p100;1992;740785;992;t
US-NE;ntaxret992;p0p100;1993;740824;992;t
US-NE;ntaxret992;p0p100;1994;753418;992;t
US-NE;ntaxret992;p0p100;1995;766058;992;t
US-NE;ntaxret992;p0p100;1996;775462;992;t
US-NE;ntaxret992;p0p100;1997;785435;992;t
US-NE;ntaxret992;p0p100;1998;795895;992;t
US-NE;ntaxret992;p0p100;1999;804169;992;t
US-NE;ntaxret992;p0p100;2000;808912;992;t
US-NE;ntaxret992;p0p100;2001;805959;992;t
US-NE;ntaxret992;p0p100;2002;803528;992;t
US-NE;ntaxret992;p0p100;2003;802709;992;t
US-NE;ntaxret992;p0p100;2004;808780;992;t
US-NE;ntaxret992;p0p100;2005;816053;992;t
US-NE;ntaxret992;p0p100;2006;833432;992;t
US-NE;ntaxret992;p0p100;2007;918101;992;t
US-NE;ntaxret992;p0p100;2008;857622;992;t
US-NE;ntaxret992;p0p100;2009;846101;992;t
US-NE;ntaxret992;p0p100;2010;854072;992;t
US-NE;ntaxret992;p0p100;2011;868468;992;t
US-NE;ntaxret992;p0p100;2012;871940;992;t
US-NE;ntaxret992;p0p100;2013;880090;992;t
US-NE;ntaxret992;p0p100;2014;889100;992;t
US-NE;ntaxret992;p0p100;2015;899330;992;t
US-NE;ntaxret992;p0p100;2016;898230;992;t
US-NE;ntaxret992;p0p100;2017;905980;992;t
US-NE;ntaxret992;p0p100;2018;909600;992;t
US-NE;sfiinct992;p0p100;1917;1;992;t
US-NE;sfiinct992;p0p100;1918;1;992;t
US-NE;sfiinct992;p0p100;1919;1;992;t
US-NE;sfiinct992;p0p100;1920;1;992;t
US-NE;sfiinct992;p0p100;1921;1;992;t
US-NE;sfiinct992;p0p100;1922;1;992;t
US-NE;sfiinct992;p0p100;1923;1;992;t
US-NE;sfiinct992;p0p100;1924;1;992;t
US-NE;sfiinct992;p0p100;1925;1;992;t
US-NE;sfiinct992;p0p100;1926;1;992;t
US-NE;sfiinct992;p0p100;1927;1;992;t
US-NE;sfiinct992;p0p100;1928;1;992;t
US-NE;sfiinct992;p0p100;1929;1;992;t
US-NE;sfiinct992;p0p100;1930;1;992;t
US-NE;sfiinct992;p0p100;1931;1;992;t
US-NE;sfiinct992;p0p100;1932;1;992;t
US-NE;sfiinct992;p0p100;1933;1;992;t
US-NE;sfiinct992;p0p100;1934;1;992;t
US-NE;sfiinct992;p0p100;1935;1;992;t
US-NE;sfiinct992;p0p100;1936;1;992;t
US-NE;sfiinct992;p0p100;1937;1;992;t
US-NE;sfiinct992;p0p100;1938;1;992;t
US-NE;sfiinct992;p0p100;1939;1;992;t
US-NE;sfiinct992;p0p100;1940;1;992;t
US-NE;sfiinct992;p0p100;1941;1;992;t
US-NE;sfiinct992;p0p100;1942;1;992;t
US-NE;sfiinct992;p0p100;1943;1;992;t
US-NE;sfiinct992;p0p100;1944;1;992;t
US-NE;sfiinct992;p0p100;1945;1;992;t
US-NE;sfiinct992;p0p100;1946;1;992;t
US-NE;sfiinct992;p0p100;1947;1;992;t
US-NE;sfiinct992;p0p100;1948;1;992;t
US-NE;sfiinct992;p0p100;1949;1;992;t
US-NE;sfiinct992;p0p100;1950;1;992;t
US-NE;sfiinct992;p0p100;1951;1;992;t
US-NE;sfiinct992;p0p100;1952;1;992;t
US-NE;sfiinct992;p0p100;1953;1;992;t
US-NE;sfiinct992;p0p100;1954;1;992;t
US-NE;sfiinct992;p0p100;1955;1;992;t
US-NE;sfiinct992;p0p100;1956;1;992;t
US-NE;sfiinct992;p0p100;1957;1;992;t
US-NE;sfiinct992;p0p100;1958;1;992;t
US-NE;sfiinct992;p0p100;1959;1;992;t
US-NE;sfiinct992;p0p100;1960;1;992;t
US-NE;sfiinct992;p0p100;1961;1;992;t
US-NE;sfiinct992;p0p100;1962;1;992;t
US-NE;sfiinct992;p0p100;1963;1;992;t
US-NE;sfiinct992;p0p100;1964;1;992;t
US-NE;sfiinct992;p0p100;1965;1;992;t
US-NE;sfiinct992;p0p100;1966;1;992;t
US-NE;sfiinct992;p0p100;1967;1;992;t
US-NE;sfiinct992;p0p100;1968;1;992;t
US-NE;sfiinct992;p0p100;1969;1;992;t
US-NE;sfiinct992;p0p100;1970;1;992;t
US-NE;sfiinct992;p0p100;1971;1;992;t
US-NE;sfiinct992;p0p100;1972;1;992;t
US-NE;sfiinct992;p0p100;1973;1;992;t
US-NE;sfiinct992;p0p100;1974;1;992;t
US-NE;sfiinct992;p0p100;1975;1;992;t
US-NE;sfiinct992;p0p100;1976;1;992;t
US-NE;sfiinct992;p0p100;1977;1;992;t
US-NE;sfiinct992;p0p100;1978;1;992;t
US-NE;sfiinct992;p0p100;1979;1;992;t
US-NE;sfiinct992;p0p100;1980;1;992;t
US-NE;sfiinct992;p0p100;1981;1;992;t
US-NE;sfiinct992;p0p100;1982;1;992;t
US-NE;sfiinct992;p0p100;1983;1;992;t
US-NE;sfiinct992;p0p100;1984;1;992;t
US-NE;sfiinct992;p0p100;1985;1;992;t
US-NE;sfiinct992;p0p100;1986;1;992;t
US-NE;sfiinct992;p0p100;1987;1;992;t
US-NE;sfiinct992;p0p100;1988;1;992;t
US-NE;sfiinct992;p0p100;1989;1;992;t
US-NE;sfiinct992;p0p100;1990;1;992;t
US-NE;sfiinct992;p0p100;1991;1;992;t
US-NE;sfiinct992;p0p100;1992;1;992;t
US-NE;sfiinct992;p0p100;1993;1;992;t
US-NE;sfiinct992;p0p100;1994;1;992;t
US-NE;sfiinct992;p0p100;1995;1;992;t
US-NE;sfiinct992;p0p100;1996;1;992;t
US-NE;sfiinct992;p0p100;1997;1;992;t
US-NE;sfiinct992;p0p100;1998;1;992;t
US-NE;sfiinct992;p0p100;1999;1;992;t
US-NE;sfiinct992;p0p100;2000;1;992;t
US-NE;sfiinct992;p0p100;2001;1;992;t
US-NE;sfiinct992;p0p100;2002;1;992;t
US-NE;sfiinct992;p0p100;2003;1;992;t
US-NE;sfiinct992;p0p100;2004;1;992;t
US-NE;sfiinct992;p0p100;2005;1;992;t
US-NE;sfiinct992;p0p100;2006;1;992;t
US-NE;sfiinct992;p0p100;2007;1;992;t
US-NE;sfiinct992;p0p100;2008;1;992;t
US-NE;sfiinct992;p0p100;2009;1;992;t
US-NE;sfiinct992;p0p100;2010;1;992;t
US-NE;sfiinct992;p0p100;2011;1;992;t
US-NE;sfiinct992;p0p100;2012;1;992;t
US-NE;sfiinct992;p0p100;2013;1;992;t
US-NE;sfiinct992;p0p100;2014;1;992;t
US-NE;sfiinct992;p0p100;2015;1;992;t
US-NE;sfiinct992;p0p100;2016;1;992;t
US-NE;sfiinct992;p0p100;2017;1;992;t
US-NE;sfiinct992;p0p100;2018;1;992;t
US-NE;sfiinct992;p0p90;1917;0.4932;992;t
US-NE;sfiinct992;p0p90;1918;0.5156;992;t
US-NE;sfiinct992;p0p90;1919;0.5782;992;t
US-NE;sfiinct992;p0p90;1920;0.5173;992;t
US-NE;sfiinct992;p0p90;1921;0.535;992;t
US-NE;sfiinct992;p0p90;1922;0.57;992;t
US-NE;sfiinct992;p0p90;1923;0.601;992;t
US-NE;sfiinct992;p0p90;1924;0.6068;992;t
US-NE;sfiinct992;p0p90;1925;0.6464;992;t
US-NE;sfiinct992;p0p90;1926;0.6696;992;t
US-NE;sfiinct992;p0p90;1927;0.6803;992;t
US-NE;sfiinct992;p0p90;1928;0.6785;992;t
US-NE;sfiinct992;p0p90;1929;0.6899;992;t
US-NE;sfiinct992;p0p90;1930;0.6659;992;t
US-NE;sfiinct992;p0p90;1931;0.6208;992;t
US-NE;sfiinct992;p0p90;1932;0.6051;992;t
