country;variable;percentile;year;value;age;pop
US-NH;afiinct992;p0p90;1917;11572.4;992;t
US-NH;afiinct992;p0p90;1918;10328.9;992;t
US-NH;afiinct992;p0p90;1919;9966.7;992;t
US-NH;afiinct992;p0p90;1920;10243.6;992;t
US-NH;afiinct992;p0p90;1921;8811.8;992;t
US-NH;afiinct992;p0p90;1922;10085.8;992;t
US-NH;afiinct992;p0p90;1923;11197.9;992;t
US-NH;afiinct992;p0p90;1924;10957.7;992;t
US-NH;afiinct992;p0p90;1925;11674.2;992;t
US-NH;afiinct992;p0p90;1926;11929.9;992;t
US-NH;afiinct992;p0p90;1927;11579.1;992;t
US-NH;afiinct992;p0p90;1928;12095;992;t
US-NH;afiinct992;p0p90;1929;12364.5;992;t
US-NH;afiinct992;p0p90;1930;11573.2;992;t
US-NH;afiinct992;p0p90;1931;10266.2;992;t
US-NH;afiinct992;p0p90;1932;8406.8;992;t
US-NH;afiinct992;p0p90;1933;8970.5;992;t
US-NH;afiinct992;p0p90;1934;9730.5;992;t
US-NH;afiinct992;p0p90;1935;10214.3;992;t
US-NH;afiinct992;p0p90;1936;10387.7;992;t
US-NH;afiinct992;p0p90;1937;10636.2;992;t
US-NH;afiinct992;p0p90;1938;10371.2;992;t
US-NH;afiinct992;p0p90;1939;10880.7;992;t
US-NH;afiinct992;p0p90;1940;10520.7;992;t
US-NH;afiinct992;p0p90;1941;13070.1;992;t
US-NH;afiinct992;p0p90;1942;15225.1;992;t
US-NH;afiinct992;p0p90;1943;16275.6;992;t
US-NH;afiinct992;p0p90;1944;17017.4;992;t
US-NH;afiinct992;p0p90;1945;16996.5;992;t
US-NH;afiinct992;p0p90;1946;16401.1;992;t
US-NH;afiinct992;p0p90;1947;17036.5;992;t
US-NH;afiinct992;p0p90;1948;18101.7;992;t
US-NH;afiinct992;p0p90;1949;18130.6;992;t
US-NH;afiinct992;p0p90;1950;18618.7;992;t
US-NH;afiinct992;p0p90;1952;19943.6;992;t
US-NH;afiinct992;p0p90;1953;20703.4;992;t
US-NH;afiinct992;p0p90;1954;22436.7;992;t
US-NH;afiinct992;p0p90;1955;23521.1;992;t
US-NH;afiinct992;p0p90;1956;24377.2;992;t
US-NH;afiinct992;p0p90;1957;24599.8;992;t
US-NH;afiinct992;p0p90;1958;23942.5;992;t
US-NH;afiinct992;p0p90;1959;26337.5;992;t
US-NH;afiinct992;p0p90;1960;27237.3;992;t
US-NH;afiinct992;p0p90;1961;27777.4;992;t
US-NH;afiinct992;p0p90;1962;28857.7;992;t
US-NH;afiinct992;p0p90;1963;28427;992;t
US-NH;afiinct992;p0p90;1964;30214.7;992;t
US-NH;afiinct992;p0p90;1965;30910.4;992;t
US-NH;afiinct992;p0p90;1966;32284;992;t
US-NH;afiinct992;p0p90;1967;34540.1;992;t
US-NH;afiinct992;p0p90;1968;36176.5;992;t
US-NH;afiinct992;p0p90;1969;37682.6;992;t
US-NH;afiinct992;p0p90;1970;35663.9;992;t
US-NH;afiinct992;p0p90;1971;35178.9;992;t
US-NH;afiinct992;p0p90;1972;35850.7;992;t
US-NH;afiinct992;p0p90;1973;36727.7;992;t
US-NH;afiinct992;p0p90;1974;35859.1;992;t
US-NH;afiinct992;p0p90;1975;32709.5;992;t
US-NH;afiinct992;p0p90;1976;35103.5;992;t
US-NH;afiinct992;p0p90;1977;35543.8;992;t
