country;variable;percentile;year;value;age;pop
US-NJ;afiinct992;p0p100;1917;200362.9;992;t
US-NJ;afiinct992;p0p100;1918;197196.8;992;t
US-NJ;afiinct992;p0p100;1919;200278.4;992;t
US-NJ;afiinct992;p0p100;1920;180293.5;992;t
US-NJ;afiinct992;p0p100;1921;188039.4;992;t
US-NJ;afiinct992;p0p100;1922;216971;992;t
US-NJ;afiinct992;p0p100;1923;221815.9;992;t
US-NJ;afiinct992;p0p100;1924;244016.2;992;t
US-NJ;afiinct992;p0p100;1925;276648.2;992;t
US-NJ;afiinct992;p0p100;1926;273470.6;992;t
US-NJ;afiinct992;p0p100;1927;275725.8;992;t
US-NJ;afiinct992;p0p100;1928;298093.4;992;t
US-NJ;afiinct992;p0p100;1929;276862.5;992;t
US-NJ;afiinct992;p0p100;1930;227086.6;992;t
US-NJ;afiinct992;p0p100;1931;207215.4;992;t
US-NJ;afiinct992;p0p100;1932;178584.5;992;t
US-NJ;afiinct992;p0p100;1933;169747.6;992;t
US-NJ;afiinct992;p0p100;1934;174468;992;t
US-NJ;afiinct992;p0p100;1935;186433.5;992;t
US-NJ;afiinct992;p0p100;1936;225314.9;992;t
US-NJ;afiinct992;p0p100;1937;210572;992;t
US-NJ;afiinct992;p0p100;1938;190916.9;992;t
US-NJ;afiinct992;p0p100;1939;208253.4;992;t
US-NJ;afiinct992;p0p100;1940;219116.2;992;t
US-NJ;afiinct992;p0p100;1941;229792.2;992;t
US-NJ;afiinct992;p0p100;1942;222151.2;992;t
US-NJ;afiinct992;p0p100;1943;230228.9;992;t
US-NJ;afiinct992;p0p100;1944;208637.1;992;t
US-NJ;afiinct992;p0p100;1945;228269.2;992;t
US-NJ;afiinct992;p0p100;1946;237778.7;992;t
US-NJ;afiinct992;p0p100;1947;206096.2;992;t
US-NJ;afiinct992;p0p100;1948;214555.1;992;t
US-NJ;afiinct992;p0p100;1949;209395.7;992;t
US-NJ;afiinct992;p0p100;1950;234989.2;992;t
US-NJ;afiinct992;p0p100;1951;239020.9;992;t
