country;variable;percentile;year;value;age;pop
US-NM;afiinct992;p0p90;1917;8180.6;992;t
US-NM;afiinct992;p0p90;1918;8211;992;t
US-NM;afiinct992;p0p90;1919;9656.7;992;t
US-NM;afiinct992;p0p90;1920;7914.5;992;t
US-NM;afiinct992;p0p90;1921;7281.6;992;t
US-NM;afiinct992;p0p90;1922;8248.5;992;t
US-NM;afiinct992;p0p90;1923;8994;992;t
US-NM;afiinct992;p0p90;1924;8692.9;992;t
US-NM;afiinct992;p0p90;1925;9335.6;992;t
US-NM;afiinct992;p0p90;1926;9059.1;992;t
US-NM;afiinct992;p0p90;1927;8712.9;992;t
US-NM;afiinct992;p0p90;1928;8592.8;992;t
US-NM;afiinct992;p0p90;1929;8580.8;992;t
US-NM;afiinct992;p0p90;1930;6467.6;992;t
US-NM;afiinct992;p0p90;1931;5673.4;992;t
US-NM;afiinct992;p0p90;1932;4131.5;992;t
US-NM;afiinct992;p0p90;1933;4645.5;992;t
US-NM;afiinct992;p0p90;1934;4981.9;992;t
US-NM;afiinct992;p0p90;1935;6321.8;992;t
US-NM;afiinct992;p0p90;1936;7342.4;992;t
US-NM;afiinct992;p0p90;1937;7388.8;992;t
US-NM;afiinct992;p0p90;1938;6933.5;992;t
US-NM;afiinct992;p0p90;1939;7000.6;992;t
US-NM;afiinct992;p0p90;1940;6694.4;992;t
US-NM;afiinct992;p0p90;1941;7739.8;992;t
US-NM;afiinct992;p0p90;1942;11447.2;992;t
US-NM;afiinct992;p0p90;1943;15183;992;t
US-NM;afiinct992;p0p90;1944;16193.2;992;t
US-NM;afiinct992;p0p90;1945;16084.1;992;t
US-NM;afiinct992;p0p90;1946;14011.1;992;t
US-NM;afiinct992;p0p90;1947;14716.4;992;t
US-NM;afiinct992;p0p90;1948;15319.6;992;t
US-NM;afiinct992;p0p90;1949;16832.3;992;t
US-NM;afiinct992;p0p90;1950;18350;992;t
US-NM;afiinct992;p0p90;1952;21020;992;t
US-NM;afiinct992;p0p90;1953;22327.1;992;t
US-NM;afiinct992;p0p90;1954;21471.8;992;t
US-NM;afiinct992;p0p90;1955;22674.3;992;t
US-NM;afiinct992;p0p90;1956;23285.6;992;t
US-NM;afiinct992;p0p90;1957;24193.1;992;t
US-NM;afiinct992;p0p90;1958;26331.2;992;t
US-NM;afiinct992;p0p90;1959;27437.1;992;t
US-NM;afiinct992;p0p90;1960;27031.8;992;t
US-NM;afiinct992;p0p90;1961;27531.2;992;t
US-NM;afiinct992;p0p90;1962;27364.9;992;t
US-NM;afiinct992;p0p90;1963;27919.8;992;t
US-NM;afiinct992;p0p90;1964;28805.1;992;t
US-NM;afiinct992;p0p90;1965;29282.4;992;t
US-NM;afiinct992;p0p90;1966;29708.4;992;t
US-NM;afiinct992;p0p90;1967;29222;992;t
US-NM;afiinct992;p0p90;1968;30611.5;992;t
US-NM;afiinct992;p0p90;1969;31170.5;992;t
US-NM;afiinct992;p0p90;1970;32062.5;992;t
US-NM;afiinct992;p0p90;1971;32590.5;992;t
US-NM;afiinct992;p0p90;1972;34203.8;992;t
US-NM;afiinct992;p0p90;1973;33963.2;992;t
US-NM;afiinct992;p0p90;1974;34167.3;992;t
US-NM;afiinct992;p0p90;1975;33481.5;992;t
US-NM;afiinct992;p0p90;1976;34667.5;992;t
US-NM;afiinct992;p0p90;1977;34962.3;992;t
US-NM;afiinct992;p0p90;1978;35845;992;t
US-NM;afiinct992;p0p90;1979;37571.1;992;t
US-NM;afiinct992;p0p90;1980;35071.3;992;t
US-NM;afiinct992;p0p90;1981;35190;992;t
US-NM;afiinct992;p0p90;1982;36414.1;992;t
US-NM;afiinct992;p0p90;1983;37702.6;992;t
US-NM;afiinct992;p0p90;1984;34754.8;992;t
US-NM;afiinct992;p0p90;1985;34780.7;992;t
US-NM;afiinct992;p0p90;1986;35205.5;992;t
US-NM;afiinct992;p0p90;1987;34150.8;992;t
US-NM;afiinct992;p0p90;1988;33826.7;992;t
US-NM;afiinct992;p0p90;1989;33736.3;992;t
US-NM;afiinct992;p0p90;1990;32536.6;992;t
US-NM;afiinct992;p0p90;1991;32510.4;992;t
US-NM;afiinct992;p0p90;1992;32451.9;992;t
US-NM;afiinct992;p0p90;1993;32472.6;992;t
US-NM;afiinct992;p0p90;1994;33181.5;992;t
US-NM;afiinct992;p0p90;1995;33273.3;992;t
US-NM;afiinct992;p0p90;1996;33379.7;992;t
US-NM;afiinct992;p0p90;1997;34555.1;992;t
US-NM;afiinct992;p0p90;1998;36364.8;992;t
US-NM;afiinct992;p0p90;1999;36885;992;t
US-NM;afiinct992;p0p90;2000;43064.3;992;t
US-NM;afiinct992;p0p90;2001;31795.2;992;t
US-NM;afiinct992;p0p90;2002;34876.9;992;t
US-NM;afiinct992;p0p90;2003;34718.3;992;t
US-NM;afiinct992;p0p90;2004;35854;992;t
US-NM;afiinct992;p0p90;2005;35594.2;992;t
US-NM;afiinct992;p0p90;2006;35747.7;992;t
US-NM;afiinct992;p0p90;2007;37101.5;992;t
US-NM;afiinct992;p0p90;2008;35146.2;992;t
US-NM;afiinct992;p0p90;2009;32111.8;992;t
US-NM;afiinct992;p0p90;2010;32189.3;992;t
US-NM;afiinct992;p0p90;2011;32856.7;992;t
