country;variable;percentile;year;value;age;pop
US-NV;afiinct992;p0p100;1917;143026.2;992;t
US-NV;afiinct992;p0p100;1918;136107.9;992;t
US-NV;afiinct992;p0p100;1919;120748.6;992;t
US-NV;afiinct992;p0p100;1920;101512.5;992;t
US-NV;afiinct992;p0p100;1921;109712.2;992;t
US-NV;afiinct992;p0p100;1922;116348.1;992;t
US-NV;afiinct992;p0p100;1923;111862.9;992;t
US-NV;afiinct992;p0p100;1924;122831.8;992;t
US-NV;afiinct992;p0p100;1925;140661.8;992;t
US-NV;afiinct992;p0p100;1926;144333;992;t
US-NV;afiinct992;p0p100;1927;150515.4;992;t
US-NV;afiinct992;p0p100;1928;172249.9;992;t
US-NV;afiinct992;p0p100;1929;177962.1;992;t
US-NV;afiinct992;p0p100;1930;147613.4;992;t
US-NV;afiinct992;p0p100;1931;148828;992;t
US-NV;afiinct992;p0p100;1932;109207.8;992;t
US-NV;afiinct992;p0p100;1933;102204.2;992;t
US-NV;afiinct992;p0p100;1934;136759.6;992;t
US-NV;afiinct992;p0p100;1935;147926.8;992;t
US-NV;afiinct992;p0p100;1936;188999.7;992;t
US-NV;afiinct992;p0p100;1937;195125.8;992;t
US-NV;afiinct992;p0p100;1938;162352.5;992;t
US-NV;afiinct992;p0p100;1939;178103;992;t
US-NV;afiinct992;p0p100;1940;191845.6;992;t
US-NV;afiinct992;p0p100;1941;206631.2;992;t
US-NV;afiinct992;p0p100;1942;245078.9;992;t
US-NV;afiinct992;p0p100;1943;255720.3;992;t
US-NV;afiinct992;p0p100;1944;219428.2;992;t
US-NV;afiinct992;p0p100;1945;237972.5;992;t
US-NV;afiinct992;p0p100;1946;280348.1;992;t
US-NV;afiinct992;p0p100;1947;210440.8;992;t
US-NV;afiinct992;p0p100;1948;210086.9;992;t
US-NV;afiinct992;p0p100;1949;182672.9;992;t
US-NV;afiinct992;p0p100;1950;257705;992;t
US-NV;afiinct992;p0p100;1951;254234.4;992;t
US-NV;afiinct992;p0p100;1952;267751.7;992;t
US-NV;afiinct992;p0p100;1953;200029;992;t
US-NV;afiinct992;p0p100;1954;245917.9;992;t
US-NV;afiinct992;p0p100;1955;270483.4;992;t
US-NV;afiinct992;p0p100;1956;259560;992;t
US-NV;afiinct992;p0p100;1957;278475.4;992;t
US-NV;afiinct992;p0p100;1958;241703.8;992;t
US-NV;afiinct992;p0p100;1959;227846.6;992;t
US-NV;afiinct992;p0p100;1960;234445.8;992;t
US-NV;afiinct992;p0p100;1961;296269;992;t
US-NV;afiinct992;p0p100;1962;284091;992;t
US-NV;afiinct992;p0p100;1963;296913.4;992;t
US-NV;afiinct992;p0p100;1964;346297.8;992;t
US-NV;afiinct992;p0p100;1965;323532.7;992;t
US-NV;afiinct992;p0p100;1966;277088.9;992;t
US-NV;afiinct992;p0p100;1967;296437;992;t
US-NV;afiinct992;p0p100;1968;324530.8;992;t
US-NV;afiinct992;p0p100;1969;301315.6;992;t
US-NV;afiinct992;p0p100;1970;302811.8;992;t
US-NV;afiinct992;p0p100;1971;319444.2;992;t
US-NV;afiinct992;p0p100;1972;340625.9;992;t
US-NV;afiinct992;p0p100;1973;332252.9;992;t
US-NV;afiinct992;p0p100;1974;324417.5;992;t
US-NV;afiinct992;p0p100;1975;289170.6;992;t
US-NV;afiinct992;p0p100;1976;319222;992;t
US-NV;afiinct992;p0p100;1977;330063.3;992;t
US-NV;afiinct992;p0p100;1978;368641;992;t
US-NV;afiinct992;p0p100;1979;379310.3;992;t
US-NV;afiinct992;p0p100;1980;360558.2;992;t
US-NV;afiinct992;p0p100;1981;337864.4;992;t
US-NV;afiinct992;p0p100;1982;292864.2;992;t
US-NV;afiinct992;p0p100;1983;331524.6;992;t
US-NV;afiinct992;p0p100;1984;366306.2;992;t
US-NV;afiinct992;p0p100;1985;394502.2;992;t
US-NV;afiinct992;p0p100;1986;467472.2;992;t
US-NV;afiinct992;p0p100;1987;428896.5;992;t
US-NV;afiinct992;p0p100;1988;537001.8;992;t
US-NV;afiinct992;p0p100;1989;505895.5;992;t
US-NV;afiinct992;p0p100;1990;483023;992;t
US-NV;afiinct992;p0p100;1991;441714.9;992;t
US-NV;afiinct992;p0p100;1992;457058.7;992;t
US-NV;afiinct992;p0p100;1993;460164.3;992;t
US-NV;afiinct992;p0p100;1994;476409.1;992;t
US-NV;afiinct992;p0p100;1995;506808.6;992;t
US-NV;afiinct992;p0p100;1996;563204.2000000001;992;t
US-NV;afiinct992;p0p100;1997;598032;992;t
US-NV;afiinct992;p0p100;1998;662801;992;t
US-NV;afiinct992;p0p100;1999;733772.5;992;t
US-NV;afiinct992;p0p100;2000;706544.3;992;t
US-NV;afiinct992;p0p100;2001;630154.1000000001;992;t
US-NV;afiinct992;p0p100;2002;580161.6;992;t
US-NV;afiinct992;p0p100;2003;613764.1;992;t
US-NV;afiinct992;p0p100;2004;712808.7000000001;992;t
US-NV;afiinct992;p0p100;2005;768659.5;992;t
US-NV;afiinct992;p0p100;2006;772009.3;992;t
US-NV;afiinct992;p0p100;2007;733192.3;992;t
US-NV;afiinct992;p0p100;2008;589333.8;992;t
US-NV;afiinct992;p0p100;2009;514516.6;992;t
US-NV;afiinct992;p0p100;2010;494872.4;992;t
US-NV;afiinct992;p0p100;2011;506622.3;992;t
US-NV;afiinct992;p0p100;2012;530305.8;992;t
US-NV;afiinct992;p0p100;2013;516194.4;992;t
US-NV;afiinct992;p0p100;2014;545891.5;992;t
US-NV;afiinct992;p0p100;2015;560119.5;992;t
US-NV;afiinct992;p0p100;2016;568837;992;t
US-NV;afiinct992;p0p100;2017;618845.9;992;t
US-NV;afiinct992;p0p100;2018;658927.7000000001;992;t
US-NV;afiinct992;p90p100;1917;88484.40000000001;992;t
US-NV;afiinct992;p90p100;1918;75271.2;992;t
US-NV;afiinct992;p90p100;1919;69238.8;992;t
US-NV;afiinct992;p90p100;1920;60780.4;992;t
US-NV;afiinct992;p90p100;1921;67868.1;992;t
US-NV;afiinct992;p90p100;1922;71712.6;992;t
US-NV;afiinct992;p90p100;1923;76305.40000000001;992;t
US-NV;afiinct992;p90p100;1924;82312.5;992;t
US-NV;afiinct992;p90p100;1925;86315.1;992;t
US-NV;afiinct992;p90p100;1926;82752.5;992;t
US-NV;afiinct992;p90p100;1927;87332.40000000001;992;t
US-NV;afiinct992;p90p100;1928;101485.3;992;t
US-NV;afiinct992;p90p100;1929;102009.9;992;t
US-NV;afiinct992;p90p100;1930;94148.5;992;t
US-NV;afiinct992;p90p100;1931;95758.70000000001;992;t
US-NV;afiinct992;p90p100;1932;74246.7;992;t
US-NV;afiinct992;p90p100;1933;67678.3;992;t
US-NV;afiinct992;p90p100;1934;87273;992;t
US-NV;afiinct992;p90p100;1935;104800.5;992;t
US-NV;afiinct992;p90p100;1936;122292.5;992;t
US-NV;afiinct992;p90p100;1937;120731.5;992;t
US-NV;afiinct992;p90p100;1938;109767.6;992;t
US-NV;afiinct992;p90p100;1939;113588.4;992;t
US-NV;afiinct992;p90p100;1940;114847.9;992;t
US-NV;afiinct992;p90p100;1941;114544;992;t
