country;variable;percentile;year;value;age;pop
US-NY;afiinct992;p0p100;1917;311758.8;992;t
US-NY;afiinct992;p0p100;1918;277520.3;992;t
US-NY;afiinct992;p0p100;1919;310893.2;992;t
US-NY;afiinct992;p0p100;1920;246774.9;992;t
US-NY;afiinct992;p0p100;1921;246533.1;992;t
US-NY;afiinct992;p0p100;1922;300707;992;t
US-NY;afiinct992;p0p100;1923;294580.2;992;t
US-NY;afiinct992;p0p100;1924;333616.7;992;t
US-NY;afiinct992;p0p100;1925;386253.3;992;t
US-NY;afiinct992;p0p100;1926;374084.7;992;t
US-NY;afiinct992;p0p100;1927;404766.5;992;t
US-NY;afiinct992;p0p100;1928;461276.5;992;t
US-NY;afiinct992;p0p100;1929;407316.3;992;t
US-NY;afiinct992;p0p100;1930;294600;992;t
US-NY;afiinct992;p0p100;1931;247619.8;992;t
US-NY;afiinct992;p0p100;1932;217765.4;992;t
US-NY;afiinct992;p0p100;1933;218472.9;992;t
US-NY;afiinct992;p0p100;1934;227405.4;992;t
US-NY;afiinct992;p0p100;1935;244180.7;992;t
US-NY;afiinct992;p0p100;1936;297213.2;992;t
US-NY;afiinct992;p0p100;1937;255160.3;992;t
US-NY;afiinct992;p0p100;1938;218158.8;992;t
US-NY;afiinct992;p0p100;1939;237301.6;992;t
US-NY;afiinct992;p0p100;1940;243841.5;992;t
US-NY;afiinct992;p0p100;1941;252459.8;992;t
US-NY;afiinct992;p0p100;1942;252572.2;992;t
US-NY;afiinct992;p0p100;1943;278310.6;992;t
US-NY;afiinct992;p0p100;1944;276713.2;992;t
US-NY;afiinct992;p0p100;1945;314053.6;992;t
US-NY;afiinct992;p0p100;1946;323755.4;992;t
US-NY;afiinct992;p0p100;1947;272297.3;992;t
US-NY;afiinct992;p0p100;1948;274016;992;t
US-NY;afiinct992;p0p100;1949;257076.4;992;t
US-NY;afiinct992;p0p100;1950;297503.8;992;t
US-NY;afiinct992;p0p100;1951;298069.4;992;t
US-NY;afiinct992;p0p100;1952;265841.8;992;t
US-NY;afiinct992;p0p100;1953;267807.5;992;t
US-NY;afiinct992;p0p100;1954;286191.9;992;t
US-NY;afiinct992;p0p100;1955;303611.9;992;t
US-NY;afiinct992;p0p100;1956;290651.9;992;t
US-NY;afiinct992;p0p100;1957;284809.5;992;t
US-NY;afiinct992;p0p100;1958;289394.3;992;t
US-NY;afiinct992;p0p100;1959;331792.4;992;t
US-NY;afiinct992;p0p100;1960;299643.5;992;t
US-NY;afiinct992;p0p100;1961;318946.1;992;t
US-NY;afiinct992;p0p100;1962;318256.1;992;t
US-NY;afiinct992;p0p100;1963;325201.7;992;t
US-NY;afiinct992;p0p100;1964;361841.3;992;t
US-NY;afiinct992;p0p100;1965;382460.6;992;t
US-NY;afiinct992;p0p100;1966;362075.1;992;t
US-NY;afiinct992;p0p100;1967;407931.5;992;t
US-NY;afiinct992;p0p100;1968;433076;992;t
US-NY;afiinct992;p0p100;1969;389481.7;992;t
US-NY;afiinct992;p0p100;1970;355304.2;992;t
US-NY;afiinct992;p0p100;1971;362010.3;992;t
US-NY;afiinct992;p0p100;1972;363417.2;992;t
US-NY;afiinct992;p0p100;1973;344407;992;t
US-NY;afiinct992;p0p100;1974;338343.3;992;t
US-NY;afiinct992;p0p100;1975;306727.3;992;t
US-NY;afiinct992;p0p100;1976;318591.1;992;t
US-NY;afiinct992;p0p100;1977;305164.2;992;t
US-NY;afiinct992;p0p100;1978;313361.1;992;t
US-NY;afiinct992;p0p100;1979;331658.9;992;t
US-NY;afiinct992;p0p100;1980;337859.9;992;t
US-NY;afiinct992;p0p100;1981;329305.7;992;t
US-NY;afiinct992;p0p100;1982;341496.7;992;t
US-NY;afiinct992;p0p100;1983;368973.4;992;t
US-NY;afiinct992;p0p100;1984;394897.9;992;t
US-NY;afiinct992;p0p100;1985;421508.4;992;t
US-NY;afiinct992;p0p100;1986;507563.5;992;t
US-NY;afiinct992;p0p100;1987;479143.3;992;t
US-NY;afiinct992;p0p100;1988;537507.9;992;t
US-NY;afiinct992;p0p100;1989;537187.9;992;t
US-NY;afiinct992;p0p100;1990;515173.5;992;t
US-NY;afiinct992;p0p100;1991;489985.7;992;t
US-NY;afiinct992;p0p100;1992;518936.2;992;t
US-NY;afiinct992;p0p100;1993;512087;992;t
US-NY;afiinct992;p0p100;1994;516286.8;992;t
US-NY;afiinct992;p0p100;1995;560332.1;992;t
US-NY;afiinct992;p0p100;1996;611926.5;992;t
US-NY;afiinct992;p0p100;1997;689721.3;992;t
US-NY;afiinct992;p0p100;1998;748692.2000000001;992;t
US-NY;afiinct992;p0p100;1999;819838;992;t
US-NY;afiinct992;p0p100;2000;824868.9;992;t
US-NY;afiinct992;p0p100;2001;816106.8;992;t
US-NY;afiinct992;p0p100;2002;698173.8;992;t
US-NY;afiinct992;p0p100;2003;678857.8;992;t
US-NY;afiinct992;p0p100;2004;753803.5;992;t
US-NY;afiinct992;p0p100;2005;804777.5;992;t
US-NY;afiinct992;p0p100;2006;859273.1000000001;992;t
US-NY;afiinct992;p0p100;2007;929914.7000000001;992;t
US-NY;afiinct992;p0p100;2008;829054.4;992;t
US-NY;afiinct992;p0p100;2009;740238;992;t
US-NY;afiinct992;p0p100;2010;793056.9;992;t
US-NY;afiinct992;p0p100;2011;808690.9;992;t
US-NY;afiinct992;p0p100;2012;869862.7000000001;992;t
US-NY;afiinct992;p0p100;2013;844646.2000000001;992;t
US-NY;afiinct992;p0p100;2014;886149.9;992;t
US-NY;afiinct992;p0p100;2015;902107.8;992;t
US-NY;afiinct992;p0p100;2016;866259.8;992;t
US-NY;afiinct992;p0p100;2017;912221;992;t
US-NY;afiinct992;p0p100;2018;927863;992;t
US-NY;ntaxret992;p0p100;1917;489089;992;t
US-NY;ntaxret992;p0p100;1918;559753;992;t
US-NY;ntaxret992;p0p100;1919;683085;992;t
US-NY;ntaxret992;p0p100;1920;1047634;992;t
US-NY;ntaxret992;p0p100;1921;1066637;992;t
US-NY;ntaxret992;p0p100;1922;1102748;992;t
US-NY;ntaxret992;p0p100;1923;1221654;992;t
US-NY;ntaxret992;p0p100;1924;1215640;992;t
US-NY;ntaxret992;p0p100;1925;751941;992;t
US-NY;ntaxret992;p0p100;1926;753044;992;t
US-NY;ntaxret992;p0p100;1927;766974;992;t
US-NY;ntaxret992;p0p100;1928;780418;992;t
US-NY;ntaxret992;p0p100;1929;776712;992;t
US-NY;ntaxret992;p0p100;1930;740984;992;t
US-NY;ntaxret992;p0p100;1931;669636;992;t
US-NY;ntaxret992;p0p100;1932;834568;992;t
US-NY;ntaxret992;p0p100;1933;780271;992;t
US-NY;ntaxret992;p0p100;1934;828661;992;t
US-NY;ntaxret992;p0p100;1935;870556;992;t
US-NY;ntaxret992;p0p100;1936;990514;992;t
US-NY;ntaxret992;p0p100;1937;1086217;992;t
US-NY;ntaxret992;p0p100;1938;1070265;992;t
US-NY;ntaxret992;p0p100;1939;1293885;992;t
US-NY;ntaxret992;p0p100;1940;2183064;992;t
US-NY;ntaxret992;p0p100;1941;3470274;992;t
US-NY;ntaxret992;p0p100;1942;4466244;992;t
US-NY;ntaxret992;p0p100;1943;5253541;992;t
US-NY;ntaxret992;p0p100;1944;5599607;992;t
US-NY;ntaxret992;p0p100;1945;6063750;992;t
US-NY;ntaxret992;p0p100;1946;6343055;992;t
US-NY;ntaxret992;p0p100;1947;6537319;992;t
US-NY;ntaxret992;p0p100;1948;6203398;992;t
US-NY;ntaxret992;p0p100;1949;6106261;992;t
US-NY;ntaxret992;p0p100;1950;6123930;992;t
US-NY;ntaxret992;p0p100;1951;6299130;992;t
US-NY;ntaxret992;p0p100;1952;6435701;992;t
US-NY;ntaxret992;p0p100;1953;6510765;992;t
US-NY;ntaxret992;p0p100;1954;6347819;992;t
US-NY;ntaxret992;p0p100;1955;6393653;992;t
US-NY;ntaxret992;p0p100;1956;6458901;992;t
US-NY;ntaxret992;p0p100;1957;6522596;992;t
US-NY;ntaxret992;p0p100;1958;6411995;992;t
US-NY;ntaxret992;p0p100;1959;6478848;992;t
US-NY;ntaxret992;p0p100;1960;6523532;992;t
US-NY;ntaxret992;p0p100;1961;6576397;992;t
US-NY;ntaxret992;p0p100;1962;6629260;992;t
US-NY;ntaxret992;p0p100;1963;6644119;992;t
US-NY;ntaxret992;p0p100;1964;6765141;992;t
US-NY;ntaxret992;p0p100;1965;6854168;992;t
US-NY;ntaxret992;p0p100;1966;6939723;992;t
US-NY;ntaxret992;p0p100;1967;6955885;992;t
US-NY;ntaxret992;p0p100;1968;7123776;992;t
US-NY;ntaxret992;p0p100;1969;7204512;992;t
US-NY;ntaxret992;p0p100;1970;7054462;992;t
US-NY;ntaxret992;p0p100;1971;6924945;992;t
US-NY;ntaxret992;p0p100;1972;6943381;992;t
US-NY;ntaxret992;p0p100;1973;6987408;992;t
US-NY;ntaxret992;p0p100;1974;6944389;992;t
US-NY;ntaxret992;p0p100;1975;6876422;992;t
US-NY;ntaxret992;p0p100;1976;6860800;992;t
US-NY;ntaxret992;p0p100;1977;6896190;992;t
US-NY;ntaxret992;p0p100;1978;6972367;992;t
US-NY;ntaxret992;p0p100;1979;7147126;992;t
US-NY;ntaxret992;p0p100;1980;7157005;992;t
US-NY;ntaxret992;p0p100;1981;7198063;992;t
US-NY;ntaxret992;p0p100;1982;7258993;992;t
US-NY;ntaxret992;p0p100;1983;7291876;992;t
US-NY;ntaxret992;p0p100;1984;7464439;992;t
US-NY;ntaxret992;p0p100;1985;7599062;992;t
US-NY;ntaxret992;p0p100;1986;7659120;992;t
US-NY;ntaxret992;p0p100;1987;7914981;992;t
US-NY;ntaxret992;p0p100;1988;8065968;992;t
US-NY;ntaxret992;p0p100;1989;8179689;992;t
US-NY;ntaxret992;p0p100;1990;8211711;992;t
US-NY;ntaxret992;p0p100;1991;8118741;992;t
US-NY;ntaxret992;p0p100;1992;7950229;992;t
US-NY;ntaxret992;p0p100;1993;7844199;992;t
US-NY;ntaxret992;p0p100;1994;7851157;992;t
US-NY;ntaxret992;p0p100;1995;7921207;992;t
US-NY;ntaxret992;p0p100;1996;8030653;992;t
US-NY;ntaxret992;p0p100;1997;8113041;992;t
US-NY;ntaxret992;p0p100;1998;8268276;992;t
US-NY;ntaxret992;p0p100;1999;8417974;992;t
US-NY;ntaxret992;p0p100;2000;8577496;992;t
US-NY;ntaxret992;p0p100;2001;8667488;992;t
US-NY;ntaxret992;p0p100;2002;8613811;992;t
US-NY;ntaxret992;p0p100;2003;8589932;992;t
US-NY;ntaxret992;p0p100;2004;8625432;992;t
US-NY;ntaxret992;p0p100;2005;8715913;992;t
US-NY;ntaxret992;p0p100;2006;8964337;992;t
US-NY;ntaxret992;p0p100;2007;9919336;992;t
US-NY;ntaxret992;p0p100;2008;9203531;992;t
