country;variable;percentile;year;value;age;pop
US-OH;afiinct992;p0p100;1917;152680;992;t
US-OH;afiinct992;p0p100;1918;149133.9;992;t
US-OH;afiinct992;p0p100;1919;158559.4;992;t
US-OH;afiinct992;p0p100;1920;143048.1;992;t
US-OH;afiinct992;p0p100;1921;130533.7;992;t
US-OH;afiinct992;p0p100;1922;149692;992;t
US-OH;afiinct992;p0p100;1923;156513.4;992;t
US-OH;afiinct992;p0p100;1924;166633.2;992;t
US-OH;afiinct992;p0p100;1925;180667.8;992;t
US-OH;afiinct992;p0p100;1926;180880.7;992;t
US-OH;afiinct992;p0p100;1927;186329.8;992;t
US-OH;afiinct992;p0p100;1928;195685.1;992;t
US-OH;afiinct992;p0p100;1929;190888;992;t
US-OH;afiinct992;p0p100;1930;159548.7;992;t
US-OH;afiinct992;p0p100;1931;139585.4;992;t
US-OH;afiinct992;p0p100;1932;116716.3;992;t
US-OH;afiinct992;p0p100;1933;108223.3;992;t
US-OH;afiinct992;p0p100;1934;123199;992;t
US-OH;afiinct992;p0p100;1935;135970;992;t
US-OH;afiinct992;p0p100;1936;172490.3;992;t
US-OH;afiinct992;p0p100;1937;168172.9;992;t
US-OH;afiinct992;p0p100;1938;144047.4;992;t
US-OH;afiinct992;p0p100;1939;161115.8;992;t
US-OH;afiinct992;p0p100;1940;174499.2;992;t
US-OH;afiinct992;p0p100;1941;194268.2;992;t
US-OH;afiinct992;p0p100;1942;192801.9;992;t
US-OH;afiinct992;p0p100;1943;201472.5;992;t
US-OH;afiinct992;p0p100;1944;189909.5;992;t
US-OH;afiinct992;p0p100;1945;201093.8;992;t
US-OH;afiinct992;p0p100;1946;213867.4;992;t
US-OH;afiinct992;p0p100;1947;196350.7;992;t
US-OH;afiinct992;p0p100;1948;204061;992;t
US-OH;afiinct992;p0p100;1949;193814.8;992;t
US-OH;afiinct992;p0p100;1950;213137.8;992;t
US-OH;afiinct992;p0p100;1951;227404.9;992;t
US-OH;afiinct992;p0p100;1952;215392.6;992;t
US-OH;afiinct992;p0p100;1953;216447;992;t
US-OH;afiinct992;p0p100;1954;210511.6;992;t
US-OH;afiinct992;p0p100;1955;232084.5;992;t
US-OH;afiinct992;p0p100;1956;227767.5;992;t
US-OH;afiinct992;p0p100;1957;227480.4;992;t
US-OH;afiinct992;p0p100;1958;209839.2;992;t
US-OH;afiinct992;p0p100;1959;222155.8;992;t
US-OH;afiinct992;p0p100;1960;222030.4;992;t
US-OH;afiinct992;p0p100;1961;232115;992;t
US-OH;afiinct992;p0p100;1962;220540.9;992;t
US-OH;afiinct992;p0p100;1963;240588.8;992;t
US-OH;afiinct992;p0p100;1964;265965.6;992;t
US-OH;afiinct992;p0p100;1965;279694.9;992;t
US-OH;afiinct992;p0p100;1966;277440.4;992;t
US-OH;afiinct992;p0p100;1967;300004.9;992;t
US-OH;afiinct992;p0p100;1968;310443.8;992;t
US-OH;afiinct992;p0p100;1969;282829.3;992;t
US-OH;afiinct992;p0p100;1970;261697;992;t
US-OH;afiinct992;p0p100;1971;278559.7;992;t
US-OH;afiinct992;p0p100;1972;285606.7;992;t
US-OH;afiinct992;p0p100;1973;282982.8;992;t
US-OH;afiinct992;p0p100;1974;268048.2;992;t
US-OH;afiinct992;p0p100;1975;264349.4;992;t
US-OH;afiinct992;p0p100;1976;273270.3;992;t
US-OH;afiinct992;p0p100;1977;267737.2;992;t
US-OH;afiinct992;p0p100;1978;271328.2;992;t
US-OH;afiinct992;p0p100;1979;290543.8;992;t
US-OH;afiinct992;p0p100;1980;282007.3;992;t
US-OH;afiinct992;p0p100;1981;267720.9;992;t
US-OH;afiinct992;p0p100;1982;265943.7;992;t
US-OH;afiinct992;p0p100;1983;262553.5;992;t
US-OH;afiinct992;p0p100;1984;277302.3;992;t
US-OH;afiinct992;p0p100;1985;295743;992;t
US-OH;afiinct992;p0p100;1986;341919.5;992;t
US-OH;afiinct992;p0p100;1987;326290.2;992;t
US-OH;afiinct992;p0p100;1988;349583.6;992;t
US-OH;afiinct992;p0p100;1989;347332.8;992;t
US-OH;afiinct992;p0p100;1990;350254.3;992;t
US-OH;afiinct992;p0p100;1991;339492.5;992;t
US-OH;afiinct992;p0p100;1992;356016.4;992;t
US-OH;afiinct992;p0p100;1993;355159.3;992;t
US-OH;afiinct992;p0p100;1994;367134.4;992;t
US-OH;afiinct992;p0p100;1995;395625;992;t
US-OH;afiinct992;p0p100;1996;417101.3;992;t
US-OH;afiinct992;p0p100;1997;458420.1;992;t
US-OH;afiinct992;p0p100;1998;494741.9;992;t
US-OH;afiinct992;p0p100;1999;514071.1;992;t
US-OH;afiinct992;p0p100;2000;519651.4;992;t
US-OH;afiinct992;p0p100;2001;474106.1;992;t
US-OH;afiinct992;p0p100;2002;431783.4;992;t
US-OH;afiinct992;p0p100;2003;430916.5;992;t
US-OH;afiinct992;p0p100;2004;459839.8;992;t
US-OH;afiinct992;p0p100;2005;472659.6;992;t
US-OH;afiinct992;p0p100;2006;489211.3;992;t
US-OH;afiinct992;p0p100;2007;510952.1;992;t
US-OH;afiinct992;p0p100;2008;456079.8;992;t
US-OH;afiinct992;p0p100;2009;408375.4;992;t
US-OH;afiinct992;p0p100;2010;453350.7;992;t
US-OH;afiinct992;p0p100;2011;464917.8;992;t
US-OH;afiinct992;p0p100;2012;516973.7;992;t
US-OH;afiinct992;p0p100;2013;491436.1;992;t
US-OH;afiinct992;p0p100;2014;519230;992;t
US-OH;afiinct992;p0p100;2015;524941.7000000001;992;t
US-OH;afiinct992;p0p100;2016;517843.2;992;t
US-OH;afiinct992;p0p100;2017;529045.3;992;t
US-OH;afiinct992;p0p100;2018;550061.5;992;t
US-OH;npopult992;p0p100;1917;2316179;992;t
US-OH;npopult992;p0p100;1918;2327090;992;t
US-OH;npopult992;p0p100;1919;2368876;992;t
US-OH;npopult992;p0p100;1920;2425497;992;t
US-OH;npopult992;p0p100;1921;2474946;992;t
US-OH;npopult992;p0p100;1922;2511323;992;t
US-OH;npopult992;p0p100;1923;2556345;992;t
US-OH;npopult992;p0p100;1924;2607202;992;t
US-OH;npopult992;p0p100;1925;2647746;992;t
US-OH;npopult992;p0p100;1926;2684578;992;t
US-OH;npopult992;p0p100;1927;2722755;992;t
US-OH;npopult992;p0p100;1928;2756907;992;t
US-OH;npopult992;p0p100;1929;2785827;992;t
US-OH;npopult992;p0p100;1930;2815624;992;t
US-OH;npopult992;p0p100;1931;2844395;992;t
US-OH;npopult992;p0p100;1932;2869657;992;t
US-OH;npopult992;p0p100;1933;2893681;992;t
US-OH;npopult992;p0p100;1934;2919218;992;t
US-OH;npopult992;p0p100;1935;2946856;992;t
US-OH;npopult992;p0p100;1936;2973018;992;t
US-OH;npopult992;p0p100;1937;2998680;992;t
US-OH;npopult992;p0p100;1938;3029905;992;t
US-OH;npopult992;p0p100;1939;3062676;992;t
US-OH;npopult992;p0p100;1940;3100138;992;t
US-OH;npopult992;p0p100;1941;3114034;992;t
US-OH;npopult992;p0p100;1942;3131234;992;t
US-OH;npopult992;p0p100;1943;3157323;992;t
US-OH;npopult992;p0p100;1944;3177318;992;t
