country;variable;percentile;year;value;age;pop
US-OK;afiinct992;p0p100;1917;128152.9;992;t
US-OK;afiinct992;p0p100;1918;117655.2;992;t
US-OK;afiinct992;p0p100;1919;134718.1;992;t
US-OK;afiinct992;p0p100;1920;123031.1;992;t
US-OK;afiinct992;p0p100;1921;93247.8;992;t
US-OK;afiinct992;p0p100;1922;116994.2;992;t
US-OK;afiinct992;p0p100;1923;111110.2;992;t
US-OK;afiinct992;p0p100;1924;101257.3;992;t
US-OK;afiinct992;p0p100;1925;134841;992;t
US-OK;afiinct992;p0p100;1926;136124.1;992;t
US-OK;afiinct992;p0p100;1927;133973.2;992;t
US-OK;afiinct992;p0p100;1928;135027.3;992;t
US-OK;afiinct992;p0p100;1929;136687;992;t
US-OK;afiinct992;p0p100;1930;107965.8;992;t
US-OK;afiinct992;p0p100;1931;85635.6;992;t
US-OK;afiinct992;p0p100;1932;80863.3;992;t
US-OK;afiinct992;p0p100;1933;84965.5;992;t
US-OK;afiinct992;p0p100;1934;95522.20000000001;992;t
US-OK;afiinct992;p0p100;1935;100831.3;992;t
US-OK;afiinct992;p0p100;1936;110952.8;992;t
US-OK;afiinct992;p0p100;1937;110518.7;992;t
US-OK;afiinct992;p0p100;1938;102421.2;992;t
US-OK;afiinct992;p0p100;1939;107453.2;992;t
US-OK;afiinct992;p0p100;1940;107459.1;992;t
US-OK;afiinct992;p0p100;1941;112733.8;992;t
US-OK;afiinct992;p0p100;1942;116567;992;t
US-OK;afiinct992;p0p100;1943;126241.5;992;t
US-OK;afiinct992;p0p100;1944;107719.5;992;t
US-OK;afiinct992;p0p100;1945;125390;992;t
US-OK;afiinct992;p0p100;1946;119942.7;992;t
US-OK;afiinct992;p0p100;1947;122512.3;992;t
US-OK;afiinct992;p0p100;1948;156653.4;992;t
US-OK;afiinct992;p0p100;1949;155865.1;992;t
US-OK;afiinct992;p0p100;1950;176969.1;992;t
US-OK;afiinct992;p0p100;1951;171954.9;992;t
US-OK;afiinct992;p0p100;1952;154364.3;992;t
US-OK;afiinct992;p0p100;1953;164205.1;992;t
US-OK;afiinct992;p0p100;1954;170354.1;992;t
US-OK;afiinct992;p0p100;1955;174970.2;992;t
US-OK;afiinct992;p0p100;1956;172736.6;992;t
US-OK;afiinct992;p0p100;1957;185664.8;992;t
US-OK;afiinct992;p0p100;1958;165067.8;992;t
US-OK;afiinct992;p0p100;1959;186091.1;992;t
US-OK;afiinct992;p0p100;1960;184469.4;992;t
US-OK;afiinct992;p0p100;1961;189386.6;992;t
US-OK;afiinct992;p0p100;1962;191465.9;992;t
US-OK;afiinct992;p0p100;1963;198177.2;992;t
US-OK;afiinct992;p0p100;1964;230130.9;992;t
US-OK;afiinct992;p0p100;1965;245109.9;992;t
US-OK;afiinct992;p0p100;1966;216112;992;t
US-OK;afiinct992;p0p100;1967;252464.7;992;t
US-OK;afiinct992;p0p100;1968;251625.7;992;t
US-OK;afiinct992;p0p100;1969;241346.6;992;t
US-OK;afiinct992;p0p100;1970;227343.5;992;t
US-OK;afiinct992;p0p100;1971;238572.3;992;t
US-OK;afiinct992;p0p100;1972;253455.5;992;t
US-OK;afiinct992;p0p100;1973;267085.5;992;t
US-OK;afiinct992;p0p100;1974;262696.7;992;t
US-OK;afiinct992;p0p100;1975;257038.1;992;t
US-OK;afiinct992;p0p100;1976;263390.4;992;t
US-OK;afiinct992;p0p100;1977;271607.6;992;t
US-OK;afiinct992;p0p100;1978;290053.7;992;t
US-OK;afiinct992;p0p100;1979;298316.9;992;t
US-OK;afiinct992;p0p100;1980;327246.2;992;t
US-OK;afiinct992;p0p100;1981;339150.4;992;t
US-OK;afiinct992;p0p100;1982;323816.2;992;t
US-OK;afiinct992;p0p100;1983;317261.4;992;t
US-OK;afiinct992;p0p100;1984;320488.2;992;t
US-OK;afiinct992;p0p100;1985;327764.9;992;t
US-OK;afiinct992;p0p100;1986;325425.4;992;t
US-OK;afiinct992;p0p100;1987;287542.4;992;t
US-OK;afiinct992;p0p100;1988;304130.1;992;t
US-OK;afiinct992;p0p100;1989;308093.4;992;t
US-OK;afiinct992;p0p100;1990;320477.7;992;t
US-OK;afiinct992;p0p100;1991;315341.2;992;t
US-OK;afiinct992;p0p100;1992;320538.5;992;t
US-OK;afiinct992;p0p100;1993;314657.9;992;t
US-OK;afiinct992;p0p100;1994;317355.9;992;t
US-OK;afiinct992;p0p100;1995;337441.5;992;t
US-OK;afiinct992;p0p100;1996;356224.9;992;t
US-OK;afiinct992;p0p100;1997;388812;992;t
US-OK;afiinct992;p0p100;1998;418917.2;992;t
US-OK;afiinct992;p0p100;1999;438529.2;992;t
US-OK;afiinct992;p0p100;2000;450041.6;992;t
US-OK;afiinct992;p0p100;2001;429738.6;992;t
US-OK;afiinct992;p0p100;2002;379391.8;992;t
US-OK;afiinct992;p0p100;2003;390241.9;992;t
US-OK;afiinct992;p0p100;2004;417242.7;992;t
US-OK;afiinct992;p0p100;2005;461572;992;t
US-OK;afiinct992;p0p100;2006;520471.2;992;t
US-OK;afiinct992;p0p100;2007;551553.4;992;t
US-OK;afiinct992;p0p100;2008;528021.7000000001;992;t
US-OK;afiinct992;p0p100;2009;451461.8;992;t
US-OK;afiinct992;p0p100;2010;498913.7;992;t
US-OK;afiinct992;p0p100;2011;527256.8;992;t
US-OK;afiinct992;p0p100;2012;550320;992;t
US-OK;afiinct992;p0p100;2013;515702.7;992;t
US-OK;afiinct992;p0p100;2014;558177.3;992;t
