country;variable;percentile;year;value;age;pop
US-OR;afiinct992;p0p100;1917;141009.4;992;t
US-OR;afiinct992;p0p100;1918;139193.4;992;t
US-OR;afiinct992;p0p100;1919;156932.1;992;t
US-OR;afiinct992;p0p100;1920;123145.5;992;t
US-OR;afiinct992;p0p100;1921;118596.2;992;t
US-OR;afiinct992;p0p100;1922;128262.5;992;t
US-OR;afiinct992;p0p100;1923;129840.6;992;t
US-OR;afiinct992;p0p100;1924;139545.8;992;t
US-OR;afiinct992;p0p100;1925;147809.8;992;t
US-OR;afiinct992;p0p100;1926;147942.5;992;t
US-OR;afiinct992;p0p100;1927;150168.1;992;t
US-OR;afiinct992;p0p100;1928;151242.3;992;t
US-OR;afiinct992;p0p100;1929;149977.1;992;t
US-OR;afiinct992;p0p100;1930;128508.5;992;t
US-OR;afiinct992;p0p100;1931;110426.9;992;t
US-OR;afiinct992;p0p100;1932;90946.3;992;t
US-OR;afiinct992;p0p100;1933;91184.40000000001;992;t
US-OR;afiinct992;p0p100;1934;98643.3;992;t
US-OR;afiinct992;p0p100;1935;108385.6;992;t
US-OR;afiinct992;p0p100;1936;134712.7;992;t
US-OR;afiinct992;p0p100;1937;127271.1;992;t
US-OR;afiinct992;p0p100;1938;115186.7;992;t
US-OR;afiinct992;p0p100;1939;129429.4;992;t
US-OR;afiinct992;p0p100;1940;138688.5;992;t
US-OR;afiinct992;p0p100;1941;168860.1;992;t
US-OR;afiinct992;p0p100;1942;198271.6;992;t
US-OR;afiinct992;p0p100;1943;228248.3;992;t
US-OR;afiinct992;p0p100;1944;206795.9;992;t
US-OR;afiinct992;p0p100;1945;208774.2;992;t
US-OR;afiinct992;p0p100;1946;222254.3;992;t
US-OR;afiinct992;p0p100;1947;184556.5;992;t
US-OR;afiinct992;p0p100;1948;210853.7;992;t
US-OR;afiinct992;p0p100;1949;177963.2;992;t
US-OR;afiinct992;p0p100;1950;218827.7;992;t
US-OR;afiinct992;p0p100;1951;234669.6;992;t
US-OR;afiinct992;p0p100;1952;209691.8;992;t
US-OR;afiinct992;p0p100;1953;193176.3;992;t
US-OR;afiinct992;p0p100;1954;184572.5;992;t
US-OR;afiinct992;p0p100;1955;192000;992;t
US-OR;afiinct992;p0p100;1956;200259.9;992;t
US-OR;afiinct992;p0p100;1957;176358.7;992;t
US-OR;afiinct992;p0p100;1958;198707.9;992;t
US-OR;afiinct992;p0p100;1959;206683.3;992;t
US-OR;afiinct992;p0p100;1960;205825.4;992;t
US-OR;afiinct992;p0p100;1961;205393.9;992;t
US-OR;afiinct992;p0p100;1962;207745;992;t
US-OR;afiinct992;p0p100;1963;215908;992;t
US-OR;afiinct992;p0p100;1964;266808.4;992;t
US-OR;afiinct992;p0p100;1965;254940;992;t
US-OR;afiinct992;p0p100;1966;256836.4;992;t
US-OR;afiinct992;p0p100;1967;266981.2;992;t
US-OR;afiinct992;p0p100;1968;270685.8;992;t
US-OR;afiinct992;p0p100;1969;264278.2;992;t
US-OR;afiinct992;p0p100;1970;243389.5;992;t
US-OR;afiinct992;p0p100;1971;250760.1;992;t
US-OR;afiinct992;p0p100;1972;268960.2;992;t
US-OR;afiinct992;p0p100;1973;278185.4;992;t
US-OR;afiinct992;p0p100;1974;270385;992;t
US-OR;afiinct992;p0p100;1975;262221.5;992;t
US-OR;afiinct992;p0p100;1976;280659.5;992;t
US-OR;afiinct992;p0p100;1977;290833.9;992;t
US-OR;afiinct992;p0p100;1978;291510.7;992;t
US-OR;afiinct992;p0p100;1979;303167.8;992;t
US-OR;afiinct992;p0p100;1980;278119.3;992;t
US-OR;afiinct992;p0p100;1981;251191.8;992;t
US-OR;afiinct992;p0p100;1982;235607.2;992;t
US-OR;afiinct992;p0p100;1983;251040.8;992;t
US-OR;afiinct992;p0p100;1984;262830.5;992;t
US-OR;afiinct992;p0p100;1985;275213.6;992;t
