country;variable;percentile;year;value;age;pop
US-PA;npopult992;p0p100;1917;3198403;992;t
US-PA;npopult992;p0p100;1918;3196614;992;t
US-PA;npopult992;p0p100;1919;3236944;992;t
US-PA;npopult992;p0p100;1920;3296929;992;t
US-PA;npopult992;p0p100;1921;3353450;992;t
US-PA;npopult992;p0p100;1922;3391922;992;t
US-PA;npopult992;p0p100;1923;3441755;992;t
US-PA;npopult992;p0p100;1924;3499069;992;t
US-PA;npopult992;p0p100;1925;3542187;992;t
US-PA;npopult992;p0p100;1926;3580044;992;t
US-PA;npopult992;p0p100;1927;3619412;992;t
US-PA;npopult992;p0p100;1928;3653162;992;t
US-PA;npopult992;p0p100;1929;3679749;992;t
US-PA;npopult992;p0p100;1930;3707284;992;t
US-PA;npopult992;p0p100;1931;3747667;992;t
US-PA;npopult992;p0p100;1932;3783474;992;t
US-PA;npopult992;p0p100;1933;3817695;992;t
US-PA;npopult992;p0p100;1934;3853958;992;t
US-PA;npopult992;p0p100;1935;3893042;992;t
US-PA;npopult992;p0p100;1936;3930225;992;t
US-PA;npopult992;p0p100;1937;3966795;992;t
US-PA;npopult992;p0p100;1938;4010776;992;t
US-PA;npopult992;p0p100;1939;4056862;992;t
US-PA;npopult992;p0p100;1940;4109226;992;t
US-PA;npopult992;p0p100;1941;4106816;992;t
US-PA;npopult992;p0p100;1942;4108661;992;t
US-PA;npopult992;p0p100;1943;4121988;992;t
US-PA;npopult992;p0p100;1944;4127159;992;t
US-PA;npopult992;p0p100;1945;4127172;992;t
US-PA;npopult992;p0p100;1946;4123798;992;t
US-PA;npopult992;p0p100;1947;4155958;992;t
US-PA;npopult992;p0p100;1948;4179345;992;t
US-PA;npopult992;p0p100;1949;4202176;992;t
US-PA;npopult992;p0p100;1950;4237599;992;t
US-PA;npopult992;p0p100;1951;4251304;992;t
US-PA;npopult992;p0p100;1952;4264828;992;t
US-PA;npopult992;p0p100;1953;4275117;992;t
US-PA;npopult992;p0p100;1954;4288901;992;t
US-PA;npopult992;p0p100;1955;4302148;992;t
US-PA;npopult992;p0p100;1956;4314865;992;t
US-PA;npopult992;p0p100;1957;4328063;992;t
US-PA;npopult992;p0p100;1958;4334375;992;t
US-PA;npopult992;p0p100;1959;4339716;992;t
US-PA;npopult992;p0p100;1960;4340290;992;t
US-PA;npopult992;p0p100;1961;4389879;992;t
US-PA;npopult992;p0p100;1962;4434529;992;t
US-PA;npopult992;p0p100;1963;4475057;992;t
US-PA;npopult992;p0p100;1964;4513519;992;t
US-PA;npopult992;p0p100;1965;4545825;992;t
US-PA;npopult992;p0p100;1966;4573830;992;t
