country;variable;percentile;year;value;age;pop
US-RI;afiinct992;p0p100;1917;220392.2;992;t
US-RI;afiinct992;p0p100;1918;220449.4;992;t
US-RI;afiinct992;p0p100;1919;210864.7;992;t
US-RI;afiinct992;p0p100;1920;194378.7;992;t
US-RI;afiinct992;p0p100;1921;199363.8;992;t
US-RI;afiinct992;p0p100;1922;229570.5;992;t
US-RI;afiinct992;p0p100;1923;228078.8;992;t
US-RI;afiinct992;p0p100;1924;234663.7;992;t
US-RI;afiinct992;p0p100;1925;248105.8;992;t
US-RI;afiinct992;p0p100;1926;253604.8;992;t
US-RI;afiinct992;p0p100;1927;268449.1;992;t
US-RI;afiinct992;p0p100;1928;293091.6;992;t
US-RI;afiinct992;p0p100;1929;294809.3;992;t
US-RI;afiinct992;p0p100;1930;231209;992;t
US-RI;afiinct992;p0p100;1931;206956.7;992;t
US-RI;afiinct992;p0p100;1932;177742.7;992;t
US-RI;afiinct992;p0p100;1933;170176.3;992;t
US-RI;afiinct992;p0p100;1934;181856.2;992;t
US-RI;afiinct992;p0p100;1935;190926.1;992;t
US-RI;afiinct992;p0p100;1936;233554;992;t
US-RI;afiinct992;p0p100;1937;211443.2;992;t
US-RI;afiinct992;p0p100;1938;170415.5;992;t
US-RI;afiinct992;p0p100;1939;196083.8;992;t
US-RI;afiinct992;p0p100;1940;205393.3;992;t
US-RI;afiinct992;p0p100;1941;223980.5;992;t
US-RI;afiinct992;p0p100;1942;227170.2;992;t
US-RI;afiinct992;p0p100;1943;228344.8;992;t
US-RI;afiinct992;p0p100;1944;218806.2;992;t
US-RI;afiinct992;p0p100;1945;237818;992;t
US-RI;afiinct992;p0p100;1946;242434.1;992;t
US-RI;afiinct992;p0p100;1947;203827.3;992;t
US-RI;afiinct992;p0p100;1948;211322.5;992;t
US-RI;afiinct992;p0p100;1949;191170.9;992;t
US-RI;afiinct992;p0p100;1950;222218.7;992;t
US-RI;afiinct992;p0p100;1951;220525.1;992;t
US-RI;afiinct992;p0p100;1952;202462.9;992;t
US-RI;afiinct992;p0p100;1953;201369.1;992;t
US-RI;afiinct992;p0p100;1954;202956.4;992;t
US-RI;afiinct992;p0p100;1955;238338.7;992;t
US-RI;afiinct992;p0p100;1956;208010.3;992;t
US-RI;afiinct992;p0p100;1957;210798.6;992;t
US-RI;afiinct992;p0p100;1958;202508.2;992;t
US-RI;afiinct992;p0p100;1959;195728.5;992;t
US-RI;afiinct992;p0p100;1960;198194.6;992;t
US-RI;afiinct992;p0p100;1961;292936;992;t
US-RI;afiinct992;p0p100;1962;222897.5;992;t
US-RI;afiinct992;p0p100;1963;239865;992;t
US-RI;afiinct992;p0p100;1964;220231.6;992;t
US-RI;afiinct992;p0p100;1965;288941.5;992;t
US-RI;afiinct992;p0p100;1966;281259.1;992;t
US-RI;afiinct992;p0p100;1967;321728.7;992;t
US-RI;afiinct992;p0p100;1968;319663.6;992;t
US-RI;afiinct992;p0p100;1969;274672.9;992;t
US-RI;afiinct992;p0p100;1970;270804.8;992;t
US-RI;afiinct992;p0p100;1971;281973.6;992;t
US-RI;afiinct992;p0p100;1972;267780.1;992;t
US-RI;afiinct992;p0p100;1973;288901.8;992;t
US-RI;afiinct992;p0p100;1974;265202.8;992;t
US-RI;afiinct992;p0p100;1975;265807.6;992;t
US-RI;afiinct992;p0p100;1976;283011.3;992;t
US-RI;afiinct992;p0p100;1977;270785;992;t
US-RI;afiinct992;p0p100;1978;286107.8;992;t
US-RI;afiinct992;p0p100;1979;294659.1;992;t
US-RI;afiinct992;p0p100;1980;277053.8;992;t
US-RI;afiinct992;p0p100;1981;260123.8;992;t
US-RI;afiinct992;p0p100;1982;267637.9;992;t
US-RI;afiinct992;p0p100;1983;265675.8;992;t
US-RI;afiinct992;p0p100;1984;285892.3;992;t
US-RI;afiinct992;p0p100;1985;307791.4;992;t
US-RI;afiinct992;p0p100;1986;386716.7;992;t
US-RI;afiinct992;p0p100;1987;361513.2;992;t
US-RI;afiinct992;p0p100;1988;405890.7;992;t
US-RI;afiinct992;p0p100;1989;391537.8;992;t
US-RI;afiinct992;p0p100;1990;380264.6;992;t
US-RI;afiinct992;p0p100;1991;357382.1;992;t
US-RI;afiinct992;p0p100;1992;376314.9;992;t
US-RI;afiinct992;p0p100;1993;370861;992;t
US-RI;afiinct992;p0p100;1994;382804.7;992;t
US-RI;afiinct992;p0p100;1995;414620.1;992;t
US-RI;afiinct992;p0p100;1996;432839.8;992;t
US-RI;afiinct992;p0p100;1997;473274.7;992;t
US-RI;afiinct992;p0p100;1998;512354.5;992;t
US-RI;afiinct992;p0p100;1999;546623.3;992;t
US-RI;afiinct992;p0p100;2000;531318.5;992;t
US-RI;afiinct992;p0p100;2001;518322.7;992;t
US-RI;afiinct992;p0p100;2002;488256.2;992;t
US-RI;afiinct992;p0p100;2003;499001.3;992;t
US-RI;afiinct992;p0p100;2004;547276.6;992;t
US-RI;afiinct992;p0p100;2005;565966.1;992;t
US-RI;afiinct992;p0p100;2006;587051.4;992;t
US-RI;afiinct992;p0p100;2007;610955.8;992;t
US-RI;afiinct992;p0p100;2008;531523.7000000001;992;t
US-RI;afiinct992;p0p100;2009;484894.6;992;t
US-RI;afiinct992;p0p100;2010;488446.7;992;t
US-RI;afiinct992;p0p100;2011;487008.9;992;t
US-RI;afiinct992;p0p100;2012;522721.7;992;t
US-RI;afiinct992;p0p100;2013;528747.1;992;t
US-RI;afiinct992;p0p100;2014;545670.7000000001;992;t
US-RI;afiinct992;p0p100;2015;546220.7000000001;992;t
US-RI;afiinct992;p0p100;2016;550174.7000000001;992;t
US-RI;afiinct992;p0p100;2017;578233.2000000001;992;t
US-RI;afiinct992;p0p100;2018;588917.4;992;t
US-RI;npopult992;p0p100;1917;229181;992;t
US-RI;npopult992;p0p100;1918;228737;992;t
US-RI;npopult992;p0p100;1919;231304;992;t
US-RI;npopult992;p0p100;1920;235265;992;t
US-RI;npopult992;p0p100;1921;240156;992;t
US-RI;npopult992;p0p100;1922;243782;992;t
US-RI;npopult992;p0p100;1923;248251;992;t
US-RI;npopult992;p0p100;1924;253289;992;t
US-RI;npopult992;p0p100;1925;257329;992;t
US-RI;npopult992;p0p100;1926;261012;992;t
US-RI;npopult992;p0p100;1927;264828;992;t
US-RI;npopult992;p0p100;1928;268256;992;t
US-RI;npopult992;p0p100;1929;271176;992;t
US-RI;npopult992;p0p100;1930;274185;992;t
US-RI;npopult992;p0p100;1931;277418;992;t
US-RI;npopult992;p0p100;1932;280318;992;t
US-RI;npopult992;p0p100;1933;283105;992;t
US-RI;npopult992;p0p100;1934;286048;992;t
US-RI;npopult992;p0p100;1935;289206;992;t
US-RI;npopult992;p0p100;1936;292228;992;t
US-RI;npopult992;p0p100;1937;295210;992;t
US-RI;npopult992;p0p100;1938;298748;992;t
US-RI;npopult992;p0p100;1939;302450;992;t
US-RI;npopult992;p0p100;1940;306627;992;t
US-RI;npopult992;p0p100;1941;307537;992;t
US-RI;npopult992;p0p100;1942;308770;992;t
US-RI;npopult992;p0p100;1943;310874;992;t
US-RI;npopult992;p0p100;1944;312371;992;t
US-RI;npopult992;p0p100;1945;313484;992;t
US-RI;npopult992;p0p100;1946;314342;992;t
US-RI;npopult992;p0p100;1947;317920;992;t
US-RI;npopult992;p0p100;1948;320847;992;t
US-RI;npopult992;p0p100;1949;323748;992;t
US-RI;npopult992;p0p100;1950;327638;992;t
US-RI;npopult992;p0p100;1951;328476;992;t
US-RI;npopult992;p0p100;1952;329299;992;t
US-RI;npopult992;p0p100;1953;329871;992;t
US-RI;npopult992;p0p100;1954;330711;992;t
US-RI;npopult992;p0p100;1955;331509;992;t
US-RI;npopult992;p0p100;1956;332265;992;t
US-RI;npopult992;p0p100;1957;333056;992;t
US-RI;npopult992;p0p100;1958;333317;992;t
US-RI;npopult992;p0p100;1959;333503;992;t
US-RI;npopult992;p0p100;1960;333322;992;t
US-RI;npopult992;p0p100;1961;337997;992;t
US-RI;npopult992;p0p100;1962;342312;992;t
US-RI;npopult992;p0p100;1963;346329;992;t
US-RI;npopult992;p0p100;1964;350203;992;t
US-RI;npopult992;p0p100;1965;353617;992;t
US-RI;npopult992;p0p100;1966;356710;992;t
US-RI;npopult992;p0p100;1967;359577;992;t
US-RI;npopult992;p0p100;1968;362127;992;t
US-RI;npopult992;p0p100;1969;364603;992;t
US-RI;npopult992;p0p100;1970;367772;992;t
US-RI;npopult992;p0p100;1971;375246;992;t
US-RI;npopult992;p0p100;1972;382158;992;t
US-RI;npopult992;p0p100;1973;388772;992;t
US-RI;npopult992;p0p100;1974;395367;992;t
US-RI;npopult992;p0p100;1975;402395;992;t
US-RI;npopult992;p0p100;1976;409432;992;t
US-RI;npopult992;p0p100;1977;416858;992;t
US-RI;npopult992;p0p100;1978;424679;992;t
US-RI;npopult992;p0p100;1979;441345;992;t
US-RI;npopult992;p0p100;1980;440635;992;t
US-RI;npopult992;p0p100;1981;449749;992;t
US-RI;npopult992;p0p100;1982;459672;992;t
US-RI;npopult992;p0p100;1983;459672;992;t
US-RI;npopult992;p0p100;1984;462479;992;t
US-RI;npopult992;p0p100;1985;458182;992;t
US-RI;npopult992;p0p100;1986;463558;992;t
US-RI;npopult992;p0p100;1987;475312;992;t
US-RI;npopult992;p0p100;1988;487277;992;t
US-RI;npopult992;p0p100;1989;495119;992;t
US-RI;npopult992;p0p100;1990;505179;992;t
US-RI;npopult992;p0p100;1991;509066;992;t
US-RI;npopult992;p0p100;1992;499696;992;t
US-RI;npopult992;p0p100;1993;497610;992;t
US-RI;npopult992;p0p100;1994;493463;992;t
US-RI;npopult992;p0p100;1995;487559;992;t
US-RI;npopult992;p0p100;1996;493420;992;t
US-RI;npopult992;p0p100;1997;505417;992;t
