country;variable;percentile;year;value;age;pop
US-SC;afiinct992;p0p90;1917;9238.7;992;t
US-SC;afiinct992;p0p90;1918;9394.4;992;t
US-SC;afiinct992;p0p90;1919;8483.2;992;t
US-SC;afiinct992;p0p90;1920;5805.2;992;t
US-SC;afiinct992;p0p90;1921;4282.1;992;t
US-SC;afiinct992;p0p90;1922;4971.4;992;t
US-SC;afiinct992;p0p90;1923;5431.1;992;t
US-SC;afiinct992;p0p90;1924;5547.9;992;t
US-SC;afiinct992;p0p90;1925;6297.9;992;t
US-SC;afiinct992;p0p90;1926;6443;992;t
US-SC;afiinct992;p0p90;1927;6396;992;t
US-SC;afiinct992;p0p90;1928;6735.7;992;t
US-SC;afiinct992;p0p90;1929;7072.2;992;t
US-SC;afiinct992;p0p90;1930;6051.3;992;t
US-SC;afiinct992;p0p90;1931;5019.3;992;t
US-SC;afiinct992;p0p90;1932;3960;992;t
US-SC;afiinct992;p0p90;1933;4755.3;992;t
US-SC;afiinct992;p0p90;1934;5489.5;992;t
US-SC;afiinct992;p0p90;1935;6078;992;t
US-SC;afiinct992;p0p90;1936;6519.7;992;t
US-SC;afiinct992;p0p90;1937;6718.8;992;t
US-SC;afiinct992;p0p90;1938;6053.3;992;t
US-SC;afiinct992;p0p90;1939;6821.8;992;t
US-SC;afiinct992;p0p90;1940;7227.8;992;t
US-SC;afiinct992;p0p90;1941;9840.6;992;t
US-SC;afiinct992;p0p90;1942;14018.2;992;t
US-SC;afiinct992;p0p90;1943;15139.1;992;t
US-SC;afiinct992;p0p90;1944;16570.7;992;t
US-SC;afiinct992;p0p90;1945;14892.4;992;t
US-SC;afiinct992;p0p90;1946;13260.2;992;t
US-SC;afiinct992;p0p90;1947;12738.3;992;t
US-SC;afiinct992;p0p90;1948;14573.7;992;t
US-SC;afiinct992;p0p90;1949;13648.8;992;t
US-SC;afiinct992;p0p90;1950;14399.8;992;t
US-SC;afiinct992;p0p90;1952;18333.6;992;t
US-SC;afiinct992;p0p90;1953;19142;992;t
US-SC;afiinct992;p0p90;1954;17520.5;992;t
US-SC;afiinct992;p0p90;1955;18631.3;992;t
US-SC;afiinct992;p0p90;1956;18518;992;t
US-SC;afiinct992;p0p90;1957;18599.2;992;t
