country;variable;percentile;year;value;age;pop
US-SD;afiinct992;p0p90;1917;12534.7;992;t
US-SD;afiinct992;p0p90;1918;11801.1;992;t
US-SD;afiinct992;p0p90;1919;13678.3;992;t
US-SD;afiinct992;p0p90;1920;7085;992;t
US-SD;afiinct992;p0p90;1921;5885.3;992;t
US-SD;afiinct992;p0p90;1922;6925.3;992;t
US-SD;afiinct992;p0p90;1923;8109.2;992;t
US-SD;afiinct992;p0p90;1924;7244.1;992;t
US-SD;afiinct992;p0p90;1925;7669.8;992;t
US-SD;afiinct992;p0p90;1926;8719.4;992;t
US-SD;afiinct992;p0p90;1927;8959;992;t
US-SD;afiinct992;p0p90;1928;9301.9;992;t
US-SD;afiinct992;p0p90;1929;9573.3;992;t
US-SD;afiinct992;p0p90;1930;7839.9;992;t
US-SD;afiinct992;p0p90;1931;4677.5;992;t
US-SD;afiinct992;p0p90;1932;3968.1;992;t
US-SD;afiinct992;p0p90;1933;2309.8;992;t
US-SD;afiinct992;p0p90;1934;3817.8;992;t
US-SD;afiinct992;p0p90;1935;7687.2;992;t
US-SD;afiinct992;p0p90;1936;4766.9;992;t
US-SD;afiinct992;p0p90;1937;7113.5;992;t
US-SD;afiinct992;p0p90;1938;6940.4;992;t
US-SD;afiinct992;p0p90;1939;7586.8;992;t
US-SD;afiinct992;p0p90;1940;6916.1;992;t
US-SD;afiinct992;p0p90;1941;8281.9;992;t
US-SD;afiinct992;p0p90;1942;14253.5;992;t
US-SD;afiinct992;p0p90;1943;15017.7;992;t
US-SD;afiinct992;p0p90;1944;15672.7;992;t
US-SD;afiinct992;p0p90;1945;17627;992;t
US-SD;afiinct992;p0p90;1946;16224.8;992;t
US-SD;afiinct992;p0p90;1947;16564.9;992;t
US-SD;afiinct992;p0p90;1948;21007.6;992;t
US-SD;afiinct992;p0p90;1949;14873.6;992;t
US-SD;afiinct992;p0p90;1950;19178.1;992;t
US-SD;afiinct992;p0p90;1952;17570.3;992;t
US-SD;afiinct992;p0p90;1953;19611.7;992;t
US-SD;afiinct992;p0p90;1954;20251.7;992;t
US-SD;afiinct992;p0p90;1955;17962.8;992;t
US-SD;afiinct992;p0p90;1956;19178.8;992;t
US-SD;afiinct992;p0p90;1957;22811.5;992;t
US-SD;afiinct992;p0p90;1958;21628.4;992;t
US-SD;afiinct992;p0p90;1959;19567.9;992;t
US-SD;afiinct992;p0p90;1960;24779.5;992;t
US-SD;afiinct992;p0p90;1961;24218.8;992;t
US-SD;afiinct992;p0p90;1962;27827;992;t
US-SD;afiinct992;p0p90;1963;26075;992;t
US-SD;afiinct992;p0p90;1964;24329.6;992;t
US-SD;afiinct992;p0p90;1965;28044.9;992;t
US-SD;afiinct992;p0p90;1966;29434.8;992;t
US-SD;afiinct992;p0p90;1967;28814.1;992;t
US-SD;afiinct992;p0p90;1968;29357.1;992;t
US-SD;afiinct992;p0p90;1969;30067;992;t
US-SD;afiinct992;p0p90;1970;31177.4;992;t
US-SD;afiinct992;p0p90;1971;31844.1;992;t
US-SD;afiinct992;p0p90;1972;35843;992;t
US-SD;afiinct992;p0p90;1973;41641.8;992;t
US-SD;afiinct992;p0p90;1974;35529.4;992;t
US-SD;afiinct992;p0p90;1975;34637.5;992;t
US-SD;afiinct992;p0p90;1976;30924.5;992;t
US-SD;afiinct992;p0p90;1977;33476.3;992;t
US-SD;afiinct992;p0p90;1978;35740.3;992;t
US-SD;afiinct992;p0p90;1979;36838.8;992;t
US-SD;afiinct992;p0p90;1980;30261.2;992;t
US-SD;afiinct992;p0p90;1981;32900.6;992;t
US-SD;afiinct992;p0p90;1982;37058.5;992;t
US-SD;afiinct992;p0p90;1983;35701;992;t
US-SD;afiinct992;p0p90;1984;36950.4;992;t
US-SD;afiinct992;p0p90;1985;34781.6;992;t
US-SD;afiinct992;p0p90;1986;35897.3;992;t
US-SD;afiinct992;p0p90;1987;36568.3;992;t
US-SD;afiinct992;p0p90;1988;35167.6;992;t
US-SD;afiinct992;p0p90;1989;35203.1;992;t
US-SD;afiinct992;p0p90;1990;38464.1;992;t
US-SD;afiinct992;p0p90;1991;36772.1;992;t
US-SD;afiinct992;p0p90;1992;36907.9;992;t
US-SD;afiinct992;p0p90;1993;35895.1;992;t
US-SD;afiinct992;p0p90;1994;40425.5;992;t
US-SD;afiinct992;p0p90;1995;37727.5;992;t
US-SD;afiinct992;p0p90;1996;42354.3;992;t
US-SD;afiinct992;p0p90;1997;40597.5;992;t
US-SD;afiinct992;p0p90;1998;44125.9;992;t
US-SD;afiinct992;p0p90;1999;45652.8;992;t
US-SD;afiinct992;p0p90;2000;47459.5;992;t
US-SD;afiinct992;p0p90;2001;44230.1;992;t
US-SD;afiinct992;p0p90;2002;39045.8;992;t
US-SD;afiinct992;p0p90;2003;45168.6;992;t
US-SD;afiinct992;p0p90;2004;47169.8;992;t
US-SD;afiinct992;p0p90;2005;48374.6;992;t
US-SD;afiinct992;p0p90;2006;46802.2;992;t
US-SD;afiinct992;p0p90;2007;53658.3;992;t
