country;variable;percentile;year;value;age;pop
US-TN;afiinct992;p0p90;1917;7517.3;992;t
US-TN;afiinct992;p0p90;1918;6927.2;992;t
US-TN;afiinct992;p0p90;1919;6550.7;992;t
US-TN;afiinct992;p0p90;1920;5368.2;992;t
US-TN;afiinct992;p0p90;1921;5022.8;992;t
US-TN;afiinct992;p0p90;1922;5712.5;992;t
US-TN;afiinct992;p0p90;1923;6274.2;992;t
US-TN;afiinct992;p0p90;1924;6210;992;t
US-TN;afiinct992;p0p90;1925;7248.2;992;t
US-TN;afiinct992;p0p90;1926;7139.5;992;t
US-TN;afiinct992;p0p90;1927;7249.2;992;t
US-TN;afiinct992;p0p90;1928;7413.6;992;t
US-TN;afiinct992;p0p90;1929;7942.4;992;t
US-TN;afiinct992;p0p90;1930;6462.8;992;t
US-TN;afiinct992;p0p90;1931;5527.7;992;t
US-TN;afiinct992;p0p90;1932;3968.9;992;t
US-TN;afiinct992;p0p90;1933;4523.2;992;t
US-TN;afiinct992;p0p90;1934;5348.5;992;t
US-TN;afiinct992;p0p90;1935;5714.1;992;t
US-TN;afiinct992;p0p90;1936;6301.8;992;t
US-TN;afiinct992;p0p90;1937;6809.4;992;t
US-TN;afiinct992;p0p90;1938;5737.5;992;t
US-TN;afiinct992;p0p90;1939;5790.2;992;t
US-TN;afiinct992;p0p90;1940;5593.9;992;t
US-TN;afiinct992;p0p90;1941;7738.2;992;t
US-TN;afiinct992;p0p90;1942;10217.6;992;t
US-TN;afiinct992;p0p90;1943;13898.9;992;t
US-TN;afiinct992;p0p90;1944;16109.8;992;t
US-TN;afiinct992;p0p90;1945;15685;992;t
US-TN;afiinct992;p0p90;1946;13085.4;992;t
US-TN;afiinct992;p0p90;1947;12844.4;992;t
US-TN;afiinct992;p0p90;1948;13517.2;992;t
US-TN;afiinct992;p0p90;1949;12887.2;992;t
US-TN;afiinct992;p0p90;1950;13903.6;992;t
US-TN;afiinct992;p0p90;1952;14984.5;992;t
US-TN;afiinct992;p0p90;1953;16141.7;992;t
US-TN;afiinct992;p0p90;1954;15954.5;992;t
US-TN;afiinct992;p0p90;1955;16683.7;992;t
US-TN;afiinct992;p0p90;1956;17859.9;992;t
US-TN;afiinct992;p0p90;1957;17660;992;t
US-TN;afiinct992;p0p90;1958;17430.9;992;t
US-TN;afiinct992;p0p90;1959;19029.7;992;t
US-TN;afiinct992;p0p90;1960;18762.1;992;t
US-TN;afiinct992;p0p90;1961;19506.5;992;t
US-TN;afiinct992;p0p90;1962;19448.9;992;t
US-TN;afiinct992;p0p90;1963;20506.1;992;t
US-TN;afiinct992;p0p90;1964;21612.3;992;t
US-TN;afiinct992;p0p90;1965;22548.1;992;t
US-TN;afiinct992;p0p90;1966;23777.9;992;t
US-TN;afiinct992;p0p90;1967;24980.9;992;t
US-TN;afiinct992;p0p90;1968;26763.4;992;t
US-TN;afiinct992;p0p90;1969;26531.1;992;t
US-TN;afiinct992;p0p90;1970;26550.6;992;t
US-TN;afiinct992;p0p90;1971;26452.5;992;t
US-TN;afiinct992;p0p90;1972;28493.4;992;t
US-TN;afiinct992;p0p90;1973;29517.8;992;t
US-TN;afiinct992;p0p90;1974;29581.8;992;t
US-TN;afiinct992;p0p90;1975;27107;992;t
US-TN;afiinct992;p0p90;1976;28971;992;t
US-TN;afiinct992;p0p90;1977;29442;992;t
US-TN;afiinct992;p0p90;1978;30405.2;992;t
US-TN;afiinct992;p0p90;1979;30883.8;992;t
US-TN;afiinct992;p0p90;1980;29537.5;992;t
US-TN;afiinct992;p0p90;1981;28287.1;992;t
US-TN;afiinct992;p0p90;1982;28008;992;t
US-TN;afiinct992;p0p90;1983;28324.6;992;t
US-TN;afiinct992;p0p90;1984;28040.8;992;t
US-TN;afiinct992;p0p90;1985;29077.2;992;t
US-TN;afiinct992;p0p90;1986;30033;992;t
US-TN;afiinct992;p0p90;1987;30926.1;992;t
US-TN;afiinct992;p0p90;1988;31214;992;t
US-TN;afiinct992;p0p90;1989;30968.9;992;t
US-TN;afiinct992;p0p90;1990;32328.1;992;t
US-TN;afiinct992;p0p90;1991;30682.7;992;t
US-TN;afiinct992;p0p90;1992;31168.2;992;t
US-TN;afiinct992;p0p90;1993;31508.1;992;t
US-TN;afiinct992;p0p90;1994;31822.4;992;t
US-TN;afiinct992;p0p90;1995;33614.7;992;t
US-TN;afiinct992;p0p90;1996;33487;992;t
US-TN;afiinct992;p0p90;1997;35226.3;992;t
US-TN;afiinct992;p0p90;1998;39938.4;992;t
US-TN;afiinct992;p0p90;1999;41669.5;992;t
US-TN;afiinct992;p0p90;2000;42177.3;992;t
US-TN;afiinct992;p0p90;2001;38509.1;992;t
US-TN;afiinct992;p0p90;2002;37565.9;992;t
US-TN;afiinct992;p0p90;2003;36445.1;992;t
US-TN;afiinct992;p0p90;2004;37008.2;992;t
US-TN;afiinct992;p0p90;2005;38370;992;t
US-TN;afiinct992;p0p90;2006;36333.4;992;t
US-TN;afiinct992;p0p90;2007;37423.5;992;t
US-TN;afiinct992;p0p90;2008;35571.2;992;t
US-TN;afiinct992;p0p90;2009;33974.9;992;t
US-TN;afiinct992;p0p90;2010;34048.7;992;t
US-TN;afiinct992;p0p90;2011;34434.8;992;t
US-TN;afiinct992;p0p90;2012;35417.2;992;t
US-TN;afiinct992;p0p90;2013;35282.2;992;t
US-TN;afiinct992;p0p90;2014;35969.3;992;t
US-TN;afiinct992;p0p90;2015;37027.5;992;t
US-TN;afiinct992;p0p90;2016;35122.9;992;t
US-TN;afiinct992;p0p90;2017;36883.8;992;t
US-TN;afiinct992;p0p90;2018;37017.1;992;t
US-TN;afiinct992;p0p99;1917;8899.8;992;t
US-TN;afiinct992;p0p99;1918;8332.9;992;t
US-TN;afiinct992;p0p99;1919;8166.3;992;t
US-TN;afiinct992;p0p99;1920;6987.1;992;t
US-TN;afiinct992;p0p99;1921;6676.9;992;t
US-TN;afiinct992;p0p99;1922;7552.1;992;t
US-TN;afiinct992;p0p99;1923;8392.8;992;t
US-TN;afiinct992;p0p99;1924;8247.7;992;t
US-TN;afiinct992;p0p99;1925;8545.9;992;t
US-TN;afiinct992;p0p99;1926;8457.3;992;t
US-TN;afiinct992;p0p99;1927;8507;992;t
US-TN;afiinct992;p0p99;1928;8723.7;992;t
US-TN;afiinct992;p0p99;1929;9180.5;992;t
US-TN;afiinct992;p0p99;1930;7924.6;992;t
US-TN;afiinct992;p0p99;1931;7120.8;992;t
US-TN;afiinct992;p0p99;1932;5650.5;992;t
US-TN;afiinct992;p0p99;1933;6165.2;992;t
US-TN;afiinct992;p0p99;1934;7044.3;992;t
US-TN;afiinct992;p0p99;1935;7506.1;992;t
US-TN;afiinct992;p0p99;1936;8141.3;992;t
US-TN;afiinct992;p0p99;1937;8691.8;992;t
US-TN;afiinct992;p0p99;1938;7771.1;992;t
US-TN;afiinct992;p0p99;1939;8111.3;992;t
US-TN;afiinct992;p0p99;1940;8735.1;992;t
US-TN;afiinct992;p0p99;1941;10893.4;992;t
US-TN;afiinct992;p0p99;1942;13276.5;992;t
US-TN;afiinct992;p0p99;1943;17082.8;992;t
US-TN;afiinct992;p0p99;1944;18572.2;992;t
US-TN;afiinct992;p0p99;1945;18688;992;t
US-TN;afiinct992;p0p99;1946;16603.3;992;t
US-TN;afiinct992;p0p99;1947;16121.7;992;t
US-TN;afiinct992;p0p99;1948;17007.7;992;t
US-TN;afiinct992;p0p99;1949;16513.1;992;t
US-TN;afiinct992;p0p99;1950;17854.5;992;t
US-TN;afiinct992;p0p99;1951;13669.7;992;t
US-TN;afiinct992;p0p99;1952;19435.3;992;t
US-TN;afiinct992;p0p99;1953;20779.7;992;t
US-TN;afiinct992;p0p99;1954;20635.7;992;t
US-TN;afiinct992;p0p99;1955;21512.4;992;t
US-TN;afiinct992;p0p99;1956;22352.7;992;t
US-TN;afiinct992;p0p99;1957;22274.1;992;t
US-TN;afiinct992;p0p99;1958;22164.6;992;t
US-TN;afiinct992;p0p99;1959;24027.5;992;t
US-TN;afiinct992;p0p99;1960;23951;992;t
US-TN;afiinct992;p0p99;1961;24882.7;992;t
US-TN;afiinct992;p0p99;1962;25246.9;992;t
US-TN;afiinct992;p0p99;1963;26236.4;992;t
US-TN;afiinct992;p0p99;1964;27577.1;992;t
US-TN;afiinct992;p0p99;1965;28986.8;992;t
US-TN;afiinct992;p0p99;1966;30632.2;992;t
US-TN;afiinct992;p0p99;1967;31677.2;992;t
US-TN;afiinct992;p0p99;1968;33695.7;992;t
US-TN;afiinct992;p0p99;1969;33470.1;992;t
US-TN;afiinct992;p0p99;1970;33624.5;992;t
US-TN;afiinct992;p0p99;1971;34001;992;t
US-TN;afiinct992;p0p99;1972;36071.2;992;t
US-TN;afiinct992;p0p99;1973;37713.5;992;t
US-TN;afiinct992;p0p99;1974;37249.3;992;t
US-TN;afiinct992;p0p99;1975;34618;992;t
US-TN;afiinct992;p0p99;1976;36470;992;t
US-TN;afiinct992;p0p99;1977;37092.9;992;t
US-TN;afiinct992;p0p99;1978;38446.8;992;t
US-TN;afiinct992;p0p99;1979;38916.9;992;t
US-TN;afiinct992;p0p99;1980;37444;992;t
US-TN;afiinct992;p0p99;1981;36350.4;992;t
US-TN;afiinct992;p0p99;1982;35002.8;992;t
US-TN;afiinct992;p0p99;1983;35896.7;992;t
US-TN;afiinct992;p0p99;1984;36393.6;992;t
US-TN;afiinct992;p0p99;1985;37442.6;992;t
US-TN;afiinct992;p0p99;1986;39087.9;992;t
US-TN;afiinct992;p0p99;1987;39940.1;992;t
US-TN;afiinct992;p0p99;1988;40508.6;992;t
US-TN;afiinct992;p0p99;1989;40370;992;t
US-TN;afiinct992;p0p99;1990;41930.3;992;t
US-TN;afiinct992;p0p99;1991;40442.3;992;t
US-TN;afiinct992;p0p99;1992;41196;992;t
US-TN;afiinct992;p0p99;1993;41621.8;992;t
US-TN;afiinct992;p0p99;1994;42215.6;992;t
US-TN;afiinct992;p0p99;1995;44521.7;992;t
US-TN;afiinct992;p0p99;1996;44853.9;992;t
US-TN;afiinct992;p0p99;1997;47030.9;992;t
US-TN;afiinct992;p0p99;1998;52041;992;t
US-TN;afiinct992;p0p99;1999;54365.5;992;t
US-TN;afiinct992;p0p99;2000;54577.2;992;t
US-TN;afiinct992;p0p99;2001;50704.5;992;t
US-TN;afiinct992;p0p99;2002;49515;992;t
US-TN;afiinct992;p0p99;2003;48539.7;992;t
US-TN;afiinct992;p0p99;2004;49435.5;992;t
US-TN;afiinct992;p0p99;2005;51017.5;992;t
US-TN;afiinct992;p0p99;2006;49527.2;992;t
US-TN;afiinct992;p0p99;2007;50968.1;992;t
US-TN;afiinct992;p0p99;2008;48268.4;992;t
US-TN;afiinct992;p0p99;2009;46158.8;992;t
US-TN;afiinct992;p0p99;2010;46730.8;992;t
US-TN;afiinct992;p0p99;2011;47217;992;t
US-TN;afiinct992;p0p99;2012;48626.1;992;t
US-TN;afiinct992;p0p99;2013;48483.6;992;t
US-TN;afiinct992;p0p99;2014;49657;992;t
US-TN;afiinct992;p0p99;2015;51194.5;992;t
US-TN;afiinct992;p0p99;2016;49467.1;992;t
US-TN;afiinct992;p0p99;2017;51938.9;992;t
US-TN;afiinct992;p0p99;2018;52408.7;992;t
US-TN;afiinct992;p90p100;1917;34960.8;992;t
US-TN;afiinct992;p90p100;1918;35200.3;992;t
US-TN;afiinct992;p90p100;1919;38638;992;t
US-TN;afiinct992;p90p100;1920;34221.8;992;t
US-TN;afiinct992;p90p100;1921;32736.1;992;t
