country;variable;percentile;year;value;age;pop
US-TX;npopult992;p0p100;1917;1653864;992;t
US-TX;npopult992;p0p100;1918;1665868;992;t
US-TX;npopult992;p0p100;1919;1700081;992;t
US-TX;npopult992;p0p100;1920;1745130;992;t
US-TX;npopult992;p0p100;1921;1802558;992;t
US-TX;npopult992;p0p100;1922;1851495;992;t
US-TX;npopult992;p0p100;1923;1907814;992;t
US-TX;npopult992;p0p100;1924;1969645;992;t
US-TX;npopult992;p0p100;1925;2024819;992;t
US-TX;npopult992;p0p100;1926;2078176;992;t
US-TX;npopult992;p0p100;1927;2133592;992;t
US-TX;npopult992;p0p100;1928;2186863;992;t
US-TX;npopult992;p0p100;1929;2236918;992;t
US-TX;npopult992;p0p100;1930;2288586;992;t
US-TX;npopult992;p0p100;1931;2331566;992;t
US-TX;npopult992;p0p100;1932;2372209;992;t
US-TX;npopult992;p0p100;1933;2412343;992;t
US-TX;npopult992;p0p100;1934;2454257;992;t
US-TX;npopult992;p0p100;1935;2498491;992;t
US-TX;npopult992;p0p100;1936;2542035;992;t
US-TX;npopult992;p0p100;1937;2585707;992;t
US-TX;npopult992;p0p100;1938;2634774;992;t
US-TX;npopult992;p0p100;1939;2685843;992;t
US-TX;npopult992;p0p100;1940;2741738;992;t
US-TX;npopult992;p0p100;1941;2772655;992;t
US-TX;npopult992;p0p100;1942;2806825;992;t
US-TX;npopult992;p0p100;1943;2849354;992;t
US-TX;npopult992;p0p100;1944;2886792;992;t
US-TX;npopult992;p0p100;1945;2921066;992;t
US-TX;npopult992;p0p100;1946;2953322;992;t
US-TX;npopult992;p0p100;1947;3011681;992;t
US-TX;npopult992;p0p100;1948;3064578;992;t
US-TX;npopult992;p0p100;1949;3117893;992;t
US-TX;npopult992;p0p100;1950;3181497;992;t
US-TX;npopult992;p0p100;1951;3223608;992;t
US-TX;npopult992;p0p100;1952;3266105;992;t
US-TX;npopult992;p0p100;1953;3306627;992;t
US-TX;npopult992;p0p100;1954;3350362;992;t
US-TX;npopult992;p0p100;1955;3394216;992;t
US-TX;npopult992;p0p100;1956;3438190;992;t
US-TX;npopult992;p0p100;1957;3483091;992;t
US-TX;npopult992;p0p100;1958;3522948;992;t
US-TX;npopult992;p0p100;1959;3562457;992;t
US-TX;npopult992;p0p100;1960;3598450;992;t
US-TX;npopult992;p0p100;1961;3680324;992;t
US-TX;npopult992;p0p100;1962;3759392;992;t
US-TX;npopult992;p0p100;1963;3836237;992;t
US-TX;npopult992;p0p100;1964;3912540;992;t
US-TX;npopult992;p0p100;1965;3984674;992;t
US-TX;npopult992;p0p100;1966;4054122;992;t
US-TX;npopult992;p0p100;1967;4121886;992;t
US-TX;npopult992;p0p100;1968;4186838;992;t
US-TX;npopult992;p0p100;1969;4251743;992;t
US-TX;npopult992;p0p100;1970;4325607;992;t
US-TX;npopult992;p0p100;1971;4461045;992;t
US-TX;npopult992;p0p100;1972;4592136;992;t
US-TX;npopult992;p0p100;1973;4721906;992;t
US-TX;npopult992;p0p100;1974;4853714;992;t
US-TX;npopult992;p0p100;1975;4993182;992;t
US-TX;npopult992;p0p100;1976;5135206;992;t
US-TX;npopult992;p0p100;1977;5284629;992;t
US-TX;npopult992;p0p100;1978;5441746;992;t
US-TX;npopult992;p0p100;1979;5539903;992;t
US-TX;npopult992;p0p100;1980;5768448;992;t
US-TX;npopult992;p0p100;1981;5919548;992;t
US-TX;npopult992;p0p100;1982;6378283;992;t
US-TX;npopult992;p0p100;1983;6378283;992;t
US-TX;npopult992;p0p100;1984;6893178;992;t
US-TX;npopult992;p0p100;1985;6962777;992;t
US-TX;npopult992;p0p100;1986;7131112;992;t
US-TX;npopult992;p0p100;1987;7325498;992;t
US-TX;npopult992;p0p100;1988;7222601;992;t
US-TX;npopult992;p0p100;1989;7298629;992;t
