country;variable;percentile;year;value;age;pop
US-UT;afiinct992;p0p100;1917;134884.9;992;t
US-UT;afiinct992;p0p100;1918;128223.4;992;t
US-UT;afiinct992;p0p100;1919;122054.2;992;t
US-UT;afiinct992;p0p100;1920;102216.2;992;t
US-UT;afiinct992;p0p100;1921;100504.5;992;t
US-UT;afiinct992;p0p100;1922;109272.8;992;t
US-UT;afiinct992;p0p100;1923;111828.1;992;t
US-UT;afiinct992;p0p100;1924;126812.8;992;t
US-UT;afiinct992;p0p100;1925;136049.6;992;t
US-UT;afiinct992;p0p100;1926;135834;992;t
US-UT;afiinct992;p0p100;1927;138338.3;992;t
US-UT;afiinct992;p0p100;1928;150954.5;992;t
US-UT;afiinct992;p0p100;1929;152684.2;992;t
US-UT;afiinct992;p0p100;1930;128053.6;992;t
US-UT;afiinct992;p0p100;1931;108450.1;992;t
US-UT;afiinct992;p0p100;1932;92378.40000000001;992;t
US-UT;afiinct992;p0p100;1933;91451.90000000001;992;t
US-UT;afiinct992;p0p100;1934;100656.3;992;t
US-UT;afiinct992;p0p100;1935;107880.9;992;t
US-UT;afiinct992;p0p100;1936;126902.7;992;t
US-UT;afiinct992;p0p100;1937;125058.2;992;t
US-UT;afiinct992;p0p100;1938;112677.6;992;t
US-UT;afiinct992;p0p100;1939;119933.2;992;t
US-UT;afiinct992;p0p100;1940;124722;992;t
US-UT;afiinct992;p0p100;1941;134117.2;992;t
US-UT;afiinct992;p0p100;1942;148864.2;992;t
US-UT;afiinct992;p0p100;1943;163742.8;992;t
US-UT;afiinct992;p0p100;1944;138854.4;992;t
US-UT;afiinct992;p0p100;1945;148932.8;992;t
US-UT;afiinct992;p0p100;1946;172815.8;992;t
US-UT;afiinct992;p0p100;1947;154686;992;t
US-UT;afiinct992;p0p100;1948;159615.6;992;t
US-UT;afiinct992;p0p100;1949;149607.2;992;t
US-UT;afiinct992;p0p100;1950;158785.7;992;t
US-UT;afiinct992;p0p100;1951;185891.8;992;t
US-UT;afiinct992;p0p100;1952;160614.2;992;t
US-UT;afiinct992;p0p100;1953;154397.6;992;t
US-UT;afiinct992;p0p100;1954;174490.3;992;t
US-UT;afiinct992;p0p100;1955;181935.7;992;t
US-UT;afiinct992;p0p100;1956;181825.3;992;t
US-UT;afiinct992;p0p100;1957;196640.6;992;t
US-UT;afiinct992;p0p100;1958;164664.4;992;t
US-UT;afiinct992;p0p100;1959;201136.9;992;t
US-UT;afiinct992;p0p100;1960;195498.4;992;t
US-UT;afiinct992;p0p100;1961;197475.3;992;t
US-UT;afiinct992;p0p100;1962;191394.2;992;t
US-UT;afiinct992;p0p100;1963;213325.3;992;t
US-UT;afiinct992;p0p100;1964;248066.1;992;t
US-UT;afiinct992;p0p100;1965;268654;992;t
US-UT;afiinct992;p0p100;1966;217475;992;t
US-UT;afiinct992;p0p100;1967;239534.6;992;t
US-UT;afiinct992;p0p100;1968;229826.4;992;t
US-UT;afiinct992;p0p100;1969;229142;992;t
US-UT;afiinct992;p0p100;1970;215792.8;992;t
US-UT;afiinct992;p0p100;1971;250894.9;992;t
US-UT;afiinct992;p0p100;1972;242853.8;992;t
US-UT;afiinct992;p0p100;1973;260132.9;992;t
US-UT;afiinct992;p0p100;1974;251655.1;992;t
US-UT;afiinct992;p0p100;1975;242421.6;992;t
US-UT;afiinct992;p0p100;1976;248691.9;992;t
US-UT;afiinct992;p0p100;1977;281704.4;992;t
US-UT;afiinct992;p0p100;1978;274048.3;992;t
US-UT;afiinct992;p0p100;1979;275053.3;992;t
US-UT;afiinct992;p0p100;1980;270244.2;992;t
US-UT;afiinct992;p0p100;1981;248164.3;992;t
US-UT;afiinct992;p0p100;1982;239634.2;992;t
US-UT;afiinct992;p0p100;1983;256044.1;992;t
US-UT;afiinct992;p0p100;1984;264371.1;992;t
US-UT;afiinct992;p0p100;1985;276136.2;992;t
US-UT;afiinct992;p0p100;1986;322028;992;t
US-UT;afiinct992;p0p100;1987;292282.2;992;t
US-UT;afiinct992;p0p100;1988;324458.6;992;t
US-UT;afiinct992;p0p100;1989;323065.9;992;t
US-UT;afiinct992;p0p100;1990;323552.1;992;t
US-UT;afiinct992;p0p100;1991;331871.6;992;t
US-UT;afiinct992;p0p100;1992;356313.7;992;t
US-UT;afiinct992;p0p100;1993;365437.8;992;t
US-UT;afiinct992;p0p100;1994;388135.2;992;t
US-UT;afiinct992;p0p100;1995;428378.2;992;t
US-UT;afiinct992;p0p100;1996;467752.2;992;t
US-UT;afiinct992;p0p100;1997;484036.4;992;t
US-UT;afiinct992;p0p100;1998;503175.2;992;t
US-UT;afiinct992;p0p100;1999;525712.8;992;t
US-UT;afiinct992;p0p100;2000;526756.2000000001;992;t
US-UT;afiinct992;p0p100;2001;479184.3;992;t
US-UT;afiinct992;p0p100;2002;448982;992;t
US-UT;afiinct992;p0p100;2003;450302;992;t
US-UT;afiinct992;p0p100;2004;488648.5;992;t
US-UT;afiinct992;p0p100;2005;566338.7000000001;992;t
US-UT;afiinct992;p0p100;2006;611786.7000000001;992;t
US-UT;afiinct992;p0p100;2007;628196.5;992;t
US-UT;afiinct992;p0p100;2008;524066.7;992;t
US-UT;afiinct992;p0p100;2009;461258.9;992;t
US-UT;afiinct992;p0p100;2010;465920.6;992;t
