country;variable;percentile;year;value;age;pop
US-VA;afiinct992;p0p90;1917;9506.2;992;t
US-VA;afiinct992;p0p90;1918;8677.4;992;t
US-VA;afiinct992;p0p90;1919;8311.7;992;t
US-VA;afiinct992;p0p90;1920;6901.3;992;t
US-VA;afiinct992;p0p90;1921;6067.8;992;t
US-VA;afiinct992;p0p90;1922;7273.1;992;t
US-VA;afiinct992;p0p90;1923;8041.3;992;t
US-VA;afiinct992;p0p90;1924;8102.9;992;t
US-VA;afiinct992;p0p90;1925;9270.3;992;t
US-VA;afiinct992;p0p90;1926;9210.7;992;t
US-VA;afiinct992;p0p90;1927;9380.6;992;t
US-VA;afiinct992;p0p90;1928;9794.5;992;t
US-VA;afiinct992;p0p90;1929;10232.4;992;t
US-VA;afiinct992;p0p90;1930;8462.9;992;t
US-VA;afiinct992;p0p90;1931;8552.5;992;t
US-VA;afiinct992;p0p90;1932;6729.7;992;t
US-VA;afiinct992;p0p90;1933;7259;992;t
US-VA;afiinct992;p0p90;1934;7721;992;t
US-VA;afiinct992;p0p90;1935;8377.2;992;t
US-VA;afiinct992;p0p90;1936;8829.3;992;t
US-VA;afiinct992;p0p90;1937;9526.7;992;t
US-VA;afiinct992;p0p90;1938;8821.9;992;t
US-VA;afiinct992;p0p90;1939;9598.7;992;t
US-VA;afiinct992;p0p90;1940;9987.5;992;t
US-VA;afiinct992;p0p90;1941;14714.3;992;t
US-VA;afiinct992;p0p90;1942;23777.1;992;t
US-VA;afiinct992;p0p90;1943;25056.1;992;t
US-VA;afiinct992;p0p90;1944;25973.5;992;t
US-VA;afiinct992;p0p90;1945;25155.4;992;t
US-VA;afiinct992;p0p90;1946;22168.6;992;t
US-VA;afiinct992;p0p90;1947;18532.7;992;t
US-VA;afiinct992;p0p90;1948;19818.4;992;t
US-VA;afiinct992;p0p90;1949;19589.5;992;t
US-VA;afiinct992;p0p90;1950;21334.9;992;t
US-VA;afiinct992;p0p90;1952;24386.7;992;t
US-VA;afiinct992;p0p90;1953;25249.1;992;t
US-VA;afiinct992;p0p90;1954;24849.4;992;t
US-VA;afiinct992;p0p90;1955;25558.7;992;t
US-VA;afiinct992;p0p90;1956;26518;992;t
US-VA;afiinct992;p0p90;1957;26605.7;992;t
US-VA;afiinct992;p0p90;1958;25846.8;992;t
US-VA;afiinct992;p0p90;1959;27506.1;992;t
US-VA;afiinct992;p0p90;1960;26951.2;992;t
US-VA;afiinct992;p0p90;1961;27931.3;992;t
US-VA;afiinct992;p0p90;1962;28735;992;t
US-VA;afiinct992;p0p90;1963;29866.1;992;t
US-VA;afiinct992;p0p90;1964;32007.9;992;t
US-VA;afiinct992;p0p90;1965;32872.8;992;t
US-VA;afiinct992;p0p90;1966;33954.2;992;t
US-VA;afiinct992;p0p90;1967;36033.1;992;t
US-VA;afiinct992;p0p90;1968;37695.4;992;t
US-VA;afiinct992;p0p90;1969;39318.8;992;t
US-VA;afiinct992;p0p90;1970;38585.4;992;t
US-VA;afiinct992;p0p90;1971;39253.5;992;t
US-VA;afiinct992;p0p90;1972;40561.8;992;t
US-VA;afiinct992;p0p90;1973;41563.2;992;t
US-VA;afiinct992;p0p90;1974;40770;992;t
US-VA;afiinct992;p0p90;1975;39100.9;992;t
US-VA;afiinct992;p0p90;1976;40428.8;992;t
US-VA;afiinct992;p0p90;1977;41066.3;992;t
US-VA;afiinct992;p0p90;1978;42092.7;992;t
US-VA;afiinct992;p0p90;1979;42547.1;992;t
US-VA;afiinct992;p0p90;1980;42710.1;992;t
US-VA;afiinct992;p0p90;1981;40896.7;992;t
US-VA;afiinct992;p0p90;1982;40066.4;992;t
US-VA;afiinct992;p0p90;1983;42983;992;t
US-VA;afiinct992;p0p90;1984;43321.1;992;t
US-VA;afiinct992;p0p90;1985;43756.9;992;t
US-VA;afiinct992;p0p90;1986;46601;992;t
US-VA;afiinct992;p0p90;1987;48561.2;992;t
US-VA;afiinct992;p0p90;1988;48527.2;992;t
US-VA;afiinct992;p0p90;1989;47776.2;992;t
US-VA;afiinct992;p0p90;1990;47668.4;992;t
US-VA;afiinct992;p0p90;1991;46390.1;992;t
US-VA;afiinct992;p0p90;1992;45271.5;992;t
US-VA;afiinct992;p0p90;1993;45445.9;992;t
US-VA;afiinct992;p0p90;1994;45649.2;992;t
US-VA;afiinct992;p0p90;1995;44124;992;t
US-VA;afiinct992;p0p90;1996;44762.6;992;t
US-VA;afiinct992;p0p90;1997;48576.6;992;t
US-VA;afiinct992;p0p90;1998;49338.4;992;t
US-VA;afiinct992;p0p90;1999;52642.5;992;t
US-VA;afiinct992;p0p90;2000;55001.1;992;t
US-VA;afiinct992;p0p90;2001;54048.8;992;t
US-VA;afiinct992;p0p90;2002;52941.8;992;t
US-VA;afiinct992;p0p90;2003;53665.5;992;t
US-VA;afiinct992;p0p90;2004;55351.9;992;t
US-VA;afiinct992;p0p90;2005;56840.6;992;t
US-VA;afiinct992;p0p90;2006;56410.1;992;t
US-VA;afiinct992;p0p90;2007;61201.5;992;t
US-VA;afiinct992;p0p90;2008;56617.9;992;t
US-VA;afiinct992;p0p90;2009;53204.5;992;t
US-VA;afiinct992;p0p90;2010;52196.1;992;t
US-VA;afiinct992;p0p90;2011;51755.7;992;t
US-VA;afiinct992;p0p90;2012;53576.4;992;t
US-VA;afiinct992;p0p90;2013;49274;992;t
US-VA;afiinct992;p0p90;2014;52384.5;992;t
US-VA;afiinct992;p0p90;2015;53240.7;992;t
US-VA;afiinct992;p0p90;2016;50328;992;t
US-VA;afiinct992;p0p90;2017;52574.5;992;t
US-VA;afiinct992;p0p90;2018;54269.7;992;t
US-VA;afiinct992;p0p99;1917;11128.8;992;t
US-VA;afiinct992;p0p99;1918;10564.6;992;t
US-VA;afiinct992;p0p99;1919;10589.1;992;t
US-VA;afiinct992;p0p99;1920;9050;992;t
US-VA;afiinct992;p0p99;1921;8177.5;992;t
US-VA;afiinct992;p0p99;1922;9352.2;992;t
US-VA;afiinct992;p0p99;1923;10466.2;992;t
US-VA;afiinct992;p0p99;1924;10304.9;992;t
US-VA;afiinct992;p0p99;1925;10726.1;992;t
US-VA;afiinct992;p0p99;1926;10654.8;992;t
US-VA;afiinct992;p0p99;1927;10776.7;992;t
US-VA;afiinct992;p0p99;1928;11226.2;992;t
US-VA;afiinct992;p0p99;1929;11683.8;992;t
US-VA;afiinct992;p0p99;1930;10306.5;992;t
US-VA;afiinct992;p0p99;1931;10602.7;992;t
US-VA;afiinct992;p0p99;1932;9024.6;992;t
US-VA;afiinct992;p0p99;1933;9339.3;992;t
US-VA;afiinct992;p0p99;1934;9904.8;992;t
US-VA;afiinct992;p0p99;1935;10702.9;992;t
US-VA;afiinct992;p0p99;1936;11340.9;992;t
US-VA;afiinct992;p0p99;1937;12050.4;992;t
US-VA;afiinct992;p0p99;1938;11438.5;992;t
US-VA;afiinct992;p0p99;1939;12540.5;992;t
US-VA;afiinct992;p0p99;1940;13736.7;992;t
US-VA;afiinct992;p0p99;1941;18280;992;t
US-VA;afiinct992;p0p99;1942;26666;992;t
US-VA;afiinct992;p0p99;1943;28242.1;992;t
US-VA;afiinct992;p0p99;1944;28518.4;992;t
US-VA;afiinct992;p0p99;1945;28023.8;992;t
US-VA;afiinct992;p0p99;1946;25378;992;t
US-VA;afiinct992;p0p99;1947;22160.4;992;t
US-VA;afiinct992;p0p99;1948;23366;992;t
US-VA;afiinct992;p0p99;1949;23198.9;992;t
US-VA;afiinct992;p0p99;1950;25240.1;992;t
US-VA;afiinct992;p0p99;1951;19681.4;992;t
US-VA;afiinct992;p0p99;1952;29205.3;992;t
US-VA;afiinct992;p0p99;1953;29600.1;992;t
US-VA;afiinct992;p0p99;1954;29320.3;992;t
US-VA;afiinct992;p0p99;1955;30427.6;992;t
US-VA;afiinct992;p0p99;1956;31354.2;992;t
US-VA;afiinct992;p0p99;1957;31385.1;992;t
US-VA;afiinct992;p0p99;1958;30929.1;992;t
US-VA;afiinct992;p0p99;1959;32813.1;992;t
US-VA;afiinct992;p0p99;1960;32573.2;992;t
US-VA;afiinct992;p0p99;1961;33782.7;992;t
US-VA;afiinct992;p0p99;1962;34695.1;992;t
US-VA;afiinct992;p0p99;1963;36170.2;992;t
US-VA;afiinct992;p0p99;1964;38799.9;992;t
US-VA;afiinct992;p0p99;1965;40095.4;992;t
US-VA;afiinct992;p0p99;1966;41408.8;992;t
US-VA;afiinct992;p0p99;1967;43710.1;992;t
US-VA;afiinct992;p0p99;1968;45657.2;992;t
US-VA;afiinct992;p0p99;1969;47287.6;992;t
US-VA;afiinct992;p0p99;1970;47033.9;992;t
US-VA;afiinct992;p0p99;1971;47866.6;992;t
US-VA;afiinct992;p0p99;1972;49740.9;992;t
US-VA;afiinct992;p0p99;1973;50896.6;992;t
US-VA;afiinct992;p0p99;1974;49502.8;992;t
US-VA;afiinct992;p0p99;1975;47682.9;992;t
US-VA;afiinct992;p0p99;1976;49394.3;992;t
US-VA;afiinct992;p0p99;1977;49854.9;992;t
US-VA;afiinct992;p0p99;1978;51291.4;992;t
US-VA;afiinct992;p0p99;1979;51625.3;992;t
US-VA;afiinct992;p0p99;1980;51711.3;992;t
US-VA;afiinct992;p0p99;1981;50453.3;992;t
US-VA;afiinct992;p0p99;1982;50048.8;992;t
US-VA;afiinct992;p0p99;1983;52424.3;992;t
US-VA;afiinct992;p0p99;1984;52899;992;t
US-VA;afiinct992;p0p99;1985;53718;992;t
US-VA;afiinct992;p0p99;1986;57353.6;992;t
US-VA;afiinct992;p0p99;1987;59327.9;992;t
US-VA;afiinct992;p0p99;1988;59615.9;992;t
US-VA;afiinct992;p0p99;1989;59041;992;t
US-VA;afiinct992;p0p99;1990;59439.3;992;t
US-VA;afiinct992;p0p99;1991;58369.5;992;t
US-VA;afiinct992;p0p99;1992;57423.3;992;t
US-VA;afiinct992;p0p99;1993;57685.7;992;t
US-VA;afiinct992;p0p99;1994;58074.6;992;t
US-VA;afiinct992;p0p99;1995;57106.4;992;t
US-VA;afiinct992;p0p99;1996;58377.7;992;t
US-VA;afiinct992;p0p99;1997;62451.1;992;t
US-VA;afiinct992;p0p99;1998;64776.6;992;t
US-VA;afiinct992;p0p99;1999;69285.1;992;t
US-VA;afiinct992;p0p99;2000;71941.8;992;t
US-VA;afiinct992;p0p99;2001;70423.7;992;t
US-VA;afiinct992;p0p99;2002;69024.1;992;t
US-VA;afiinct992;p0p99;2003;69862.5;992;t
US-VA;afiinct992;p0p99;2004;72346.8;992;t
US-VA;afiinct992;p0p99;2005;74489.8;992;t
US-VA;afiinct992;p0p99;2006;74652.1;992;t
US-VA;afiinct992;p0p99;2007;79062.9;992;t
US-VA;afiinct992;p0p99;2008;73862.8;992;t
US-VA;afiinct992;p0p99;2009;70352.4;992;t
US-VA;afiinct992;p0p99;2010;69675.6;992;t
US-VA;afiinct992;p0p99;2011;69618.5;992;t
US-VA;afiinct992;p0p99;2012;71551.6;992;t
US-VA;afiinct992;p0p99;2013;67562.1;992;t
US-VA;afiinct992;p0p99;2014;70980.5;992;t
US-VA;afiinct992;p0p99;2015;72295.5;992;t
US-VA;afiinct992;p0p99;2016;69353.3;992;t
US-VA;afiinct992;p0p99;2017;72902.9;992;t
US-VA;afiinct992;p0p99;2018;74993.9;992;t
US-VA;afiinct992;p90p100;1917;41288.6;992;t
US-VA;afiinct992;p90p100;1918;42992.9;992;t
US-VA;afiinct992;p90p100;1919;46784.2;992;t
US-VA;afiinct992;p90p100;1920;41145.5;992;t
US-VA;afiinct992;p90p100;1921;38728.4;992;t
US-VA;afiinct992;p90p100;1922;41926.7;992;t
US-VA;afiinct992;p90p100;1923;45813.3;992;t
US-VA;afiinct992;p90p100;1924;44898.3;992;t
US-VA;afiinct992;p90p100;1925;40233.6;992;t
US-VA;afiinct992;p90p100;1926;41157.6;992;t
US-VA;afiinct992;p90p100;1927;41165.9;992;t
US-VA;afiinct992;p90p100;1928;42958.2;992;t
US-VA;afiinct992;p90p100;1929;42385.2;992;t
US-VA;afiinct992;p90p100;1930;42032.3;992;t
US-VA;afiinct992;p90p100;1931;42583.7;992;t
US-VA;afiinct992;p90p100;1932;41931.4;992;t
US-VA;afiinct992;p90p100;1933;40169.9;992;t
US-VA;afiinct992;p90p100;1934;43623.6;992;t
US-VA;afiinct992;p90p100;1935;47884;992;t
US-VA;afiinct992;p90p100;1936;55092.8;992;t
US-VA;afiinct992;p90p100;1937;54929.8;992;t
US-VA;afiinct992;p90p100;1938;53091.7;992;t
US-VA;afiinct992;p90p100;1939;59133.4;992;t
US-VA;afiinct992;p90p100;1940;69756.1;992;t
US-VA;afiinct992;p90p100;1941;75173.4;992;t
US-VA;afiinct992;p90p100;1942;75845.1;992;t
US-VA;afiinct992;p90p100;1943;81884.3;992;t
US-VA;afiinct992;p90p100;1944;72745.1;992;t
US-VA;afiinct992;p90p100;1945;77226.4;992;t
US-VA;afiinct992;p90p100;1946;79543.1;992;t
US-VA;afiinct992;p90p100;1947;76992.5;992;t
US-VA;afiinct992;p90p100;1948;78265;992;t
US-VA;afiinct992;p90p100;1949;77552.9;992;t
US-VA;afiinct992;p90p100;1950;86201.4;992;t
US-VA;afiinct992;p90p100;1951;90490.9;992;t
US-VA;afiinct992;p90p100;1952;95086.8;992;t
US-VA;afiinct992;p90p100;1953;89577.3;992;t
US-VA;afiinct992;p90p100;1954;93075.6;992;t
US-VA;afiinct992;p90p100;1955;98856.6;992;t
US-VA;afiinct992;p90p100;1956;101219.9;992;t
US-VA;afiinct992;p90p100;1957;97982.7;992;t
US-VA;afiinct992;p90p100;1958;99684.8;992;t
US-VA;afiinct992;p90p100;1959;105628.2;992;t
US-VA;afiinct992;p90p100;1960;108644.7;992;t
US-VA;afiinct992;p90p100;1961;113197.4;992;t
US-VA;afiinct992;p90p100;1962;115298.4;992;t
US-VA;afiinct992;p90p100;1963;122145;992;t
US-VA;afiinct992;p90p100;1964;131753.3;992;t
US-VA;afiinct992;p90p100;1965;139522.5;992;t
US-VA;afiinct992;p90p100;1966;142208.7;992;t
US-VA;afiinct992;p90p100;1967;148332.3;992;t
US-VA;afiinct992;p90p100;1968;155171.4;992;t
