country;variable;percentile;year;value;age;pop
US-VT;afiinct992;p0p90;1917;10159.3;992;t
US-VT;afiinct992;p0p90;1918;9512.3;992;t
US-VT;afiinct992;p0p90;1919;9027.9;992;t
US-VT;afiinct992;p0p90;1920;8963.4;992;t
US-VT;afiinct992;p0p90;1921;8020.5;992;t
US-VT;afiinct992;p0p90;1922;9127.1;992;t
US-VT;afiinct992;p0p90;1923;9952.1;992;t
US-VT;afiinct992;p0p90;1924;9744.3;992;t
US-VT;afiinct992;p0p90;1925;10936.4;992;t
US-VT;afiinct992;p0p90;1926;11410.6;992;t
US-VT;afiinct992;p0p90;1927;11569;992;t
US-VT;afiinct992;p0p90;1928;11502.4;992;t
US-VT;afiinct992;p0p90;1929;11743;992;t
US-VT;afiinct992;p0p90;1930;10650.4;992;t
US-VT;afiinct992;p0p90;1931;8824.6;992;t
US-VT;afiinct992;p0p90;1932;7038.4;992;t
US-VT;afiinct992;p0p90;1933;7074.9;992;t
US-VT;afiinct992;p0p90;1934;7878.1;992;t
US-VT;afiinct992;p0p90;1935;8655;992;t
US-VT;afiinct992;p0p90;1936;9644.2;992;t
US-VT;afiinct992;p0p90;1937;9615.2;992;t
US-VT;afiinct992;p0p90;1938;9286.2;992;t
US-VT;afiinct992;p0p90;1939;9979.7;992;t
US-VT;afiinct992;p0p90;1940;10062.1;992;t
US-VT;afiinct992;p0p90;1941;12413.6;992;t
US-VT;afiinct992;p0p90;1942;14570.9;992;t
US-VT;afiinct992;p0p90;1943;16456.2;992;t
US-VT;afiinct992;p0p90;1944;14769.5;992;t
US-VT;afiinct992;p0p90;1945;15420.4;992;t
US-VT;afiinct992;p0p90;1946;16627.3;992;t
US-VT;afiinct992;p0p90;1947;16438;992;t
US-VT;afiinct992;p0p90;1948;16827.1;992;t
US-VT;afiinct992;p0p90;1949;16394.9;992;t
US-VT;afiinct992;p0p90;1950;16890.1;992;t
US-VT;afiinct992;p0p90;1952;18451.9;992;t
US-VT;afiinct992;p0p90;1953;19247;992;t
US-VT;afiinct992;p0p90;1954;19388.8;992;t
US-VT;afiinct992;p0p90;1955;19973.9;992;t
US-VT;afiinct992;p0p90;1956;21135.2;992;t
US-VT;afiinct992;p0p90;1957;21336.6;992;t
US-VT;afiinct992;p0p90;1958;21142;992;t
US-VT;afiinct992;p0p90;1959;23224.3;992;t
US-VT;afiinct992;p0p90;1960;24042.2;992;t
US-VT;afiinct992;p0p90;1961;24605;992;t
US-VT;afiinct992;p0p90;1962;24306.5;992;t
US-VT;afiinct992;p0p90;1963;24101.2;992;t
US-VT;afiinct992;p0p90;1964;24936.7;992;t
US-VT;afiinct992;p0p90;1965;27072.5;992;t
US-VT;afiinct992;p0p90;1966;30227.3;992;t
US-VT;afiinct992;p0p90;1967;31534.7;992;t
US-VT;afiinct992;p0p90;1968;32551.4;992;t
US-VT;afiinct992;p0p90;1969;32622.9;992;t
US-VT;afiinct992;p0p90;1970;32923.3;992;t
US-VT;afiinct992;p0p90;1971;32517;992;t
US-VT;afiinct992;p0p90;1972;34420.3;992;t
US-VT;afiinct992;p0p90;1973;33687.9;992;t
US-VT;afiinct992;p0p90;1974;32201.4;992;t
US-VT;afiinct992;p0p90;1975;29539.1;992;t
US-VT;afiinct992;p0p90;1976;31320.8;992;t
US-VT;afiinct992;p0p90;1977;30673.5;992;t
US-VT;afiinct992;p0p90;1978;32292.4;992;t
US-VT;afiinct992;p0p90;1979;33562.5;992;t
US-VT;afiinct992;p0p90;1980;32199;992;t
US-VT;afiinct992;p0p90;1981;31196.6;992;t
US-VT;afiinct992;p0p90;1982;31382.7;992;t
US-VT;afiinct992;p0p90;1983;32241.6;992;t
US-VT;afiinct992;p0p90;1984;32514.6;992;t
US-VT;afiinct992;p0p90;1985;33696.7;992;t
US-VT;afiinct992;p0p90;1986;34870.3;992;t
US-VT;afiinct992;p0p90;1987;35348.7;992;t
US-VT;afiinct992;p0p90;1988;36285.5;992;t
US-VT;afiinct992;p0p90;1989;38347.4;992;t
US-VT;afiinct992;p0p90;1990;37544.6;992;t
US-VT;afiinct992;p0p90;1991;36099.7;992;t
US-VT;afiinct992;p0p90;1992;36331.7;992;t
US-VT;afiinct992;p0p90;1993;35571.9;992;t
US-VT;afiinct992;p0p90;1994;36545.4;992;t
US-VT;afiinct992;p0p90;1995;37188.1;992;t
US-VT;afiinct992;p0p90;1996;37028;992;t
US-VT;afiinct992;p0p90;1997;37739.8;992;t
US-VT;afiinct992;p0p90;1998;40283;992;t
US-VT;afiinct992;p0p90;1999;42775.4;992;t
US-VT;afiinct992;p0p90;2000;43726.2;992;t
US-VT;afiinct992;p0p90;2001;42778;992;t
US-VT;afiinct992;p0p90;2002;39721.1;992;t
US-VT;afiinct992;p0p90;2003;42315.3;992;t
US-VT;afiinct992;p0p90;2004;44361.1;992;t
