country;variable;percentile;year;value;age;pop
US-WA;afiinct992;p0p100;1917;142328.9;992;t
US-WA;afiinct992;p0p100;1918;145596.6;992;t
US-WA;afiinct992;p0p100;1919;158338.7;992;t
US-WA;afiinct992;p0p100;1920;114042.6;992;t
US-WA;afiinct992;p0p100;1921;100887.7;992;t
US-WA;afiinct992;p0p100;1922;114224.5;992;t
US-WA;afiinct992;p0p100;1923;110139.4;992;t
US-WA;afiinct992;p0p100;1924;128654.6;992;t
US-WA;afiinct992;p0p100;1925;141086.8;992;t
US-WA;afiinct992;p0p100;1926;140719.8;992;t
US-WA;afiinct992;p0p100;1927;143567.4;992;t
US-WA;afiinct992;p0p100;1928;154261.5;992;t
US-WA;afiinct992;p0p100;1929;157710.6;992;t
US-WA;afiinct992;p0p100;1930;136287;992;t
US-WA;afiinct992;p0p100;1931;121959.1;992;t
US-WA;afiinct992;p0p100;1932;99608.90000000001;992;t
US-WA;afiinct992;p0p100;1933;96621.90000000001;992;t
US-WA;afiinct992;p0p100;1934;110819.4;992;t
US-WA;afiinct992;p0p100;1935;121931.9;992;t
US-WA;afiinct992;p0p100;1936;139845.8;992;t
US-WA;afiinct992;p0p100;1937;133481.4;992;t
US-WA;afiinct992;p0p100;1938;122409;992;t
US-WA;afiinct992;p0p100;1939;129752.7;992;t
US-WA;afiinct992;p0p100;1940;134314.9;992;t
US-WA;afiinct992;p0p100;1941;151252.5;992;t
US-WA;afiinct992;p0p100;1942;175553;992;t
US-WA;afiinct992;p0p100;1943;202068.1;992;t
US-WA;afiinct992;p0p100;1944;171296.3;992;t
US-WA;afiinct992;p0p100;1945;178214.2;992;t
US-WA;afiinct992;p0p100;1946;185891;992;t
US-WA;afiinct992;p0p100;1947;173382.5;992;t
US-WA;afiinct992;p0p100;1948;194154.4;992;t
US-WA;afiinct992;p0p100;1949;167146.2;992;t
US-WA;afiinct992;p0p100;1950;197492.3;992;t
US-WA;afiinct992;p0p100;1951;212676.8;992;t
US-WA;afiinct992;p0p100;1952;197492.6;992;t
US-WA;afiinct992;p0p100;1953;186933.8;992;t
US-WA;afiinct992;p0p100;1954;190357.8;992;t
US-WA;afiinct992;p0p100;1955;196844.6;992;t
US-WA;afiinct992;p0p100;1956;191464.9;992;t
US-WA;afiinct992;p0p100;1957;200090.6;992;t
US-WA;afiinct992;p0p100;1958;200947.2;992;t
US-WA;afiinct992;p0p100;1959;204181;992;t
US-WA;afiinct992;p0p100;1960;198290.1;992;t
US-WA;afiinct992;p0p100;1961;215146;992;t
US-WA;afiinct992;p0p100;1962;213946.2;992;t
US-WA;afiinct992;p0p100;1963;217505.2;992;t
US-WA;afiinct992;p0p100;1964;240907.1;992;t
US-WA;afiinct992;p0p100;1965;245639.7;992;t
US-WA;afiinct992;p0p100;1966;257216.1;992;t
US-WA;afiinct992;p0p100;1967;279824.4;992;t
US-WA;afiinct992;p0p100;1968;297515.1;992;t
US-WA;afiinct992;p0p100;1969;278470.2;992;t
US-WA;afiinct992;p0p100;1970;243705.5;992;t
US-WA;afiinct992;p0p100;1971;252385.6;992;t
US-WA;afiinct992;p0p100;1972;258791.7;992;t
US-WA;afiinct992;p0p100;1973;276579;992;t
US-WA;afiinct992;p0p100;1974;282979.3;992;t
US-WA;afiinct992;p0p100;1975;275977.2;992;t
US-WA;afiinct992;p0p100;1976;284487.9;992;t
US-WA;afiinct992;p0p100;1977;276497.5;992;t
US-WA;afiinct992;p0p100;1978;298002.6;992;t
US-WA;afiinct992;p0p100;1979;310019.3;992;t
US-WA;afiinct992;p0p100;1980;305988.9;992;t
US-WA;afiinct992;p0p100;1981;279348.8;992;t
US-WA;afiinct992;p0p100;1982;260529.3;992;t
US-WA;afiinct992;p0p100;1983;276887.3;992;t
US-WA;afiinct992;p0p100;1984;292158.1;992;t
US-WA;afiinct992;p0p100;1985;302219.8;992;t
US-WA;afiinct992;p0p100;1986;352016.6;992;t
US-WA;afiinct992;p0p100;1987;333280.9;992;t
US-WA;afiinct992;p0p100;1988;376271.7;992;t
US-WA;afiinct992;p0p100;1989;396059.7;992;t
US-WA;afiinct992;p0p100;1990;404099.1;992;t
US-WA;afiinct992;p0p100;1991;393304.5;992;t
US-WA;afiinct992;p0p100;1992;420762.2;992;t
US-WA;afiinct992;p0p100;1993;400728.4;992;t
US-WA;afiinct992;p0p100;1994;410942.2;992;t
US-WA;afiinct992;p0p100;1995;444856.4;992;t
US-WA;afiinct992;p0p100;1996;487412.2;992;t
US-WA;afiinct992;p0p100;1997;531904;992;t
US-WA;afiinct992;p0p100;1998;598202.3;992;t
US-WA;afiinct992;p0p100;1999;687568.4;992;t
US-WA;afiinct992;p0p100;2000;700008.4;992;t
US-WA;afiinct992;p0p100;2001;571832.3;992;t
US-WA;afiinct992;p0p100;2002;545738.7000000001;992;t
US-WA;afiinct992;p0p100;2003;560389;992;t
US-WA;afiinct992;p0p100;2004;611845.4;992;t
US-WA;afiinct992;p0p100;2005;657810;992;t
US-WA;afiinct992;p0p100;2006;702072.5;992;t
US-WA;afiinct992;p0p100;2007;745315.4;992;t
US-WA;afiinct992;p0p100;2008;629958.7000000001;992;t
US-WA;afiinct992;p0p100;2009;550946;992;t
US-WA;afiinct992;p0p100;2010;556173.2000000001;992;t
US-WA;afiinct992;p0p100;2011;562723.1;992;t
US-WA;afiinct992;p0p100;2012;634858.5;992;t
US-WA;afiinct992;p0p100;2013;614902;992;t
US-WA;afiinct992;p0p100;2014;686836.1000000001;992;t
US-WA;afiinct992;p0p100;2015;723693.8;992;t
US-WA;afiinct992;p0p100;2016;730939.4;992;t
US-WA;afiinct992;p0p100;2017;774099.1000000001;992;t
US-WA;afiinct992;p0p100;2018;834701.2000000001;992;t
US-WA;ntaxret992;p0p100;1917;56322;992;t
US-WA;ntaxret992;p0p100;1918;95422;992;t
US-WA;ntaxret992;p0p100;1919;114322;992;t
US-WA;ntaxret992;p0p100;1920;148067;992;t
US-WA;ntaxret992;p0p100;1921;115688;992;t
US-WA;ntaxret992;p0p100;1922;123216;992;t
US-WA;ntaxret992;p0p100;1923;136057;992;t
US-WA;ntaxret992;p0p100;1924;138181;992;t
US-WA;ntaxret992;p0p100;1925;78030;992;t
US-WA;ntaxret992;p0p100;1926;61950;992;t
US-WA;ntaxret992;p0p100;1927;62200;992;t
US-WA;ntaxret992;p0p100;1928;66167;992;t
US-WA;ntaxret992;p0p100;1929;66897;992;t
US-WA;ntaxret992;p0p100;1930;65738;992;t
US-WA;ntaxret992;p0p100;1931;55163;992;t
US-WA;ntaxret992;p0p100;1932;60967;992;t
US-WA;ntaxret992;p0p100;1933;57265;992;t
US-WA;ntaxret992;p0p100;1934;61981;992;t
US-WA;ntaxret992;p0p100;1935;71505;992;t
US-WA;ntaxret992;p0p100;1936;89788;992;t
US-WA;ntaxret992;p0p100;1937;105908;992;t
US-WA;ntaxret992;p0p100;1938;108246;992;t
US-WA;ntaxret992;p0p100;1939;127234;992;t
US-WA;ntaxret992;p0p100;1940;248348;992;t
US-WA;ntaxret992;p0p100;1941;466639;992;t
US-WA;ntaxret992;p0p100;1942;740461;992;t
US-WA;ntaxret992;p0p100;1943;937440;992;t
US-WA;ntaxret992;p0p100;1944;896870;992;t
US-WA;ntaxret992;p0p100;1945;959667;992;t
US-WA;ntaxret992;p0p100;1946;997732;992;t
US-WA;ntaxret992;p0p100;1947;1018941;992;t
US-WA;ntaxret992;p0p100;1948;902167;992;t
US-WA;ntaxret992;p0p100;1949;906292;992;t
US-WA;ntaxret992;p0p100;1950;910934;992;t
US-WA;ntaxret992;p0p100;1951;953480;992;t
