country;variable;percentile;year;value;age;pop
US-WI;afiinct992;p0p100;1917;16428;992;t
US-WI;afiinct992;p0p100;1918;15080.8;992;t
US-WI;afiinct992;p0p100;1919;15209.9;992;t
US-WI;afiinct992;p0p100;1920;13852;992;t
US-WI;afiinct992;p0p100;1921;10931.3;992;t
US-WI;afiinct992;p0p100;1922;13045.5;992;t
US-WI;afiinct992;p0p100;1923;13904.9;992;t
US-WI;afiinct992;p0p100;1924;14209.2;992;t
US-WI;afiinct992;p0p100;1925;14328.2;992;t
US-WI;afiinct992;p0p100;1926;14656.8;992;t
US-WI;afiinct992;p0p100;1927;14318.7;992;t
US-WI;afiinct992;p0p100;1928;15109.6;992;t
US-WI;afiinct992;p0p100;1929;15963.4;992;t
US-WI;afiinct992;p0p100;1930;13223.5;992;t
US-WI;afiinct992;p0p100;1931;11064.5;992;t
US-WI;afiinct992;p0p100;1932;100310.2;992;t
US-WI;afiinct992;p0p100;1933;91583.3;992;t
US-WI;afiinct992;p0p100;1934;102207.3;992;t
US-WI;afiinct992;p0p100;1935;107010.1;992;t
US-WI;afiinct992;p0p100;1936;132392.1;992;t
US-WI;afiinct992;p0p100;1937;130682.1;992;t
US-WI;afiinct992;p0p100;1938;116659.8;992;t
US-WI;afiinct992;p0p100;1939;126784.2;992;t
US-WI;afiinct992;p0p100;1940;132889.2;992;t
US-WI;afiinct992;p0p100;1941;146453.7;992;t
US-WI;afiinct992;p0p100;1942;147573.7;992;t
US-WI;afiinct992;p0p100;1943;161714.5;992;t
US-WI;afiinct992;p0p100;1944;146580.1;992;t
US-WI;afiinct992;p0p100;1945;20220.4;992;t
US-WI;afiinct992;p0p100;1946;188901.3;992;t
US-WI;afiinct992;p0p100;1947;171828.6;992;t
US-WI;afiinct992;p0p100;1948;175426;992;t
US-WI;afiinct992;p0p100;1949;166716.4;992;t
US-WI;afiinct992;p0p100;1950;192326.5;992;t
US-WI;afiinct992;p0p100;1951;192609.2;992;t
US-WI;afiinct992;p0p100;1952;183302.7;992;t
US-WI;afiinct992;p0p100;1953;178069.7;992;t
US-WI;afiinct992;p0p100;1954;180936.8;992;t
US-WI;afiinct992;p0p100;1955;199079.3;992;t
US-WI;afiinct992;p0p100;1956;208221.2;992;t
US-WI;afiinct992;p0p100;1957;198357;992;t
US-WI;afiinct992;p0p100;1958;188095;992;t
US-WI;afiinct992;p0p100;1959;202214.4;992;t
US-WI;afiinct992;p0p100;1960;204740.9;992;t
US-WI;afiinct992;p0p100;1961;206456.8;992;t
US-WI;afiinct992;p0p100;1962;211885.9;992;t
US-WI;afiinct992;p0p100;1963;226152.9;992;t
US-WI;afiinct992;p0p100;1964;246714.1;992;t
US-WI;afiinct992;p0p100;1965;248572.8;992;t
US-WI;afiinct992;p0p100;1966;273645.6;992;t
US-WI;afiinct992;p0p100;1967;284830.9;992;t
US-WI;afiinct992;p0p100;1968;295327.4;992;t
