country;variable;percentile;year;value;age;pop
US-WV;afiinct992;p0p90;1917;9644.3;992;t
US-WV;afiinct992;p0p90;1918;8499.8;992;t
US-WV;afiinct992;p0p90;1919;9725.5;992;t
US-WV;afiinct992;p0p90;1920;9422.4;992;t
US-WV;afiinct992;p0p90;1921;6928.6;992;t
US-WV;afiinct992;p0p90;1922;8225;992;t
US-WV;afiinct992;p0p90;1923;8738.4;992;t
US-WV;afiinct992;p0p90;1924;8683.4;992;t
US-WV;afiinct992;p0p90;1925;10230.8;992;t
US-WV;afiinct992;p0p90;1926;10208.5;992;t
US-WV;afiinct992;p0p90;1927;10157.6;992;t
US-WV;afiinct992;p0p90;1928;10602.5;992;t
US-WV;afiinct992;p0p90;1929;10917;992;t
US-WV;afiinct992;p0p90;1930;9321.1;992;t
US-WV;afiinct992;p0p90;1931;8477.3;992;t
US-WV;afiinct992;p0p90;1932;6032.4;992;t
US-WV;afiinct992;p0p90;1933;6624.5;992;t
US-WV;afiinct992;p0p90;1934;7754.6;992;t
US-WV;afiinct992;p0p90;1935;8231.5;992;t
US-WV;afiinct992;p0p90;1936;9140.5;992;t
US-WV;afiinct992;p0p90;1937;9277.5;992;t
US-WV;afiinct992;p0p90;1938;8031.1;992;t
US-WV;afiinct992;p0p90;1939;8557.5;992;t
US-WV;afiinct992;p0p90;1940;8034.7;992;t
US-WV;afiinct992;p0p90;1941;9974.5;992;t
US-WV;afiinct992;p0p90;1942;12025.1;992;t
US-WV;afiinct992;p0p90;1943;13476.1;992;t
US-WV;afiinct992;p0p90;1944;14993.9;992;t
US-WV;afiinct992;p0p90;1945;14681;992;t
US-WV;afiinct992;p0p90;1946;14134.5;992;t
US-WV;afiinct992;p0p90;1947;15728.6;992;t
US-WV;afiinct992;p0p90;1948;16073.9;992;t
US-WV;afiinct992;p0p90;1949;14522.4;992;t
US-WV;afiinct992;p0p90;1950;15285.7;992;t
US-WV;afiinct992;p0p90;1952;15086.2;992;t
US-WV;afiinct992;p0p90;1953;16000.4;992;t
US-WV;afiinct992;p0p90;1954;14307.8;992;t
US-WV;afiinct992;p0p90;1955;15774.7;992;t
US-WV;afiinct992;p0p90;1956;18122.3;992;t
US-WV;afiinct992;p0p90;1957;18345;992;t
US-WV;afiinct992;p0p90;1958;17383.5;992;t
US-WV;afiinct992;p0p90;1959;18420.3;992;t
US-WV;afiinct992;p0p90;1960;18469.8;992;t
US-WV;afiinct992;p0p90;1961;18393.8;992;t
US-WV;afiinct992;p0p90;1962;18616.1;992;t
US-WV;afiinct992;p0p90;1963;19131.8;992;t
US-WV;afiinct992;p0p90;1964;20327.8;992;t
US-WV;afiinct992;p0p90;1965;21176.5;992;t
US-WV;afiinct992;p0p90;1966;22018.9;992;t
US-WV;afiinct992;p0p90;1967;23050.1;992;t
US-WV;afiinct992;p0p90;1968;23367.1;992;t
US-WV;afiinct992;p0p90;1969;23196.7;992;t
US-WV;afiinct992;p0p90;1970;24090.1;992;t
US-WV;afiinct992;p0p90;1971;24220.9;992;t
US-WV;afiinct992;p0p90;1972;25512.1;992;t
US-WV;afiinct992;p0p90;1973;24827.7;992;t
US-WV;afiinct992;p0p90;1974;24624.1;992;t
US-WV;afiinct992;p0p90;1975;24394.1;992;t
US-WV;afiinct992;p0p90;1976;25788.1;992;t
US-WV;afiinct992;p0p90;1977;26911;992;t
US-WV;afiinct992;p0p90;1978;27848.9;992;t
US-WV;afiinct992;p0p90;1979;27467.1;992;t
US-WV;afiinct992;p0p90;1980;26920.1;992;t
US-WV;afiinct992;p0p90;1981;25297.7;992;t
US-WV;afiinct992;p0p90;1982;24977.2;992;t
US-WV;afiinct992;p0p90;1983;23784.7;992;t
US-WV;afiinct992;p0p90;1984;23056.8;992;t
US-WV;afiinct992;p0p90;1985;24297.2;992;t
US-WV;afiinct992;p0p90;1986;24050.3;992;t
US-WV;afiinct992;p0p90;1987;23483.3;992;t
US-WV;afiinct992;p0p90;1988;25695.3;992;t
US-WV;afiinct992;p0p90;1989;24724.5;992;t
US-WV;afiinct992;p0p90;1990;25394.6;992;t
US-WV;afiinct992;p0p90;1991;24438.9;992;t
US-WV;afiinct992;p0p90;1992;24263.6;992;t
US-WV;afiinct992;p0p90;1993;23769.6;992;t
US-WV;afiinct992;p0p90;1994;23933.7;992;t
US-WV;afiinct992;p0p90;1995;23930.4;992;t
US-WV;afiinct992;p0p90;1996;24170.8;992;t
US-WV;afiinct992;p0p90;1997;25747.8;992;t
US-WV;afiinct992;p0p90;1998;27089;992;t
US-WV;afiinct992;p0p90;1999;28632.9;992;t
US-WV;afiinct992;p0p90;2000;30604.3;992;t
US-WV;afiinct992;p0p90;2001;29074.8;992;t
US-WV;afiinct992;p0p90;2002;28385.8;992;t
US-WV;afiinct992;p0p90;2003;27506;992;t
US-WV;afiinct992;p0p90;2004;28344.3;992;t
US-WV;afiinct992;p0p90;2005;29973.6;992;t
US-WV;afiinct992;p0p90;2006;31390.7;992;t
US-WV;afiinct992;p0p90;2007;32497.5;992;t
US-WV;afiinct992;p0p90;2008;30464.3;992;t
US-WV;afiinct992;p0p90;2009;27316.5;992;t
US-WV;afiinct992;p0p90;2010;28910.7;992;t
US-WV;afiinct992;p0p90;2011;28613.1;992;t
US-WV;afiinct992;p0p90;2012;29193.6;992;t
US-WV;afiinct992;p0p90;2013;29292.7;992;t
US-WV;afiinct992;p0p90;2014;28301.2;992;t
US-WV;afiinct992;p0p90;2015;28247.5;992;t
