country;variable;percentile;year;value;age;pop
US-WY;afiinct992;p0p90;1917;17528.2;992;t
US-WY;afiinct992;p0p90;1918;18121.5;992;t
US-WY;afiinct992;p0p90;1919;17281.8;992;t
US-WY;afiinct992;p0p90;1920;14705.7;992;t
US-WY;afiinct992;p0p90;1921;13487;992;t
US-WY;afiinct992;p0p90;1922;15047.4;992;t
US-WY;afiinct992;p0p90;1923;15834.6;992;t
US-WY;afiinct992;p0p90;1924;14193.7;992;t
US-WY;afiinct992;p0p90;1925;14430.2;992;t
US-WY;afiinct992;p0p90;1926;13820.3;992;t
US-WY;afiinct992;p0p90;1927;13189.7;992;t
US-WY;afiinct992;p0p90;1928;12814.5;992;t
US-WY;afiinct992;p0p90;1929;12966.3;992;t
US-WY;afiinct992;p0p90;1930;11096.2;992;t
US-WY;afiinct992;p0p90;1931;8861.3;992;t
US-WY;afiinct992;p0p90;1932;7622.2;992;t
US-WY;afiinct992;p0p90;1933;7926.8;992;t
US-WY;afiinct992;p0p90;1934;8260.3;992;t
US-WY;afiinct992;p0p90;1935;10414;992;t
US-WY;afiinct992;p0p90;1936;10841.2;992;t
US-WY;afiinct992;p0p90;1937;11758.2;992;t
US-WY;afiinct992;p0p90;1938;11147.3;992;t
US-WY;afiinct992;p0p90;1939;11277.6;992;t
US-WY;afiinct992;p0p90;1940;10535;992;t
US-WY;afiinct992;p0p90;1941;13912.7;992;t
US-WY;afiinct992;p0p90;1942;16679.6;992;t
US-WY;afiinct992;p0p90;1943;19752.3;992;t
US-WY;afiinct992;p0p90;1944;19289.5;992;t
US-WY;afiinct992;p0p90;1945;18939.4;992;t
US-WY;afiinct992;p0p90;1946;19914.7;992;t
US-WY;afiinct992;p0p90;1947;20325.5;992;t
US-WY;afiinct992;p0p90;1948;21585.3;992;t
US-WY;afiinct992;p0p90;1949;24285.4;992;t
US-WY;afiinct992;p0p90;1950;25595.7;992;t
US-WY;afiinct992;p0p90;1952;25810.6;992;t
US-WY;afiinct992;p0p90;1953;25683.6;992;t
US-WY;afiinct992;p0p90;1954;24167.9;992;t
US-WY;afiinct992;p0p90;1955;26102;992;t
US-WY;afiinct992;p0p90;1956;26930.6;992;t
US-WY;afiinct992;p0p90;1957;26697.5;992;t
US-WY;afiinct992;p0p90;1958;25700.4;992;t
US-WY;afiinct992;p0p90;1959;27844.8;992;t
US-WY;afiinct992;p0p90;1960;28166.6;992;t
US-WY;afiinct992;p0p90;1961;29501.9;992;t
US-WY;afiinct992;p0p90;1962;29814.8;992;t
US-WY;afiinct992;p0p90;1963;29007.8;992;t
US-WY;afiinct992;p0p90;1964;30703.4;992;t
US-WY;afiinct992;p0p90;1965;30794.4;992;t
US-WY;afiinct992;p0p90;1966;30199.8;992;t
US-WY;afiinct992;p0p90;1967;32343.5;992;t
US-WY;afiinct992;p0p90;1968;32474.9;992;t
US-WY;afiinct992;p0p90;1969;34360.9;992;t
US-WY;afiinct992;p0p90;1970;36209;992;t
US-WY;afiinct992;p0p90;1971;35703.4;992;t
US-WY;afiinct992;p0p90;1972;38371.7;992;t
US-WY;afiinct992;p0p90;1973;39493.3;992;t
US-WY;afiinct992;p0p90;1974;40364.3;992;t
US-WY;afiinct992;p0p90;1975;39258.5;992;t
US-WY;afiinct992;p0p90;1976;40701.2;992;t
US-WY;afiinct992;p0p90;1977;42945.6;992;t
US-WY;afiinct992;p0p90;1978;45892.6;992;t
US-WY;afiinct992;p0p90;1979;50415.9;992;t
US-WY;afiinct992;p0p90;1980;50306.4;992;t
US-WY;afiinct992;p0p90;1981;49371.7;992;t
US-WY;afiinct992;p0p90;1982;46161.4;992;t
US-WY;afiinct992;p0p90;1983;43242.2;992;t
US-WY;afiinct992;p0p90;1984;40771;992;t
US-WY;afiinct992;p0p90;1985;44702.8;992;t
US-WY;afiinct992;p0p90;1986;43911.4;992;t
US-WY;afiinct992;p0p90;1987;39548;992;t
US-WY;afiinct992;p0p90;1988;40605.5;992;t
US-WY;afiinct992;p0p90;1989;42576.7;992;t
US-WY;afiinct992;p0p90;1990;42905.6;992;t
US-WY;afiinct992;p0p90;1991;41849.6;992;t
US-WY;afiinct992;p0p90;1992;40214.4;992;t
US-WY;afiinct992;p0p90;1993;39907.9;992;t
US-WY;afiinct992;p0p90;1994;39774.6;992;t
US-WY;afiinct992;p0p90;1995;40114.7;992;t
US-WY;afiinct992;p0p90;1996;37015.9;992;t
US-WY;afiinct992;p0p90;1997;38181.7;992;t
US-WY;afiinct992;p0p90;1998;40888.3;992;t
US-WY;afiinct992;p0p90;1999;42828.8;992;t
US-WY;afiinct992;p0p90;2000;41551.6;992;t
US-WY;afiinct992;p0p90;2001;45079.2;992;t
US-WY;afiinct992;p0p90;2002;42378.8;992;t
US-WY;afiinct992;p0p90;2003;43114.4;992;t
US-WY;afiinct992;p0p90;2004;43380.2;992;t
US-WY;afiinct992;p0p90;2005;44211.5;992;t
US-WY;afiinct992;p0p90;2006;44248.5;992;t
US-WY;afiinct992;p0p90;2007;45257.1;992;t
US-WY;afiinct992;p0p90;2008;50504.9;992;t
US-WY;afiinct992;p0p90;2009;49920.3;992;t
US-WY;afiinct992;p0p90;2010;46448.8;992;t
US-WY;afiinct992;p0p90;2011;54720.7;992;t
US-WY;afiinct992;p0p90;2012;12860;992;t
US-WY;afiinct992;p0p90;2013;49396.5;992;t
US-WY;afiinct992;p0p90;2014;55967.1;992;t
US-WY;afiinct992;p0p90;2015;58677;992;t
US-WY;afiinct992;p0p90;2016;55048.4;992;t
US-WY;afiinct992;p0p90;2017;53590.1;992;t
US-WY;afiinct992;p0p90;2018;57198.2;992;t
US-WY;afiinct992;p0p99;1917;21088.3;992;t
US-WY;afiinct992;p0p99;1918;20237;992;t
US-WY;afiinct992;p0p99;1919;20245.1;992;t
US-WY;afiinct992;p0p99;1920;17054.9;992;t
US-WY;afiinct992;p0p99;1921;16192.4;992;t
US-WY;afiinct992;p0p99;1922;17836;992;t
US-WY;afiinct992;p0p99;1923;18999.6;992;t
US-WY;afiinct992;p0p99;1924;17885.8;992;t
US-WY;afiinct992;p0p99;1925;17886.5;992;t
US-WY;afiinct992;p0p99;1926;17077.7;992;t
US-WY;afiinct992;p0p99;1927;16536.8;992;t
US-WY;afiinct992;p0p99;1928;16331.8;992;t
US-WY;afiinct992;p0p99;1929;16286.7;992;t
US-WY;afiinct992;p0p99;1930;14074.8;992;t
US-WY;afiinct992;p0p99;1931;12076;992;t
US-WY;afiinct992;p0p99;1932;10611.1;992;t
US-WY;afiinct992;p0p99;1933;10598.9;992;t
US-WY;afiinct992;p0p99;1934;11120.1;992;t
US-WY;afiinct992;p0p99;1935;13401;992;t
US-WY;afiinct992;p0p99;1936;14156.8;992;t
US-WY;afiinct992;p0p99;1937;15130.9;992;t
US-WY;afiinct992;p0p99;1938;14395.6;992;t
US-WY;afiinct992;p0p99;1939;14613.6;992;t
US-WY;afiinct992;p0p99;1940;14488.9;992;t
US-WY;afiinct992;p0p99;1941;17860.3;992;t
US-WY;afiinct992;p0p99;1942;20479.2;992;t
US-WY;afiinct992;p0p99;1943;23973.5;992;t
US-WY;afiinct992;p0p99;1944;23169.5;992;t
US-WY;afiinct992;p0p99;1945;22892.5;992;t
US-WY;afiinct992;p0p99;1946;23936.8;992;t
US-WY;afiinct992;p0p99;1947;24526.8;992;t
US-WY;afiinct992;p0p99;1948;26097.7;992;t
US-WY;afiinct992;p0p99;1949;28320.2;992;t
US-WY;afiinct992;p0p99;1950;30254.7;992;t
US-WY;afiinct992;p0p99;1951;22720.2;992;t
US-WY;afiinct992;p0p99;1952;30269.8;992;t
US-WY;afiinct992;p0p99;1953;30196.8;992;t
US-WY;afiinct992;p0p99;1954;28489.4;992;t
US-WY;afiinct992;p0p99;1955;31000.9;992;t
US-WY;afiinct992;p0p99;1956;31356.2;992;t
US-WY;afiinct992;p0p99;1957;32150;992;t
US-WY;afiinct992;p0p99;1958;31102.8;992;t
US-WY;afiinct992;p0p99;1959;33093.2;992;t
US-WY;afiinct992;p0p99;1960;33737.4;992;t
US-WY;afiinct992;p0p99;1961;35253.1;992;t
US-WY;afiinct992;p0p99;1962;35313.2;992;t
US-WY;afiinct992;p0p99;1963;34964.4;992;t
US-WY;afiinct992;p0p99;1964;36565.3;992;t
US-WY;afiinct992;p0p99;1965;36988.6;992;t
US-WY;afiinct992;p0p99;1966;36477.8;992;t
