country;variable;percentile;year;value;age;pop
VC;wwealgi999;p0p100;1995;-0.25253665;999;i
VC;wwealgi999;p0p100;1996;-0.20597298;999;i
VC;wwealgi999;p0p100;1997;-0.17832862;999;i
VC;wwealgi999;p0p100;1998;-0.16978779;999;i
VC;wwealgi999;p0p100;1999;-0.2313524;999;i
VC;wwealgi999;p0p100;2000;-0.24167368;999;i
VC;wwealgi999;p0p100;2001;-0.20383187;999;i
VC;wwealgi999;p0p100;2002;-0.18873529;999;i
VC;wwealgi999;p0p100;2003;-0.17589965;999;i
VC;wwealgi999;p0p100;2004;-0.18318607;999;i
VC;wwealgi999;p0p100;2005;-0.21727961;999;i
VC;wwealgi999;p0p100;2006;-0.19122124;999;i
VC;wwealgi999;p0p100;2007;-0.15198028;999;i
VC;wwealgi999;p0p100;2008;-0.17080344;999;i
VC;wwealgi999;p0p100;2009;-0.22785132;999;i
VC;wwealgi999;p0p100;2010;-0.2247925;999;i
VC;wwealgi999;p0p100;2011;-0.23293793;999;i
VC;wwealgi999;p0p100;2012;-0.2486465;999;i
VC;wwealgi999;p0p100;2013;-0.28369597;999;i
VC;wwealgi999;p0p100;2014;-0.30639711;999;i
VC;wwealgi999;p0p100;2015;-0.37272495;999;i
VC;wwealgi999;p0p100;2016;-0.41907662;999;i
VC;wwealgi999;p0p100;2017;-0.41270229;999;i
VC;wwealgi999;p0p100;2018;-0.43389267;999;i
VC;wwealgi999;p0p100;2019;-0.43084267;999;i
VC;wwealgi999;p0p100;2020;-0.48009095;999;i
VC;wwealgi999;p0p100;2021;-0.49128497;999;i
VC;wwealgi999;p0p100;2022;-0.49327013;999;i
VC;wwealni999;p0p100;1995;0.60053605;999;i
VC;wwealni999;p0p100;1996;0.64348602;999;i
VC;wwealni999;p0p100;1997;0.65859377;999;i
VC;wwealni999;p0p100;1998;0.68830472;999;i
VC;wwealni999;p0p100;1999;0.68450588;999;i
VC;wwealni999;p0p100;2000;0.74995518;999;i
VC;wwealni999;p0p100;2001;0.83145052;999;i
VC;wwealni999;p0p100;2002;0.89639592;999;i
VC;wwealni999;p0p100;2003;0.95072955;999;i
VC;wwealni999;p0p100;2004;1.0072048;999;i
VC;wwealni999;p0p100;2005;1.0502729;999;i
VC;wwealni999;p0p100;2006;1.1283885;999;i
VC;wwealni999;p0p100;2007;1.1751492;999;i
VC;wwealni999;p0p100;2008;1.1381619;999;i
VC;wwealni999;p0p100;2009;1.0703597;999;i
VC;wwealni999;p0p100;2010;1.0279655;999;i
VC;wwealni999;p0p100;2011;0.99314612;999;i
VC;wwealni999;p0p100;2012;0.98701525;999;i
VC;wwealni999;p0p100;2013;1.0388519;999;i
VC;wwealni999;p0p100;2014;1.0320535;999;i
VC;wwealni999;p0p100;2015;1.0329226;999;i
VC;wwealni999;p0p100;2016;1.0871449;999;i
VC;wwealni999;p0p100;2017;1.1690466;999;i
VC;wwealni999;p0p100;2018;1.2848855;999;i
VC;wwealni999;p0p100;2019;1.3748392;999;i
VC;wwealni999;p0p100;2020;1.3898416;999;i
VC;wwealni999;p0p100;2021;1.4775071;999;i
VC;wwealni999;p0p100;2022;1.5916033;999;i
VC;wwealpi999;p0p100;1995;0.8530727;999;i
VC;wwealpi999;p0p100;1996;0.84945899;999;i
VC;wwealpi999;p0p100;1997;0.83692235;999;i
VC;wwealpi999;p0p100;1998;0.85809249;999;i
VC;wwealpi999;p0p100;1999;0.91585827;999;i
VC;wwealpi999;p0p100;2000;0.99162883;999;i
VC;wwealpi999;p0p100;2001;1.0352824;999;i
VC;wwealpi999;p0p100;2002;1.0851313;999;i
VC;wwealpi999;p0p100;2003;1.1266291;999;i
VC;wwealpi999;p0p100;2004;1.1903908;999;i
VC;wwealpi999;p0p100;2005;1.2675525;999;i
VC;wwealpi999;p0p100;2006;1.3196096;999;i
VC;wwealpi999;p0p100;2007;1.3271296;999;i
VC;wwealpi999;p0p100;2008;1.3098954;999;i
VC;wwealpi999;p0p100;2009;1.3102084;999;i
VC;wwealpi999;p0p100;2010;1.3154262;999;i
VC;wwealpi999;p0p100;2011;1.3269557;999;i
VC;wwealpi999;p0p100;2012;1.3481851;999;i
VC;wwealpi999;p0p100;2013;1.4154363;999;i
VC;wwealpi999;p0p100;2014;1.4808042;999;i
VC;wwealpi999;p0p100;2015;1.5134891;999;i
VC;wwealpi999;p0p100;2016;1.576076;999;i
VC;wwealpi999;p0p100;2017;1.6420988;999;i
VC;wwealpi999;p0p100;2018;1.7310278;999;i
VC;wwealpi999;p0p100;2019;1.8296452;999;i
VC;wwealpi999;p0p100;2020;1.8955146;999;i
VC;wwealpi999;p0p100;2021;2.0036452;999;i
VC;wwealpi999;p0p100;2022;2.1256697;999;i
VC;mgweali999;p0p100;1995;-333802528;999;i
VC;mgweali999;p0p100;1996;-277934272;999;i
VC;mgweali999;p0p100;1997;-246344048;999;i
VC;mgweali999;p0p100;1998;-244180432;999;i
VC;mgweali999;p0p100;1999;-336064288;999;i
VC;mgweali999;p0p100;2000;-356513568;999;i
VC;mgweali999;p0p100;2001;-308584512;999;i
VC;mgweali999;p0p100;2002;-300366432;999;i
VC;mgweali999;p0p100;2003;-294669408;999;i
VC;mgweali999;p0p100;2004;-315019680;999;i
VC;mgweali999;p0p100;2005;-381413248;999;i
VC;mgweali999;p0p100;2006;-366686368;999;i
VC;mgweali999;p0p100;2007;-301930624;999;i
VC;mgweali999;p0p100;2008;-337754880;999;i
VC;mgweali999;p0p100;2009;-449741472;999;i
VC;mgweali999;p0p100;2010;-422037568;999;i
VC;mgweali999;p0p100;2011;-435280992;999;i
VC;mgweali999;p0p100;2012;-478052704;999;i
VC;mgweali999;p0p100;2013;-562523136;999;i
VC;mgweali999;p0p100;2014;-591244992;999;i
VC;mgweali999;p0p100;2015;-754749312;999;i
VC;mgweali999;p0p100;2016;-916591296;999;i
VC;mgweali999;p0p100;2017;-916509056;999;i
VC;mgweali999;p0p100;2018;-991395968;999;i
VC;mgweali999;p0p100;2019;-987852864;999;i
VC;mgweali999;p0p100;2020;-1035880512;999;i
VC;mgweali999;p0p100;2021;-1075540608;999;i
VC;mgweali999;p0p100;2022;-1143776384;999;i
VC;mnweali999;p0p100;1995;793787584;999;i
VC;mnweali999;p0p100;1996;868302272;999;i
VC;mnweali999;p0p100;1997;909784768;999;i
VC;mnweali999;p0p100;1998;989885888;999;i
VC;mnweali999;p0p100;1999;994318528;999;i
VC;mnweali999;p0p100;2000;1106323200;999;i
VC;mnweali999;p0p100;2001;1258747008;999;i
VC;mnweali999;p0p100;2002;1426586624;999;i
VC;mnweali999;p0p100;2003;1592674560;999;i
VC;mnweali999;p0p100;2004;1732060288;999;i
VC;mnweali999;p0p100;2005;1843652096;999;i
VC;mnweali999;p0p100;2006;2163800832;999;i
VC;mnweali999;p0p100;2007;2334602496;999;i
VC;mnweali999;p0p100;2008;2250655488;999;i
VC;mnweali999;p0p100;2009;2112716032;999;i
VC;mnweali999;p0p100;2010;1929958016;999;i
VC;mnweali999;p0p100;2011;1855848960;999;i
VC;mnweali999;p0p100;2012;1897655168;999;i
VC;mnweali999;p0p100;2013;2059874944;999;i
VC;mnweali999;p0p100;2014;1991521664;999;i
VC;mnweali999;p0p100;2015;2091616384;999;i
VC;mnweali999;p0p100;2016;2377769216;999;i
VC;mnweali999;p0p100;2017;2596161536;999;i
VC;mnweali999;p0p100;2018;2935819008;999;i
VC;mnweali999;p0p100;2019;3152284672;999;i
VC;mnweali999;p0p100;2020;2998827008;999;i
VC;mnweali999;p0p100;2021;3234617344;999;i
VC;mnweali999;p0p100;2022;3690550272;999;i
VC;mnwnxai999;p0p100;1977;150234992;999;i
VC;mnwnxai999;p0p100;1978;123153832;999;i
VC;mnwnxai999;p0p100;1979;101186872;999;i
VC;mnwnxai999;p0p100;1980;54318800;999;i
VC;mnwnxai999;p0p100;1981;37572024;999;i
VC;mnwnxai999;p0p100;1982;12727950;999;i
VC;mnwnxai999;p0p100;1983;-27241880;999;i
VC;mnwnxai999;p0p100;1984;-40726336;999;i
VC;mnwnxai999;p0p100;1985;-6039549;999;i
VC;mnwnxai999;p0p100;1986;70107088;999;i
VC;mnwnxai999;p0p100;1987;82781480;999;i
VC;mnwnxai999;p0p100;1988;80915568;999;i
VC;mnwnxai999;p0p100;1989;79152312;999;i
VC;mnwnxai999;p0p100;1990;91380896;999;i
VC;mnwnxai999;p0p100;1991;56561040;999;i
VC;mnwnxai999;p0p100;1992;-11024932;999;i
VC;mnwnxai999;p0p100;1993;-71557360;999;i
VC;mnwnxai999;p0p100;1994;-171465072;999;i
VC;mnwnxai999;p0p100;1995;-269773664;999;i
VC;mnwnxai999;p0p100;1996;-353604928;999;i
VC;mnwnxai999;p0p100;1997;-486130272;999;i
VC;mnwnxai999;p0p100;1998;-640444224;999;i
VC;mnwnxai999;p0p100;1999;-750552128;999;i
VC;mnwnxai999;p0p100;2000;-695052480;999;i
VC;mnwnxai999;p0p100;2001;-643978688;999;i
VC;mnwnxai999;p0p100;2002;-700222592;999;i
VC;mnwnxai999;p0p100;2003;-772407552;999;i
VC;mnwnxai999;p0p100;2004;-814613568;999;i
VC;mnwnxai999;p0p100;2005;-889750784;999;i
VC;mnwnxai999;p0p100;2006;-965559296;999;i
VC;mnwnxai999;p0p100;2007;-1192636288;999;i
VC;mnwnxai999;p0p100;2008;-1629899904;999;i
VC;mnwnxai999;p0p100;2009;-2059442688;999;i
VC;mnwnxai999;p0p100;2010;-2259095552;999;i
VC;mnwnxai999;p0p100;2011;-2500782592;999;i
VC;mnwnxai999;p0p100;2012;-2707927040;999;i
VC;mnwnxai999;p0p100;2013;-2716000512;999;i
VC;mnwnxai999;p0p100;2014;-2775979520;999;i
VC;mnwnxai999;p0p100;2015;-3121664000;999;i
VC;mnwnxai999;p0p100;2016;-3463447296;999;i
VC;mnwnxai999;p0p100;2017;-3557786624;999;i
VC;mnwnxai999;p0p100;2018;-3612940032;999;i
VC;mnwnxai999;p0p100;2019;-3664756224;999;i
VC;mnwnxai999;p0p100;2020;-3840933632;999;i
VC;mnwnxai999;p0p100;2021;-3972131072;999;i
VC;mnwnxai999;p0p100;2022;-4167173632;999;i
VC;mpweali999;p0p100;1995;1127590144;999;i
VC;mpweali999;p0p100;1996;1146236544;999;i
VC;mpweali999;p0p100;1997;1156128768;999;i
VC;mpweali999;p0p100;1998;1234066304;999;i
VC;mpweali999;p0p100;1999;1330382848;999;i
VC;mpweali999;p0p100;2000;1462836736;999;i
VC;mpweali999;p0p100;2001;1567331456;999;i
VC;mpweali999;p0p100;2002;1726953088;999;i
VC;mpweali999;p0p100;2003;1887343872;999;i
VC;mpweali999;p0p100;2004;2047079936;999;i
VC;mpweali999;p0p100;2005;2225065216;999;i
VC;mpweali999;p0p100;2006;2530487040;999;i
VC;mpweali999;p0p100;2007;2636533248;999;i
VC;mpweali999;p0p100;2008;2590249728;999;i
VC;mpweali999;p0p100;2009;2586138368;999;i
VC;mpweali999;p0p100;2010;2469652224;999;i
VC;mpweali999;p0p100;2011;2479624448;999;i
VC;mpweali999;p0p100;2012;2592047360;999;i
VC;mpweali999;p0p100;2013;2806580736;999;i
VC;mpweali999;p0p100;2014;2857462016;999;i
VC;mpweali999;p0p100;2015;3064739328;999;i
VC;mpweali999;p0p100;2016;3447144192;999;i
VC;mpweali999;p0p100;2017;3646692608;999;i
VC;mpweali999;p0p100;2018;3955203840;999;i
VC;mpweali999;p0p100;2019;4195081728;999;i
VC;mpweali999;p0p100;2020;4089905408;999;i
VC;mpweali999;p0p100;2021;4386459648;999;i
VC;mpweali999;p0p100;2022;4928923648;999;i
VC;acomnxi992;p0p100;1978;0;992;i
VC;acomnxi992;p0p100;1979;0;992;i
VC;acomnxi992;p0p100;1980;0;992;i
VC;acomnxi992;p0p100;1981;0;992;i
VC;acomnxi992;p0p100;1982;0;992;i
VC;acomnxi992;p0p100;1983;0;992;i
VC;acomnxi992;p0p100;1984;0;992;i
VC;acomnxi992;p0p100;1985;0;992;i
VC;acomnxi992;p0p100;1986;120.5;992;i
VC;acomnxi992;p0p100;1987;153.6;992;i
VC;acomnxi992;p0p100;1988;141.5;992;i
VC;acomnxi992;p0p100;1989;96.4;992;i
VC;acomnxi992;p0p100;1990;17.9;992;i
VC;acomnxi992;p0p100;1991;11;992;i
VC;acomnxi992;p0p100;1992;74.7;992;i
VC;acomnxi992;p0p100;1993;19.1;992;i
VC;acomnxi992;p0p100;1994;22.8;992;i
VC;acomnxi992;p0p100;1995;25.3;992;i
VC;acomnxi992;p0p100;1996;13.5;992;i
VC;acomnxi992;p0p100;1997;5.5;992;i
VC;acomnxi992;p0p100;1998;5.2;992;i
VC;acomnxi992;p0p100;1999;8.1;992;i
VC;acomnxi992;p0p100;2000;8.8;992;i
VC;acomnxi992;p0p100;2001;7.3;992;i
VC;acomnxi992;p0p100;2002;45.4;992;i
VC;acomnxi992;p0p100;2003;37.2;992;i
VC;acomnxi992;p0p100;2004;39.2;992;i
VC;acomnxi992;p0p100;2005;26.4;992;i
VC;acomnxi992;p0p100;2006;170.7;992;i
VC;acomnxi992;p0p100;2007;292.2;992;i
VC;acomnxi992;p0p100;2008;199.9;992;i
VC;acomnxi992;p0p100;2009;350.5;992;i
VC;acomnxi992;p0p100;2010;287.3;992;i
VC;acomnxi992;p0p100;2011;278.7;992;i
VC;acomnxi992;p0p100;2012;334.1;992;i
VC;acomnxi992;p0p100;2013;337.2;992;i
VC;acomnxi992;p0p100;2014;-94.5;992;i
VC;acomnxi992;p0p100;2015;-79.9;992;i
VC;acomnxi992;p0p100;2016;-121.7;992;i
VC;acomnxi992;p0p100;2017;-104.7;992;i
VC;acomnxi992;p0p100;2018;-109.3;992;i
VC;acomnxi999;p0p100;1978;0;999;i
VC;acomnxi999;p0p100;1979;0;999;i
VC;acomnxi999;p0p100;1980;0;999;i
VC;acomnxi999;p0p100;1981;0;999;i
VC;acomnxi999;p0p100;1982;0;999;i
VC;acomnxi999;p0p100;1983;0;999;i
VC;acomnxi999;p0p100;1984;0;999;i
VC;acomnxi999;p0p100;1985;0;999;i
VC;acomnxi999;p0p100;1986;59.4;999;i
VC;acomnxi999;p0p100;1987;76.6;999;i
VC;acomnxi999;p0p100;1988;71.3;999;i
VC;acomnxi999;p0p100;1989;48.9;999;i
VC;acomnxi999;p0p100;1990;9.1;999;i
VC;acomnxi999;p0p100;1991;5.7;999;i
VC;acomnxi999;p0p100;1992;39;999;i
VC;acomnxi999;p0p100;1993;10.1;999;i
VC;acomnxi999;p0p100;1994;12.2;999;i
VC;acomnxi999;p0p100;1995;13.7;999;i
VC;acomnxi999;p0p100;1996;7.4;999;i
VC;acomnxi999;p0p100;1997;3;999;i
VC;acomnxi999;p0p100;1998;2.9;999;i
VC;acomnxi999;p0p100;1999;4.6;999;i
VC;acomnxi999;p0p100;2000;5.1;999;i
VC;acomnxi999;p0p100;2001;4.3;999;i
VC;acomnxi999;p0p100;2002;26.9;999;i
VC;acomnxi999;p0p100;2003;22.3;999;i
VC;acomnxi999;p0p100;2004;23.8;999;i
VC;acomnxi999;p0p100;2005;16.3;999;i
VC;acomnxi999;p0p100;2006;106.4;999;i
VC;acomnxi999;p0p100;2007;184.1;999;i
VC;acomnxi999;p0p100;2008;127.2;999;i
VC;acomnxi999;p0p100;2009;225;999;i
VC;acomnxi999;p0p100;2010;186.1;999;i
VC;acomnxi999;p0p100;2011;182.3;999;i
VC;acomnxi999;p0p100;2012;220.8;999;i
VC;acomnxi999;p0p100;2013;225.1;999;i
VC;acomnxi999;p0p100;2014;-63.7;999;i
VC;acomnxi999;p0p100;2015;-54.3;999;i
VC;acomnxi999;p0p100;2016;-83.4;999;i
VC;acomnxi999;p0p100;2017;-72.4;999;i
VC;acomnxi999;p0p100;2018;-76.1;999;i
VC;acompxi992;p0p100;1978;0;992;i
VC;acompxi992;p0p100;1979;0;992;i
VC;acompxi992;p0p100;1980;0;992;i
VC;acompxi992;p0p100;1981;0;992;i
VC;acompxi992;p0p100;1982;0;992;i
VC;acompxi992;p0p100;1983;0;992;i
