country;variable;percentile;year;value;age;pop
VG;ehfghgi999;p0p100;1980;0.141320636044914;999;i
VG;ehfghgi999;p0p100;1981;0.146386372550753;999;i
VG;ehfghgi999;p0p100;1982;0.153178160277193;999;i
VG;ehfghgi999;p0p100;1983;0.156706508718678;999;i
VG;ehfghgi999;p0p100;1984;0.158735534726945;999;i
VG;ehfghgi999;p0p100;1985;0.163649765684998;999;i
VG;ehfghgi999;p0p100;1986;0.16705526109482;999;i
VG;ehfghgi999;p0p100;1987;0.171858490626765;999;i
VG;ehfghgi999;p0p100;1988;0.175092623745978;999;i
VG;ehfghgi999;p0p100;1989;0.177185796222245;999;i
VG;ehfghgi999;p0p100;1990;0.171094410951109;999;i
VG;ehfghgi999;p0p100;1991;0.170363014659868;999;i
VG;ehfghgi999;p0p100;1992;0.180966838101087;999;i
VG;ehfghgi999;p0p100;1993;0.186956641010925;999;i
VG;ehfghgi999;p0p100;1994;0.187490552746257;999;i
VG;ehfghgi999;p0p100;1995;0.195153620438545;999;i
VG;ehfghgi999;p0p100;1996;0.19750269409265;999;i
VG;ehfghgi999;p0p100;1997;0.201749768142621;999;i
VG;ehfghgi999;p0p100;1998;0.203370613699614;999;i
VG;ehfghgi999;p0p100;1999;0.206180946164647;999;i
VG;ehfghgi999;p0p100;2000;0.208416457850328;999;i
VG;ehfghgi999;p0p100;2001;0.208590331503763;999;i
VG;ehfghgi999;p0p100;2002;0.210949904310747;999;i
VG;ehfghgi999;p0p100;2003;0.2157773457386;999;i
VG;ehfghgi999;p0p100;2004;0.217782563843574;999;i
VG;ehfghgi999;p0p100;2005;0.221515525181926;999;i
VG;ehfghgi999;p0p100;2006;0.22474342261412;999;i
VG;ehfghgi999;p0p100;2007;0.228576786693683;999;i
VG;ehfghgi999;p0p100;2008;0.233714102669428;999;i
VG;ehfghgi999;p0p100;2009;0.23624190301128;999;i
VG;ehfghgi999;p0p100;2010;0.237443725833688;999;i
VG;ehfghgi999;p0p100;2011;0.230220174701275;999;i
VG;ehfghgi999;p0p100;2012;0.229526968466581;999;i
VG;ehfghgi999;p0p100;2013;0.232755746429017;999;i
VG;ehfghgi999;p0p100;2014;0.236781933712567;999;i
VG;ehfghgi999;p0p100;2015;0.241376638623893;999;i
VG;ehfghgi999;p0p100;2016;0.244261526462361;999;i
VG;ehfghgi999;p0p100;2017;0.247146414300827;999;i
VG;ehfghgi999;p0p100;2018;0.250031302139294;999;i
VG;ehfghgi999;p0p100;2019;0.252916189977761;999;i
VG;ehfghgi999;p0p100;2020;0.240270380478873;999;i
VG;ehfghoi999;p0p100;1990;0.05088510245961;999;i
VG;ehfghoi999;p0p100;1991;0.0505131166318919;999;i
VG;ehfghoi999;p0p100;1992;0.0535804951427438;999;i
VG;ehfghoi999;p0p100;1993;0.0551779677346456;999;i
VG;ehfghoi999;p0p100;1994;0.0535946872205791;999;i
VG;ehfghoi999;p0p100;1995;0.0559275580842595;999;i
VG;ehfghoi999;p0p100;1996;0.0560181446785953;999;i
VG;ehfghoi999;p0p100;1997;0.0563969036660714;999;i
VG;ehfghoi999;p0p100;1998;0.0563053285749214;999;i
VG;ehfghoi999;p0p100;1999;0.0570752421963097;999;i
VG;ehfghoi999;p0p100;2000;0.0579294427234318;999;i
VG;ehfghoi999;p0p100;2001;0.0579455567477209;999;i
VG;ehfghoi999;p0p100;2002;0.0581491383392375;999;i
VG;ehfghoi999;p0p100;2003;0.0598040861005766;999;i
VG;ehfghoi999;p0p100;2004;0.0613929433146714;999;i
VG;ehfghoi999;p0p100;2005;0.0629680069777186;999;i
VG;ehfghoi999;p0p100;2006;0.0643604690697571;999;i
