country;variable;percentile;year;value;age;pop
VI;agweali999;p0p100;2002;11431.8;999;i
VI;agweali999;p0p100;2003;12985.3;999;i
VI;agweali999;p0p100;2004;15224.9;999;i
VI;agweali999;p0p100;2005;17606.5;999;i
VI;agweali999;p0p100;2006;19988;999;i
VI;agweali999;p0p100;2007;22420;999;i
VI;agweali999;p0p100;2008;23919.3;999;i
VI;agweali999;p0p100;2009;22838.5;999;i
VI;agweali999;p0p100;2010;23486.7;999;i
VI;agweali999;p0p100;2011;21520.5;999;i
VI;agweali999;p0p100;2012;17893.3;999;i
VI;agweali999;p0p100;2013;16470.2;999;i
VI;agweali999;p0p100;2014;15872.5;999;i
VI;agweali999;p0p100;2015;15429.4;999;i
VI;agweali999;p0p100;2016;15295.9;999;i
VI;agweali999;p0p100;2017;14757.9;999;i
VI;agweali999;p0p100;2018;14713;999;i
VI;agweali999;p0p100;2019;14886.9;999;i
VI;agweali999;p0p100;2020;14240.9;999;i
VI;agweali999;p0p100;2021;14369.7;999;i
VI;agweali999;p0p100;2022;13908.7;999;i
VI;anweali992;p0p100;2002;79962.1;992;i
VI;anweali992;p0p100;2003;85261.90000000001;992;i
VI;anweali992;p0p100;2004;94625.3;992;i
VI;anweali992;p0p100;2005;104602.6;992;i
VI;anweali992;p0p100;2006;114799.6;992;i
VI;anweali992;p0p100;2007;125993;992;i
VI;anweali992;p0p100;2008;133153.7;992;i
VI;anweali992;p0p100;2009;127497.5;992;i
VI;anweali992;p0p100;2010;132736.3;992;i
VI;anweali992;p0p100;2011;124153.4;992;i
VI;anweali992;p0p100;2012;106405.6;992;i
VI;anweali992;p0p100;2013;101945.3;992;i
VI;anweali992;p0p100;2014;103203.8;992;i
VI;anweali992;p0p100;2015;106225.7;992;i
VI;anweali992;p0p100;2016;112158.4;992;i
VI;anweali992;p0p100;2017;115660;992;i
VI;anweali992;p0p100;2018;123414.7;992;i
VI;anweali992;p0p100;2019;133656.4;992;i
VI;anweali992;p0p100;2020;137100.2;992;i
VI;anweali992;p0p100;2021;148468.8;992;i
VI;anweali992;p0p100;2022;154072.9;992;i
VI;anweali999;p0p100;2002;53675.7;999;i
VI;anweali999;p0p100;2003;57938.5;999;i
VI;anweali999;p0p100;2004;65110;999;i
VI;anweali999;p0p100;2005;72809.5;999;i
VI;anweali999;p0p100;2006;80708.1;999;i
VI;anweali999;p0p100;2007;89322.6;999;i
VI;anweali999;p0p100;2008;95065.3;999;i
VI;anweali999;p0p100;2009;91565.6;999;i
VI;anweali999;p0p100;2010;95987.5;999;i
VI;anweali999;p0p100;2011;90559.70000000001;999;i
VI;anweali999;p0p100;2012;78289.2;999;i
VI;anweali999;p0p100;2013;75607.2;999;i
VI;anweali999;p0p100;2014;77052.2;999;i
VI;anweali999;p0p100;2015;79710.40000000001;999;i
VI;anweali999;p0p100;2016;84447.70000000001;999;i
VI;anweali999;p0p100;2017;87266;999;i
VI;anweali999;p0p100;2018;93241.90000000001;999;i
VI;anweali999;p0p100;2019;101090;999;i
VI;anweali999;p0p100;2020;103575.2;999;i
VI;anweali999;p0p100;2021;111944.5;999;i
VI;anweali999;p0p100;2022;115991.9;999;i
VI;apweali992;p0p100;2002;62931.8;992;i
VI;apweali992;p0p100;2003;66152.8;992;i
VI;apweali992;p0p100;2004;72498.7;992;i
VI;apweali992;p0p100;2005;79308.1;992;i
VI;apweali992;p0p100;2006;86368.6;992;i
VI;apweali992;p0p100;2007;94368.70000000001;992;i
VI;apweali992;p0p100;2008;99651.1;992;i
VI;apweali992;p0p100;2009;95696.70000000001;992;i
VI;apweali992;p0p100;2010;100257.8;992;i
VI;apweali992;p0p100;2011;94649.8;992;i
VI;apweali992;p0p100;2012;82086.1;992;i
VI;apweali992;p0p100;2013;79737.70000000001;992;i
VI;apweali992;p0p100;2014;81944.1;992;i
VI;apweali992;p0p100;2015;85663.8;992;i
VI;apweali992;p0p100;2016;91843.40000000001;992;i
VI;apweali992;p0p100;2017;96100.3;992;i
VI;apweali992;p0p100;2018;103940.6;992;i
VI;apweali992;p0p100;2019;113973.6;992;i
VI;apweali992;p0p100;2020;118249.9;992;i
VI;apweali992;p0p100;2021;129410.7;992;i
VI;apweali992;p0p100;2022;135597.9;992;i
VI;apweali999;p0p100;2002;42243.9;999;i
VI;apweali999;p0p100;2003;44953.2;999;i
VI;apweali999;p0p100;2004;49885.10000000001;999;i
VI;apweali999;p0p100;2005;55203.10000000001;999;i
VI;apweali999;p0p100;2006;60720.10000000001;999;i
VI;apweali999;p0p100;2007;66902.5;999;i
VI;apweali999;p0p100;2008;71146.1;999;i
VI;apweali999;p0p100;2009;68727;999;i
