country;variable;percentile;year;value;age;pop
VU;ehfghgi999;p0p100;1980;0.287431273174948;999;i
VU;ehfghgi999;p0p100;1981;0.289316351374875;999;i
VU;ehfghgi999;p0p100;1982;0.291730788161701;999;i
VU;ehfghgi999;p0p100;1983;0.294331734147319;999;i
VU;ehfghgi999;p0p100;1984;0.294726627177157;999;i
VU;ehfghgi999;p0p100;1985;0.306362209200825;999;i
VU;ehfghgi999;p0p100;1986;0.31135357775469;999;i
VU;ehfghgi999;p0p100;1987;0.314404128990405;999;i
VU;ehfghgi999;p0p100;1988;0.326320574375069;999;i
VU;ehfghgi999;p0p100;1989;0.333536709265682;999;i
VU;ehfghgi999;p0p100;1990;0.337688374669558;999;i
VU;ehfghgi999;p0p100;1991;0.347319136427873;999;i
VU;ehfghgi999;p0p100;1992;0.359649896247463;999;i
VU;ehfghgi999;p0p100;1993;0.367369069170647;999;i
VU;ehfghgi999;p0p100;1994;0.366497306280663;999;i
VU;ehfghgi999;p0p100;1995;0.376087283320618;999;i
VU;ehfghgi999;p0p100;1996;0.389493736333434;999;i
VU;ehfghgi999;p0p100;1997;0.414000687503413;999;i
VU;ehfghgi999;p0p100;1998;0.437167362537929;999;i
VU;ehfghgi999;p0p100;1999;0.439893924922314;999;i
VU;ehfghgi999;p0p100;2000;0.461899380207448;999;i
VU;ehfghgi999;p0p100;2001;0.446693111199336;999;i
VU;ehfghgi999;p0p100;2002;0.446683554757629;999;i
VU;ehfghgi999;p0p100;2003;0.454238122781837;999;i
VU;ehfghgi999;p0p100;2004;0.453315417591192;999;i
VU;ehfghgi999;p0p100;2005;0.458034719441976;999;i
VU;ehfghgi999;p0p100;2006;0.454352927504696;999;i
VU;ehfghgi999;p0p100;2007;0.467294980836426;999;i
VU;ehfghgi999;p0p100;2008;0.46416885546878;999;i
VU;ehfghgi999;p0p100;2009;0.467221028459681;999;i
VU;ehfghgi999;p0p100;2010;0.469780912156508;999;i
VU;ehfghgi999;p0p100;2011;0.466621285560284;999;i
VU;ehfghgi999;p0p100;2012;0.474712713412802;999;i
VU;ehfghgi999;p0p100;2013;0.475072487646036;999;i
VU;ehfghgi999;p0p100;2014;0.485428848015653;999;i
VU;ehfghgi999;p0p100;2015;0.495793188862529;999;i
VU;ehfghgi999;p0p100;2016;0.500630498072304;999;i
VU;ehfghgi999;p0p100;2017;0.505467807282078;999;i
VU;ehfghgi999;p0p100;2018;0.51030511649185;999;i
VU;ehfghgi999;p0p100;2019;0.515142425701625;999;i
VU;ehfghgi999;p0p100;2020;0.479082455902511;999;i
VU;ehfghoi999;p0p100;1990;0.237128011669994;999;i
VU;ehfghoi999;p0p100;1991;0.24426549243487;999;i
VU;ehfghoi999;p0p100;1992;0.254216957833312;999;i
VU;ehfghoi999;p0p100;1993;0.2597665182654;999;i
VU;ehfghoi999;p0p100;1994;0.256875780362263;999;i
VU;ehfghoi999;p0p100;1995;0.263137091252558;999;i
VU;ehfghoi999;p0p100;1996;0.269941599757801;999;i
VU;ehfghoi999;p0p100;1997;0.285877062753902;999;i
VU;ehfghoi999;p0p100;1998;0.301932904494855;999;i
VU;ehfghoi999;p0p100;1999;0.302810102951259;999;i
VU;ehfghoi999;p0p100;2000;0.317662601877597;999;i
VU;ehfghoi999;p0p100;2001;0.305502283036007;999;i
VU;ehfghoi999;p0p100;2002;0.305612856640222;999;i
VU;ehfghoi999;p0p100;2003;0.312856043743227;999;i
VU;ehfghoi999;p0p100;2004;0.317832350446951;999;i
VU;ehfghoi999;p0p100;2005;0.322023630927872;999;i
VU;ehfghoi999;p0p100;2006;0.322926158457491;999;i
VU;ehfghoi999;p0p100;2007;0.32584458929575;999;i
VU;ehfghoi999;p0p100;2008;0.325370894230231;999;i
VU;ehfghoi999;p0p100;2009;0.323576713073858;999;i
VU;ehfghoi999;p0p100;2010;0.326158396609527;999;i
VU;ehfghoi999;p0p100;2011;0.323125993069123;999;i
VU;ehfghoi999;p0p100;2012;0.330697915549847;999;i
VU;ehfghoi999;p0p100;2013;0.332490575607958;999;i
VU;ehfghoi999;p0p100;2014;0.335994522782873;999;i
VU;ehfghoi999;p0p100;2015;0.342860054984491;999;i
VU;ehfghoi999;p0p100;2016;0.34620524031357;999;i
VU;ehfghoi999;p0p100;2017;0.349550425642649;999;i
VU;ehfghoi999;p0p100;2018;0.352895610971727;999;i
VU;ehfghoi999;p0p100;2019;0.356240796300806;999;i
VU;ehfghoi999;p0p100;2020;0.331303940559749;999;i
VU;enfcari999;p0p100;1990;0.212051262307041;999;i
VU;enfcari999;p0p100;1991;0.214787633936855;999;i
VU;enfcari999;p0p100;1992;0.21752400556667;999;i
VU;enfcari999;p0p100;1993;0.220260377196484;999;i
VU;enfcari999;p0p100;1994;0.222996748826298;999;i
VU;enfcari999;p0p100;1995;0.225733120456112;999;i
VU;enfcari999;p0p100;1996;0.228469492085926;999;i
VU;enfcari999;p0p100;1997;0.23120586371574;999;i
VU;enfcari999;p0p100;1998;0.233942235345554;999;i
VU;enfcari999;p0p100;1999;0.236678606975368;999;i
VU;enfcari999;p0p100;2000;0.239414978605182;999;i
VU;enfcari999;p0p100;2001;0.242151350234997;999;i
VU;enfcari999;p0p100;2002;0.244887721864811;999;i
VU;enfcari999;p0p100;2003;0.247624093494625;999;i
VU;enfcari999;p0p100;2004;0.250360465124439;999;i
VU;enfcari999;p0p100;2005;0.253096836754253;999;i
