country;variable;percentile;year;value;age;pop
WF;npopulf001;p0p100;1950;816;001;f
WF;npopulf001;p0p100;1951;824;001;f
WF;npopulf001;p0p100;1952;835;001;f
WF;npopulf001;p0p100;1953;846;001;f
WF;npopulf001;p0p100;1954;864;001;f
WF;npopulf001;p0p100;1955;887;001;f
WF;npopulf001;p0p100;1956;906;001;f
WF;npopulf001;p0p100;1957;912;001;f
WF;npopulf001;p0p100;1958;903;001;f
WF;npopulf001;p0p100;1959;880;001;f
WF;npopulf001;p0p100;1960;845;001;f
WF;npopulf001;p0p100;1961;806;001;f
WF;npopulf001;p0p100;1962;769;001;f
WF;npopulf001;p0p100;1963;736;001;f
WF;npopulf001;p0p100;1964;711;001;f
WF;npopulf001;p0p100;1965;712;001;f
WF;npopulf001;p0p100;1966;750;001;f
WF;npopulf001;p0p100;1967;806;001;f
WF;npopulf001;p0p100;1968;861;001;f
WF;npopulf001;p0p100;1969;889;001;f
WF;npopulf001;p0p100;1970;889;001;f
WF;npopulf001;p0p100;1971;885;001;f
WF;npopulf001;p0p100;1972;882;001;f
WF;npopulf001;p0p100;1973;877;001;f
WF;npopulf001;p0p100;1974;869;001;f
WF;npopulf001;p0p100;1975;855;001;f
WF;npopulf001;p0p100;1976;843;001;f
WF;npopulf001;p0p100;1977;842;001;f
WF;npopulf001;p0p100;1978;851;001;f
WF;npopulf001;p0p100;1979;871;001;f
WF;npopulf001;p0p100;1980;902;001;f
WF;npopulf001;p0p100;1981;938;001;f
WF;npopulf001;p0p100;1982;974;001;f
WF;npopulf001;p0p100;1983;987;001;f
WF;npopulf001;p0p100;1984;970;001;f
WF;npopulf001;p0p100;1985;947;001;f
WF;npopulf001;p0p100;1986;923;001;f
WF;npopulf001;p0p100;1987;900;001;f
WF;npopulf001;p0p100;1988;882;001;f
WF;npopulf001;p0p100;1989;873;001;f
WF;npopulf001;p0p100;1990;869;001;f
WF;npopulf001;p0p100;1991;867;001;f
WF;npopulf001;p0p100;1992;866;001;f
WF;npopulf001;p0p100;1993;869;001;f
WF;npopulf001;p0p100;1994;871;001;f
WF;npopulf001;p0p100;1995;859;001;f
WF;npopulf001;p0p100;1996;828;001;f
WF;npopulf001;p0p100;1997;788;001;f
WF;npopulf001;p0p100;1998;750;001;f
WF;npopulf001;p0p100;1999;724;001;f
WF;npopulf001;p0p100;2000;712;001;f
WF;npopulf001;p0p100;2001;713;001;f
WF;npopulf001;p0p100;2002;716;001;f
WF;npopulf001;p0p100;2003;705;001;f
WF;npopulf001;p0p100;2004;670;001;f
WF;npopulf001;p0p100;2005;626;001;f
WF;npopulf001;p0p100;2006;595;001;f
WF;npopulf001;p0p100;2007;578;001;f
WF;npopulf001;p0p100;2008;561;001;f
WF;npopulf001;p0p100;2009;531;001;f
WF;npopulf001;p0p100;2010;500;001;f
WF;npopulf001;p0p100;2011;485;001;f
WF;npopulf001;p0p100;2012;486;001;f
WF;npopulf001;p0p100;2013;489;001;f
WF;npopulf001;p0p100;2014;479;001;f
WF;npopulf001;p0p100;2015;459;001;f
WF;npopulf001;p0p100;2016;439;001;f
WF;npopulf001;p0p100;2017;422;001;f
WF;npopulf001;p0p100;2018;405;001;f
WF;npopulf001;p0p100;2019;389;001;f
WF;npopulf001;p0p100;2020;376;001;f
WF;npopulf001;p0p100;2021;363;001;f
WF;npopulf001;p0p100;2022;348;001;f
WF;npopulf001;p0p100;2023;334;001;f
WF;npopuli202;p0p100;1950;1374;202;i
WF;npopuli202;p0p100;1951;1431;202;i
WF;npopuli202;p0p100;1952;1516;202;i
WF;npopuli202;p0p100;1953;1602;202;i
WF;npopuli202;p0p100;1954;1616;202;i
WF;npopuli202;p0p100;1955;1544;202;i
WF;npopuli202;p0p100;1956;1451;202;i
WF;npopuli202;p0p100;1957;1349;202;i
WF;npopuli202;p0p100;1958;1236;202;i
WF;npopuli202;p0p100;1959;1117;202;i
WF;npopuli202;p0p100;1960;998;202;i
WF;npopuli202;p0p100;1961;877;202;i
WF;npopuli202;p0p100;1962;832;202;i
WF;npopuli202;p0p100;1963;874;202;i
WF;npopuli202;p0p100;1964;937;202;i
WF;npopuli202;p0p100;1965;1020;202;i
WF;npopuli202;p0p100;1966;1107;202;i
WF;npopuli202;p0p100;1967;1171;202;i
WF;npopuli202;p0p100;1968;1222;202;i
WF;npopuli202;p0p100;1969;1261;202;i
WF;npopuli202;p0p100;1970;1289;202;i
WF;npopuli202;p0p100;1971;1307;202;i
WF;npopuli202;p0p100;1972;1315;202;i
WF;npopuli202;p0p100;1973;1313;202;i
WF;npopuli202;p0p100;1974;1300;202;i
WF;npopuli202;p0p100;1975;1267;202;i
