country;variable;percentile;year;value;age;pop
YU;aconfci992;p0p100;1950;2180.8;992;i
YU;aconfci992;p0p100;1951;2211.2;992;i
YU;aconfci992;p0p100;1952;2251.3;992;i
YU;aconfci992;p0p100;1953;2325.9;992;i
YU;aconfci992;p0p100;1954;2430.6;992;i
YU;aconfci992;p0p100;1955;2561.6;992;i
YU;aconfci992;p0p100;1956;2718.7;992;i
YU;aconfci992;p0p100;1957;2920.1;992;i
YU;aconfci992;p0p100;1958;3149.7;992;i
YU;aconfci992;p0p100;1959;3399.3;992;i
YU;aconfci992;p0p100;1960;3645.5;992;i
YU;aconfci992;p0p100;1961;3875;992;i
YU;aconfci992;p0p100;1962;4106.8;992;i
YU;aconfci992;p0p100;1963;4361.5;992;i
YU;aconfci992;p0p100;1964;4615.7;992;i
YU;aconfci992;p0p100;1965;4845.8;992;i
YU;aconfci992;p0p100;1966;5051.6;992;i
YU;aconfci992;p0p100;1967;5246.200000000001;992;i
YU;aconfci992;p0p100;1968;5463.6;992;i
YU;aconfci992;p0p100;1969;5728.1;992;i
YU;aconfci992;p0p100;1970;6023.1;992;i
YU;aconfci992;p0p100;1971;6348;992;i
YU;aconfci992;p0p100;1972;6688.400000000001;992;i
YU;aconfci992;p0p100;1973;7048.6;992;i
YU;aconfci992;p0p100;1974;7434.900000000001;992;i
YU;aconfci992;p0p100;1975;7820.900000000001;992;i
YU;aconfci992;p0p100;1976;8214.7;992;i
YU;aconfci992;p0p100;1977;8612.1;992;i
YU;aconfci992;p0p100;1978;8973.1;992;i
YU;aconfci992;p0p100;1979;9241.800000000001;992;i
YU;aconfci992;p0p100;1980;9369.2;992;i
YU;aconfci992;p0p100;1981;9356.9;992;i
YU;aconfci992;p0p100;1982;9257.5;992;i
YU;aconfci992;p0p100;1983;9137;992;i
YU;aconfci992;p0p100;1984;9058.7;992;i
YU;aconfci992;p0p100;1985;9034;992;i
YU;aconfci992;p0p100;1986;9061.1;992;i
YU;aconfci992;p0p100;1987;9129.2;992;i
YU;aconfci992;p0p100;1988;9254.9;992;i
YU;aconfci992;p0p100;1989;9448.2;992;i
YU;aconfci999;p0p100;1950;1289.9;999;i
YU;aconfci999;p0p100;1951;1315.6;999;i
YU;aconfci999;p0p100;1952;1347;999;i
YU;aconfci999;p0p100;1953;1398.4;999;i
YU;aconfci999;p0p100;1954;1466.7;999;i
YU;aconfci999;p0p100;1955;1549.9;999;i
YU;aconfci999;p0p100;1956;1650.3;999;i
YU;aconfci999;p0p100;1957;1778.9;999;i
YU;aconfci999;p0p100;1958;1925.4;999;i
YU;aconfci999;p0p100;1959;2083.8;999;i
YU;aconfci999;p0p100;1960;2240.2;999;i
YU;aconfci999;p0p100;1961;2389.1;999;i
YU;aconfci999;p0p100;1962;2539;999;i
YU;aconfci999;p0p100;1963;2700.8;999;i
YU;aconfci999;p0p100;1964;2862.6;999;i
YU;aconfci999;p0p100;1965;3010.3;999;i
YU;aconfci999;p0p100;1966;3147.3;999;i
YU;aconfci999;p0p100;1967;3284.6;999;i
YU;aconfci999;p0p100;1968;3443.7;999;i
YU;aconfci999;p0p100;1969;3639.8;999;i
YU;aconfci999;p0p100;1970;3861.7;999;i
YU;aconfci999;p0p100;1971;4103.6;999;i
YU;aconfci999;p0p100;1972;4356.5;999;i
YU;aconfci999;p0p100;1973;4625.900000000001;999;i
YU;aconfci999;p0p100;1974;4914.900000000001;999;i
YU;aconfci999;p0p100;1975;5204.700000000001;999;i
YU;aconfci999;p0p100;1976;5498.6;999;i
YU;aconfci999;p0p100;1977;5793.5;999;i
YU;aconfci999;p0p100;1978;6064.1;999;i
YU;aconfci999;p0p100;1979;6275.1;999;i
YU;aconfci999;p0p100;1980;6393.3;999;i
YU;aconfci999;p0p100;1981;6418.3;999;i
YU;aconfci999;p0p100;1982;6381.3;999;i
YU;aconfci999;p0p100;1983;6326;999;i
YU;aconfci999;p0p100;1984;6297.400000000001;999;i
YU;aconfci999;p0p100;1985;6307.200000000001;999;i
YU;aconfci999;p0p100;1986;6355.200000000001;999;i
YU;aconfci999;p0p100;1987;6430.5;999;i
YU;aconfci999;p0p100;1988;6545.3;999;i
YU;aconfci999;p0p100;1989;6709.400000000001;999;i
YU;aptfrni992;p0p100;1970;0;992;i
YU;aptfrni992;p0p100;1971;-33;992;i
YU;aptfrni992;p0p100;1972;-67.2;992;i
YU;aptfrni992;p0p100;1973;-103.8;992;i
YU;aptfrni992;p0p100;1974;-150.8;992;i
YU;aptfrni992;p0p100;1975;-190.2;992;i
YU;aptfrni992;p0p100;1976;-234.8;992;i
YU;aptfrni992;p0p100;1977;-287.7;992;i
YU;aptfrni992;p0p100;1978;-342.3;992;i
YU;aptfrni992;p0p100;1979;-402.3;992;i
YU;aptfrni992;p0p100;1980;-451.1;992;i
YU;aptfrni992;p0p100;1981;-488.9;992;i
YU;aptfrni992;p0p100;1982;-524.3;992;i
YU;aptfrni992;p0p100;1983;-545.2;992;i
YU;aptfrni992;p0p100;1984;-593;992;i
YU;aptfrni992;p0p100;1985;-636.5;992;i
YU;aptfrni992;p0p100;1986;-699.1;992;i
YU;aptfrni992;p0p100;1987;-728.5;992;i
YU;aptfrni992;p0p100;1988;-753.6;992;i
YU;aptfrni992;p0p100;1989;-867.8;992;i
YU;aptfrni999;p0p100;1970;0;999;i
YU;aptfrni999;p0p100;1971;-21.3;999;i
YU;aptfrni999;p0p100;1972;-43.8;999;i
YU;aptfrni999;p0p100;1973;-68.1;999;i
YU;aptfrni999;p0p100;1974;-99.7;999;i
YU;aptfrni999;p0p100;1975;-126.6;999;i
YU;aptfrni999;p0p100;1976;-157.2;999;i
YU;aptfrni999;p0p100;1977;-193.6;999;i
YU;aptfrni999;p0p100;1978;-231.3;999;i
YU;aptfrni999;p0p100;1979;-273.1;999;i
YU;aptfrni999;p0p100;1980;-307.8;999;i
YU;aptfrni999;p0p100;1981;-335.3;999;i
YU;aptfrni999;p0p100;1982;-361.4;999;i
YU;aptfrni999;p0p100;1983;-377.5;999;i
YU;aptfrni999;p0p100;1984;-412.2;999;i
YU;aptfrni999;p0p100;1985;-444.4;999;i
YU;aptfrni999;p0p100;1986;-490.3;999;i
YU;aptfrni999;p0p100;1987;-513.2;999;i
YU;aptfrni999;p0p100;1988;-533;999;i
YU;aptfrni999;p0p100;1989;-616.2;999;i
YU;aptfrpi999;p0p100;1970;0;999;i
YU;aptfrpi999;p0p100;1971;21.3;999;i
YU;aptfrpi999;p0p100;1972;43.8;999;i
YU;aptfrpi999;p0p100;1973;68.1;999;i
YU;aptfrpi999;p0p100;1974;99.7;999;i
YU;aptfrpi999;p0p100;1975;126.6;999;i
YU;aptfrpi999;p0p100;1976;157.2;999;i
YU;aptfrpi999;p0p100;1977;193.6;999;i
YU;aptfrpi999;p0p100;1978;231.3;999;i
YU;aptfrpi999;p0p100;1979;273.1;999;i
YU;aptfrpi999;p0p100;1980;307.8;999;i
YU;aptfrpi999;p0p100;1981;335.3;999;i
YU;aptfrpi999;p0p100;1982;361.4;999;i
YU;aptfrpi999;p0p100;1983;377.5;999;i
YU;aptfrpi999;p0p100;1984;412.2;999;i
YU;aptfrpi999;p0p100;1985;444.4;999;i
YU;aptfrpi999;p0p100;1986;490.3;999;i
YU;aptfrpi999;p0p100;1987;513.2;999;i
YU;aptfrpi999;p0p100;1988;533;999;i
YU;aptfrpi999;p0p100;1989;616.3;999;i
YU;aptfrri992;p0p100;1970;0;992;i
YU;aptfrri992;p0p100;1971;0;992;i
YU;aptfrri992;p0p100;1972;0;992;i
YU;aptfrri992;p0p100;1973;0;992;i
YU;aptfrri992;p0p100;1974;0;992;i
YU;aptfrri992;p0p100;1975;0;992;i
YU;aptfrri992;p0p100;1976;0;992;i
YU;aptfrri992;p0p100;1977;0;992;i
YU;aptfrri992;p0p100;1978;0;992;i
YU;aptfrri992;p0p100;1979;0;992;i
YU;aptfrri992;p0p100;1980;0;992;i
YU;aptfrri992;p0p100;1981;0;992;i
YU;aptfrri992;p0p100;1982;0;992;i
YU;aptfrri992;p0p100;1983;0;992;i
YU;aptfrri992;p0p100;1984;0;992;i
YU;aptfrri992;p0p100;1985;0;992;i
YU;aptfrri992;p0p100;1986;0;992;i
YU;aptfrri992;p0p100;1987;0;992;i
YU;aptfrri992;p0p100;1988;0;992;i
YU;aptfrri992;p0p100;1989;0;992;i
YU;andproi992;p0p100;1950;30104.2;992;i
YU;andproi992;p0p100;1951;30751.5;992;i
YU;andproi992;p0p100;1952;27545.5;992;i
YU;andproi992;p0p100;1953;31305.2;992;i
YU;andproi992;p0p100;1954;32482.1;992;i
YU;andproi992;p0p100;1955;34012.5;992;i
YU;andproi992;p0p100;1956;32510.1;992;i
YU;andproi992;p0p100;1957;37603.2;992;i
YU;andproi992;p0p100;1958;38447.5;992;i
YU;andproi992;p0p100;1959;42723;992;i
YU;andproi992;p0p100;1960;44753.60000000001;992;i
YU;andproi992;p0p100;1961;45989.2;992;i
YU;andproi992;p0p100;1962;45993.5;992;i
YU;andproi992;p0p100;1963;50297.5;992;i
YU;andproi992;p0p100;1964;54540.7;992;i
YU;andproi992;p0p100;1965;55188.5;992;i
YU;andproi992;p0p100;1966;57393.3;992;i
YU;andproi992;p0p100;1967;57356.10000000001;992;i
YU;andproi992;p0p100;1968;57448.5;992;i
YU;andproi992;p0p100;1969;63049.8;992;i
YU;andproi992;p0p100;1970;64779.9;992;i
YU;andproi992;p0p100;1971;68543;992;i
YU;andproi992;p0p100;1972;69596.2;992;i
YU;andproi992;p0p100;1973;71506.6;992;i
YU;andproi992;p0p100;1974;78165.6;992;i
YU;andproi992;p0p100;1975;78587.1;992;i
YU;andproi992;p0p100;1976;80673.1;992;i
YU;andproi992;p0p100;1977;84928;992;i
YU;andproi992;p0p100;1978;88511.8;992;i
YU;andproi992;p0p100;1979;92647.70000000001;992;i
YU;andproi992;p0p100;1980;93523.70000000001;992;i
YU;andproi992;p0p100;1981;92062.40000000001;992;i
YU;andproi992;p0p100;1982;90467.90000000001;992;i
YU;andproi992;p0p100;1983;86258.40000000001;992;i
YU;andproi992;p0p100;1984;87147.1;992;i
YU;andproi992;p0p100;1985;87415.8;992;i
YU;andproi992;p0p100;1986;90100.40000000001;992;i
YU;andproi992;p0p100;1987;88321;992;i
YU;andproi992;p0p100;1988;86058.1;992;i
YU;andproi992;p0p100;1989;94352.8;992;i
YU;agdproi992;p0p100;1950;32285;992;i
YU;agdproi992;p0p100;1951;32962.7;992;i
YU;agdproi992;p0p100;1952;29796.8;992;i
YU;agdproi992;p0p100;1953;33631;992;i
YU;agdproi992;p0p100;1954;34912.7;992;i
YU;agdproi992;p0p100;1955;36574.2;992;i
YU;agdproi992;p0p100;1956;35228.8;992;i
YU;agdproi992;p0p100;1957;40523.3;992;i
YU;agdproi992;p0p100;1958;41597.2;992;i
YU;agdproi992;p0p100;1959;46122.2;992;i
YU;agdproi992;p0p100;1960;48399;992;i
YU;agdproi992;p0p100;1961;49864.2;992;i
YU;agdproi992;p0p100;1962;50100.2;992;i
YU;agdproi992;p0p100;1963;54659;992;i
YU;agdproi992;p0p100;1964;59156.4;992;i
YU;agdproi992;p0p100;1965;60034.3;992;i
YU;agdproi992;p0p100;1966;62444.9;992;i
YU;agdproi992;p0p100;1967;62602.3;992;i
YU;agdproi992;p0p100;1968;62912.10000000001;992;i
YU;agdproi992;p0p100;1969;68777.90000000001;992;i
YU;agdproi992;p0p100;1970;70802.90000000001;992;i
YU;agdproi992;p0p100;1971;74891;992;i
YU;agdproi992;p0p100;1972;76284.6;992;i
YU;agdproi992;p0p100;1973;78555.2;992;i
YU;agdproi992;p0p100;1974;85600.5;992;i
YU;agdproi992;p0p100;1975;86407.90000000001;992;i
YU;agdproi992;p0p100;1976;88887.8;992;i
YU;agdproi992;p0p100;1977;93540.1;992;i
YU;agdproi992;p0p100;1978;97484.90000000001;992;i
YU;agdproi992;p0p100;1979;101889.5;992;i
YU;agdproi992;p0p100;1980;102892.9;992;i
