country;variable;percentile;year;value;age;pop
ZZ;aptincj992;p99.9p100;1957;69357616;992;j
ZZ;aptincj992;p99.9p100;1958;68870552;992;j
ZZ;aptincj992;p99.9p100;1959;75872248;992;j
ZZ;aptincj992;p99.9p100;1960;74087480;992;j
ZZ;aptincj992;p99.9p100;1961;80242680;992;j
ZZ;aptincj992;p99.9p100;1962;84286824;992;j
ZZ;aptincj992;p99.9p100;1963;72883752;992;j
ZZ;aptinct992;p0p100;1957;3423737.7;992;t
ZZ;aptinct992;p0p100;1958;3355470.9;992;t
ZZ;aptinct992;p0p100;1959;3428704.8;992;t
ZZ;aptinct992;p0p100;1960;3473106.7;992;t
ZZ;aptinct992;p0p100;1961;3325881.6;992;t
ZZ;aptinct992;p0p100;1962;3534628.1;992;t
ZZ;aptinct992;p0p100;1963;3651460.6;992;t
ZZ;aptinci992;p99.99p100;1957;117897534.7;992;i
ZZ;aptinci992;p99.99p100;1958;149005293.3;992;i
ZZ;aptinci992;p99.99p100;1959;251887514;992;i
ZZ;aptinci992;p99.99p100;1960;210001741.6;992;i
ZZ;aptinci992;p99.99p100;1961;204008167.8;992;i
ZZ;aptinci992;p99.99p100;1962;185885634.8;992;i
ZZ;aptinci992;p99.99p100;1963;157261867.2;992;i
ZZ;sptincj992;p99.5p100;1957;0.1056;992;j
ZZ;sptincj992;p99.5p100;1958;0.1131;992;j
ZZ;sptincj992;p99.5p100;1959;0.1161;992;j
ZZ;sptincj992;p99.5p100;1960;0.1141;992;j
ZZ;sptincj992;p99.5p100;1961;0.1352;992;j
ZZ;sptincj992;p99.5p100;1962;0.1319;992;j
ZZ;sptincj992;p99.5p100;1963;0.1154;992;j
ZZ;bfiinci992;p99.95p100;1957;0.779120683670044;992;i
ZZ;bfiinci992;p99.95p100;1958;0.877874433994293;992;i
ZZ;bfiinci992;p99.95p100;1959;1.01632606983185;992;i
ZZ;bfiinci992;p99.95p100;1960;0.995769381523132;992;i
ZZ;bfiinci992;p99.95p100;1961;0.931006014347076;992;i
ZZ;bfiinci992;p99.95p100;1962;0.850692451000214;992;i
ZZ;bfiinci992;p99.95p100;1963;0.82280021905899;992;i
ZZ;mptinci999;p0p100;1957;398279740558;999;i
ZZ;mptinci999;p0p100;1958;393112758174;999;i
ZZ;mptinci999;p0p100;1959;403225029605;999;i
ZZ;mptinci999;p0p100;1960;408655629554;999;i
ZZ;mptinci999;p0p100;1961;391404181613;999;i
ZZ;mptinci999;p0p100;1962;415909803045;999;i
ZZ;mptinci999;p0p100;1963;428111481140;999;i
ZZ;npopulm801;p0p100;1990;668;801;m
ZZ;npopulm801;p0p100;1991;712;801;m
ZZ;npopulm801;p0p100;1992;757;801;m
ZZ;npopulm801;p0p100;1993;795;801;m
ZZ;npopulm801;p0p100;1994;820;801;m
ZZ;npopulm801;p0p100;1995;844;801;m
ZZ;npopulm801;p0p100;1996;877;801;m
ZZ;npopulm801;p0p100;1997;687;801;m
ZZ;npopulm801;p0p100;1998;926;801;m
ZZ;npopulm801;p0p100;1999;944;801;m
ZZ;npopulm801;p0p100;2000;961;801;m
ZZ;npopulm801;p0p100;2001;976;801;m
ZZ;npopulm801;p0p100;2002;1000;801;m
ZZ;npopulm801;p0p100;2003;1016;801;m
ZZ;npopulm801;p0p100;2004;1041;801;m
ZZ;npopulm801;p0p100;2005;1074;801;m
ZZ;npopulm801;p0p100;2006;1153;801;m
ZZ;npopulm801;p0p100;2007;1166;801;m
ZZ;npopulm801;p0p100;2008;1206;801;m
ZZ;npopulm801;p0p100;2009;1222;801;m
ZZ;npopulm801;p0p100;2010;1230;801;m
ZZ;npopulm801;p0p100;2011;1250;801;m
ZZ;npopulm801;p0p100;2012;1280;801;m
ZZ;npopulm801;p0p100;2013;1337;801;m
ZZ;npopulm801;p0p100;2014;1406;801;m
ZZ;npopulm801;p0p100;2015;1473;801;m
ZZ;npopulm801;p0p100;2016;1530;801;m
ZZ;npopulm801;p0p100;2017;1590;801;m
ZZ;npopulm801;p0p100;2018;1660;801;m
ZZ;npopulm801;p0p100;2019;1739;801;m
ZZ;npopulm801;p0p100;2020;1813;801;m
ZZ;npopulm801;p0p100;2021;1876;801;m
ZZ;npopulm801;p0p100;2022;1876;801;m
ZZ;sfiinci992;p99.995p100;1958;0.0048;992;i
ZZ;sfiinci992;p99.995p100;1959;0.0077;992;i
ZZ;aptincj992;p99.5p100;1957;36240292;992;j
ZZ;aptincj992;p99.5p100;1958;38031388;992;j
ZZ;aptincj992;p99.5p100;1959;39832600;992;j
ZZ;aptincj992;p99.5p100;1960;39564608;992;j
ZZ;aptincj992;p99.5p100;1961;45024284;992;j
ZZ;aptincj992;p99.5p100;1962;46720012;992;j
ZZ;aptincj992;p99.5p100;1963;42195428;992;j
ZZ;aptincj992;p99.95p100;1957;80649960;992;j
ZZ;aptincj992;p99.95p100;1958;80980104;992;j
ZZ;aptincj992;p99.95p100;1959;98887624;992;j
ZZ;aptincj992;p99.95p100;1960;94086424;992;j
ZZ;aptincj992;p99.95p100;1961;98766168;992;j
ZZ;aptincj992;p99.95p100;1962;101727224;992;j
ZZ;aptincj992;p99.95p100;1963;85336216;992;j
ZZ;aconfci992;p0p100;1950;137130.7;992;i
ZZ;aconfci992;p0p100;1951;139471.8;992;i
ZZ;aconfci992;p0p100;1952;140720.4;992;i
ZZ;aconfci992;p0p100;1953;140932.2;992;i
ZZ;aconfci992;p0p100;1954;140942.8;992;i
ZZ;aconfci992;p0p100;1955;140468.1;992;i
ZZ;aconfci992;p0p100;1956;139555.4;992;i
ZZ;aconfci992;p0p100;1957;138562.5;992;i
ZZ;aconfci992;p0p100;1958;137895.4;992;i
ZZ;aconfci992;p0p100;1959;138023.9;992;i
ZZ;aconfci992;p0p100;1960;139007.2;992;i
ZZ;aconfci992;p0p100;1961;140988.7;992;i
ZZ;aconfci992;p0p100;1962;144697;992;i
ZZ;aconfci992;p0p100;1963;149812.6;992;i
ZZ;aconfci992;p0p100;1964;155770.4;992;i
ZZ;aconfci992;p0p100;1965;162373.6;992;i
ZZ;aconfci992;p0p100;1966;169393.5;992;i
ZZ;aconfci992;p0p100;1967;175466.2;992;i
ZZ;aconfci992;p0p100;1968;179945.6;992;i
ZZ;aconfci992;p0p100;1969;183165.2;992;i
ZZ;aconfci992;p0p100;1970;186100;992;i
ZZ;aconfci992;p0p100;1971;188755.7;992;i
ZZ;aconfci992;p0p100;1972;191022.8;992;i
ZZ;aconfci992;p0p100;1973;192738.5;992;i
ZZ;aconfci992;p0p100;1974;194207.9;992;i
ZZ;aconfci992;p0p100;1975;195338.5;992;i
ZZ;aconfci992;p0p100;1976;195439.2;992;i
ZZ;aconfci992;p0p100;1977;193863.3;992;i
ZZ;aconfci992;p0p100;1978;191258;992;i
ZZ;aconfci992;p0p100;1979;188269.1;992;i
ZZ;aconfci992;p0p100;1980;184841.2;992;i
ZZ;aconfci992;p0p100;1981;180632.2;992;i
ZZ;aconfci992;p0p100;1982;176075.4;992;i
ZZ;aconfci992;p0p100;1983;171502.6;992;i
ZZ;aconfci992;p0p100;1984;168628.3;992;i
ZZ;aconfci992;p0p100;1985;167320;992;i
ZZ;aconfci992;p0p100;1986;167053.5;992;i
ZZ;aconfci992;p0p100;1987;168095.7;992;i
ZZ;aconfci992;p0p100;1988;170881.2;992;i
ZZ;aconfci992;p0p100;1989;175597.9;992;i
ZZ;aconfci992;p0p100;1990;187682.4;992;i
ZZ;aconfci992;p0p100;1991;193754.3;992;i
ZZ;aconfci992;p0p100;1992;200645.8;992;i
ZZ;aconfci992;p0p100;1993;208337.2;992;i
ZZ;aconfci992;p0p100;1994;216977.8;992;i
