year,mean,region
1995,0.7615010942085072,Asia
1996,0.7629183509799075,Asia
1997,0.7654964296983514,Asia
1998,0.7654193405328451,Asia
1999,0.7634579388706506,Asia
2000,0.7633611373151648,Asia
2001,0.7637246002245255,Asia
2002,0.7634339827237384,Asia
2003,0.7639161767985102,Asia
2004,0.7637753709045356,Asia
2005,0.7638474393679325,Asia
2006,0.7638881488763098,Asia
2007,0.7662860247898344,Asia
2008,0.7676376850450627,Asia
2009,0.7651248631453759,Asia
2010,0.7690256373354941,Asia
2011,0.7701708777855447,Asia
2012,0.7704047376047606,Asia
2013,0.7695465684886822,Asia
2014,0.7699868390089087,Asia
2015,0.7692042012513808,Asia
2016,0.7692137782836934,Asia
2017,0.7700253458573423,Asia
2018,0.7704861226192731,Asia
2019,0.7699266778460373,Asia
2020,0.7693435039807555,Asia
2021,0.7702605984805805,Asia
2022,0.7694910594336546,Asia
1995,0.7237337783559556,Europe
1996,0.7237603568409732,Europe
1997,0.7254719865467893,Europe
1998,0.7267577756977006,Europe
1999,0.7265760536934399,Europe
2000,0.7261427128419321,Europe
2001,0.7261685564867266,Europe
2002,0.7276105144941799,Europe
2003,0.7271646138166353,Europe
2004,0.7267392023392965,Europe
2005,0.7272723372507366,Europe
2006,0.727387757769656,Europe
2007,0.7301799164893653,Europe
2008,0.7285231718421938,Europe
2009,0.7286952043466782,Europe
2010,0.7309004856284953,Europe
2011,0.7332434738768356,Europe
2012,0.7352835031463413,Europe
2013,0.7381291298807265,Europe
2014,0.7411830442717755,Europe
2015,0.740269664021232,Europe
2016,0.7403924045394512,Europe
2017,0.7406895218844978,Europe
2018,0.7393713342761883,Europe
2019,0.7416592662433006,Europe
2020,0.7413315249846621,Europe
2021,0.7420581464550116,Europe
2022,0.7422295098029177,Europe
1995,0.8146315710109693,Africa
1996,0.8137641520441483,Africa
1997,0.8119895033289937,Africa
1998,0.8108511697684865,Africa
1999,0.8095319932019014,Africa
2000,0.8095069388144174,Africa
2001,0.8091031360124671,Africa
2002,0.8062819573530393,Africa
2003,0.8037079216062865,Africa
2004,0.8024693421455225,Africa
2005,0.8026163434441769,Africa
2006,0.8022170456921287,Africa
2007,0.8030029046849265,Africa
2008,0.80384912377674,Africa
2009,0.8032796246718975,Africa
2010,0.8024976791683842,Africa
2011,0.8001464481135165,Africa
2012,0.7983607728404617,Africa
2013,0.7979360203797836,Africa
2014,0.7976940615046167,Africa
2015,0.7972732063283724,Africa
2016,0.7973256950311688,Africa
2017,0.7977690733769269,Africa
2018,0.7978694995423217,Africa
2019,0.7977582729490226,Africa
2020,0.7976375381430216,Africa
2021,0.7976892676951541,Africa
2022,0.8006497786638885,Africa
1995,0.8154340527719433,Americas
1996,0.8171261025808201,Americas
1997,0.8173783889257217,Americas
1998,0.8161839290618079,Americas
1999,0.8168505070737709,Americas
2000,0.8154686592337543,Americas
2001,0.8124694404751318,Americas
2002,0.8116081709375758,Americas
2003,0.8186213909634655,Americas
2004,0.8123385292329611,Americas
2005,0.8062111386416976,Americas
2006,0.8227414154217892,Americas
2007,0.8254386913340122,Americas
2008,0.8182168529249553,Americas
2009,0.8114099299498985,Americas
2010,0.8010719939696093,Americas
2011,0.8071627385472461,Americas
2012,0.7921361296987536,Americas
2013,0.8041550964475226,Americas
2014,0.7925657842605549,Americas
2015,0.7915944519267477,Americas
2016,0.7882148069334891,Americas
2017,0.7807250853472628,Americas
2018,0.7787625893750884,Americas
2019,0.7785039861089678,Americas
2020,0.7780722557085937,Americas
2021,0.7791976628414398,Americas
2022,0.7766364485519974,Americas
1995,0.727932562775578,Oceania
1996,0.727845399049116,Oceania
1997,0.727707651738115,Oceania
1998,0.7276410830919771,Oceania
1999,0.7271230404428574,Oceania
2000,0.7262911474539303,Oceania
2001,0.7263878337466854,Oceania
2002,0.7268476995601197,Oceania
2003,0.7278297294776856,Oceania
2004,0.728526888429504,Oceania
2005,0.7283971734094004,Oceania
2006,0.7282204594141793,Oceania
2007,0.7280785132520387,Oceania
2008,0.727828699764525,Oceania
2009,0.7276005519092951,Oceania
2010,0.7272914750366514,Oceania
2011,0.7276142217948377,Oceania
2012,0.728949162372127,Oceania
2013,0.728236890667617,Oceania
2014,0.7279626969331333,Oceania
2015,0.727462626290863,Oceania
2016,0.7269680883714212,Oceania
2017,0.7281502965524423,Oceania
2018,0.728581858602008,Oceania
2019,0.7284281697384357,Oceania
2020,0.728006677498617,Oceania
2021,0.7288097655685607,Oceania
2022,0.729299837050694,Oceania
