unit,year,country,variable,value
g,1981,AT,gdiincj992,0.329749526425366
g,1982,AT,gdiincj992,0.331052960739064
g,1983,AT,gdiincj992,0.333172203319978
g,1984,AT,gdiincj992,0.332617549575062
g,1985,AT,gdiincj992,0.332443866571536
g,1986,AT,gdiincj992,0.319475247822745
g,1987,AT,gdiincj992,0.314581968174111
g,1988,AT,gdiincj992,0.314154575191483
g,1989,AT,gdiincj992,0.324025824930593
g,1990,AT,gdiincj992,0.320768696712071
g,1991,AT,gdiincj992,0.316920513375543
g,1992,AT,gdiincj992,0.311554673030244
g,1993,AT,gdiincj992,0.311751930353289
g,1994,AT,gdiincj992,0.313781075161452
g,1995,AT,gdiincj992,0.312665125235477
g,1996,AT,gdiincj992,0.31009262186327
g,1997,AT,gdiincj992,0.312004592922002
g,1998,AT,gdiincj992,0.315677272191085
g,1999,AT,gdiincj992,0.293004442651918
g,2000,AT,gdiincj992,0.317301890385927
g,2001,AT,gdiincj992,0.306017715995677
g,2002,AT,gdiincj992,0.316026924104784
g,2003,AT,gdiincj992,0.3224833067339
g,2004,AT,gdiincj992,0.310272150628992
g,2005,AT,gdiincj992,0.323616812642594
g,2006,AT,gdiincj992,0.342106083219432
g,2007,AT,gdiincj992,0.329228595493165
g,2008,AT,gdiincj992,0.328964423014514
g,2009,AT,gdiincj992,0.318792690570568
g,2010,AT,gdiincj992,0.322926926024928
g,2011,AT,gdiincj992,0.3221695581631
g,2012,AT,gdiincj992,0.305540458902309
g,2013,AT,gdiincj992,0.304021806213094
g,2014,AT,gdiincj992,0.315280101162007
g,2015,AT,gdiincj992,0.306824880678828
g,2016,AT,gdiincj992,0.316679908055747
g,2017,AT,gdiincj992,0.310172918371087
g,2018,AT,gdiincj992,0.309488944540167
g,2019,AT,gdiincj992,0.306221070031921
g,2020,AT,gdiincj992,0.320769010848821
g,2021,AT,gdiincj992,0.312257512606458
g,2022,AT,gdiincj992,0.312492502567672
g,1981,AU,gdiincj992,0.345103070834409
g,1982,AU,gdiincj992,0.358936917036739
g,1983,AU,gdiincj992,0.35061676388317
g,1984,AU,gdiincj992,0.346990299953927
g,1985,AU,gdiincj992,0.339238255877515
g,1986,AU,gdiincj992,0.344974199849271
g,1987,AU,gdiincj992,0.352204728869136
g,1988,AU,gdiincj992,0.364949250237036
g,1989,AU,gdiincj992,0.350585331094584
g,1990,AU,gdiincj992,0.346390161520479
g,1991,AU,gdiincj992,0.356376722065408
g,1992,AU,gdiincj992,0.344732495431629
g,1993,AU,gdiincj992,0.352131261543249
g,1994,AU,gdiincj992,0.352195274574148
g,1995,AU,gdiincj992,0.350753646790336
g,1996,AU,gdiincj992,0.349394942735
g,1997,AU,gdiincj992,0.351377993235168
g,1998,AU,gdiincj992,0.356048877044613
g,1999,AU,gdiincj992,0.35279720858406
g,2000,AU,gdiincj992,0.350924548199789
g,2001,AU,gdiincj992,0.351002713769194
g,2002,AU,gdiincj992,0.362609703714123
g,2003,AU,gdiincj992,0.351756442314406
g,2004,AU,gdiincj992,0.352289645731361
g,2005,AU,gdiincj992,0.357054996880999
g,2006,AU,gdiincj992,0.356160887772681
g,2007,AU,gdiincj992,0.355134246301107
g,2008,AU,gdiincj992,0.363533594026752
g,2009,AU,gdiincj992,0.379676312334153
g,2010,AU,gdiincj992,0.37248809760708
g,2011,AU,gdiincj992,0.371274075384957
