year,mean,region
1980,0.5337444259601513,Asia
1981,0.5329601353821417,Asia
1982,0.5321711560585609,Asia
1983,0.5332728731906885,Asia
1984,0.5343335803045072,Asia
1985,0.5359396803507653,Asia
1986,0.5374920630740929,Asia
1987,0.5397186923546993,Asia
1988,0.539803433710291,Asia
1989,0.5404820210137263,Asia
1990,0.5396082018888229,Asia
1991,0.5416617163586999,Asia
1992,0.5424725261974781,Asia
1993,0.5433454833607219,Asia
1994,0.5454806011990703,Asia
1995,0.5469853362107573,Asia
1996,0.5485817469207516,Asia
1997,0.5469956278983543,Asia
1998,0.5476811661676555,Asia
1999,0.54854836859544,Asia
2000,0.5507874624360444,Asia
2001,0.5535529253630382,Asia
2002,0.5544610851102921,Asia
2003,0.554003441061171,Asia
2004,0.5545253494014629,Asia
2005,0.5542482457383892,Asia
2006,0.5532453898833583,Asia
2007,0.5528995612197479,Asia
2008,0.5511506650817215,Asia
2009,0.5470787469563573,Asia
2010,0.5481178840761048,Asia
2011,0.5444168488110341,Asia
2012,0.5401321564699779,Asia
2013,0.537592498699779,Asia
2014,0.537242631183385,Asia
2015,0.5337234205075,Asia
2016,0.5346012836141529,Asia
2017,0.535519497695864,Asia
2018,0.5358170916787114,Asia
2019,0.5333961791371549,Asia
2020,0.5308414446324405,Asia
2021,0.5394829874377158,Asia
2022,0.5394828909804699,Asia
1980,0.3004872424853166,Europe
1981,0.29758575655763264,Europe
1982,0.2972738033854751,Europe
1983,0.29510931978811666,Europe
1984,0.29849210175985036,Europe
1985,0.29888078382453515,Europe
1986,0.2982983611593737,Europe
1987,0.29821708863432705,Europe
1988,0.30023197197760704,Europe
1989,0.30356760764866464,Europe
1990,0.3091605299123218,Europe
1991,0.3125598784989686,Europe
1992,0.31406623317904697,Europe
1993,0.3215946362162638,Europe
1994,0.32947125192131127,Europe
1995,0.3330932662151213,Europe
1996,0.336598355737523,Europe
1997,0.33880933870515456,Europe
1998,0.3409296045118585,Europe
1999,0.3363377201588653,Europe
2000,0.34258099155242505,Europe
2001,0.34187555705690187,Europe
2002,0.34194424820526337,Europe
2003,0.3440332391118526,Europe
2004,0.349784620055077,Europe
2005,0.34993306079211733,Europe
2006,0.35294061685952977,Europe
2007,0.3582472322298329,Europe
2008,0.34737377921253054,Europe
2009,0.3400287740316628,Europe
2010,0.3429335650133238,Europe
2011,0.3444097260744279,Europe
2012,0.3463648578323469,Europe
2013,0.3484639548006486,Europe
2014,0.3489262040583825,Europe
2015,0.3499528739691002,Europe
2016,0.3438973065116017,Europe
2017,0.34369963150854366,Europe
2018,0.34304375833736156,Europe
2019,0.3421585149458897,Europe
2020,0.34017946521621134,Europe
2021,0.3415866125655772,Europe
2022,0.3424163426959604,Europe
1980,0.6025852825814182,Africa
1981,0.6018878267322701,Africa
1982,0.600221814509458,Africa
1983,0.6006353118875359,Africa
1984,0.5980762349985904,Africa
1985,0.5980039362358401,Africa
1986,0.6000620434931683,Africa
1987,0.6031670228774006,Africa
1988,0.6054903609307213,Africa
1989,0.6081870705477207,Africa
1990,0.6083620540775052,Africa
1991,0.6100345279306072,Africa
1992,0.6077638482727727,Africa
1993,0.6070003568316891,Africa
1994,0.604009420267112,Africa
1995,0.6015765819304967,Africa
1996,0.6012860368366949,Africa
1997,0.601085069057407,Africa
1998,0.5994199766449934,Africa
1999,0.5983246831635642,Africa
2000,0.5976880864811436,Africa
2001,0.5946403567501936,Africa
2002,0.5927331702901169,Africa
2003,0.5918186896823058,Africa
2004,0.5894478953636776,Africa
2005,0.5890099846492001,Africa
2006,0.5873088282213748,Africa
2007,0.5866857997601143,Africa
2008,0.5855820615967333,Africa
2009,0.5823158167398067,Africa
2010,0.5802224929362191,Africa
2011,0.5764517745465813,Africa
