year,country,variable,value
1980,AD,npopuli999,35611
1981,AD,npopuli999,36987
1982,AD,npopuli999,38598
1983,AD,npopuli999,40432
1984,AD,npopuli999,42181
1985,AD,npopuli999,43809
1986,AD,npopuli999,45605
1987,AD,npopuli999,47635
1988,AD,npopuli999,49654
1989,AD,npopuli999,51639
1990,AD,npopuli999,53569
1991,AD,npopuli999,55434
1992,AD,npopuli999,57283
1993,AD,npopuli999,59156
1994,AD,npopuli999,61037
1995,AD,npopuli999,62928
1996,AD,npopuli999,64147
1997,AD,npopuli999,64682
1998,AD,npopuli999,65186
1999,AD,npopuli999,65655
2000,AD,npopuli999,66097
2001,AD,npopuli999,67820
2002,AD,npopuli999,70849
2003,AD,npopuli999,73907
2004,AD,npopuli999,76933
2005,AD,npopuli999,79826
2006,AD,npopuli999,80221
2007,AD,npopuli999,78168
2008,AD,npopuli999,76055
2009,AD,npopuli999,73852
2010,AD,npopuli999,71519
2011,AD,npopuli999,70567
2012,AD,npopuli999,71013
2013,AD,npopuli999,71367
2014,AD,npopuli999,71621
2015,AD,npopuli999,71746
2016,AD,npopuli999,72540
2017,AD,npopuli999,73837
2018,AD,npopuli999,75013
2019,AD,npopuli999,76343
2020,AD,npopuli999,77700
2021,AD,npopuli999,79034
2022,AD,npopuli999,79824
1980,AE,npopuli999,1014048
1981,AE,npopuli999,1100180
1982,AE,npopuli999,1167856
1983,AE,npopuli999,1237572
1984,AE,npopuli999,1308331
1985,AE,npopuli999,1379536
1986,AE,npopuli999,1468697
1987,AE,npopuli999,1575909
1988,AE,npopuli999,1683681
1989,AE,npopuli999,1791840
1990,AE,npopuli999,1900151
1991,AE,npopuli999,2008383
1992,AE,npopuli999,2116231
1993,AE,npopuli999,2223284
1994,AE,npopuli999,2329024
1995,AE,npopuli999,2433988
1996,AE,npopuli999,2572735
1997,AE,npopuli999,2746119
1998,AE,npopuli999,2921130
1999,AE,npopuli999,3097563
2000,AE,npopuli999,3275333
2001,AE,npopuli999,3454198
2002,AE,npopuli999,3633655
2003,AE,npopuli999,3813443
2004,AE,npopuli999,3993339
2005,AE,npopuli999,4280993
2006,AE,npopuli999,4898954
2007,AE,npopuli999,5872624
2008,AE,npopuli999,6988685
2009,AE,npopuli999,7992644
2010,AE,npopuli999,8481771
2011,AE,npopuli999,8575205
2012,AE,npopuli999,8664969
2013,AE,npopuli999,8751847
2014,AE,npopuli999,8835951
2015,AE,npopuli999,8916899
2016,AE,npopuli999,8994263
2017,AE,npopuli999,9068296
2018,AE,npopuli999,9140169
2019,AE,npopuli999,9211657
2020,AE,npopuli999,9287289
2021,AE,npopuli999,9365145
2022,AE,npopuli999,9441129
1980,AF,npopuli999,12486631
1981,AF,npopuli999,11155195
1982,AF,npopuli999,10088289
1983,AF,npopuli999,9951449
1984,AF,npopuli999,10243686
1985,AF,npopuli999,10512221
1986,AF,npopuli999,10448442
1987,AF,npopuli999,10322758
1988,AF,npopuli999,10383460
1989,AF,npopuli999,10673168
1990,AF,npopuli999,10694796
1991,AF,npopuli999,10745167
1992,AF,npopuli999,12057433
1993,AF,npopuli999,14003760
1994,AF,npopuli999,15455555
1995,AF,npopuli999,16418912
1996,AF,npopuli999,17106596
1997,AF,npopuli999,17788820
1998,AF,npopuli999,18493132
1999,AF,npopuli999,19262848
2000,AF,npopuli999,19542982
2001,AF,npopuli999,19688632
2002,AF,npopuli999,21000256
2003,AF,npopuli999,22645130
2004,AF,npopuli999,23553552
2005,AF,npopuli999,24411192
2006,AF,npopuli999,25442944
2007,AF,npopuli999,25903300
2008,AF,npopuli999,26427200
2009,AF,npopuli999,27385308
2010,AF,npopuli999,28189672
2011,AF,npopuli999,29249156
2012,AF,npopuli999,30466480
2013,AF,npopuli999,31541208
2014,AF,npopuli999,32716210
2015,AF,npopuli999,33753500
2016,AF,npopuli999,34636208
2017,AF,npopuli999,35643416
2018,AF,npopuli999,36686784
2019,AF,npopuli999,37769500
2020,AF,npopuli999,38972232
2021,AF,npopuli999,40099464
2022,AF,npopuli999,41128772
1980,AG,npopuli999,64889
1981,AG,npopuli999,65076
1982,AG,npopuli999,65231
1983,AG,npopuli999,65408
1984,AG,npopuli999,65362
1985,AG,npopuli999,65048
1986,AG,npopuli999,64712
1987,AG,npopuli999,64353
1988,AG,npopuli999,63982
1989,AG,npopuli999,63636
1990,AG,npopuli999,63328
1991,AG,npopuli999,63634
1992,AG,npopuli999,64659
1993,AG,npopuli999,65834
1994,AG,npopuli999,67072
1995,AG,npopuli999,68398
1996,AG,npopuli999,69798
1997,AG,npopuli999,71218
1998,AG,npopuli999,72572
1999,AG,npopuli999,73821
2000,AG,npopuli999,75055
2001,AG,npopuli999,76215
