unit,year,country,variable,value
g,1995,AE,ghwealj992,0.856427860992795
g,1996,AE,ghwealj992,0.856253120849516
g,1997,AE,ghwealj992,0.857074882832194
g,1998,AE,ghwealj992,0.86173753945485
g,1999,AE,ghwealj992,0.857161436316829
g,2000,AE,ghwealj992,0.857939051713032
g,2001,AE,ghwealj992,0.859147583465273
g,2002,AE,ghwealj992,0.860730646440174
g,2003,AE,ghwealj992,0.861968652701933
g,2004,AE,ghwealj992,0.863899183748146
g,2005,AE,ghwealj992,0.865137989050538
g,2006,AE,ghwealj992,0.866779447064289
g,2007,AE,ghwealj992,0.869672150310265
g,2008,AE,ghwealj992,0.8732384894723
g,2009,AE,ghwealj992,0.877169323695199
g,2010,AE,ghwealj992,0.876155722930775
g,2011,AE,ghwealj992,0.87665314427062
g,2012,AE,ghwealj992,0.876204280768548
g,2013,AE,ghwealj992,0.876665355070429
g,2014,AE,ghwealj992,0.876298313645378
g,2015,AE,ghwealj992,0.876886218426023
g,2016,AE,ghwealj992,0.876492155633599
g,2017,AE,ghwealj992,0.876898369664843
g,2018,AE,ghwealj992,0.876898369664843
g,2019,AE,ghwealj992,0.876504332002895
g,2020,AE,ghwealj992,0.876516639762031
g,2021,AE,ghwealj992,0.876540964006949
g,2022,AE,ghwealj992,0.877931201864783
g,1995,AF,ghwealj992,0.735715923018503
g,1996,AF,ghwealj992,0.734931960758544
g,1997,AF,ghwealj992,0.735654226994725
g,1998,AF,ghwealj992,0.736826595844406
g,1999,AF,ghwealj992,0.735578681183242
g,2000,AF,ghwealj992,0.736826595844406
g,2001,AF,ghwealj992,0.737188872049913
g,2002,AF,ghwealj992,0.738040178545404
g,2003,AF,ghwealj992,0.737136997842015
g,2004,AF,ghwealj992,0.738733580787198
g,2005,AF,ghwealj992,0.739560232744978
g,2006,AF,ghwealj992,0.740258879550183
g,2007,AF,ghwealj992,0.738014008411241
g,2008,AF,ghwealj992,0.737381704853021
g,2009,AF,ghwealj992,0.737535492702293
g,2010,AF,ghwealj992,0.737381704853021
g,2011,AF,ghwealj992,0.735190544879003
g,2012,AF,ghwealj992,0.735578681183242
g,2013,AF,ghwealj992,0.735654226994725
g,2014,AF,ghwealj992,0.734660915361616
g,2015,AF,ghwealj992,0.734917477450765
g,2016,AF,ghwealj992,0.736930315685086
g,2017,AF,ghwealj992,0.73756170245295
g,2018,AF,ghwealj992,0.737578446941583
g,2019,AF,ghwealj992,0.73756170245295
g,2020,AF,ghwealj992,0.73756170245295
g,2021,AF,ghwealj992,0.73756170245295
g,2022,AF,ghwealj992,0.738118390065708
g,1995,AL,ghwealj992,0.720588111458511
g,1996,AL,ghwealj992,0.720588111458511
g,1997,AL,ghwealj992,0.721303612699529
g,1998,AL,ghwealj992,0.721360307533331
g,1999,AL,ghwealj992,0.721425739823275
g,2000,AL,ghwealj992,0.721360307533331
g,2001,AL,ghwealj992,0.721669092397846
g,2002,AL,ghwealj992,0.722414588936658
g,2003,AL,ghwealj992,0.722075992408378
g,2004,AL,ghwealj992,0.721715445861676
g,2005,AL,ghwealj992,0.721589904865809
g,2006,AL,ghwealj992,0.721425739823275
g,2007,AL,ghwealj992,0.721303612699529
g,2008,AL,ghwealj992,0.721770562566931
g,2009,AL,ghwealj992,0.721669092397846
g,2010,AL,ghwealj992,0.721360307533331
g,2011,AL,ghwealj992,0.721485595121436
g,2012,AL,ghwealj992,0.721636435277247
g,2013,AL,ghwealj992,0.723214068998189
g,2014,AL,ghwealj992,0.72418246351296
g,2015,AL,ghwealj992,0.724115072495749
g,2016,AL,ghwealj992,0.72397194421022
g,2017,AL,ghwealj992,0.72430219540334
g,2018,AL,ghwealj992,0.724428050999535
g,2019,AL,ghwealj992,0.724428050999535
g,2020,AL,ghwealj992,0.724428050999535
g,2021,AL,ghwealj992,0.724428050999535
g,2022,AL,ghwealj992,0.724841301236225
g,1995,AM,ghwealj992,0.721116277181096
g,1996,AM,ghwealj992,0.721386879511471
g,1997,AM,ghwealj992,0.72151344584617
g,1998,AM,ghwealj992,0.721669092397846
g,1999,AM,ghwealj992,0.721743228389656
g,2000,AM,ghwealj992,0.721924030238966
g,2001,AM,ghwealj992,0.722587718714678
g,2002,AM,ghwealj992,0.723100323324346
g,2003,AM,ghwealj992,0.723243383350265
g,2004,AM,ghwealj992,0.724092475491958
g,2005,AM,ghwealj992,0.72460620255832
g,2006,AM,ghwealj992,0.724865056207605
g,2007,AM,ghwealj992,0.725269723725404
g,2008,AM,ghwealj992,0.72530127412918
g,2009,AM,ghwealj992,0.724454299527281
g,2010,AM,ghwealj992,0.724115072495749
g,2011,AM,ghwealj992,0.724519205169045
g,2012,AM,ghwealj992,0.725215679956278
g,2013,AM,ghwealj992,0.72530127412918
g,2014,AM,ghwealj992,0.725717170049407
g,2015,AM,ghwealj992,0.725269723725404
g,2016,AM,ghwealj992,0.72471045076189
g,2017,AM,ghwealj992,0.724880864945433
g,2018,AM,ghwealj992,0.725563410267583
g,2019,AM,ghwealj992,0.725515995880386
g,2020,AM,ghwealj992,0.725515995880386
g,2021,AM,ghwealj992,0.725501547955304
g,2022,AM,ghwealj992,0.725993095447819
g,1995,AO,ghwealj992,0.756408960982867
g,1996,AO,ghwealj992,0.781116184566088
g,1997,AO,ghwealj992,0.811898896817695
g,1998,AO,ghwealj992,0.845739641038563
g,1999,AO,ghwealj992,0.869441795791147
g,2000,AO,ghwealj992,0.887647910277508
g,2001,AO,ghwealj992,0.879192786140578
g,2002,AO,ghwealj992,0.866484471814573
g,2003,AO,ghwealj992,0.854531560448464
g,2004,AO,ghwealj992,0.837449664767149
g,2005,AO,ghwealj992,0.824457317151229
g,2006,AO,ghwealj992,0.797424427540392
g,2007,AO,ghwealj992,0.782126820643214
g,2008,AO,ghwealj992,0.768796692948399
g,2009,AO,ghwealj992,0.779815147393975
g,2010,AO,ghwealj992,0.791339368175358
g,2011,AO,ghwealj992,0.806170572614576
g,2012,AO,ghwealj992,0.826822550509831
g,2013,AO,ghwealj992,0.844977355585286
g,2014,AO,ghwealj992,0.863516213490357
g,2015,AO,ghwealj992,0.870151109205608
g,2016,AO,ghwealj992,0.879913342963278
g,2017,AO,ghwealj992,0.888174366688077
g,2018,AO,ghwealj992,0.893275841742138
g,2019,AO,ghwealj992,0.891986366826529
g,2020,AO,ghwealj992,0.889853036602858
g,2021,AO,ghwealj992,0.887195374173871
g,2022,AO,ghwealj992,0.888786270288136
g,1995,AR,ghwealj992,0.775524525324158
g,1996,AR,ghwealj992,0.778236468783859
g,1997,AR,ghwealj992,0.779911951562724
g,1998,AR,ghwealj992,0.777007043004403
g,1999,AR,ghwealj992,0.77591638082697
g,2000,AR,ghwealj992,0.772923118596623
g,2001,AR,ghwealj992,0.756819680130377
g,2002,AR,ghwealj992,0.766821550600042
g,2003,AR,ghwealj992,0.777864207975682
g,2004,AR,ghwealj992,0.7800590754361
g,2005,AR,ghwealj992,0.74145795869137
g,2006,AR,ghwealj992,0.886433183644129
g,2007,AR,ghwealj992,0.783483969690877
g,2008,AR,ghwealj992,0.751815950796242
g,2009,AR,ghwealj992,0.873094911519843
g,2010,AR,ghwealj992,0.742067207816746
g,2011,AR,ghwealj992,0.797698783617477
g,2012,AR,ghwealj992,0.732967494330694
g,2013,AR,ghwealj992,0.73893815711412
g,2014,AR,ghwealj992,0.737162111080977
g,2015,AR,ghwealj992,0.737197667407486
g,2016,AR,ghwealj992,0.758671564822947
g,2017,AR,ghwealj992,0.739051335050874
g,2018,AR,ghwealj992,0.740475665569903
g,2019,AR,ghwealj992,0.738029852555428
g,2020,AR,ghwealj992,0.737421943235148
g,2021,AR,ghwealj992,0.739577782395969
g,2022,AR,ghwealj992,0.740141817007725
g,1995,AT,ghwealj992,0.791217416091717
g,1996,AT,ghwealj992,0.791440689007366
g,1997,AT,ghwealj992,0.792080605274149
g,1998,AT,ghwealj992,0.79289562384246
g,1999,AT,ghwealj992,0.792078598798248
g,2000,AT,ghwealj992,0.792918929004507
g,2001,AT,ghwealj992,0.791865079728222
g,2002,AT,ghwealj992,0.792787158452629
g,2003,AT,ghwealj992,0.795163903293727
g,2004,AT,ghwealj992,0.793235811243967
g,2005,AT,ghwealj992,0.795812792145064
g,2006,AT,ghwealj992,0.798648209287741
g,2007,AT,ghwealj992,0.795374915476231
g,2008,AT,ghwealj992,0.796545303969822
g,2009,AT,ghwealj992,0.794090509753531
g,2010,AT,ghwealj992,0.794926137774496
g,2011,AT,ghwealj992,0.789395478135418
g,2012,AT,ghwealj992,0.784408727451904
g,2013,AT,ghwealj992,0.777906830426986
g,2014,AT,ghwealj992,0.773569425810763
g,2015,AT,ghwealj992,0.773780233374339
g,2016,AT,ghwealj992,0.771152215430533
g,2017,AT,ghwealj992,0.768791725445425
g,2018,AT,ghwealj992,0.770633939110667
g,2019,AT,ghwealj992,0.769897444587315
g,2020,AT,ghwealj992,0.769174662527575
g,2021,AT,ghwealj992,0.771683779114198
g,2022,AT,ghwealj992,0.770995043640625
g,1995,AU,ghwealj992,0.719375058413419
g,1996,AU,ghwealj992,0.719330988811265
g,1997,AU,ghwealj992,0.719522025647905
g,1998,AU,ghwealj992,0.719612819011445
g,1999,AU,ghwealj992,0.720588111458511
g,2000,AU,ghwealj992,0.721171519871831
g,2001,AU,ghwealj992,0.720049273832402
g,2002,AU,ghwealj992,0.720588111458511
g,2003,AU,ghwealj992,0.720625415322303
g,2004,AU,ghwealj992,0.721116277181096
g,2005,AU,ghwealj992,0.72151344584617
g,2006,AU,ghwealj992,0.722768146553577
g,2007,AU,ghwealj992,0.721475188135699
g,2008,AU,ghwealj992,0.721217897758436
g,2009,AU,ghwealj992,0.721360307533331
g,2010,AU,ghwealj992,0.721383434146077
g,2011,AU,ghwealj992,0.722584230731997
g,2012,AU,ghwealj992,0.724851979231715
g,2013,AU,ghwealj992,0.726614593825957
