country;variable;percentile;year;value;age;pop
DD;acaincj992;p44p45;1980;19410.6;992;j
DD;acaincj992;p44p45;1981;19817.4;992;j
DD;acaincj992;p44p45;1982;19372.6;992;j
DD;acaincj992;p44p45;1983;19159.5;992;j
DD;acaincj992;p44p45;1984;19054.4;992;j
DD;acaincj992;p44p45;1985;19078.8;992;j
DD;acaincj992;p44p45;1986;19001.2;992;j
DD;acaincj992;p44p45;1987;19037.2;992;j
DD;acaincj992;p44p45;1988;19204.1;992;j
DD;acaincj992;p44p45;1989;20107;992;j
DD;acaincj992;p44p45;1990;17656;992;j
DD;acaincj992;p45p100;1980;26647.4;992;j
DD;acaincj992;p45p100;1981;27358.5;992;j
DD;acaincj992;p45p100;1982;26897.7;992;j
DD;acaincj992;p45p100;1983;26752.3;992;j
DD;acaincj992;p45p100;1984;26811.8;992;j
DD;acaincj992;p45p100;1985;27058.8;992;j
DD;acaincj992;p45p100;1986;27007.9;992;j
DD;acaincj992;p45p100;1987;27113.9;992;j
DD;acaincj992;p45p100;1988;27411.6;992;j
DD;acaincj992;p45p100;1989;28700.2;992;j
DD;acaincj992;p45p100;1990;25201.8;992;j
DD;acaincj992;p93p94;1980;33578.9;992;j
DD;acaincj992;p93p94;1981;34391.7;992;j
DD;acaincj992;p93p94;1982;33745.4;992;j
DD;acaincj992;p93p94;1983;33505.6;992;j
DD;acaincj992;p93p94;1984;33655.3;992;j
DD;acaincj992;p93p94;1985;34042.5;992;j
DD;acaincj992;p93p94;1986;33909;992;j
DD;acaincj992;p93p94;1987;33969.7;992;j
DD;acaincj992;p93p94;1988;34272.6;992;j
DD;acaincj992;p93p94;1989;35883.9;992;j
DD;acaincj992;p93p94;1990;31509.8;992;j
DD;acaincj992;p99.992p100;1980;71511.7;992;j
DD;acaincj992;p99.992p100;1981;101422.6;992;j
DD;acaincj992;p99.992p100;1982;138387.4;992;j
DD;acaincj992;p99.992p100;1983;188582;992;j
DD;acaincj992;p99.992p100;1984;232107.5;992;j
DD;acaincj992;p99.992p100;1985;282844.8;992;j
DD;acaincj992;p99.992p100;1986;306779.2;992;j
DD;acaincj992;p99.992p100;1987;336140.3;992;j
DD;acaincj992;p99.992p100;1988;366151.4;992;j
DD;acaincj992;p99.992p100;1989;383364.9;992;j
DD;acaincj992;p99.992p100;1990;336634.7;992;j
DD;bcaincj992;p94p100;1980;1.1629022359848;992;j
DD;bcaincj992;p94p100;1981;1.19220221042633;992;j
DD;bcaincj992;p94p100;1982;1.22112238407135;992;j
DD;bcaincj992;p94p100;1983;1.24982619285583;992;j
DD;bcaincj992;p94p100;1984;1.27338111400604;992;j
DD;bcaincj992;p94p100;1985;1.29659926891327;992;j
DD;bcaincj992;p94p100;1986;1.31298530101776;992;j
DD;bcaincj992;p94p100;1987;1.32935762405396;992;j
DD;bcaincj992;p94p100;1988;1.34587979316711;992;j
DD;bcaincj992;p94p100;1989;1.34587979316711;992;j
DD;bcaincj992;p94p100;1990;1.3458799123764;992;j
DD;bcaincj992;p95p100;1980;1.15678942203522;992;j
DD;bcaincj992;p95p100;1981;1.18914806842804;992;j
DD;bcaincj992;p95p100;1982;1.22109770774841;992;j
DD;bcaincj992;p95p100;1983;1.25286257266998;992;j
DD;bcaincj992;p95p100;1984;1.27821290493011;992;j
DD;bcaincj992;p95p100;1985;1.30318915843964;992;j
DD;bcaincj992;p95p100;1986;1.32004356384277;992;j
DD;bcaincj992;p95p100;1987;1.33703601360321;992;j
DD;bcaincj992;p95p100;1988;1.35395169258118;992;j
DD;bcaincj992;p95p100;1989;1.35395181179047;992;j
DD;bcaincj992;p95p100;1990;1.35395181179047;992;j
DD;bcaincj992;p96p100;1980;1.14984726905823;992;j
DD;bcaincj992;p96p100;1981;1.18560135364532;992;j
DD;bcaincj992;p96p100;1982;1.22106862068176;992;j
DD;bcaincj992;p96p100;1983;1.25648677349091;992;j
DD;bcaincj992;p96p100;1984;1.28400409221649;992;j
DD;bcaincj992;p96p100;1985;1.31111288070679;992;j
DD;bcaincj992;p96p100;1986;1.32851934432983;992;j
DD;bcaincj992;p96p100;1987;1.3462495803833;992;j
DD;bcaincj992;p96p100;1988;1.36362171173096;992;j
DD;bcaincj992;p96p100;1989;1.36362171173096;992;j
DD;bcaincj992;p96p100;1990;1.36362183094025;992;j
DD;acaincj992;p99.99p99.991;1980;66596;992;j
DD;acaincj992;p99.99p99.991;1981;87710.3;992;j
DD;acaincj992;p99.99p99.991;1982;109924.3;992;j
DD;acaincj992;p99.99p99.991;1983;137315.5;992;j
DD;acaincj992;p99.99p99.991;1984;160186.7;992;j
DD;acaincj992;p99.99p99.991;1985;185788.3;992;j
DD;acaincj992;p99.99p99.991;1986;197960.3;992;j
DD;acaincj992;p99.99p99.991;1987;212590;992;j
DD;acaincj992;p99.99p99.991;1988;228031.5;992;j
DD;acaincj992;p99.99p99.991;1989;238751.7;992;j
DD;acaincj992;p99.99p99.991;1990;209649.1;992;j
DD;acaincj992;p99.996p99.997;1980;70888.3;992;j
DD;acaincj992;p99.996p99.997;1981;98889.6;992;j
DD;acaincj992;p99.996p99.997;1982;131746.6;992;j
DD;acaincj992;p99.996p99.997;1983;174470.6;992;j
DD;acaincj992;p99.996p99.997;1984;210648.1;992;j
DD;acaincj992;p99.996p99.997;1985;251901.1;992;j
DD;acaincj992;p99.996p99.997;1986;271377.6;992;j
DD;acaincj992;p99.996p99.997;1987;295008.6;992;j
DD;acaincj992;p99.996p99.997;1988;319405.2;992;j
DD;acaincj992;p99.996p99.997;1989;334421;992;j
DD;acaincj992;p99.996p99.997;1990;293656.8;992;j
DD;adiincj992;p91p100;1980;48178.4;992;j
DD;adiincj992;p91p100;1981;50207.5;992;j
DD;adiincj992;p91p100;1982;50095.5;992;j
DD;adiincj992;p91p100;1983;50557;992;j
DD;adiincj992;p91p100;1984;51444.3;992;j
DD;adiincj992;p91p100;1985;52691;992;j
DD;adiincj992;p91p100;1986;52958;992;j
DD;adiincj992;p91p100;1987;53538;992;j
DD;adiincj992;p91p100;1988;54504.3;992;j
DD;adiincj992;p91p100;1989;57064.1;992;j
DD;adiincj992;p91p100;1990;50141.5;992;j
DD;xlceuxi999;p0p100;1999;1;999;i
DD;xlceuxi999;p0p100;2000;1;999;i
DD;xlceuxi999;p0p100;2001;1;999;i
DD;xlceuxi999;p0p100;2002;1;999;i
DD;xlceuxi999;p0p100;2003;1;999;i
DD;xlceuxi999;p0p100;2004;1;999;i
DD;xlceuxi999;p0p100;2005;1;999;i
DD;xlceuxi999;p0p100;2006;1;999;i
DD;xlceuxi999;p0p100;2007;1;999;i
DD;xlceuxi999;p0p100;2008;1;999;i
DD;xlceuxi999;p0p100;2009;1;999;i
DD;xlceuxi999;p0p100;2010;1;999;i
DD;xlceuxi999;p0p100;2011;1;999;i
DD;xlceuxi999;p0p100;2012;1;999;i
DD;xlceuxi999;p0p100;2013;1;999;i
DD;xlceuxi999;p0p100;2014;1;999;i
DD;xlceuxi999;p0p100;2015;1;999;i
DD;xlceuxi999;p0p100;2016;1;999;i
DD;xlceuxi999;p0p100;2017;1;999;i
DD;xlceuxi999;p0p100;2018;1;999;i
DD;xlceuxi999;p0p100;2019;1;999;i
DD;xlceuxi999;p0p100;2020;1;999;i
DD;xlceuxi999;p0p100;2021;1;999;i
DD;xlceuxi999;p0p100;2022;1;999;i
DD;adiincj992;p99.98p100;1980;86666.3;992;j
DD;adiincj992;p99.98p100;1981;115730.8;992;j
DD;adiincj992;p99.98p100;1982;148878.9;992;j
DD;adiincj992;p99.98p100;1983;191496.4;992;j
DD;adiincj992;p99.98p100;1984;227252.8;992;j
DD;adiincj992;p99.98p100;1985;268948.4;992;j
DD;adiincj992;p99.98p100;1986;288369.7;992;j
DD;adiincj992;p99.98p100;1987;309515.6;992;j
DD;adiincj992;p99.98p100;1988;332874.3;992;j
DD;adiincj992;p99.98p100;1989;348507.7;992;j
DD;adiincj992;p99.98p100;1990;306313.2;992;j
DD;aptincj992;p99.91p99.92;1980;79590.4;992;j
DD;aptincj992;p99.91p99.92;1981;93431.7;992;j
DD;aptincj992;p99.91p99.92;1982;104229.7;992;j
DD;aptincj992;p99.91p99.92;1983;116536.1;992;j
DD;aptincj992;p99.91p99.92;1984;126808.1;992;j
DD;aptincj992;p99.91p99.92;1985;138158.8;992;j
DD;aptincj992;p99.91p99.92;1986;144280.1;992;j
DD;aptincj992;p99.91p99.92;1987;150973;992;j
DD;aptincj992;p99.91p99.92;1988;158833.6;992;j
DD;aptincj992;p99.91p99.92;1989;166292.1;992;j
DD;aptincj992;p99.91p99.92;1990;146127.1;992;j
DD;aptincj992;p99.993p99.994;1980;97312.7;992;j
DD;aptincj992;p99.993p99.994;1981;130342;992;j
DD;aptincj992;p99.993p99.994;1982;166713.2;992;j
DD;aptincj992;p99.993p99.994;1983;212300.8;992;j
DD;aptincj992;p99.993p99.994;1984;249445.4;992;j
DD;aptincj992;p99.993p99.994;1985;291372.6;992;j
DD;aptincj992;p99.993p99.994;1986;315453.1;992;j
DD;aptincj992;p99.993p99.994;1987;338795.6;992;j
DD;aptincj992;p99.993p99.994;1988;364877.9;992;j
DD;aptincj992;p99.993p99.994;1989;381943.5;992;j
DD;aptincj992;p99.993p99.994;1990;336030.6;992;j
DD;acaincj992;p0p1;1980;755.9;992;j
DD;acaincj992;p0p1;1981;823.1;992;j
DD;acaincj992;p0p1;1982;854.6;992;j
DD;acaincj992;p0p1;1983;894.6;992;j
DD;acaincj992;p0p1;1984;911.8;992;j
DD;acaincj992;p0p1;1985;930.3;992;j
DD;acaincj992;p0p1;1986;996.8;992;j
DD;acaincj992;p0p1;1987;1069.9;992;j
DD;acaincj992;p0p1;1988;1151;992;j
DD;acaincj992;p0p1;1989;1205.1;992;j
DD;acaincj992;p0p1;1990;1058.2;992;j
DD;acaincj992;p0p10;1980;3718;992;j
DD;acaincj992;p0p10;1981;4121.1;992;j
DD;acaincj992;p0p10;1982;4352.5;992;j
DD;acaincj992;p0p10;1983;4627.2;992;j
DD;acaincj992;p0p10;1984;4736.8;992;j
DD;acaincj992;p0p10;1985;4877.5;992;j
DD;acaincj992;p0p10;1986;5291.9;992;j
DD;acaincj992;p0p10;1987;5734.9;992;j
DD;acaincj992;p0p10;1988;6208.1;992;j
DD;acaincj992;p0p10;1989;6500;992;j
DD;acaincj992;p0p10;1990;5707.7;992;j
DD;acaincj992;p0p100;1980;20019.1;992;j
DD;acaincj992;p0p100;1981;20622.7;992;j
DD;acaincj992;p0p100;1982;20343.8;992;j
DD;acaincj992;p0p100;1983;20302.1;992;j
DD;acaincj992;p0p100;1984;20311.9;992;j
DD;acaincj992;p0p100;1985;20463.2;992;j
DD;acaincj992;p0p100;1986;20442.1;992;j
DD;acaincj992;p0p100;1987;20540.3;992;j
DD;acaincj992;p0p100;1988;20783.6;992;j
DD;acaincj992;p0p100;1989;21760.7;992;j
DD;acaincj992;p0p100;1990;19108.2;992;j
DD;acaincj992;p0p50;1980;12731.1;992;j
DD;acaincj992;p0p50;1981;13197.6;992;j
DD;acaincj992;p0p50;1982;13100.6;992;j
DD;acaincj992;p0p50;1983;13154.4;992;j
DD;acaincj992;p0p50;1984;13099.1;992;j
DD;acaincj992;p0p50;1985;13133.9;992;j
DD;acaincj992;p0p50;1986;13141.4;992;j
DD;acaincj992;p0p50;1987;13226.2;992;j
DD;acaincj992;p0p50;1988;13404.5;992;j
DD;acaincj992;p0p50;1989;14034.6;992;j
DD;acaincj992;p0p50;1990;12323.9;992;j
DD;acaincj992;p0p90;1980;18163.7;992;j
DD;acaincj992;p0p90;1981;18666.7;992;j
DD;acaincj992;p0p90;1982;18370.2;992;j
DD;acaincj992;p0p90;1983;18288.7;992;j
DD;acaincj992;p0p90;1984;18226.9;992;j
DD;acaincj992;p0p90;1985;18291.6;992;j
DD;acaincj992;p0p90;1986;18248.3;992;j
DD;acaincj992;p0p90;1987;18312;992;j
DD;acaincj992;p0p90;1988;18504;992;j
DD;acaincj992;p0p90;1989;19373.9;992;j
DD;acaincj992;p0p90;1990;17012.3;992;j
DD;acaincj992;p0p99;1980;19725;992;j
DD;acaincj992;p0p99;1981;20279.8;992;j
DD;acaincj992;p0p99;1982;19965.4;992;j
DD;acaincj992;p0p99;1983;19883.4;992;j
DD;acaincj992;p0p99;1984;19855.7;992;j
DD;acaincj992;p0p99;1985;19965.6;992;j
DD;acaincj992;p0p99;1986;19924.5;992;j
DD;acaincj992;p0p99;1987;19999.1;992;j
DD;acaincj992;p0p99;1988;20215.1;992;j
DD;acaincj992;p0p99;1989;21165.4;992;j
DD;acaincj992;p0p99;1990;18585.5;992;j
DD;acaincj992;p10p100;1980;21830.4;992;j
DD;acaincj992;p10p100;1981;22456.2;992;j
DD;acaincj992;p10p100;1982;22120.6;992;j
DD;acaincj992;p10p100;1983;22043.8;992;j
DD;acaincj992;p10p100;1984;22042.5;992;j
DD;acaincj992;p10p100;1985;22194.9;992;j
DD;acaincj992;p10p100;1986;22125.4;992;j
DD;acaincj992;p10p100;1987;22185.3;992;j
DD;acaincj992;p10p100;1988;22403.1;992;j
DD;acaincj992;p10p100;1989;23456.3;992;j
DD;acaincj992;p10p100;1990;20597.1;992;j
DD;acaincj992;p10p11;1980;7016.7;992;j
DD;acaincj992;p10p11;1981;7829.6;992;j
DD;acaincj992;p10p11;1982;8310.8;992;j
DD;acaincj992;p10p11;1983;8880.8;992;j
DD;acaincj992;p10p11;1984;9101.9;992;j
DD;acaincj992;p10p11;1985;9384.7;992;j
DD;acaincj992;p10p11;1986;9597.6;992;j
DD;acaincj992;p10p11;1987;9813.1;992;j
DD;acaincj992;p10p11;1988;10092.4;992;j
DD;acaincj992;p10p11;1989;10566.8;992;j
DD;acaincj992;p10p11;1990;9278.8;992;j
DD;acaincj992;p10p20;1980;9631.8;992;j
DD;acaincj992;p10p20;1981;10394.5;992;j
DD;acaincj992;p10p20;1982;10715;992;j
DD;acaincj992;p10p20;1983;11146.3;992;j
DD;acaincj992;p10p20;1984;11114.4;992;j
DD;acaincj992;p10p20;1985;11159.1;992;j
DD;acaincj992;p10p20;1986;11103.4;992;j
