country;variable;percentile;year;value;age;pop
QC-MER;wwealgi999;p0p100;1995;0.030978924;999;i
QC-MER;wwealgi999;p0p100;1996;0.05095372;999;i
QC-MER;wwealgi999;p0p100;1997;0.098475277;999;i
QC-MER;wwealgi999;p0p100;1998;0.14926389;999;i
QC-MER;wwealgi999;p0p100;1999;0.20617354;999;i
QC-MER;wwealgi999;p0p100;2000;0.26071474;999;i
QC-MER;wwealgi999;p0p100;2001;0.28488654;999;i
QC-MER;wwealgi999;p0p100;2002;0.27687979;999;i
QC-MER;wwealgi999;p0p100;2003;0.27184528;999;i
QC-MER;wwealgi999;p0p100;2004;0.26311576;999;i
QC-MER;wwealgi999;p0p100;2005;0.27704701;999;i
QC-MER;wwealgi999;p0p100;2006;0.32853684;999;i
QC-MER;wwealgi999;p0p100;2007;0.36766604;999;i
QC-MER;wwealgi999;p0p100;2008;0.31170502;999;i
QC-MER;wwealgi999;p0p100;2009;0.17047684;999;i
QC-MER;wwealgi999;p0p100;2010;0.050728951;999;i
QC-MER;wwealgi999;p0p100;2011;-0.0047467165;999;i
QC-MER;wwealgi999;p0p100;2012;-0.041442316;999;i
QC-MER;wwealgi999;p0p100;2013;-0.064863935;999;i
QC-MER;wwealgi999;p0p100;2014;-0.090012975;999;i
QC-MER;wwealgi999;p0p100;2015;-0.13558902;999;i
QC-MER;wwealgi999;p0p100;2016;-0.16980277;999;i
QC-MER;wwealgi999;p0p100;2017;-0.15681417;999;i
QC-MER;wwealgi999;p0p100;2018;-0.14409216;999;i
QC-MER;wwealgi999;p0p100;2019;-0.15587504;999;i
QC-MER;wwealgi999;p0p100;2020;-0.21684335;999;i
QC-MER;wwealgi999;p0p100;2021;-0.21712217;999;i
QC-MER;wwealgi999;p0p100;2022;-0.16889355;999;i
QC-MER;wwealhi999;p0p100;1995;2.9444146;999;i
QC-MER;wwealhi999;p0p100;1996;3.0271404;999;i
QC-MER;wwealhi999;p0p100;1997;3.1157994;999;i
QC-MER;wwealhi999;p0p100;1998;3.2931514;999;i
QC-MER;wwealhi999;p0p100;1999;3.4832032;999;i
QC-MER;wwealhi999;p0p100;2000;3.4403787;999;i
QC-MER;wwealhi999;p0p100;2001;3.4026971;999;i
QC-MER;wwealhi999;p0p100;2002;3.3189101;999;i
QC-MER;wwealhi999;p0p100;2003;3.3472517;999;i
QC-MER;wwealhi999;p0p100;2004;3.5333803;999;i
QC-MER;wwealhi999;p0p100;2005;3.6994913;999;i
QC-MER;wwealhi999;p0p100;2006;3.7684472;999;i
QC-MER;wwealhi999;p0p100;2007;3.8043125;999;i
QC-MER;wwealhi999;p0p100;2008;3.47772;999;i
QC-MER;wwealhi999;p0p100;2009;3.3151929;999;i
QC-MER;wwealhi999;p0p100;2010;3.2834191;999;i
QC-MER;wwealhi999;p0p100;2011;3.252641;999;i
