country;variable;percentile;year;value;age;pop
QG-MER;wwealgi999;p0p100;1995;0.72488993;999;i
QG-MER;wwealgi999;p0p100;1996;0.69240481;999;i
QG-MER;wwealgi999;p0p100;1997;0.68040425;999;i
QG-MER;wwealgi999;p0p100;1998;0.74012667;999;i
QG-MER;wwealgi999;p0p100;1999;0.84379846;999;i
QG-MER;wwealgi999;p0p100;2000;0.88420963;999;i
QG-MER;wwealgi999;p0p100;2001;0.88819301;999;i
QG-MER;wwealgi999;p0p100;2002;0.89407116;999;i
QG-MER;wwealgi999;p0p100;2003;0.89424974;999;i
QG-MER;wwealgi999;p0p100;2004;0.95047081;999;i
QG-MER;wwealgi999;p0p100;2005;1.0077623;999;i
QG-MER;wwealgi999;p0p100;2006;1.0323608;999;i
QG-MER;wwealgi999;p0p100;2007;1.1060158;999;i
QG-MER;wwealgi999;p0p100;2008;1.2071954;999;i
QG-MER;wwealgi999;p0p100;2009;1.2220628;999;i
QG-MER;wwealgi999;p0p100;2010;1.1971614;999;i
QG-MER;wwealgi999;p0p100;2011;1.1322013;999;i
QG-MER;wwealgi999;p0p100;2012;0.98604721;999;i
QG-MER;wwealgi999;p0p100;2013;1.0487272;999;i
QG-MER;wwealgi999;p0p100;2014;1.0934529;999;i
QG-MER;wwealgi999;p0p100;2015;1.1089749;999;i
QG-MER;wwealgi999;p0p100;2016;0.99614584;999;i
QG-MER;wwealgi999;p0p100;2017;1.0487458;999;i
QG-MER;wwealgi999;p0p100;2018;1.0903245;999;i
QG-MER;wwealgi999;p0p100;2019;1.0566397;999;i
QG-MER;wwealgi999;p0p100;2020;1.0744779;999;i
QG-MER;wwealgi999;p0p100;2021;1.1626695;999;i
QG-MER;wwealgi999;p0p100;2022;1.4107102;999;i
QG-MER;wwealhi999;p0p100;1999;0.5676837;999;i
QG-MER;wwealhi999;p0p100;2000;0.54801798;999;i
QG-MER;wwealhi999;p0p100;2001;0.54285508;999;i
QG-MER;wwealhi999;p0p100;2002;0.535321;999;i
