country;variable;percentile;year;value;age;pop
QR-MER;wwealgi999;p0p100;1995;0.31151193;999;i
QR-MER;wwealgi999;p0p100;1996;0.32698619;999;i
QR-MER;wwealgi999;p0p100;1997;0.33633637;999;i
QR-MER;wwealgi999;p0p100;1998;0.34039798;999;i
QR-MER;wwealgi999;p0p100;1999;0.33208063;999;i
QR-MER;wwealgi999;p0p100;2000;0.34387496;999;i
QR-MER;wwealgi999;p0p100;2001;0.35566485;999;i
QR-MER;wwealgi999;p0p100;2002;0.34470952;999;i
QR-MER;wwealgi999;p0p100;2003;0.35434458;999;i
QR-MER;wwealgi999;p0p100;2004;0.38726145;999;i
QR-MER;wwealgi999;p0p100;2005;0.43166986;999;i
QR-MER;wwealgi999;p0p100;2006;0.49121991;999;i
QR-MER;wwealgi999;p0p100;2007;0.50857109;999;i
QR-MER;wwealgi999;p0p100;2008;0.50791478;999;i
QR-MER;wwealgi999;p0p100;2009;0.44895881;999;i
QR-MER;wwealgi999;p0p100;2010;0.40869889;999;i
QR-MER;wwealgi999;p0p100;2011;0.38170573;999;i
QR-MER;wwealgi999;p0p100;2012;0.35683489;999;i
QR-MER;wwealgi999;p0p100;2013;0.35834292;999;i
QR-MER;wwealgi999;p0p100;2014;0.33600178;999;i
QR-MER;wwealgi999;p0p100;2015;0.29637727;999;i
QR-MER;wwealgi999;p0p100;2016;0.26481679;999;i
QR-MER;wwealgi999;p0p100;2017;0.22080891;999;i
QR-MER;wwealgi999;p0p100;2018;0.20394543;999;i
QR-MER;wwealgi999;p0p100;2019;0.16819547;999;i
QR-MER;wwealgi999;p0p100;2020;0.12352641;999;i
QR-MER;wwealgi999;p0p100;2021;0.11932941;999;i
QR-MER;wwealgi999;p0p100;2022;0.12129729;999;i
QR-MER;wwealni999;p0p100;1995;1.9563426;999;i
QR-MER;wwealni999;p0p100;1996;2.0196042;999;i
QR-MER;wwealni999;p0p100;1997;2.0599923;999;i
QR-MER;wwealni999;p0p100;1998;2.0965168;999;i
QR-MER;wwealni999;p0p100;1999;2.1356063;999;i
QR-MER;wwealni999;p0p100;2000;2.1409857;999;i
QR-MER;wwealni999;p0p100;2001;2.2222817;999;i
QR-MER;wwealni999;p0p100;2002;2.1916995;999;i
QR-MER;wwealni999;p0p100;2003;2.1997311;999;i
QR-MER;wwealni999;p0p100;2004;2.2992344;999;i
QR-MER;wwealni999;p0p100;2005;2.3891914;999;i
QR-MER;wwealni999;p0p100;2006;2.4424579;999;i
QR-MER;wwealni999;p0p100;2007;2.5306585;999;i
QR-MER;wwealni999;p0p100;2008;2.593195;999;i
QR-MER;wwealni999;p0p100;2009;2.7088614;999;i
QR-MER;wwealni999;p0p100;2010;2.7585773;999;i
QR-MER;wwealni999;p0p100;2011;2.9099631;999;i
QR-MER;wwealni999;p0p100;2012;3.0264637;999;i
QR-MER;wwealni999;p0p100;2013;3.074759;999;i
QR-MER;wwealni999;p0p100;2014;3.1631951;999;i
QR-MER;wwealni999;p0p100;2015;3.1854734;999;i
QR-MER;wwealni999;p0p100;2016;3.1294565;999;i
QR-MER;wwealni999;p0p100;2017;3.1176567;999;i
QR-MER;wwealni999;p0p100;2018;3.0880272;999;i
QR-MER;wwealni999;p0p100;2019;3.1295321;999;i
QR-MER;wwealni999;p0p100;2020;3.2871561;999;i
QR-MER;wwealni999;p0p100;2021;3.3067532;999;i
QR-MER;wwealni999;p0p100;2022;3.371629;999;i
QR-MER;wwealpi999;p0p100;1995;1.6436039;999;i
QR-MER;wwealpi999;p0p100;1996;1.6902202;999;i
QR-MER;wwealpi999;p0p100;1997;1.7222168;999;i
QR-MER;wwealpi999;p0p100;1998;1.7558783;999;i
QR-MER;wwealpi999;p0p100;1999;1.7959772;999;i
QR-MER;wwealpi999;p0p100;2000;1.7885284;999;i
QR-MER;wwealpi999;p0p100;2001;1.8627923;999;i
QR-MER;wwealpi999;p0p100;2002;1.8481412;999;i
QR-MER;wwealpi999;p0p100;2003;1.876948;999;i
QR-MER;wwealpi999;p0p100;2004;1.9262141;999;i
QR-MER;wwealpi999;p0p100;2005;1.9544804;999;i
QR-MER;wwealpi999;p0p100;2006;1.9465091;999;i
QR-MER;wwealpi999;p0p100;2007;2.0183125;999;i
QR-MER;wwealpi999;p0p100;2008;2.0802052;999;i
QR-MER;wwealpi999;p0p100;2009;2.25577;999;i
QR-MER;wwealpi999;p0p100;2010;2.34972;999;i
QR-MER;wwealpi999;p0p100;2011;2.5244737;999;i
QR-MER;wwealpi999;p0p100;2012;2.6667352;999;i
QR-MER;wwealpi999;p0p100;2013;2.7120957;999;i
QR-MER;wwealpi999;p0p100;2014;2.8223865;999;i
QR-MER;wwealpi999;p0p100;2015;2.88434;999;i
QR-MER;wwealpi999;p0p100;2016;2.8587039;999;i
QR-MER;wwealpi999;p0p100;2017;2.890738;999;i
QR-MER;wwealpi999;p0p100;2018;2.8764455;999;i
QR-MER;wwealpi999;p0p100;2019;2.9557829;999;i
QR-MER;wwealpi999;p0p100;2020;3.1583159;999;i
QR-MER;wwealpi999;p0p100;2021;3.1785343;999;i
QR-MER;wwealpi999;p0p100;2022;3.2410579;999;i
QR-MER;mgweali999;p0p100;1995;509971598976;999;i
QR-MER;mgweali999;p0p100;1996;548485691200;999;i
QR-MER;mgweali999;p0p100;1997;589089542784;999;i
QR-MER;mgweali999;p0p100;1998;602034725440;999;i
QR-MER;mgweali999;p0p100;1999;576157283776;999;i
QR-MER;mgweali999;p0p100;2000;624096124048;999;i
QR-MER;mgweali999;p0p100;2001;646992717104;999;i
QR-MER;mgweali999;p0p100;2002;622075857360;999;i
QR-MER;mgweali999;p0p100;2003;651416586112;999;i
QR-MER;mgweali999;p0p100;2004;772328303128;999;i
QR-MER;mgweali999;p0p100;2005;906998689840;999;i
QR-MER;mgweali999;p0p100;2006;1083888360800;999;i
