year,country,lowest_50,highst_10,highst_1,region,region2,shortname,decade
1996,AL,0.2011,0.2997,0.0679,Europe,Eastern Europe,Albania,1990
1997,AL,0.198,0.3053,0.0711,Europe,Eastern Europe,Albania,1990
1998,AL,0.1954,0.3086,0.0727,Europe,Eastern Europe,Albania,1990
1999,AL,0.1935,0.3105,0.0739,Europe,Eastern Europe,Albania,1990
2000,AL,0.1938,0.3083,0.0716,Europe,Eastern Europe,Albania,2000
2001,AL,0.1936,0.309,0.0709,Europe,Eastern Europe,Albania,2000
2002,AL,0.1919,0.3113,0.0724,Europe,Eastern Europe,Albania,2000
2003,AL,0.1933,0.3111,0.0729,Europe,Eastern Europe,Albania,2000
2004,AL,0.1959,0.3077,0.0717,Europe,Eastern Europe,Albania,2000
2005,AL,0.1971,0.3063,0.0712,Europe,Eastern Europe,Albania,2000
2006,AL,0.1966,0.3046,0.0705,Europe,Eastern Europe,Albania,2000
2007,AL,0.1977,0.3012,0.0698,Europe,Eastern Europe,Albania,2000
2008,AL,0.1977,0.3053,0.0729,Europe,Eastern Europe,Albania,2000
2009,AL,0.1997,0.3036,0.0722,Europe,Eastern Europe,Albania,2000
2010,AL,0.2003,0.3046,0.0724,Europe,Eastern Europe,Albania,2010
2011,AL,0.2001,0.3077,0.0736,Europe,Eastern Europe,Albania,2010
2012,AL,0.2,0.3091,0.0746,Europe,Eastern Europe,Albania,2010
2013,AL,0.1967,0.3163,0.0768,Europe,Eastern Europe,Albania,2010
2014,AL,0.1908,0.3232,0.078,Europe,Eastern Europe,Albania,2010
2015,AL,0.1969,0.3179,0.0769,Europe,Eastern Europe,Albania,2010
2016,AL,0.1892,0.3198,0.0751,Europe,Eastern Europe,Albania,2010
2017,AL,0.1943,0.3157,0.0739,Europe,Eastern Europe,Albania,2010
2018,AL,0.1988,0.3106,0.0721,Europe,Eastern Europe,Albania,2010
2019,AL,0.2008,0.3139,0.0764,Europe,Eastern Europe,Albania,2010
2020,AL,0.2007,0.3133,0.0757,Europe,Eastern Europe,Albania,2020
2021,AL,0.2007,0.3135,0.0759,Europe,Eastern Europe,Albania,2020
1980,AT,0.3014,0.2772,0.0961,Europe,Western Europe,Austria,1980
1981,AT,0.3003,0.2784,0.0965,Europe,Western Europe,Austria,1980
1982,AT,0.2992,0.2794,0.096,Europe,Western Europe,Austria,1980
1983,AT,0.2994,0.2792,0.0961,Europe,Western Europe,Austria,1980
1984,AT,0.297,0.2846,0.1,Europe,Western Europe,Austria,1980
1985,AT,0.2964,0.2817,0.0985,Europe,Western Europe,Austria,1980
1986,AT,0.294,0.2839,0.0995,Europe,Western Europe,Austria,1980
1987,AT,0.3113,0.2734,0.0917,Europe,Western Europe,Austria,1980
1988,AT,0.308,0.2777,0.0942,Europe,Western Europe,Austria,1980
1989,AT,0.2993,0.2817,0.0958,Europe,Western Europe,Austria,1980
1990,AT,0.3046,0.2727,0.0904,Europe,Western Europe,Austria,1990
1991,AT,0.2964,0.2895,0.1033,Europe,Western Europe,Austria,1990
1992,AT,0.3018,0.2788,0.0974,Europe,Western Europe,Austria,1990
1993,AT,0.2963,0.2934,0.1078,Europe,Western Europe,Austria,1990
1994,AT,0.2939,0.2866,0.1022,Europe,Western Europe,Austria,1990
