year,country,gdiincj992,gptincj992,rdiincj992,rptincj992
1980,AD,0.3907,0.4447,12.1408,15.6673
1981,AD,0.3932,0.4462,12.192,15.6794
1982,AD,0.3943,0.4474,12.2412,15.7618
1983,AD,0.3932,0.4467,12.1662,15.6659
1984,AD,0.3973,0.4511,12.4043,16.0022
1985,AD,0.4023,0.4558,12.726,16.4428
1986,AD,0.3973,0.4511,12.4171,16.039
1987,AD,0.3945,0.4493,12.2957,15.9193
1988,AD,0.3879,0.4446,11.9224,15.5019
1989,AD,0.3887,0.4448,12.0658,15.662
1990,AD,0.3874,0.4437,11.9102,15.4485
1991,AD,0.3846,0.4412,11.7608,15.2677
1992,AD,0.3928,0.45,12.3342,16.072
1993,AD,0.4016,0.4578,12.8392,16.7372
1994,AD,0.4111,0.4658,13.5059,17.5505
1995,AD,0.4086,0.463,13.2847,17.2249
1996,AD,0.4098,0.4639,13.3772,17.3317
1997,AD,0.4178,0.4717,13.9249,18.0455
1998,AD,0.4168,0.4714,13.8996,18.0497
1999,AD,0.4172,0.472,13.9226,18.0982
2000,AD,0.4242,0.4786,14.3935,18.7053
2001,AD,0.422,0.476,14.2121,18.4603
2002,AD,0.4166,0.471,13.816,17.9469
2003,AD,0.4201,0.4747,14.0704,18.3329
2004,AD,0.4307,0.4829,14.8527,19.2839
2005,AD,0.4299,0.4832,14.7293,19.1598
2006,AD,0.4355,0.4881,15.1983,19.7185
2007,AD,0.433,0.486,15.0447,19.5029
2008,AD,0.4159,0.4697,13.7037,17.7748
2009,AD,0.408,0.4627,13.1424,17.0821
2010,AD,0.4289,0.481,14.6625,18.9691
2011,AD,0.4295,0.4817,14.6987,19.032
2012,AD,0.4253,0.4774,14.3357,18.5617
2013,AD,0.4303,0.4812,14.6853,18.9467
2014,AD,0.4336,0.4848,14.9573,19.3329
2015,AD,0.4326,0.484,14.8848,19.2448
2016,AD,0.4324,0.4836,14.8857,19.2164
2017,AD,0.4313,0.4829,14.8385,19.1627
2018,AD,0.4291,0.4811,14.6823,18.9724
2019,AD,0.4256,0.478,14.4314,18.6471
2020,AD,0.4262,0.4784,14.4343,18.65
2021,AD,0.4313,0.4829,14.8543,19.1641
2022,AD,0.4309,0.4833,14.8493,19.1971
2023,AD,0.4309,0.4833,14.8493,19.1971
1980,AE,0.6527000000000001,0.6425000000000001,51.70950000000001,48.6252
1981,AE,0.6516000000000001,0.6425000000000001,51.3912,48.6252
1982,AE,0.6512,0.6425000000000001,51.2298,48.6252
1983,AE,0.6512,0.6425000000000001,51.198,48.6252
1984,AE,0.6525000000000001,0.6425000000000001,51.6201,48.6252
1985,AE,0.6528,0.6425000000000001,51.7754,48.6252
1986,AE,0.6528,0.6425000000000001,51.7316,48.6252
1987,AE,0.6532,0.6425000000000001,51.8836,48.6252
1988,AE,0.6536000000000001,0.6425000000000001,52.0125,48.6252
1989,AE,0.6542,0.6425000000000001,52.2409,48.6252
1990,AE,0.6548,0.6425000000000001,52.4586,48.6252
1991,AE,0.6553,0.6425000000000001,52.6227,48.6252
1992,AE,0.6558,0.6425000000000001,52.7937,48.6252
1993,AE,0.6564,0.6425000000000001,53.0069,48.6252
1994,AE,0.6562,0.6425000000000001,52.9359,48.6252
1995,AE,0.656,0.6425000000000001,52.88930000000001,48.6252
1996,AE,0.6572,0.6425000000000001,53.3356,48.6252
1997,AE,0.6566000000000001,0.6425000000000001,53.1053,48.6252
1998,AE,0.6573,0.6425000000000001,53.3379,48.6252
1999,AE,0.6583,0.6434000000000001,53.7392,48.92160000000001
2000,AE,0.6576000000000001,0.6443,53.502,49.2487
2001,AE,0.6575000000000001,0.6453,53.5101,49.6117
2002,AE,0.6595000000000001,0.6464000000000001,54.3095,50.0168
2003,AE,0.6618,0.6476000000000001,55.25530000000001,50.47170000000001
2004,AE,0.6647000000000001,0.649,56.4602,50.9862
2005,AE,0.6667000000000001,0.6505000000000001,57.3785,51.573
2006,AE,0.667,0.6522,57.6402,52.2483
2007,AE,0.6679,0.6542,58.18810000000001,53.0338
2008,AE,0.6691,0.6564,58.8217,53.959
2009,AE,0.6668000000000001,0.659,57.9744,55.06460000000001
2010,AE,0.6534,0.6462,53.2922,50.9207
2011,AE,0.6298,0.6337,45.8119,47.2355
2012,AE,0.6122000000000001,0.6216,41.15620000000001,43.937
2013,AE,0.5982000000000001,0.61,37.9119,40.9673
2014,AE,0.6006,0.6138,38.4389,41.9171
2015,AE,0.598,0.6058,37.8009,39.8482
2016,AE,0.5939,0.5981000000000001,36.8573,37.9974
2017,AE,0.5938,0.5905,36.8285,36.332
2018,AE,0.5882000000000001,0.5831000000000001,35.6221,34.8255
2019,AE,0.5875,0.5831000000000001,35.4808,34.8255
