year,country,p0p1,p0p10,p0p50,p90p100,p99.9p100,p99p100
1980,AD,0,0.0038,0.2046,0.3222,0.0273,0.0908
1981,AD,0,0.0037,0.2045,0.3222,0.0272,0.0905
1982,AD,0,0.0037,0.2032,0.3218,0.0275,0.0902
1983,AD,0,0.0037,0.2051,0.323,0.0279,0.0913
1984,AD,0,0.0033,0.2031,0.3266,0.0291,0.0934
1985,AD,0,0.0034,0.1989,0.3287,0.0295,0.0937
1986,AD,0,0.0036,0.2017,0.3252,0.0297,0.0934
1987,AD,0,0.0033,0.2031,0.325,0.029,0.0927
1988,AD,0,0.0036,0.2082,0.3244,0.0293,0.0933
1989,AD,0,0.0036,0.2071,0.326,0.0293,0.0943
1990,AD,0,0.0034,0.2093,0.325,0.0285,0.0922
1991,AD,0,0.0037,0.2105,0.323,0.0281,0.0914
1992,AD,0,0.0032,0.2055,0.332,0.0292,0.0951
1993,AD,0,0.0029,0.1988,0.3345,0.0295,0.0963
1994,AD,0,0.0028,0.1937,0.3417,0.0307,0.1007
1995,AD,0,0.0029,0.1956,0.3386,0.0302,0.0975
1996,AD,0,0.0032,0.1953,0.3403,0.032,0.1008
1997,AD,0,0.0028,0.1919,0.3481,0.0356,0.1068
1998,AD,0,0.003,0.1926,0.3495,0.0364,0.1081
1999,AD,0,0.0029,0.1924,0.3499,0.0367,0.1088
2000,AD,0,0.0029,0.1892,0.3557,0.0391,0.113
2001,AD,0,0.0031,0.1893,0.3511,0.0361,0.1086
2002,AD,0,0.0028,0.1919,0.3461,0.0341,0.105
2003,AD,0,0.0024,0.1887,0.3476,0.0363,0.1075
2004,AD,0,0.0017,0.1808,0.3504,0.0378,0.1116
2005,AD,0,0.002,0.1832,0.3528,0.0399,0.1134
2006,AD,0,0.0025,0.1816,0.3598,0.0443,0.12
2007,AD,0,0.0026,0.184,0.3607,0.0422,0.1198
2008,AD,0,0.003,0.1916,0.3424,0.0372,0.1078
2009,AD,0,0.0027,0.195,0.3348,0.0317,0.0988
2010,AD,0,0.0028,0.1843,0.3514,0.0371,0.1093
2011,AD,0,0.0024,0.1833,0.3506,0.0373,0.1088
2012,AD,0,0.0024,0.1844,0.344,0.0344,0.1025
2013,AD,0,0.0026,0.1819,0.3463,0.0351,0.104
2014,AD,0,0.0024,0.1806,0.3509,0.0374,0.1085
2015,AD,0,0.0024,0.1809,0.3499,0.0362,0.1066
2016,AD,0,0.0027,0.1819,0.3513,0.0361,0.1077
2017,AD,0,0.0029,0.1832,0.3528,0.0371,0.1078
2018,AD,0,0.003,0.1849,0.3525,0.0376,0.1083
2019,AD,0,0.0031,0.1868,0.3502,0.0345,0.1049
2020,AD,0,0.0029,0.186,0.3486,0.0358,0.1058
2021,AD,0,0.0031,0.1844,0.3553,0.0413,0.114
2022,AD,0,0.003,0.1849,0.3567,0.042,0.115
2023,AD,0,0.003,0.1849,0.3567,0.042,0.115
1980,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1981,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1982,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1983,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1984,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1985,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1986,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1987,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1988,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1989,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1990,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1991,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1992,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1993,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1994,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1995,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1996,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1997,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1998,AE,0.0006,0.0107,0.1126,0.5501,0.0558,0.1969
1999,AE,0.0006,0.0107,0.1121,0.5509000000000001,0.0552,0.1959
2000,AE,0.0005,0.0107,0.1115,0.5518000000000001,0.0546,0.1947
2001,AE,0.0005,0.0107,0.1109,0.5528000000000001,0.0539,0.1935
2002,AE,0.0005,0.0107,0.1102,0.5539000000000001,0.0531,0.1922
2003,AE,0.0005,0.0107,0.1094,0.5551,0.0522,0.1907
2004,AE,0.0004,0.0107,0.1086,0.5564,0.0513,0.1891
2005,AE,0.0004,0.0107,0.1076,0.5579000000000001,0.0502,0.1872
2006,AE,0.0004,0.0107,0.1066,0.5596,0.049,0.1851
2007,AE,0.0003,0.0107,0.1054,0.5615,0.0476,0.1828
2008,AE,0.0003,0.0107,0.104,0.5637,0.046,0.18
2009,AE,0.0002,0.0107,0.1023,0.5663,0.0442,0.1769
2010,AE,0.0002,0.0096,0.1068,0.5468000000000001,0.0446,0.1739
2011,AE,0.0002,0.0086,0.1112,0.5279,0.045,0.171
2012,AE,0.0001,0.0077,0.1154,0.5097,0.0453,0.1682
2013,AE,0.0001,0.0067,0.1195,0.4921,0.0457,0.1654
2014,AE,0.0001,0.0066,0.1176,0.4956,0.0484,0.1697
2015,AE,0.0002,0.0074,0.1231,0.4932,0.0475,0.167
2016,AE,0.0003,0.0081,0.1285,0.4908,0.0467,0.1644
2017,AE,0.0003,0.0088,0.1338,0.4885,0.0459,0.1619
2018,AE,0.0004,0.0095,0.1389,0.4863,0.0451,0.1594
2019,AE,0.0004,0.0095,0.1389,0.4863,0.0451,0.1594
2020,AE,0.0004,0.0095,0.1389,0.4863,0.0451,0.1594
2021,AE,0.0004,0.0095,0.1389,0.4863,0.0451,0.1594
2022,AE,0.0004,0.0095,0.1389,0.4863,0.0451,0.1594
2023,AE,0.0004,0.0095,0.1389,0.4863,0.0451,0.1594
1980,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1981,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1982,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1983,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1984,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1985,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1986,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1987,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1988,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1989,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1990,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1991,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1992,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1993,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1994,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1995,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1996,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1997,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1998,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
1999,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
2000,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
2001,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
2002,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
2003,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
2004,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
2005,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
2006,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
2007,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
2008,AF,0.0002,0.0188,0.1912,0.4095,0.0553,0.1583
2009,AF,0.0002,0.0193,0.1982,0.3982,0.0513,0.1499
2010,AF,0.0002,0.0189,0.1986,0.3948,0.0505,0.1475
2011,AF,0.0002,0.0195,0.2058,0.3846,0.0467,0.1397
2012,AF,0.0002,0.0198,0.21,0.378,0.0443,0.1348
2013,AF,0.0002,0.0199,0.2075,0.3826,0.0454,0.1374
2014,AF,0.0002,0.0202,0.206,0.3861,0.046,0.1393
2015,AF,0.0003,0.0206,0.2058,0.3885,0.046,0.1401
2016,AF,0.0003,0.0207,0.2028,0.3937,0.0473,0.1433
2017,AF,0.0003,0.0207,0.1992,0.3994,0.0489,0.1469
2018,AF,0.0003,0.0207,0.1992,0.3994,0.0489,0.1469
2019,AF,0.0003,0.0207,0.1992,0.3994,0.0489,0.1469
2020,AF,0.0003,0.0207,0.1992,0.3994,0.0489,0.1469
2021,AF,0.0003,0.0207,0.1992,0.3994,0.0489,0.1469
2022,AF,0.0003,0.0207,0.1992,0.3994,0.0489,0.1469
2023,AF,0.0003,0.0207,0.1992,0.3994,0.0489,0.1469
1980,AG,0,0.0009,0.0819,0.5594,0.1008,0.2375
1981,AG,0,0.0009,0.0816,0.5593,0.0995,0.2364
1982,AG,0,0.0009,0.0813,0.5593,0.0982,0.2353
1983,AG,0,0.0009,0.081,0.5593,0.0969,0.2342
1984,AG,0,0.0009,0.0807,0.5592,0.0956,0.2331
1985,AG,0,0.0009,0.0803,0.5592,0.0942,0.2319
1986,AG,0,0.0009,0.08,0.5592,0.0929,0.2307
1987,AG,0,0.0009,0.0796,0.5591,0.0915,0.2295
1988,AG,0,0.0009,0.0793,0.5591,0.09,0.2283
1989,AG,0,0.0012,0.0786,0.5592,0.0886,0.2271
1990,AG,0,0.0012,0.0783,0.5592,0.0871,0.2258
1991,AG,0,0.0008,0.0789,0.558,0.0872,0.2257
1992,AG,0,0.0008,0.0793,0.557,0.0873,0.2255
1993,AG,0,0.0008,0.0797,0.556,0.0874,0.2254
1994,AG,0,0.0008,0.08,0.555,0.0874,0.2253
1995,AG,0,0.0008,0.0804,0.554,0.0875,0.2252
1996,AG,0,0.0008,0.0807,0.5531,0.0876,0.2251
1997,AG,0,0.0008,0.0811,0.5521,0.0877,0.225
1998,AG,0,0.0008,0.0814,0.5512,0.0878,0.2249
1999,AG,0,0.0008,0.0818,0.5503,0.0878,0.2248
2000,AG,0,0.0008,0.0821,0.5494,0.0879,0.2247
2001,AG,0,0.0008,0.0826,0.5477000000000001,0.0867,0.2231
2002,AG,0,0.0008,0.083,0.546,0.0856,0.2216
2003,AG,0,0.0008,0.0835,0.5445,0.0845,0.2202
2004,AG,0,0.0008,0.0839,0.543,0.0835,0.2189
2005,AG,0,0.0008,0.0843,0.5416000000000001,0.0825,0.2176
2006,AG,0,0.0009,0.0846,0.5403,0.0816,0.2164
2007,AG,0,0.0009,0.085,0.539,0.0807,0.2153
2008,AG,0,0.0009,0.0853,0.5378000000000001,0.0799,0.2142
2009,AG,0,0.0009,0.0857,0.5366000000000001,0.0791,0.2131
2010,AG,0,0.0009,0.086,0.5355,0.0783,0.2121
