year,country,npopuli999,rcaincj992,rdiincj992,rhwealj992,rptincj992,gcaincj992,gdiincj992,ghwealj992,gptincj992
1980,AD,35611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,AD,36987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,AD,38598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,AD,40432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,AD,42181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,AD,43809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,AD,45605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,AD,47635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1988,AD,49654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1989,AD,51639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990,AD,53569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1991,AD,55434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992,AD,57283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,AD,59156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1994,AD,61037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1995,AD,62928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1996,AD,64147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997,AD,64682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998,AD,65186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999,AD,65655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,AD,66097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001,AD,67820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,AD,70849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,AD,73907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,AD,76933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005,AD,79826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,AD,80221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,AD,78168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008,AD,76055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009,AD,73852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,AD,71519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011,AD,70567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012,AD,71013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013,AD,71367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,AD,71621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015,AD,71746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016,AD,72540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017,AD,73837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018,AD,75013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019,AD,76343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,AD,77700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021,AD,79034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,AD,79824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
