year,country,p0p50,p90p100,p99p100
1996,AL,0.2011,0.2997,0.0679
1997,AL,0.198,0.3053,0.0711
1998,AL,0.1954,0.3086,0.0727
1999,AL,0.1935,0.3105,0.0739
2000,AL,0.1938,0.3083,0.0716
2001,AL,0.1936,0.309,0.0709
2002,AL,0.1919,0.3113,0.0724
2003,AL,0.1933,0.3111,0.0729
2004,AL,0.1959,0.3077,0.0717
2005,AL,0.1971,0.3063,0.0712
2006,AL,0.1966,0.3046,0.0705
2007,AL,0.1977,0.3012,0.0698
2008,AL,0.1977,0.3053,0.0729
2009,AL,0.1997,0.3036,0.0722
2010,AL,0.2003,0.3046,0.0724
2011,AL,0.2001,0.3077,0.0736
2012,AL,0.2,0.3091,0.0746
2013,AL,0.1967,0.3163,0.0768
2014,AL,0.1908,0.3232,0.078
2015,AL,0.1969,0.3179,0.0769
2016,AL,0.1892,0.3198,0.0751
2017,AL,0.1943,0.3157,0.0739
2018,AL,0.1988,0.3106,0.0721
2019,AL,0.2008,0.3139,0.0764
2020,AL,0.2007,0.3133,0.0757
2021,AL,0.2007,0.3135,0.0759
1980,AT,0.3014,0.2772,0.0961
1981,AT,0.3003,0.2784,0.0965
1982,AT,0.2992,0.2794,0.096
1983,AT,0.2994,0.2792,0.0961
1984,AT,0.297,0.2846,0.1
1985,AT,0.2964,0.2817,0.0985
1986,AT,0.294,0.2839,0.0995
1987,AT,0.3113,0.2734,0.0917
1988,AT,0.308,0.2777,0.0942
1989,AT,0.2993,0.2817,0.0958
1990,AT,0.3046,0.2727,0.0904
1991,AT,0.2964,0.2895,0.1033
1992,AT,0.3018,0.2788,0.0974
1993,AT,0.2963,0.2934,0.1078
1994,AT,0.2939,0.2866,0.1022
1995,AT,0.2914,0.2804,0.097
1996,AT,0.2933,0.2796,0.0957
1997,AT,0.2987,0.2765,0.0929
1998,AT,0.2955,0.2869,0.1015
1999,AT,0.2984,0.2788,0.0942
2000,AT,0.2959,0.2908,0.1046
2001,AT,0.3031,0.277,0.0943
